experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Demo experiment,pioreactor01,2026-04-14T09:02:06.168Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-14 14:47:06.168,4688.743611111111
Demo experiment,pioreactor01,2026-04-14T09:02:06.670Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-14 14:47:06.670,4688.743611111111
Demo experiment,pioreactor01,2026-04-14T09:02:07.171Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-14 14:47:07.171,4688.743888888889
Demo experiment,pioreactor01,2026-04-14T09:02:07.671Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-14 14:47:07.671,4688.743888888889
Demo experiment,pioreactor01,2026-04-14T09:02:08.172Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-14 14:47:08.172,4688.744166666666
Demo experiment,pioreactor01,2026-04-14T09:02:08.673Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-14 14:47:08.673,4688.744166666666
Demo experiment,pioreactor01,2026-04-14T09:02:09.173Z,remove_waste,0.0160239002,dosing_automation:manual_dosing_control,2026-04-14 14:47:09.173,4688.744444444445
Demo experiment,pioreactor01,2026-04-14T09:02:19.387Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-14 14:47:19.387,4688.747222222222
Demo experiment,pioreactor01,2026-04-14T09:02:19.889Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-14 14:47:19.889,4688.747222222222
Demo experiment,pioreactor01,2026-04-14T09:02:20.390Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-14 14:47:20.390,4688.7475
Demo experiment,pioreactor01,2026-04-14T09:02:20.890Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-14 14:47:20.890,4688.7475
Demo experiment,pioreactor01,2026-04-14T09:02:21.391Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-14 14:47:21.391,4688.747777777778
Demo experiment,pioreactor01,2026-04-14T09:02:21.892Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-14 14:47:21.892,4688.747777777778
Demo experiment,pioreactor01,2026-04-14T09:02:22.392Z,add_media,0.033948941,dosing_automation:manual_dosing_control,2026-04-14 14:47:22.392,4688.748055555556
