experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Demo experiment,pioreactor01,2026-04-18T02:50:25.156Z,0.162721918448,90,2,2026-04-18 08:35:25.156,4778.548888888889
Demo experiment,pioreactor01,2026-04-18T02:50:25.156Z,0.322333864147,135,3,2026-04-18 08:35:25.156,4778.548888888889
Demo experiment,pioreactor01,2026-04-18T02:50:25.156Z,0.06649188655,45,4,2026-04-18 08:35:25.156,4778.548888888889
Demo experiment,pioreactor01,2026-04-18T02:50:30.136Z,0.163111307934,90,2,2026-04-18 08:35:30.136,4778.550277777777
Demo experiment,pioreactor01,2026-04-18T02:50:30.136Z,0.324195715482,135,3,2026-04-18 08:35:30.136,4778.550277777777
Demo experiment,pioreactor01,2026-04-18T02:50:30.136Z,0.066837790366,45,4,2026-04-18 08:35:30.136,4778.550277777777
Demo experiment,pioreactor01,2026-04-18T02:50:35.137Z,0.163134014391,90,2,2026-04-18 08:35:35.137,4778.551666666666
Demo experiment,pioreactor01,2026-04-18T02:50:35.137Z,0.32418738401,135,3,2026-04-18 08:35:35.137,4778.551666666666
Demo experiment,pioreactor01,2026-04-18T02:50:35.137Z,0.066982744607,45,4,2026-04-18 08:35:35.137,4778.551666666666
Demo experiment,pioreactor01,2026-04-18T02:50:40.147Z,0.162801611339,90,2,2026-04-18 08:35:40.147,4778.553055555555
Demo experiment,pioreactor01,2026-04-18T02:50:40.147Z,0.323982405839,135,3,2026-04-18 08:35:40.147,4778.553055555555
Demo experiment,pioreactor01,2026-04-18T02:50:40.147Z,0.066888192019,45,4,2026-04-18 08:35:40.147,4778.553055555555
Demo experiment,pioreactor01,2026-04-18T02:50:45.134Z,0.162627161401,90,2,2026-04-18 08:35:45.134,4778.554444444444
Demo experiment,pioreactor01,2026-04-18T02:50:45.134Z,0.324480376603,135,3,2026-04-18 08:35:45.134,4778.554444444444
Demo experiment,pioreactor01,2026-04-18T02:50:45.134Z,0.06673331624,45,4,2026-04-18 08:35:45.134,4778.554444444444
Demo experiment,pioreactor01,2026-04-18T02:50:50.138Z,0.162616015495,90,2,2026-04-18 08:35:50.138,4778.555833333333
Demo experiment,pioreactor01,2026-04-18T02:50:50.138Z,0.324119837959,135,3,2026-04-18 08:35:50.138,4778.555833333333
Demo experiment,pioreactor01,2026-04-18T02:50:50.138Z,0.066746622663,45,4,2026-04-18 08:35:50.138,4778.555833333333
Demo experiment,pioreactor01,2026-04-18T02:50:55.135Z,0.162755122653,90,2,2026-04-18 08:35:55.135,4778.557222222223
Demo experiment,pioreactor01,2026-04-18T02:50:55.135Z,0.324350985583,135,3,2026-04-18 08:35:55.135,4778.557222222223
Demo experiment,pioreactor01,2026-04-18T02:50:55.135Z,0.066779984851,45,4,2026-04-18 08:35:55.135,4778.557222222223
Demo experiment,pioreactor01,2026-04-18T02:51:00.138Z,0.162438201204,90,2,2026-04-18 08:36:00.138,4778.558611111112
Demo experiment,pioreactor01,2026-04-18T02:51:00.138Z,0.323993410372,135,3,2026-04-18 08:36:00.138,4778.558611111112
Demo experiment,pioreactor01,2026-04-18T02:51:00.138Z,0.066687060825,45,4,2026-04-18 08:36:00.138,4778.558611111112
Demo experiment,pioreactor01,2026-04-18T02:51:05.139Z,0.162653274571,90,2,2026-04-18 08:36:05.139,4778.56
Demo experiment,pioreactor01,2026-04-18T02:51:05.139Z,0.323635350512,135,3,2026-04-18 08:36:05.139,4778.56
Demo experiment,pioreactor01,2026-04-18T02:51:05.139Z,0.066731836364,45,4,2026-04-18 08:36:05.139,4778.56
Demo experiment,pioreactor01,2026-04-18T02:51:10.137Z,0.162604816655,90,2,2026-04-18 08:36:10.137,4778.561388888889
Demo experiment,pioreactor01,2026-04-18T02:51:10.137Z,0.324048246171,135,3,2026-04-18 08:36:10.137,4778.561388888889
