experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Experiment 002,pioreactor01,2026-05-27T12:33:38.787Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 18:18:38.787,23.840555555556
Experiment 002,pioreactor01,2026-05-27T12:33:39.405Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 18:18:39.405,23.840833333333
Experiment 002,pioreactor01,2026-05-27T12:39:38.793Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 18:24:38.793,23.940555555556
Experiment 002,pioreactor01,2026-05-27T12:39:39.426Z,add_media,0.0776751765,dosing_automation:temporal_classification_dosing,2026-05-27 18:24:39.426,23.940833333333
Experiment 002,pioreactor01,2026-05-27T12:39:39.926Z,add_media,0.0023248235,dosing_automation:temporal_classification_dosing,2026-05-27 18:24:39.926,23.940833333333
Experiment 002,pioreactor01,2026-05-27T12:45:38.785Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 18:30:38.785,24.040555555556
Experiment 002,pioreactor01,2026-05-27T12:45:39.402Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 18:30:39.402,24.040833333333
Experiment 002,pioreactor01,2026-05-27T13:15:38.791Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:00:38.791,24.540555555556
Experiment 002,pioreactor01,2026-05-27T13:15:39.376Z,add_media,0.0776751765,dosing_automation:temporal_classification_dosing,2026-05-27 19:00:39.376,24.540833333333
Experiment 002,pioreactor01,2026-05-27T13:15:39.877Z,add_media,0.0023248235,dosing_automation:temporal_classification_dosing,2026-05-27 19:00:39.877,24.540833333333
Experiment 002,pioreactor01,2026-05-27T13:21:38.785Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:06:38.785,24.640555555556
Experiment 002,pioreactor01,2026-05-27T13:21:39.410Z,add_media,0.0776751765,dosing_automation:temporal_classification_dosing,2026-05-27 19:06:39.410,24.640833333333
Experiment 002,pioreactor01,2026-05-27T13:21:39.915Z,add_media,0.0023248235,dosing_automation:temporal_classification_dosing,2026-05-27 19:06:39.915,24.640833333333
Experiment 002,pioreactor01,2026-05-27T13:27:38.786Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:12:38.786,24.740555555556
Experiment 002,pioreactor01,2026-05-27T13:27:39.369Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:12:39.369,24.740833333333
Experiment 002,pioreactor01,2026-05-27T13:33:38.780Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:18:38.780,24.840555555556
Experiment 002,pioreactor01,2026-05-27T13:33:39.352Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:18:39.352,24.840833333333
Experiment 002,pioreactor01,2026-05-27T14:03:38.798Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:48:38.798,25.340555555556
Experiment 002,pioreactor01,2026-05-27T14:03:39.374Z,add_media,0.0776751765,dosing_automation:temporal_classification_dosing,2026-05-27 19:48:39.374,25.340833333333
Experiment 002,pioreactor01,2026-05-27T14:03:39.874Z,add_media,0.0023248235,dosing_automation:temporal_classification_dosing,2026-05-27 19:48:39.874,25.340833333333
Experiment 002,pioreactor01,2026-05-27T14:09:38.789Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:54:38.789,25.440555555556
Experiment 002,pioreactor01,2026-05-27T14:09:39.391Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 19:54:39.391,25.440833333333
Experiment 002,pioreactor01,2026-05-27T14:15:38.786Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:00:38.786,25.540555555556
Experiment 002,pioreactor01,2026-05-27T14:15:39.372Z,add_media,0.0776751765,dosing_automation:temporal_classification_dosing,2026-05-27 20:00:39.372,25.540833333333
Experiment 002,pioreactor01,2026-05-27T14:15:39.873Z,add_media,0.0023248235,dosing_automation:temporal_classification_dosing,2026-05-27 20:00:39.873,25.540833333333
Experiment 002,pioreactor01,2026-05-27T14:21:38.782Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:06:38.782,25.640555555556
Experiment 002,pioreactor01,2026-05-27T14:21:39.359Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:06:39.359,25.640833333333
Experiment 002,pioreactor01,2026-05-27T14:51:38.794Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:36:38.794,26.140555555556
Experiment 002,pioreactor01,2026-05-27T14:51:39.368Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:36:39.368,26.140833333333
Experiment 002,pioreactor01,2026-05-27T14:57:38.782Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:42:38.782,26.240555555556
Experiment 002,pioreactor01,2026-05-27T14:57:39.355Z,add_alt_media,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:42:39.355,26.240833333333
Experiment 002,pioreactor01,2026-05-27T15:03:38.791Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:48:38.791,26.340555555556
Experiment 002,pioreactor01,2026-05-27T15:03:39.380Z,add_media,0.0776751765,dosing_automation:temporal_classification_dosing,2026-05-27 20:48:39.380,26.340833333333
Experiment 002,pioreactor01,2026-05-27T15:03:39.880Z,add_media,0.0023248235,dosing_automation:temporal_classification_dosing,2026-05-27 20:48:39.880,26.340833333333
Experiment 002,pioreactor01,2026-05-27T15:09:38.781Z,remove_waste,0.08,dosing_automation:temporal_classification_dosing,2026-05-27 20:54:38.781,26.440555555556
Experiment 002,pioreactor01,2026-05-27T15:09:39.372Z,add_media,0.0776751765,dosing_automation:temporal_classification_dosing,2026-05-27 20:54:39.372,26.440833333333
Experiment 002,pioreactor01,2026-05-27T15:09:39.872Z,add_media,0.0023248235,dosing_automation:temporal_classification_dosing,2026-05-27 20:54:39.872,26.440833333333
