experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Experiment 002,pioreactor01,2026-05-27T12:36:03.269Z,35.91,2026-05-27 18:21:03.269,23.880833333333
Experiment 002,pioreactor01,2026-05-27T12:39:23.255Z,36.17,2026-05-27 18:24:23.255,23.936388888889
Experiment 002,pioreactor01,2026-05-27T12:42:43.254Z,35.95,2026-05-27 18:27:43.254,23.991944444444
Experiment 002,pioreactor01,2026-05-27T12:46:03.254Z,35.94,2026-05-27 18:31:03.254,24.0475
Experiment 002,pioreactor01,2026-05-27T12:49:23.262Z,35.89,2026-05-27 18:34:23.262,24.103055555556
Experiment 002,pioreactor01,2026-05-27T12:52:43.264Z,36.03,2026-05-27 18:37:43.264,24.158611111111
Experiment 002,pioreactor01,2026-05-27T12:56:03.263Z,36.09,2026-05-27 18:41:03.263,24.214166666667
Experiment 002,pioreactor01,2026-05-27T12:59:23.259Z,36.1,2026-05-27 18:44:23.259,24.269722222222
Experiment 002,pioreactor01,2026-05-27T13:02:43.255Z,36.07,2026-05-27 18:47:43.255,24.325277777778
Experiment 002,pioreactor01,2026-05-27T13:06:03.265Z,36.1,2026-05-27 18:51:03.265,24.380833333333
Experiment 002,pioreactor01,2026-05-27T13:09:23.258Z,35.84,2026-05-27 18:54:23.258,24.436388888889
Experiment 002,pioreactor01,2026-05-27T13:12:43.255Z,35.83,2026-05-27 18:57:43.255,24.491944444444
Experiment 002,pioreactor01,2026-05-27T13:16:03.263Z,35.98,2026-05-27 19:01:03.263,24.5475
Experiment 002,pioreactor01,2026-05-27T13:19:23.268Z,35.98,2026-05-27 19:04:23.268,24.603055555556
Experiment 002,pioreactor01,2026-05-27T13:22:43.288Z,35.98,2026-05-27 19:07:43.288,24.658611111111
Experiment 002,pioreactor01,2026-05-27T13:26:03.259Z,36.12,2026-05-27 19:11:03.259,24.714166666667
Experiment 002,pioreactor01,2026-05-27T13:29:23.243Z,35.92,2026-05-27 19:14:23.243,24.769722222222
Experiment 002,pioreactor01,2026-05-27T13:32:43.236Z,36.03,2026-05-27 19:17:43.236,24.825277777778
Experiment 002,pioreactor01,2026-05-27T13:36:03.243Z,36.03,2026-05-27 19:21:03.243,24.880833333333
Experiment 002,pioreactor01,2026-05-27T13:39:23.245Z,35.88,2026-05-27 19:24:23.245,24.936388888889
Experiment 002,pioreactor01,2026-05-27T13:42:43.243Z,35.96,2026-05-27 19:27:43.243,24.991944444444
Experiment 002,pioreactor01,2026-05-27T13:46:03.250Z,36.14,2026-05-27 19:31:03.250,25.0475
Experiment 002,pioreactor01,2026-05-27T13:49:23.245Z,35.84,2026-05-27 19:34:23.245,25.103055555556
Experiment 002,pioreactor01,2026-05-27T13:52:43.245Z,35.99,2026-05-27 19:37:43.245,25.158611111111
Experiment 002,pioreactor01,2026-05-27T13:56:03.243Z,36.07,2026-05-27 19:41:03.243,25.214166666667
Experiment 002,pioreactor01,2026-05-27T13:59:23.248Z,35.94,2026-05-27 19:44:23.248,25.269722222222
Experiment 002,pioreactor01,2026-05-27T14:02:43.243Z,36.11,2026-05-27 19:47:43.243,25.325277777778
Experiment 002,pioreactor01,2026-05-27T14:06:03.246Z,35.9,2026-05-27 19:51:03.246,25.380833333333
Experiment 002,pioreactor01,2026-05-27T14:09:23.257Z,36.1,2026-05-27 19:54:23.257,25.436388888889
Experiment 002,pioreactor01,2026-05-27T14:12:43.255Z,36.19,2026-05-27 19:57:43.255,25.491944444444
Experiment 002,pioreactor01,2026-05-27T14:16:03.245Z,35.95,2026-05-27 20:01:03.245,25.5475
Experiment 002,pioreactor01,2026-05-27T14:19:23.245Z,36.07,2026-05-27 20:04:23.245,25.603055555556
Experiment 002,pioreactor01,2026-05-27T14:22:43.245Z,36.1,2026-05-27 20:07:43.245,25.658611111111
Experiment 002,pioreactor01,2026-05-27T14:26:03.240Z,36.23,2026-05-27 20:11:03.240,25.714166666667
Experiment 002,pioreactor01,2026-05-27T14:29:23.252Z,36.14,2026-05-27 20:14:23.252,25.769722222222
Experiment 002,pioreactor01,2026-05-27T14:32:43.256Z,36.25,2026-05-27 20:17:43.256,25.825277777778
Experiment 002,pioreactor01,2026-05-27T14:36:03.269Z,36.27,2026-05-27 20:21:03.269,25.880833333333
Experiment 002,pioreactor01,2026-05-27T14:39:23.265Z,35.99,2026-05-27 20:24:23.265,25.936388888889
Experiment 002,pioreactor01,2026-05-27T14:42:43.259Z,35.89,2026-05-27 20:27:43.259,25.991944444444
Experiment 002,pioreactor01,2026-05-27T14:46:03.271Z,35.99,2026-05-27 20:31:03.271,26.0475
Experiment 002,pioreactor01,2026-05-27T14:49:23.261Z,35.83,2026-05-27 20:34:23.261,26.103055555556
Experiment 002,pioreactor01,2026-05-27T14:52:43.245Z,36.06,2026-05-27 20:37:43.245,26.158611111111
Experiment 002,pioreactor01,2026-05-27T14:56:03.241Z,35.95,2026-05-27 20:41:03.241,26.214166666667
Experiment 002,pioreactor01,2026-05-27T14:59:23.243Z,35.83,2026-05-27 20:44:23.243,26.269722222222
Experiment 002,pioreactor01,2026-05-27T15:02:43.239Z,35.91,2026-05-27 20:47:43.239,26.325277777778
Experiment 002,pioreactor01,2026-05-27T15:06:03.246Z,36.01,2026-05-27 20:51:03.246,26.380833333333
Experiment 002,pioreactor01,2026-05-27T15:09:23.244Z,35.72,2026-05-27 20:54:23.244,26.436388888889
Experiment 002,pioreactor01,2026-05-27T15:12:43.243Z,35.89,2026-05-27 20:57:43.243,26.491944444444
Experiment 002,pioreactor01,2026-05-27T15:16:03.246Z,35.75,2026-05-27 21:01:03.246,26.5475
Experiment 002,pioreactor01,2026-05-27T15:19:23.242Z,35.93,2026-05-27 21:04:23.242,26.603055555556
Experiment 002,pioreactor01,2026-05-27T15:22:43.245Z,35.79,2026-05-27 21:07:43.245,26.658611111111
