experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Experiment 002,pioreactor01,2026-05-27T17:46:04.254Z,0.23232218883,90,2,2026-05-27 23:31:04.254,29.047777777778
Experiment 002,pioreactor01,2026-05-27T17:46:04.254Z,0.282244489176,135,3,2026-05-27 23:31:04.254,29.047777777778
Experiment 002,pioreactor01,2026-05-27T17:46:04.254Z,0.112008325189,45,4,2026-05-27 23:31:04.254,29.047777777778
Experiment 002,pioreactor01,2026-05-27T17:46:09.228Z,0.23177848444,90,2,2026-05-27 23:31:09.228,29.049166666667
Experiment 002,pioreactor01,2026-05-27T17:46:09.228Z,0.283169341855,135,3,2026-05-27 23:31:09.228,29.049166666667
Experiment 002,pioreactor01,2026-05-27T17:46:09.228Z,0.112309151516,45,4,2026-05-27 23:31:09.228,29.049166666667
Experiment 002,pioreactor01,2026-05-27T17:46:14.226Z,0.230736390179,90,2,2026-05-27 23:31:14.226,29.050555555556
Experiment 002,pioreactor01,2026-05-27T17:46:14.226Z,0.282813800354,135,3,2026-05-27 23:31:14.226,29.050555555556
Experiment 002,pioreactor01,2026-05-27T17:46:14.226Z,0.112150379824,45,4,2026-05-27 23:31:14.226,29.050555555556
Experiment 002,pioreactor01,2026-05-27T17:46:19.224Z,0.231750856131,90,2,2026-05-27 23:31:19.224,29.051944444444
Experiment 002,pioreactor01,2026-05-27T17:46:19.224Z,0.28305790917,135,3,2026-05-27 23:31:19.224,29.051944444444
Experiment 002,pioreactor01,2026-05-27T17:46:19.224Z,0.112497609282,45,4,2026-05-27 23:31:19.224,29.051944444444
Experiment 002,pioreactor01,2026-05-27T17:46:24.223Z,0.231186579719,90,2,2026-05-27 23:31:24.223,29.053333333333
Experiment 002,pioreactor01,2026-05-27T17:46:24.223Z,0.28264255408,135,3,2026-05-27 23:31:24.223,29.053333333333
Experiment 002,pioreactor01,2026-05-27T17:46:24.223Z,0.112367983933,45,4,2026-05-27 23:31:24.223,29.053333333333
Experiment 002,pioreactor01,2026-05-27T17:46:29.225Z,0.230136871867,90,2,2026-05-27 23:31:29.225,29.054722222222
Experiment 002,pioreactor01,2026-05-27T17:46:29.225Z,0.282287672124,135,3,2026-05-27 23:31:29.225,29.054722222222
Experiment 002,pioreactor01,2026-05-27T17:46:29.225Z,0.112124975682,45,4,2026-05-27 23:31:29.225,29.054722222222
Experiment 002,pioreactor01,2026-05-27T17:46:34.225Z,0.230546608452,90,2,2026-05-27 23:31:34.225,29.056111111111
Experiment 002,pioreactor01,2026-05-27T17:46:34.225Z,0.281835545106,135,3,2026-05-27 23:31:34.225,29.056111111111
Experiment 002,pioreactor01,2026-05-27T17:46:34.225Z,0.112188227199,45,4,2026-05-27 23:31:34.225,29.056111111111
Experiment 002,pioreactor01,2026-05-27T17:46:39.223Z,0.230785381152,90,2,2026-05-27 23:31:39.223,29.0575
Experiment 002,pioreactor01,2026-05-27T17:46:39.223Z,0.281390543306,135,3,2026-05-27 23:31:39.223,29.0575
Experiment 002,pioreactor01,2026-05-27T17:46:39.223Z,0.112122007998,45,4,2026-05-27 23:31:39.223,29.0575
Experiment 002,pioreactor01,2026-05-27T17:46:44.225Z,0.231116560446,90,2,2026-05-27 23:31:44.225,29.058888888889
Experiment 002,pioreactor01,2026-05-27T17:46:44.225Z,0.281934813307,135,3,2026-05-27 23:31:44.225,29.058888888889
Experiment 002,pioreactor01,2026-05-27T17:46:44.225Z,0.112533982335,45,4,2026-05-27 23:31:44.225,29.058888888889
Experiment 002,pioreactor01,2026-05-27T17:46:49.224Z,0.231055207535,90,2,2026-05-27 23:31:49.224,29.060277777778
Experiment 002,pioreactor01,2026-05-27T17:46:49.224Z,0.281487462372,135,3,2026-05-27 23:31:49.224,29.060277777778
Experiment 002,pioreactor01,2026-05-27T17:46:49.224Z,0.111989857862,45,4,2026-05-27 23:31:49.224,29.060277777778
Experiment 002,pioreactor01,2026-05-27T17:46:54.226Z,0.230926354982,90,2,2026-05-27 23:31:54.226,29.061666666667
Experiment 002,pioreactor01,2026-05-27T17:46:54.226Z,0.281385448772,135,3,2026-05-27 23:31:54.226,29.061666666667
Experiment 002,pioreactor01,2026-05-27T17:46:54.226Z,0.112001540898,45,4,2026-05-27 23:31:54.226,29.061666666667
Experiment 002,pioreactor01,2026-05-27T17:46:59.223Z,0.230820310877,90,2,2026-05-27 23:31:59.223,29.063055555556
Experiment 002,pioreactor01,2026-05-27T17:46:59.223Z,0.281676736405,135,3,2026-05-27 23:31:59.223,29.063055555556
Experiment 002,pioreactor01,2026-05-27T17:46:59.223Z,0.111911235856,45,4,2026-05-27 23:31:59.223,29.063055555556
Experiment 002,pioreactor01,2026-05-27T17:47:04.230Z,0.230599896414,90,2,2026-05-27 23:32:04.230,29.064444444444
Experiment 002,pioreactor01,2026-05-27T17:47:04.230Z,0.281850746715,135,3,2026-05-27 23:32:04.230,29.064444444444
Experiment 002,pioreactor01,2026-05-27T17:47:04.230Z,0.111960748552,45,4,2026-05-27 23:32:04.230,29.064444444444
Experiment 002,pioreactor01,2026-05-27T17:47:09.224Z,0.230694439844,90,2,2026-05-27 23:32:09.224,29.065833333333
Experiment 002,pioreactor01,2026-05-27T17:47:09.224Z,0.281622349677,135,3,2026-05-27 23:32:09.224,29.065833333333
Experiment 002,pioreactor01,2026-05-27T17:47:09.224Z,0.112083015303,45,4,2026-05-27 23:32:09.224,29.065833333333
Experiment 002,pioreactor01,2026-05-27T17:47:14.227Z,0.230901424876,90,2,2026-05-27 23:32:14.227,29.067222222222
Experiment 002,pioreactor01,2026-05-27T17:47:14.227Z,0.281603414714,135,3,2026-05-27 23:32:14.227,29.067222222222
Experiment 002,pioreactor01,2026-05-27T17:47:14.227Z,0.112076196992,45,4,2026-05-27 23:32:14.227,29.067222222222
Experiment 002,pioreactor01,2026-05-27T17:47:19.247Z,0.23101134271,90,2,2026-05-27 23:32:19.247,29.068611111111
Experiment 002,pioreactor01,2026-05-27T17:47:19.247Z,0.28140954119,135,3,2026-05-27 23:32:19.247,29.068611111111
Experiment 002,pioreactor01,2026-05-27T17:47:19.247Z,0.11210065018,45,4,2026-05-27 23:32:19.247,29.068611111111
Experiment 002,pioreactor01,2026-05-27T17:47:24.226Z,0.230840471424,90,2,2026-05-27 23:32:24.226,29.07
Experiment 002,pioreactor01,2026-05-27T17:47:24.226Z,0.281514089271,135,3,2026-05-27 23:32:24.226,29.07
Experiment 002,pioreactor01,2026-05-27T17:47:24.226Z,0.11213658199,45,4,2026-05-27 23:32:24.226,29.07
Experiment 002,pioreactor01,2026-05-27T17:47:29.226Z,0.231172910679,90,2,2026-05-27 23:32:29.226,29.071388888889
Experiment 002,pioreactor01,2026-05-27T17:47:29.226Z,0.281712130466,135,3,2026-05-27 23:32:29.226,29.071388888889
Experiment 002,pioreactor01,2026-05-27T17:47:29.226Z,0.112106700016,45,4,2026-05-27 23:32:29.226,29.071388888889
Experiment 002,pioreactor01,2026-05-27T17:47:34.228Z,0.231316900484,90,2,2026-05-27 23:32:34.228,29.072777777778
Experiment 002,pioreactor01,2026-05-27T17:47:34.228Z,0.281400213428,135,3,2026-05-27 23:32:34.228,29.072777777778
Experiment 002,pioreactor01,2026-05-27T17:47:34.228Z,0.112152610432,45,4,2026-05-27 23:32:34.228,29.072777777778
Experiment 002,pioreactor01,2026-05-27T17:47:39.226Z,0.231569820562,90,2,2026-05-27 23:32:39.226,29.074166666667
Experiment 002,pioreactor01,2026-05-27T17:47:39.226Z,0.281449291467,135,3,2026-05-27 23:32:39.226,29.074166666667
Experiment 002,pioreactor01,2026-05-27T17:47:39.226Z,0.112268138892,45,4,2026-05-27 23:32:39.226,29.074166666667
Experiment 002,pioreactor01,2026-05-27T17:47:44.226Z,0.231119033258,90,2,2026-05-27 23:32:44.226,29.075555555556
Experiment 002,pioreactor01,2026-05-27T17:47:44.226Z,0.281366230532,135,3,2026-05-27 23:32:44.226,29.075555555556
Experiment 002,pioreactor01,2026-05-27T17:47:44.226Z,0.112359311544,45,4,2026-05-27 23:32:44.226,29.075555555556
Experiment 002,pioreactor01,2026-05-27T17:47:49.228Z,0.231331724209,90,2,2026-05-27 23:32:49.228,29.076944444444
Experiment 002,pioreactor01,2026-05-27T17:47:49.228Z,0.281231053639,135,3,2026-05-27 23:32:49.228,29.076944444444
Experiment 002,pioreactor01,2026-05-27T17:47:49.228Z,0.112358825909,45,4,2026-05-27 23:32:49.228,29.076944444444
Experiment 002,pioreactor01,2026-05-27T17:47:54.228Z,0.231999901941,90,2,2026-05-27 23:32:54.228,29.078333333333
Experiment 002,pioreactor01,2026-05-27T17:47:54.228Z,0.281692558674,135,3,2026-05-27 23:32:54.228,29.078333333333
Experiment 002,pioreactor01,2026-05-27T17:47:54.228Z,0.112468645487,45,4,2026-05-27 23:32:54.228,29.078333333333
Experiment 002,pioreactor01,2026-05-27T17:47:59.226Z,0.231713922948,90,2,2026-05-27 23:32:59.226,29.079722222222
Experiment 002,pioreactor01,2026-05-27T17:47:59.226Z,0.28128644571,135,3,2026-05-27 23:32:59.226,29.079722222222
Experiment 002,pioreactor01,2026-05-27T17:47:59.226Z,0.112528537133,45,4,2026-05-27 23:32:59.226,29.079722222222
Experiment 002,pioreactor01,2026-05-27T17:48:04.225Z,0.231418722059,90,2,2026-05-27 23:33:04.225,29.081111111111
Experiment 002,pioreactor01,2026-05-27T17:48:04.225Z,0.281273162339,135,3,2026-05-27 23:33:04.225,29.081111111111
Experiment 002,pioreactor01,2026-05-27T17:48:04.225Z,0.112300708376,45,4,2026-05-27 23:33:04.225,29.081111111111
Experiment 002,pioreactor01,2026-05-27T17:48:09.227Z,0.231912954795,90,2,2026-05-27 23:33:09.227,29.0825
Experiment 002,pioreactor01,2026-05-27T17:48:09.227Z,0.281362349504,135,3,2026-05-27 23:33:09.227,29.0825
Experiment 002,pioreactor01,2026-05-27T17:48:09.227Z,0.11217861372,45,4,2026-05-27 23:33:09.227,29.0825
Experiment 002,pioreactor01,2026-05-27T17:48:14.226Z,0.231861576348,90,2,2026-05-27 23:33:14.226,29.083888888889
Experiment 002,pioreactor01,2026-05-27T17:48:14.226Z,0.281207341378,135,3,2026-05-27 23:33:14.226,29.083888888889
Experiment 002,pioreactor01,2026-05-27T17:48:14.226Z,0.112417718037,45,4,2026-05-27 23:33:14.226,29.083888888889
Experiment 002,pioreactor01,2026-05-27T17:48:19.229Z,0.231646222787,90,2,2026-05-27 23:33:19.229,29.085277777778
Experiment 002,pioreactor01,2026-05-27T17:48:19.229Z,0.281173564899,135,3,2026-05-27 23:33:19.229,29.085277777778
Experiment 002,pioreactor01,2026-05-27T17:48:19.229Z,0.112750831308,45,4,2026-05-27 23:33:19.229,29.085277777778
Experiment 002,pioreactor01,2026-05-27T17:48:24.224Z,0.231845473371,90,2,2026-05-27 23:33:24.224,29.086666666667
Experiment 002,pioreactor01,2026-05-27T17:48:24.224Z,0.281295973878,135,3,2026-05-27 23:33:24.224,29.086666666667
Experiment 002,pioreactor01,2026-05-27T17:48:24.224Z,0.112663717889,45,4,2026-05-27 23:33:24.224,29.086666666667
Experiment 002,pioreactor01,2026-05-27T17:48:29.229Z,0.232225876009,90,2,2026-05-27 23:33:29.229,29.088055555556
Experiment 002,pioreactor01,2026-05-27T17:48:29.229Z,0.281532733115,135,3,2026-05-27 23:33:29.229,29.088055555556
Experiment 002,pioreactor01,2026-05-27T17:48:29.229Z,0.112994962303,45,4,2026-05-27 23:33:29.229,29.088055555556
Experiment 002,pioreactor01,2026-05-27T17:48:34.230Z,0.231818736117,90,2,2026-05-27 23:33:34.230,29.089444444444
Experiment 002,pioreactor01,2026-05-27T17:48:34.230Z,0.280880151387,135,3,2026-05-27 23:33:34.230,29.089444444444
Experiment 002,pioreactor01,2026-05-27T17:48:34.230Z,0.112977233946,45,4,2026-05-27 23:33:34.230,29.089444444444
Experiment 002,pioreactor01,2026-05-27T17:48:39.227Z,0.231660216881,90,2,2026-05-27 23:33:39.227,29.090833333333
Experiment 002,pioreactor01,2026-05-27T17:48:39.227Z,0.281351202048,135,3,2026-05-27 23:33:39.227,29.090833333333
Experiment 002,pioreactor01,2026-05-27T17:48:39.227Z,0.112661609085,45,4,2026-05-27 23:33:39.227,29.090833333333
Experiment 002,pioreactor01,2026-05-27T17:48:44.225Z,0.232123472925,90,2,2026-05-27 23:33:44.225,29.092222222222
Experiment 002,pioreactor01,2026-05-27T17:48:44.225Z,0.281015711555,135,3,2026-05-27 23:33:44.225,29.092222222222
Experiment 002,pioreactor01,2026-05-27T17:48:44.225Z,0.112869948374,45,4,2026-05-27 23:33:44.225,29.092222222222
Experiment 002,pioreactor01,2026-05-27T17:48:49.226Z,0.232320315458,90,2,2026-05-27 23:33:49.226,29.093611111111
Experiment 002,pioreactor01,2026-05-27T17:48:49.226Z,0.280940865726,135,3,2026-05-27 23:33:49.226,29.093611111111
Experiment 002,pioreactor01,2026-05-27T17:48:49.226Z,0.112653980964,45,4,2026-05-27 23:33:49.226,29.093611111111
Experiment 002,pioreactor01,2026-05-27T17:48:54.226Z,0.232031296403,90,2,2026-05-27 23:33:54.226,29.095
Experiment 002,pioreactor01,2026-05-27T17:48:54.226Z,0.28134582361,135,3,2026-05-27 23:33:54.226,29.095
Experiment 002,pioreactor01,2026-05-27T17:48:54.226Z,0.112573419851,45,4,2026-05-27 23:33:54.226,29.095
Experiment 002,pioreactor01,2026-05-27T17:48:59.229Z,0.231751829313,90,2,2026-05-27 23:33:59.229,29.096388888889
Experiment 002,pioreactor01,2026-05-27T17:48:59.229Z,0.281187666067,135,3,2026-05-27 23:33:59.229,29.096388888889
Experiment 002,pioreactor01,2026-05-27T17:48:59.229Z,0.112658672098,45,4,2026-05-27 23:33:59.229,29.096388888889
Experiment 002,pioreactor01,2026-05-27T17:49:04.230Z,0.231900223421,90,2,2026-05-27 23:34:04.230,29.097777777778
Experiment 002,pioreactor01,2026-05-27T17:49:04.230Z,0.280810299695,135,3,2026-05-27 23:34:04.230,29.097777777778
Experiment 002,pioreactor01,2026-05-27T17:49:04.230Z,0.112465164503,45,4,2026-05-27 23:34:04.230,29.097777777778
Experiment 002,pioreactor01,2026-05-27T17:49:09.229Z,0.231692935224,90,2,2026-05-27 23:34:09.229,29.099166666667
Experiment 002,pioreactor01,2026-05-27T17:49:09.229Z,0.280915260078,135,3,2026-05-27 23:34:09.229,29.099166666667
Experiment 002,pioreactor01,2026-05-27T17:49:09.229Z,0.112408984015,45,4,2026-05-27 23:34:09.229,29.099166666667
Experiment 002,pioreactor01,2026-05-27T17:49:14.228Z,0.232058221307,90,2,2026-05-27 23:34:14.228,29.100555555556
Experiment 002,pioreactor01,2026-05-27T17:49:14.228Z,0.281231807829,135,3,2026-05-27 23:34:14.228,29.100555555556
Experiment 002,pioreactor01,2026-05-27T17:49:14.228Z,0.112536220084,45,4,2026-05-27 23:34:14.228,29.100555555556
Experiment 002,pioreactor01,2026-05-27T17:49:19.228Z,0.231604666957,90,2,2026-05-27 23:34:19.228,29.101944444444
Experiment 002,pioreactor01,2026-05-27T17:49:19.228Z,0.281285985875,135,3,2026-05-27 23:34:19.228,29.101944444444
Experiment 002,pioreactor01,2026-05-27T17:49:19.228Z,0.11241580056,45,4,2026-05-27 23:34:19.228,29.101944444444
Experiment 002,pioreactor01,2026-05-27T17:49:24.228Z,0.231967508459,90,2,2026-05-27 23:34:24.228,29.103333333333
Experiment 002,pioreactor01,2026-05-27T17:49:24.228Z,0.280608116074,135,3,2026-05-27 23:34:24.228,29.103333333333
Experiment 002,pioreactor01,2026-05-27T17:49:24.228Z,0.112269799668,45,4,2026-05-27 23:34:24.228,29.103333333333
Experiment 002,pioreactor01,2026-05-27T17:49:29.224Z,0.231368601911,90,2,2026-05-27 23:34:29.224,29.104722222222
Experiment 002,pioreactor01,2026-05-27T17:49:29.224Z,0.280848663988,135,3,2026-05-27 23:34:29.224,29.104722222222
Experiment 002,pioreactor01,2026-05-27T17:49:29.224Z,0.112352500237,45,4,2026-05-27 23:34:29.224,29.104722222222
Experiment 002,pioreactor01,2026-05-27T17:49:34.235Z,0.231521919512,90,2,2026-05-27 23:34:34.235,29.106111111111
Experiment 002,pioreactor01,2026-05-27T17:49:34.235Z,0.280877528476,135,3,2026-05-27 23:34:34.235,29.106111111111
Experiment 002,pioreactor01,2026-05-27T17:49:34.235Z,0.112337292951,45,4,2026-05-27 23:34:34.235,29.106111111111
Experiment 002,pioreactor01,2026-05-27T17:49:39.227Z,0.231373298697,90,2,2026-05-27 23:34:39.227,29.1075
Experiment 002,pioreactor01,2026-05-27T17:49:39.227Z,0.280786530999,135,3,2026-05-27 23:34:39.227,29.1075
Experiment 002,pioreactor01,2026-05-27T17:49:39.227Z,0.112194831631,45,4,2026-05-27 23:34:39.227,29.1075
Experiment 002,pioreactor01,2026-05-27T17:49:44.225Z,0.231386492691,90,2,2026-05-27 23:34:44.225,29.108888888889
Experiment 002,pioreactor01,2026-05-27T17:49:44.225Z,0.280782090144,135,3,2026-05-27 23:34:44.225,29.108888888889
Experiment 002,pioreactor01,2026-05-27T17:49:44.225Z,0.112164102884,45,4,2026-05-27 23:34:44.225,29.108888888889
Experiment 002,pioreactor01,2026-05-27T17:49:49.224Z,0.232175709622,90,2,2026-05-27 23:34:49.224,29.110277777778
Experiment 002,pioreactor01,2026-05-27T17:49:49.224Z,0.281221068029,135,3,2026-05-27 23:34:49.224,29.110277777778
Experiment 002,pioreactor01,2026-05-27T17:49:49.224Z,0.112445786365,45,4,2026-05-27 23:34:49.224,29.110277777778
Experiment 002,pioreactor01,2026-05-27T17:49:54.225Z,0.232067912468,90,2,2026-05-27 23:34:54.225,29.111666666667
Experiment 002,pioreactor01,2026-05-27T17:49:54.225Z,0.281215642119,135,3,2026-05-27 23:34:54.225,29.111666666667
Experiment 002,pioreactor01,2026-05-27T17:49:54.225Z,0.112401685428,45,4,2026-05-27 23:34:54.225,29.111666666667
Experiment 002,pioreactor01,2026-05-27T17:49:59.244Z,0.232184402675,90,2,2026-05-27 23:34:59.244,29.113055555556
Experiment 002,pioreactor01,2026-05-27T17:49:59.244Z,0.281144072342,135,3,2026-05-27 23:34:59.244,29.113055555556
Experiment 002,pioreactor01,2026-05-27T17:49:59.244Z,0.112284342952,45,4,2026-05-27 23:34:59.244,29.113055555556
Experiment 002,pioreactor01,2026-05-27T17:50:04.225Z,0.232071587301,90,2,2026-05-27 23:35:04.225,29.114444444444
Experiment 002,pioreactor01,2026-05-27T17:50:04.225Z,0.281274424073,135,3,2026-05-27 23:35:04.225,29.114444444444
Experiment 002,pioreactor01,2026-05-27T17:50:04.225Z,0.112164517736,45,4,2026-05-27 23:35:04.225,29.114444444444
Experiment 002,pioreactor01,2026-05-27T17:50:09.226Z,0.232103783387,90,2,2026-05-27 23:35:09.226,29.115833333333
Experiment 002,pioreactor01,2026-05-27T17:50:09.226Z,0.281268760013,135,3,2026-05-27 23:35:09.226,29.115833333333
Experiment 002,pioreactor01,2026-05-27T17:50:09.226Z,0.112178639516,45,4,2026-05-27 23:35:09.226,29.115833333333
Experiment 002,pioreactor01,2026-05-27T17:50:14.223Z,0.231973065266,90,2,2026-05-27 23:35:14.223,29.117222222222
Experiment 002,pioreactor01,2026-05-27T17:50:14.223Z,0.281102616726,135,3,2026-05-27 23:35:14.223,29.117222222222
Experiment 002,pioreactor01,2026-05-27T17:50:14.223Z,0.112210487191,45,4,2026-05-27 23:35:14.223,29.117222222222
Experiment 002,pioreactor01,2026-05-27T17:50:19.230Z,0.232136718345,90,2,2026-05-27 23:35:19.230,29.118611111111
Experiment 002,pioreactor01,2026-05-27T17:50:19.230Z,0.281223148058,135,3,2026-05-27 23:35:19.230,29.118611111111
Experiment 002,pioreactor01,2026-05-27T17:50:19.230Z,0.112415743709,45,4,2026-05-27 23:35:19.230,29.118611111111
Experiment 002,pioreactor01,2026-05-27T17:50:24.224Z,0.231863293656,90,2,2026-05-27 23:35:24.224,29.12
Experiment 002,pioreactor01,2026-05-27T17:50:24.224Z,0.281151863012,135,3,2026-05-27 23:35:24.224,29.12
Experiment 002,pioreactor01,2026-05-27T17:50:24.224Z,0.112428049862,45,4,2026-05-27 23:35:24.224,29.12
Experiment 002,pioreactor01,2026-05-27T17:50:29.224Z,0.232181111818,90,2,2026-05-27 23:35:29.224,29.121388888889
Experiment 002,pioreactor01,2026-05-27T17:50:29.224Z,0.280987001988,135,3,2026-05-27 23:35:29.224,29.121388888889
Experiment 002,pioreactor01,2026-05-27T17:50:29.224Z,0.112432575868,45,4,2026-05-27 23:35:29.224,29.121388888889
Experiment 002,pioreactor01,2026-05-27T17:50:34.223Z,0.23201807847,90,2,2026-05-27 23:35:34.223,29.122777777778
Experiment 002,pioreactor01,2026-05-27T17:50:34.223Z,0.281346566516,135,3,2026-05-27 23:35:34.223,29.122777777778
Experiment 002,pioreactor01,2026-05-27T17:50:34.223Z,0.112085496947,45,4,2026-05-27 23:35:34.223,29.122777777778
