experiment,pioreactor_unit,timestamp,normalized_od_reading,timestamp_localtime,hours_since_experiment_created
Experiment 002,pioreactor01,2026-05-27T17:47:49.228Z,1.147925205501,2026-05-27 23:32:49.228,29.076944444444
Experiment 002,pioreactor01,2026-05-27T17:47:54.228Z,1.15042487133,2026-05-27 23:32:54.228,29.078333333333
Experiment 002,pioreactor01,2026-05-27T17:47:59.226Z,1.153390627557,2026-05-27 23:32:59.226,29.079722222222
Experiment 002,pioreactor01,2026-05-27T17:48:04.225Z,1.158294421734,2026-05-27 23:33:04.225,29.081111111111
Experiment 002,pioreactor01,2026-05-27T17:48:09.227Z,1.16494182387,2026-05-27 23:33:09.227,29.0825
Experiment 002,pioreactor01,2026-05-27T17:48:14.226Z,1.175160225392,2026-05-27 23:33:14.226,29.083888888889
Experiment 002,pioreactor01,2026-05-27T17:48:19.229Z,1.190460681958,2026-05-27 23:33:19.229,29.085277777778
Experiment 002,pioreactor01,2026-05-27T17:48:24.224Z,1.212622459229,2026-05-27 23:33:24.224,29.086666666667
Experiment 002,pioreactor01,2026-05-27T17:48:29.229Z,1.244924037361,2026-05-27 23:33:29.229,29.088055555556
Experiment 002,pioreactor01,2026-05-27T17:48:34.230Z,1.292133869202,2026-05-27 23:33:34.230,29.089444444444
Experiment 002,pioreactor01,2026-05-27T17:48:39.227Z,1.362056288204,2026-05-27 23:33:39.227,29.090833333333
Experiment 002,pioreactor01,2026-05-27T17:48:44.225Z,1.462483564189,2026-05-27 23:33:44.225,29.092222222222
Experiment 002,pioreactor01,2026-05-27T17:48:49.226Z,1.610644426019,2026-05-27 23:33:49.226,29.093611111111
Experiment 002,pioreactor01,2026-05-27T17:48:54.226Z,1.808910562355,2026-05-27 23:33:54.226,29.095
Experiment 002,pioreactor01,2026-05-27T17:48:59.229Z,1.808976835298,2026-05-27 23:33:59.229,29.096388888889
Experiment 002,pioreactor01,2026-05-27T17:49:04.230Z,1.808242996186,2026-05-27 23:34:04.230,29.097777777778
Experiment 002,pioreactor01,2026-05-27T17:49:09.229Z,1.808202297585,2026-05-27 23:34:09.229,29.099166666667
Experiment 002,pioreactor01,2026-05-27T17:49:14.228Z,1.808270963543,2026-05-27 23:34:14.228,29.100555555556
Experiment 002,pioreactor01,2026-05-27T17:49:19.228Z,1.80863738186,2026-05-27 23:34:19.228,29.101944444444
Experiment 002,pioreactor01,2026-05-27T17:49:24.228Z,1.808209833176,2026-05-27 23:34:24.228,29.103333333333
