experiment,pioreactor_unit,timestamp,normalized_od_reading,timestamp_localtime,hours_since_experiment_created
experiment May,pioreactor02,2026-06-01T15:17:58.560Z,0.825290062183,2026-06-01 21:02:58.560,75.065
experiment May,pioreactor02,2026-06-01T15:18:08.560Z,0.925558163916,2026-06-01 21:03:08.560,75.067777777778
experiment May,pioreactor02,2026-06-01T15:18:13.559Z,1.045161872332,2026-06-01 21:03:13.559,75.069166666667
experiment May,pioreactor02,2026-06-01T15:18:23.558Z,1.143562533244,2026-06-01 21:03:23.558,75.071944444444
experiment May,pioreactor02,2026-06-01T15:18:28.559Z,1.239184516463,2026-06-01 21:03:28.559,75.073333333333
experiment May,pioreactor02,2026-06-01T15:18:33.558Z,1.326710250364,2026-06-01 21:03:33.558,75.074722222222
experiment May,pioreactor02,2026-06-01T15:18:38.560Z,1.404296901632,2026-06-01 21:03:38.560,75.076111111111
experiment May,pioreactor02,2026-06-01T15:18:43.558Z,1.474075158824,2026-06-01 21:03:43.558,75.0775
experiment May,pioreactor02,2026-06-01T15:18:48.559Z,1.534939681,2026-06-01 21:03:48.559,75.078888888889
experiment May,pioreactor02,2026-06-01T15:18:53.560Z,1.587706535365,2026-06-01 21:03:53.560,75.080277777778
experiment May,pioreactor02,2026-06-01T15:18:58.559Z,1.632051206735,2026-06-01 21:03:58.559,75.081666666667
experiment May,pioreactor02,2026-06-01T15:19:03.558Z,1.668213315862,2026-06-01 21:04:03.558,75.083055555556
experiment May,pioreactor02,2026-06-01T15:19:08.559Z,1.695552182393,2026-06-01 21:04:08.559,75.084444444444
experiment May,pioreactor02,2026-06-01T15:19:13.558Z,1.711593571441,2026-06-01 21:04:13.558,75.085833333333
experiment May,pioreactor02,2026-06-01T15:19:18.557Z,1.718330517929,2026-06-01 21:04:18.557,75.087222222222
experiment May,pioreactor02,2026-06-01T15:19:23.558Z,1.716851470186,2026-06-01 21:04:23.558,75.088611111111
experiment May,pioreactor02,2026-06-01T15:19:28.558Z,1.705163125653,2026-06-01 21:04:28.558,75.09
experiment May,pioreactor02,2026-06-01T15:19:33.558Z,1.679278661298,2026-06-01 21:04:33.558,75.091388888889
experiment May,pioreactor02,2026-06-01T15:19:38.560Z,1.640366341203,2026-06-01 21:04:38.560,75.092777777778
experiment May,pioreactor02,2026-06-01T15:19:43.559Z,1.592483144948,2026-06-01 21:04:43.559,75.094166666667
experiment May,pioreactor02,2026-06-01T15:19:48.560Z,1.544876548097,2026-06-01 21:04:48.560,75.095555555556
experiment May,pioreactor02,2026-06-01T15:19:53.559Z,1.505819770456,2026-06-01 21:04:53.559,75.096944444444
experiment May,pioreactor02,2026-06-01T15:19:58.559Z,1.478549580654,2026-06-01 21:04:58.559,75.098333333333
experiment May,pioreactor02,2026-06-01T15:20:03.558Z,1.463018927261,2026-06-01 21:05:03.558,75.099722222222
experiment May,pioreactor02,2026-06-01T15:20:08.559Z,1.453533427805,2026-06-01 21:05:08.559,75.101111111111
experiment May,pioreactor02,2026-06-01T15:20:13.559Z,1.448896432179,2026-06-01 21:05:13.559,75.1025
experiment May,pioreactor02,2026-06-01T15:20:18.559Z,1.444679207194,2026-06-01 21:05:18.559,75.103888888889
experiment May,pioreactor02,2026-06-01T15:20:28.560Z,1.307336794391,2026-06-01 21:05:28.560,75.106666666667
experiment May,pioreactor02,2026-06-01T15:20:33.557Z,1.432439507822,2026-06-01 21:05:33.557,75.108055555556
experiment May,pioreactor02,2026-06-01T15:20:38.560Z,1.478742627382,2026-06-01 21:05:38.560,75.109444444444
experiment May,pioreactor02,2026-06-01T15:20:43.558Z,1.483398561415,2026-06-01 21:05:43.558,75.110833333333
experiment May,pioreactor02,2026-06-01T15:20:48.560Z,1.470068793589,2026-06-01 21:05:48.560,75.112222222222
experiment May,pioreactor02,2026-06-01T15:20:53.559Z,1.452059727878,2026-06-01 21:05:53.559,75.113611111111
experiment May,pioreactor02,2026-06-01T15:20:58.558Z,1.436107417965,2026-06-01 21:05:58.558,75.115
experiment May,pioreactor02,2026-06-01T15:21:03.559Z,1.423292130833,2026-06-01 21:06:03.559,75.116388888889
experiment May,pioreactor02,2026-06-01T15:21:08.559Z,1.413998837483,2026-06-01 21:06:08.559,75.117777777778
experiment May,pioreactor02,2026-06-01T15:21:13.560Z,1.406289988809,2026-06-01 21:06:13.560,75.119166666667
