experiment,pioreactor_unit,timestamp,reading,band,timestamp_localtime,hours_since_experiment_created
experiment May,pioreactor01,2026-06-02T09:48:03.248Z,0.04123046875,415,2026-06-02 15:33:03.248,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:03.251Z,0.34794921875,445,2026-06-02 15:33:03.251,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:03.256Z,0.38841796875,480,2026-06-02 15:33:03.256,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:03.261Z,0.4366796875,515,2026-06-02 15:33:03.261,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:03.269Z,0.49044921875,555,2026-06-02 15:33:03.269,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:03.274Z,0.48568359375,590,2026-06-02 15:33:03.274,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:03.282Z,0.47865234375,630,2026-06-02 15:33:03.282,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:03.286Z,0.2774609375,680,2026-06-02 15:33:03.286,93.566388888889
experiment May,pioreactor01,2026-06-02T09:48:08.241Z,0.04138671875,415,2026-06-02 15:33:08.241,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:08.247Z,0.34841796875,445,2026-06-02 15:33:08.247,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:08.254Z,0.38951171875,480,2026-06-02 15:33:08.254,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:08.258Z,0.436953125,515,2026-06-02 15:33:08.258,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:08.263Z,0.49056640625,555,2026-06-02 15:33:08.263,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:08.267Z,0.48578125,590,2026-06-02 15:33:08.267,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:08.272Z,0.47828125,630,2026-06-02 15:33:08.272,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:08.277Z,0.27728515625,680,2026-06-02 15:33:08.277,93.567777777778
experiment May,pioreactor01,2026-06-02T09:48:13.244Z,0.04134765625,415,2026-06-02 15:33:13.244,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:13.249Z,0.34796875,445,2026-06-02 15:33:13.249,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:13.253Z,0.38875,480,2026-06-02 15:33:13.253,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:13.258Z,0.43658203125,515,2026-06-02 15:33:13.258,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:13.271Z,0.48994140625,555,2026-06-02 15:33:13.271,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:13.275Z,0.48509765625,590,2026-06-02 15:33:13.275,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:13.278Z,0.4780859375,630,2026-06-02 15:33:13.278,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:13.282Z,0.27732421875,680,2026-06-02 15:33:13.282,93.569166666667
experiment May,pioreactor01,2026-06-02T09:48:18.242Z,0.0413671875,415,2026-06-02 15:33:18.242,93.570555555556
experiment May,pioreactor01,2026-06-02T09:48:18.250Z,0.3482421875,445,2026-06-02 15:33:18.250,93.570555555556
experiment May,pioreactor01,2026-06-02T09:48:18.254Z,0.38904296875,480,2026-06-02 15:33:18.254,93.570555555556
experiment May,pioreactor01,2026-06-02T09:48:18.259Z,0.43671875,515,2026-06-02 15:33:18.259,93.570555555556
experiment May,pioreactor01,2026-06-02T09:48:18.268Z,0.49064453125,555,2026-06-02 15:33:18.268,93.570555555556
experiment May,pioreactor01,2026-06-02T09:48:18.272Z,0.48587890625,590,2026-06-02 15:33:18.272,93.570555555556
experiment May,pioreactor01,2026-06-02T09:48:18.277Z,0.47892578125,630,2026-06-02 15:33:18.277,93.570555555556
