experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event,timestamp_localtime,hours_since_experiment_created
experiment June,pioreactor01,2026-06-08T16:47:05.803Z,C,0.0,UI,2026-06-08 22:32:05.803,6.129722222222
experiment June,pioreactor01,2026-06-08T16:47:09.624Z,D,0.0,UI,2026-06-08 22:32:09.624,6.130833333333
experiment June,pioreactor01,2026-06-08T16:47:17.918Z,C,0.0,,2026-06-08 22:32:17.918,6.133055555556
experiment June,pioreactor01,2026-06-08T16:47:17.918Z,D,0.0,,2026-06-08 22:32:17.918,6.133055555556
experiment June,pioreactor01,2026-06-08T16:47:43.510Z,C,75.0,,2026-06-08 22:32:43.510,6.140277777778
experiment June,pioreactor01,2026-06-08T16:47:43.510Z,D,0.0,,2026-06-08 22:32:43.510,6.140277777778
experiment June,pioreactor01,2026-06-08T18:17:43.545Z,C,0.0,,2026-06-09 00:02:43.545,7.640277777778
experiment June,pioreactor01,2026-06-08T18:17:43.545Z,D,0.0,,2026-06-09 00:02:43.545,7.640277777778
experiment June,pioreactor01,2026-06-08T19:17:43.577Z,C,0.0,,2026-06-09 01:02:43.577,8.640277777778
experiment June,pioreactor01,2026-06-08T19:17:43.577Z,D,75.0,,2026-06-09 01:02:43.577,8.640277777778
experiment June,pioreactor01,2026-06-08T20:47:43.608Z,C,0.0,,2026-06-09 02:32:43.608,10.140277777778
experiment June,pioreactor01,2026-06-08T20:47:43.608Z,D,0.0,,2026-06-09 02:32:43.608,10.140277777778
experiment June,pioreactor01,2026-06-08T21:47:43.640Z,C,0.0,,2026-06-09 03:32:43.640,11.140277777778
experiment June,pioreactor01,2026-06-08T21:47:43.640Z,D,75.0,,2026-06-09 03:32:43.640,11.140277777778
experiment June,pioreactor01,2026-06-08T23:17:43.674Z,C,0.0,,2026-06-09 05:02:43.674,12.640277777778
experiment June,pioreactor01,2026-06-08T23:17:43.674Z,D,0.0,,2026-06-09 05:02:43.674,12.640277777778
experiment June,pioreactor01,2026-06-09T00:17:43.708Z,C,75.0,,2026-06-09 06:02:43.708,13.640277777778
experiment June,pioreactor01,2026-06-09T00:17:43.708Z,D,0.0,,2026-06-09 06:02:43.708,13.640277777778
experiment June,pioreactor01,2026-06-09T01:47:43.740Z,C,0.0,,2026-06-09 07:32:43.740,15.140277777778
experiment June,pioreactor01,2026-06-09T01:47:43.740Z,D,0.0,,2026-06-09 07:32:43.740,15.140277777778
experiment June,pioreactor01,2026-06-09T02:47:43.777Z,C,0.0,,2026-06-09 08:32:43.777,16.140277777778
experiment June,pioreactor01,2026-06-09T02:47:43.777Z,D,75.0,,2026-06-09 08:32:43.777,16.140277777778
