experiment,pioreactor_unit,timestamp,normalized_od_reading,timestamp_localtime,hours_since_experiment_created
experiment June,pioreactor01,2026-06-08T16:08:02.322Z,1.038888261288,2026-06-08 21:53:02.322,5.478888888889
experiment June,pioreactor01,2026-06-08T16:08:07.320Z,1.039084284432,2026-06-08 21:53:07.320,5.480277777778
experiment June,pioreactor01,2026-06-08T16:08:12.321Z,1.039276203208,2026-06-08 21:53:12.321,5.481666666667
experiment June,pioreactor01,2026-06-08T16:08:17.320Z,1.039486939485,2026-06-08 21:53:17.320,5.483055555556
experiment June,pioreactor01,2026-06-08T16:08:22.321Z,1.039696227825,2026-06-08 21:53:22.321,5.484444444444
experiment June,pioreactor01,2026-06-08T16:08:27.321Z,1.039816879218,2026-06-08 21:53:27.321,5.485833333333
experiment June,pioreactor01,2026-06-08T16:08:37.320Z,1.040134602516,2026-06-08 21:53:37.320,5.488611111111
experiment June,pioreactor01,2026-06-08T16:08:42.322Z,1.040262107297,2026-06-08 21:53:42.322,5.49
experiment June,pioreactor01,2026-06-08T16:08:47.325Z,1.040324019411,2026-06-08 21:53:47.325,5.491388888889
experiment June,pioreactor01,2026-06-08T16:08:52.321Z,1.04051114035,2026-06-08 21:53:52.321,5.492777777778
experiment June,pioreactor01,2026-06-08T16:08:57.321Z,1.040665882459,2026-06-08 21:53:57.321,5.494166666667
experiment June,pioreactor01,2026-06-08T16:09:02.321Z,1.040755453399,2026-06-08 21:54:02.321,5.495555555556
experiment June,pioreactor01,2026-06-08T16:09:07.320Z,1.040997318465,2026-06-08 21:54:07.320,5.496944444444
experiment June,pioreactor01,2026-06-08T16:09:12.322Z,1.041170606734,2026-06-08 21:54:12.322,5.498333333333
experiment June,pioreactor01,2026-06-08T16:09:17.319Z,1.041314494435,2026-06-08 21:54:17.319,5.499722222222
experiment June,pioreactor01,2026-06-08T16:09:22.320Z,1.041589461795,2026-06-08 21:54:22.320,5.501111111111
experiment June,pioreactor01,2026-06-08T16:09:27.321Z,1.041811902028,2026-06-08 21:54:27.321,5.5025
experiment June,pioreactor01,2026-06-08T16:09:32.321Z,1.041985462587,2026-06-08 21:54:32.321,5.503888888889
experiment June,pioreactor01,2026-06-08T16:09:37.320Z,1.042066892916,2026-06-08 21:54:37.320,5.505277777778
experiment June,pioreactor01,2026-06-08T16:09:42.321Z,1.042233211672,2026-06-08 21:54:42.321,5.506666666667
experiment June,pioreactor01,2026-06-08T16:09:47.320Z,1.042415181095,2026-06-08 21:54:47.320,5.508055555556
experiment June,pioreactor01,2026-06-08T16:09:52.321Z,1.04248166816,2026-06-08 21:54:52.321,5.509444444444
experiment June,pioreactor01,2026-06-08T16:09:57.321Z,1.042634037152,2026-06-08 21:54:57.321,5.510833333333
experiment June,pioreactor01,2026-06-08T16:10:02.323Z,1.042850076515,2026-06-08 21:55:02.323,5.512222222222
experiment June,pioreactor01,2026-06-08T16:10:07.319Z,1.042977580593,2026-06-08 21:55:07.319,5.513611111111
experiment June,pioreactor01,2026-06-08T16:10:12.319Z,1.043090485165,2026-06-08 21:55:12.319,5.515
experiment June,pioreactor01,2026-06-08T16:10:22.320Z,1.043298300911,2026-06-08 21:55:22.320,5.517777777778
experiment June,pioreactor01,2026-06-08T16:10:27.319Z,1.04338195456,2026-06-08 21:55:27.319,5.519166666667
experiment June,pioreactor01,2026-06-08T16:10:32.321Z,1.043505098686,2026-06-08 21:55:32.321,5.520555555556
experiment June,pioreactor01,2026-06-08T16:10:37.320Z,1.043626676651,2026-06-08 21:55:37.320,5.521944444444
experiment June,pioreactor01,2026-06-08T16:10:42.322Z,1.043907821934,2026-06-08 21:55:42.322,5.523333333333
experiment June,pioreactor01,2026-06-08T16:10:47.321Z,1.044209640521,2026-06-08 21:55:47.321,5.524722222222
experiment June,pioreactor01,2026-06-08T16:10:52.320Z,1.044473479046,2026-06-08 21:55:52.320,5.526111111111
experiment June,pioreactor01,2026-06-08T16:10:57.320Z,1.044692270232,2026-06-08 21:55:57.320,5.5275
experiment June,pioreactor01,2026-06-08T16:11:07.322Z,1.045064029359,2026-06-08 21:56:07.322,5.530277777778
experiment June,pioreactor01,2026-06-08T16:11:12.320Z,1.0452022804,2026-06-08 21:56:12.320,5.531666666667
experiment June,pioreactor01,2026-06-08T16:11:17.323Z,1.045288569552,2026-06-08 21:56:17.323,5.533055555556
experiment June,pioreactor01,2026-06-08T16:11:22.321Z,1.045464533235,2026-06-08 21:56:22.321,5.534444444444
experiment June,pioreactor01,2026-06-08T16:11:27.325Z,1.045686629736,2026-06-08 21:56:27.325,5.535833333333
experiment June,pioreactor01,2026-06-08T16:11:32.322Z,1.045853531227,2026-06-08 21:56:32.322,5.537222222222
experiment June,pioreactor01,2026-06-08T16:11:37.328Z,1.045986050989,2026-06-08 21:56:37.328,5.538611111111
experiment June,pioreactor01,2026-06-08T16:11:42.321Z,1.046152060234,2026-06-08 21:56:42.321,5.54
experiment June,pioreactor01,2026-06-08T16:11:47.322Z,1.046333178632,2026-06-08 21:56:47.322,5.541388888889
experiment June,pioreactor01,2026-06-08T16:11:52.319Z,1.046604612078,2026-06-08 21:56:52.319,5.542777777778
experiment June,pioreactor01,2026-06-08T16:11:57.321Z,1.046890471886,2026-06-08 21:56:57.321,5.544166666667
experiment June,pioreactor01,2026-06-08T16:12:02.322Z,1.04715358486,2026-06-08 21:57:02.322,5.545555555556
experiment June,pioreactor01,2026-06-08T16:12:07.320Z,1.047374158685,2026-06-08 21:57:07.320,5.546944444444
