experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
experiment June,pioreactor01,2026-06-09T13:07:40.822Z,466.0,,,2026-06-09 18:52:40.822,26.472777777778
experiment June,pioreactor01,2026-06-09T13:08:10.819Z,460.0,35.5,52.7,2026-06-09 18:53:10.819,26.481111111111
experiment June,pioreactor01,2026-06-09T13:08:40.854Z,467.0,34.54,55.47,2026-06-09 18:53:40.854,26.489444444444
experiment June,pioreactor01,2026-06-09T13:09:10.832Z,468.0,33.82,57.61,2026-06-09 18:54:10.832,26.497777777778
experiment June,pioreactor01,2026-06-09T13:09:40.822Z,466.0,33.45,58.79,2026-06-09 18:54:40.822,26.506111111111
experiment June,pioreactor01,2026-06-09T13:10:10.926Z,466.0,33.17,59.71,2026-06-09 18:55:10.926,26.514444444444
experiment June,pioreactor01,2026-06-09T13:10:40.863Z,465.0,32.99,60.24,2026-06-09 18:55:40.863,26.522777777778
experiment June,pioreactor01,2026-06-09T13:11:10.917Z,459.0,32.97,60.28,2026-06-09 18:56:10.917,26.531111111111
experiment June,pioreactor01,2026-06-09T13:11:40.890Z,460.0,32.97,60.3,2026-06-09 18:56:40.890,26.539444444444
experiment June,pioreactor01,2026-06-09T13:12:10.852Z,453.0,33.01,60.21,2026-06-09 18:57:10.852,26.547777777778
experiment June,pioreactor01,2026-06-09T13:12:40.930Z,452.0,33.03,59.86,2026-06-09 18:57:40.930,26.556111111111
experiment June,pioreactor01,2026-06-09T13:13:12.249Z,449.0,33.04,59.52,2026-06-09 18:58:12.249,26.565
experiment June,pioreactor01,2026-06-09T13:13:40.819Z,446.0,33.08,59.15,2026-06-09 18:58:40.819,26.572777777778
experiment June,pioreactor01,2026-06-09T13:14:10.888Z,448.0,33.12,58.81,2026-06-09 18:59:10.888,26.581111111111
experiment June,pioreactor01,2026-06-09T13:14:40.820Z,444.0,33.15,58.38,2026-06-09 18:59:40.820,26.589444444444
experiment June,pioreactor01,2026-06-09T13:15:10.827Z,441.0,33.16,58.02,2026-06-09 19:00:10.827,26.597777777778
experiment June,pioreactor01,2026-06-09T13:15:40.822Z,440.0,33.17,57.83,2026-06-09 19:00:40.822,26.606111111111
experiment June,pioreactor01,2026-06-09T13:16:10.816Z,442.0,33.19,57.61,2026-06-09 19:01:10.816,26.614444444444
experiment June,pioreactor01,2026-06-09T13:16:40.832Z,436.0,33.21,57.4,2026-06-09 19:01:40.832,26.622777777778
experiment June,pioreactor01,2026-06-09T13:17:10.815Z,427.0,33.23,57.19,2026-06-09 19:02:10.815,26.631111111111
experiment June,pioreactor01,2026-06-09T13:17:40.817Z,430.0,33.23,56.93,2026-06-09 19:02:40.817,26.639444444444
experiment June,pioreactor01,2026-06-09T13:18:10.821Z,430.0,33.27,56.78,2026-06-09 19:03:10.821,26.647777777778
experiment June,pioreactor01,2026-06-09T13:18:40.862Z,433.0,33.28,56.59,2026-06-09 19:03:40.862,26.656111111111
experiment June,pioreactor01,2026-06-09T13:19:10.865Z,432.0,33.26,56.3,2026-06-09 19:04:10.865,26.664444444444
experiment June,pioreactor01,2026-06-09T13:19:41.022Z,433.0,33.29,56.3,2026-06-09 19:04:41.022,26.673055555556
experiment June,pioreactor01,2026-06-09T13:20:10.826Z,429.0,33.28,56.17,2026-06-09 19:05:10.826,26.681111111111
experiment June,pioreactor01,2026-06-09T13:20:40.870Z,430.0,33.29,56.07,2026-06-09 19:05:40.870,26.689444444444
experiment June,pioreactor01,2026-06-09T13:21:10.860Z,425.0,33.31,55.92,2026-06-09 19:06:10.860,26.697777777778
experiment June,pioreactor01,2026-06-09T13:21:41.204Z,426.0,33.3,55.77,2026-06-09 19:06:41.204,26.706388888889
experiment June,pioreactor01,2026-06-09T13:22:10.824Z,426.0,33.33,55.69,2026-06-09 19:07:10.824,26.714444444444
experiment June,pioreactor01,2026-06-09T13:22:40.822Z,426.0,33.32,55.72,2026-06-09 19:07:40.822,26.722777777778
experiment June,pioreactor01,2026-06-09T13:23:10.838Z,434.0,33.3,55.62,2026-06-09 19:08:10.838,26.731111111111
experiment June,pioreactor01,2026-06-09T13:23:40.816Z,431.0,33.3,55.6,2026-06-09 19:08:40.816,26.739444444444
experiment June,pioreactor01,2026-06-09T13:24:10.842Z,430.0,33.33,55.53,2026-06-09 19:09:10.842,26.747777777778
experiment June,pioreactor01,2026-06-09T13:24:40.815Z,432.0,33.36,55.45,2026-06-09 19:09:40.815,26.756111111111
experiment June,pioreactor01,2026-06-09T13:25:10.856Z,435.0,33.35,55.34,2026-06-09 19:10:10.856,26.764444444444
experiment June,pioreactor01,2026-06-09T13:25:40.861Z,436.0,33.41,55.05,2026-06-09 19:10:40.861,26.772777777778
experiment June,pioreactor01,2026-06-09T13:26:10.817Z,439.0,33.46,55.06,2026-06-09 19:11:10.817,26.781111111111
experiment June,pioreactor01,2026-06-09T13:26:40.821Z,439.0,33.49,55.03,2026-06-09 19:11:40.821,26.789444444444
experiment June,pioreactor01,2026-06-09T13:27:10.824Z,441.0,33.5,55.0,2026-06-09 19:12:10.824,26.797777777778
experiment June,pioreactor01,2026-06-09T13:27:40.815Z,440.0,33.52,54.91,2026-06-09 19:12:40.815,26.806111111111
experiment June,pioreactor01,2026-06-09T13:28:10.823Z,445.0,33.52,54.8,2026-06-09 19:13:10.823,26.814444444444
experiment June,pioreactor01,2026-06-09T13:28:40.838Z,449.0,33.53,54.74,2026-06-09 19:13:40.838,26.822777777778
experiment June,pioreactor01,2026-06-09T13:29:10.820Z,446.0,33.55,54.6,2026-06-09 19:14:10.820,26.831111111111
experiment June,pioreactor01,2026-06-09T13:29:40.820Z,448.0,33.52,54.61,2026-06-09 19:14:40.820,26.839444444444
experiment June,pioreactor01,2026-06-09T13:30:10.844Z,448.0,33.5,54.59,2026-06-09 19:15:10.844,26.847777777778
experiment June,pioreactor01,2026-06-09T13:30:40.818Z,445.0,33.5,54.5,2026-06-09 19:15:40.818,26.856111111111
experiment June,pioreactor01,2026-06-09T13:31:10.845Z,443.0,33.5,54.48,2026-06-09 19:16:10.845,26.864444444444
experiment June,pioreactor01,2026-06-09T13:31:40.816Z,442.0,33.45,54.44,2026-06-09 19:16:40.816,26.872777777778
experiment June,pioreactor01,2026-06-09T13:32:10.827Z,443.0,33.44,54.45,2026-06-09 19:17:10.827,26.881111111111
experiment June,pioreactor01,2026-06-09T13:32:40.818Z,445.0,33.46,54.37,2026-06-09 19:17:40.818,26.889444444444
experiment June,pioreactor01,2026-06-09T13:33:10.822Z,440.0,33.45,54.41,2026-06-09 19:18:10.822,26.897777777778
experiment June,pioreactor01,2026-06-09T13:33:40.816Z,440.0,33.4,54.37,2026-06-09 19:18:40.816,26.906111111111
experiment June,pioreactor01,2026-06-09T13:34:10.821Z,440.0,33.38,54.5,2026-06-09 19:19:10.821,26.914444444444
experiment June,pioreactor01,2026-06-09T13:34:40.814Z,443.0,33.38,54.6,2026-06-09 19:19:40.814,26.922777777778
experiment June,pioreactor01,2026-06-09T13:35:10.840Z,446.0,33.41,54.67,2026-06-09 19:20:10.840,26.931111111111
experiment June,pioreactor01,2026-06-09T13:35:40.821Z,448.0,33.42,54.7,2026-06-09 19:20:40.821,26.939444444444
experiment June,pioreactor01,2026-06-09T13:36:10.816Z,451.0,33.44,54.69,2026-06-09 19:21:10.816,26.947777777778
