experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
experiment June,pioreactor01,2026-06-09T13:04:04.059Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 18:49:04.059,26.412777777778
experiment June,pioreactor01,2026-06-09T13:04:04.561Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 18:49:04.561,26.412777777778
experiment June,pioreactor01,2026-06-09T13:04:05.062Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 18:49:05.062,26.413055555556
experiment June,pioreactor01,2026-06-09T13:04:05.562Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 18:49:05.562,26.413055555556
experiment June,pioreactor01,2026-06-09T13:04:06.063Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 18:49:06.063,26.413333333333
experiment June,pioreactor01,2026-06-09T13:04:06.563Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 18:49:06.563,26.413333333333
experiment June,pioreactor01,2026-06-09T13:04:07.064Z,add_media,0.033948941,dosing_automation:chemostat,2026-06-09 18:49:07.064,26.413611111111
experiment June,pioreactor01,2026-06-09T13:04:12.396Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:12.396,26.415
experiment June,pioreactor01,2026-06-09T13:04:12.897Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:12.897,26.415
experiment June,pioreactor01,2026-06-09T13:04:13.397Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:13.397,26.415277777778
experiment June,pioreactor01,2026-06-09T13:04:13.898Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:13.898,26.415277777778
experiment June,pioreactor01,2026-06-09T13:04:14.399Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:14.399,26.415555555556
experiment June,pioreactor01,2026-06-09T13:04:14.899Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:14.899,26.415555555556
experiment June,pioreactor01,2026-06-09T13:04:15.400Z,remove_waste,0.0160239002,dosing_automation:chemostat,2026-06-09 18:49:15.400,26.415833333333
experiment June,pioreactor01,2026-06-09T13:04:15.660Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:15.660,26.415833333333
experiment June,pioreactor01,2026-06-09T13:04:16.161Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:16.161,26.416111111111
experiment June,pioreactor01,2026-06-09T13:04:16.661Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:16.661,26.416111111111
experiment June,pioreactor01,2026-06-09T13:04:17.162Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:17.162,26.416388888889
experiment June,pioreactor01,2026-06-09T13:04:17.663Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:17.663,26.416388888889
experiment June,pioreactor01,2026-06-09T13:04:18.164Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:18.164,26.416666666667
experiment June,pioreactor01,2026-06-09T13:04:18.664Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:18.664,26.416666666667
experiment June,pioreactor01,2026-06-09T13:04:19.165Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:19.165,26.416944444444
experiment June,pioreactor01,2026-06-09T13:04:19.666Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:19.666,26.416944444444
experiment June,pioreactor01,2026-06-09T13:04:20.166Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:20.166,26.417222222222
experiment June,pioreactor01,2026-06-09T13:04:20.667Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:20.667,26.417222222222
experiment June,pioreactor01,2026-06-09T13:04:21.167Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 18:49:21.167,26.4175
experiment June,pioreactor01,2026-06-09T13:04:21.668Z,remove_waste,0.0320478004,dosing_automation:chemostat,2026-06-09 18:49:21.668,26.4175
experiment June,pioreactor01,2026-06-09T14:04:03.815Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 19:49:03.815,27.4125
experiment June,pioreactor01,2026-06-09T14:04:04.316Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 19:49:04.316,27.412777777778
experiment June,pioreactor01,2026-06-09T14:04:04.817Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 19:49:04.817,27.412777777778
experiment June,pioreactor01,2026-06-09T14:04:05.317Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 19:49:05.317,27.413055555556
experiment June,pioreactor01,2026-06-09T14:04:05.818Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 19:49:05.818,27.413055555556
experiment June,pioreactor01,2026-06-09T14:04:06.320Z,add_media,0.0776751765,dosing_automation:chemostat,2026-06-09 19:49:06.320,27.413333333333
experiment June,pioreactor01,2026-06-09T14:04:06.820Z,add_media,0.033948941,dosing_automation:chemostat,2026-06-09 19:49:06.820,27.413333333333
experiment June,pioreactor01,2026-06-09T14:04:12.126Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 19:49:12.126,27.415
experiment June,pioreactor01,2026-06-09T14:04:12.626Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 19:49:12.626,27.415
experiment June,pioreactor01,2026-06-09T14:04:13.127Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 19:49:13.127,27.415277777778
experiment June,pioreactor01,2026-06-09T14:04:13.628Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 19:49:13.628,27.415277777778
experiment June,pioreactor01,2026-06-09T14:04:14.128Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-06-09 19:49:14.128,27.415555555556
