experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event,timestamp_localtime,hours_since_experiment_created
experiment June,pioreactor01,2026-06-09T13:05:39.230Z,C,0.0,,2026-06-09 18:50:39.230,26.439166666667
experiment June,pioreactor01,2026-06-09T13:05:39.230Z,D,0.0,,2026-06-09 18:50:39.230,26.439166666667
experiment June,pioreactor01,2026-06-09T14:35:39.265Z,C,75.0,,2026-06-09 20:20:39.265,27.939166666667
experiment June,pioreactor01,2026-06-09T14:35:39.265Z,D,0.0,,2026-06-09 20:20:39.265,27.939166666667
experiment June,pioreactor01,2026-06-09T16:05:39.300Z,C,0.0,,2026-06-09 21:50:39.300,29.439166666667
experiment June,pioreactor01,2026-06-09T16:05:39.300Z,D,0.0,,2026-06-09 21:50:39.300,29.439166666667
experiment June,pioreactor01,2026-06-09T17:05:39.336Z,C,0.0,,2026-06-09 22:50:39.336,30.439166666667
experiment June,pioreactor01,2026-06-09T17:05:39.336Z,D,75.0,,2026-06-09 22:50:39.336,30.439166666667
experiment June,pioreactor01,2026-06-09T18:35:39.371Z,C,0.0,,2026-06-10 00:20:39.371,31.939166666667
experiment June,pioreactor01,2026-06-09T18:35:39.371Z,D,0.0,,2026-06-10 00:20:39.371,31.939166666667
experiment June,pioreactor01,2026-06-09T19:35:39.408Z,C,0.0,,2026-06-10 01:20:39.408,32.939166666667
experiment June,pioreactor01,2026-06-09T19:35:39.408Z,D,75.0,,2026-06-10 01:20:39.408,32.939166666667
experiment June,pioreactor01,2026-06-09T21:05:39.440Z,C,0.0,,2026-06-10 02:50:39.440,34.439166666667
experiment June,pioreactor01,2026-06-09T21:05:39.440Z,D,0.0,,2026-06-10 02:50:39.440,34.439166666667
experiment June,pioreactor01,2026-06-09T22:05:39.473Z,C,75.0,,2026-06-10 03:50:39.473,35.439166666667
experiment June,pioreactor01,2026-06-09T22:05:39.473Z,D,0.0,,2026-06-10 03:50:39.473,35.439166666667
experiment June,pioreactor01,2026-06-09T23:35:39.506Z,C,0.0,,2026-06-10 05:20:39.506,36.939166666667
experiment June,pioreactor01,2026-06-09T23:35:39.506Z,D,0.0,,2026-06-10 05:20:39.506,36.939166666667
experiment June,pioreactor01,2026-06-10T00:35:39.539Z,C,0.0,,2026-06-10 06:20:39.539,37.939166666667
experiment June,pioreactor01,2026-06-10T00:35:39.539Z,D,75.0,,2026-06-10 06:20:39.539,37.939166666667
experiment June,pioreactor01,2026-06-10T02:05:39.575Z,C,0.0,,2026-06-10 07:50:39.575,39.439166666667
experiment June,pioreactor01,2026-06-10T02:05:39.575Z,D,0.0,,2026-06-10 07:50:39.575,39.439166666667
experiment June,pioreactor01,2026-06-10T03:05:39.609Z,C,75.0,,2026-06-10 08:50:39.609,40.439166666667
experiment June,pioreactor01,2026-06-10T03:05:39.609Z,D,0.0,,2026-06-10 08:50:39.609,40.439166666667
experiment June,pioreactor01,2026-06-10T04:35:39.641Z,C,0.0,,2026-06-10 10:20:39.641,41.939166666667
experiment June,pioreactor01,2026-06-10T04:35:39.641Z,D,0.0,,2026-06-10 10:20:39.641,41.939166666667
experiment June,pioreactor01,2026-06-10T05:35:39.674Z,C,75.0,,2026-06-10 11:20:39.674,42.939166666667
experiment June,pioreactor01,2026-06-10T05:35:39.674Z,D,0.0,,2026-06-10 11:20:39.674,42.939166666667
experiment June,pioreactor01,2026-06-10T07:05:39.708Z,C,0.0,,2026-06-10 12:50:39.708,44.439166666667
experiment June,pioreactor01,2026-06-10T07:05:39.708Z,D,0.0,,2026-06-10 12:50:39.708,44.439166666667
experiment June,pioreactor01,2026-06-10T08:05:39.739Z,C,0.0,,2026-06-10 13:50:39.739,45.439166666667
experiment June,pioreactor01,2026-06-10T08:05:39.739Z,D,75.0,,2026-06-10 13:50:39.739,45.439166666667
experiment June,pioreactor01,2026-06-10T09:35:39.772Z,C,0.0,,2026-06-10 15:20:39.772,46.939166666667
experiment June,pioreactor01,2026-06-10T09:35:39.772Z,D,0.0,,2026-06-10 15:20:39.772,46.939166666667
experiment June,pioreactor01,2026-06-10T09:39:33.529Z,D,0.0,UI,2026-06-10 15:24:33.529,47.004166666667
