experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Demo experiment,pioreactor01,2026-04-14T08:48:29.847Z,0.519798816214,90,2,2026-04-14 14:33:29.847,4688.516666666666
Demo experiment,pioreactor01,2026-04-14T08:48:29.847Z,0.566811737557,135,3,2026-04-14 14:33:29.847,4688.516666666666
Demo experiment,pioreactor01,2026-04-14T08:48:29.847Z,0.26280526676,45,4,2026-04-14 14:33:29.847,4688.516666666666
Demo experiment,pioreactor01,2026-04-14T08:48:34.837Z,0.524329571026,90,2,2026-04-14 14:33:34.837,4688.518055555555
Demo experiment,pioreactor01,2026-04-14T08:48:34.837Z,0.568070399663,135,3,2026-04-14 14:33:34.837,4688.518055555555
Demo experiment,pioreactor01,2026-04-14T08:48:34.837Z,0.264996130448,45,4,2026-04-14 14:33:34.837,4688.518055555555
Demo experiment,pioreactor01,2026-04-14T08:48:39.835Z,0.525835069443,90,2,2026-04-14 14:33:39.835,4688.519444444444
Demo experiment,pioreactor01,2026-04-14T08:48:39.835Z,0.567016008537,135,3,2026-04-14 14:33:39.835,4688.519444444444
Demo experiment,pioreactor01,2026-04-14T08:48:39.835Z,0.265563007534,45,4,2026-04-14 14:33:39.835,4688.519444444444
Demo experiment,pioreactor01,2026-04-14T08:48:44.833Z,0.527319279704,90,2,2026-04-14 14:33:44.833,4688.520833333333
Demo experiment,pioreactor01,2026-04-14T08:48:44.833Z,0.565500188529,135,3,2026-04-14 14:33:44.833,4688.520833333333
Demo experiment,pioreactor01,2026-04-14T08:48:44.833Z,0.267386747567,45,4,2026-04-14 14:33:44.833,4688.520833333333
Demo experiment,pioreactor01,2026-04-14T08:48:49.832Z,0.528810781662,90,2,2026-04-14 14:33:49.832,4688.522222222222
Demo experiment,pioreactor01,2026-04-14T08:48:49.832Z,0.563462786493,135,3,2026-04-14 14:33:49.832,4688.522222222222
Demo experiment,pioreactor01,2026-04-14T08:48:49.832Z,0.268440383265,45,4,2026-04-14 14:33:49.832,4688.522222222222
Demo experiment,pioreactor01,2026-04-14T08:48:54.832Z,0.530543221102,90,2,2026-04-14 14:33:54.832,4688.523611111111
Demo experiment,pioreactor01,2026-04-14T08:48:54.832Z,0.561632070843,135,3,2026-04-14 14:33:54.832,4688.523611111111
Demo experiment,pioreactor01,2026-04-14T08:48:54.832Z,0.269347262281,45,4,2026-04-14 14:33:54.832,4688.523611111111
Demo experiment,pioreactor01,2026-04-14T08:48:59.833Z,0.534288924571,90,2,2026-04-14 14:33:59.833,4688.525
Demo experiment,pioreactor01,2026-04-14T08:48:59.833Z,0.560509307299,135,3,2026-04-14 14:33:59.833,4688.525
Demo experiment,pioreactor01,2026-04-14T08:48:59.833Z,0.270787681907,45,4,2026-04-14 14:33:59.833,4688.525
Demo experiment,pioreactor01,2026-04-14T08:49:04.831Z,0.53966899298,90,2,2026-04-14 14:34:04.831,4688.526388888889
Demo experiment,pioreactor01,2026-04-14T08:49:04.831Z,0.558977368567,135,3,2026-04-14 14:34:04.831,4688.526388888889
Demo experiment,pioreactor01,2026-04-14T08:49:04.831Z,0.273130640673,45,4,2026-04-14 14:34:04.831,4688.526388888889
Demo experiment,pioreactor01,2026-04-14T08:49:09.835Z,0.541702904025,90,2,2026-04-14 14:34:09.835,4688.527777777777
Demo experiment,pioreactor01,2026-04-14T08:49:09.835Z,0.55711867868,135,3,2026-04-14 14:34:09.835,4688.527777777777
Demo experiment,pioreactor01,2026-04-14T08:49:09.835Z,0.274773430059,45,4,2026-04-14 14:34:09.835,4688.527777777777
Demo experiment,pioreactor01,2026-04-14T08:49:14.834Z,0.544148435131,90,2,2026-04-14 14:34:14.834,4688.529166666666
Demo experiment,pioreactor01,2026-04-14T08:49:14.834Z,0.555141522518,135,3,2026-04-14 14:34:14.834,4688.529166666666
Demo experiment,pioreactor01,2026-04-14T08:49:14.834Z,0.276410662492,45,4,2026-04-14 14:34:14.834,4688.529166666666
Demo experiment,pioreactor01,2026-04-14T08:49:19.833Z,0.546620259161,90,2,2026-04-14 14:34:19.833,4688.530555555555
