experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Experiment 002,pioreactor01,2026-05-27T12:33:02.486Z,0.317292927891,90,2,2026-05-27 18:18:02.486,23.830555555556
Experiment 002,pioreactor01,2026-05-27T12:33:02.486Z,0.196047328451,135,3,2026-05-27 18:18:02.486,23.830555555556
Experiment 002,pioreactor01,2026-05-27T12:33:02.486Z,0.209925703403,45,4,2026-05-27 18:18:02.486,23.830555555556
Experiment 002,pioreactor01,2026-05-27T12:33:07.488Z,0.317675999559,90,2,2026-05-27 18:18:07.488,23.831944444444
Experiment 002,pioreactor01,2026-05-27T12:33:07.488Z,0.196019620197,135,3,2026-05-27 18:18:07.488,23.831944444444
Experiment 002,pioreactor01,2026-05-27T12:33:07.488Z,0.210480145093,45,4,2026-05-27 18:18:07.488,23.831944444444
Experiment 002,pioreactor01,2026-05-27T12:33:12.488Z,0.317715488086,90,2,2026-05-27 18:18:12.488,23.833333333333
Experiment 002,pioreactor01,2026-05-27T12:33:12.488Z,0.196239544263,135,3,2026-05-27 18:18:12.488,23.833333333333
Experiment 002,pioreactor01,2026-05-27T12:33:12.488Z,0.210660142241,45,4,2026-05-27 18:18:12.488,23.833333333333
Experiment 002,pioreactor01,2026-05-27T12:33:17.492Z,0.318112601181,90,2,2026-05-27 18:18:17.492,23.834722222222
Experiment 002,pioreactor01,2026-05-27T12:33:17.492Z,0.196115784984,135,3,2026-05-27 18:18:17.492,23.834722222222
Experiment 002,pioreactor01,2026-05-27T12:33:17.492Z,0.210483151334,45,4,2026-05-27 18:18:17.492,23.834722222222
Experiment 002,pioreactor01,2026-05-27T12:33:22.485Z,0.317692536011,90,2,2026-05-27 18:18:22.485,23.836111111111
Experiment 002,pioreactor01,2026-05-27T12:33:22.485Z,0.196354367114,135,3,2026-05-27 18:18:22.485,23.836111111111
Experiment 002,pioreactor01,2026-05-27T12:33:22.485Z,0.209724125991,45,4,2026-05-27 18:18:22.485,23.836111111111
Experiment 002,pioreactor01,2026-05-27T12:33:27.485Z,0.31830300751,90,2,2026-05-27 18:18:27.485,23.8375
Experiment 002,pioreactor01,2026-05-27T12:33:27.485Z,0.196295189364,135,3,2026-05-27 18:18:27.485,23.8375
Experiment 002,pioreactor01,2026-05-27T12:33:27.485Z,0.209559984734,45,4,2026-05-27 18:18:27.485,23.8375
Experiment 002,pioreactor01,2026-05-27T12:33:32.486Z,0.318072065109,90,2,2026-05-27 18:18:32.486,23.838888888889
Experiment 002,pioreactor01,2026-05-27T12:33:32.486Z,0.196359546373,135,3,2026-05-27 18:18:32.486,23.838888888889
Experiment 002,pioreactor01,2026-05-27T12:33:32.486Z,0.20970204184,45,4,2026-05-27 18:18:32.486,23.838888888889
Experiment 002,pioreactor01,2026-05-27T12:33:37.485Z,0.317464462947,90,2,2026-05-27 18:18:37.485,23.840277777778
Experiment 002,pioreactor01,2026-05-27T12:33:37.485Z,0.196357667802,135,3,2026-05-27 18:18:37.485,23.840277777778
Experiment 002,pioreactor01,2026-05-27T12:33:37.485Z,0.209797236804,45,4,2026-05-27 18:18:37.485,23.840277777778
Experiment 002,pioreactor01,2026-05-27T12:33:42.486Z,0.317660698322,90,2,2026-05-27 18:18:42.486,23.841666666667
Experiment 002,pioreactor01,2026-05-27T12:33:42.486Z,0.196321481381,135,3,2026-05-27 18:18:42.486,23.841666666667
