experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Experiment 002,pioreactor01,2026-05-27T17:39:48.263Z,33.0,2026-05-27 23:24:48.263,28.943333333333
Experiment 002,pioreactor01,2026-05-27T17:43:14.456Z,33.64,2026-05-27 23:28:14.456,29.000555555556
Experiment 002,pioreactor01,2026-05-27T17:46:34.457Z,32.16,2026-05-27 23:31:34.457,29.056111111111
Experiment 002,pioreactor01,2026-05-27T17:49:54.480Z,33.36,2026-05-27 23:34:54.480,29.111666666667
Experiment 002,pioreactor01,2026-05-27T17:53:14.470Z,34.09,2026-05-27 23:38:14.470,29.167222222222
Experiment 002,pioreactor01,2026-05-27T17:56:34.458Z,34.69,2026-05-27 23:41:34.458,29.222777777778
Experiment 002,pioreactor01,2026-05-27T17:59:54.466Z,35.03,2026-05-27 23:44:54.466,29.278333333333
Experiment 002,pioreactor01,2026-05-27T18:03:14.471Z,35.48,2026-05-27 23:48:14.471,29.333888888889
Experiment 002,pioreactor01,2026-05-27T18:06:34.459Z,35.85,2026-05-27 23:51:34.459,29.389444444444
Experiment 002,pioreactor01,2026-05-27T18:09:54.453Z,36.43,2026-05-27 23:54:54.453,29.445
Experiment 002,pioreactor01,2026-05-27T18:13:14.456Z,36.34,2026-05-27 23:58:14.456,29.500555555556
Experiment 002,pioreactor01,2026-05-27T18:16:34.459Z,36.5,2026-05-28 00:01:34.459,29.556111111111
Experiment 002,pioreactor01,2026-05-27T18:19:54.455Z,36.33,2026-05-28 00:04:54.455,29.611666666667
Experiment 002,pioreactor01,2026-05-27T18:23:14.452Z,36.44,2026-05-28 00:08:14.452,29.667222222222
Experiment 002,pioreactor01,2026-05-27T18:26:34.457Z,36.41,2026-05-28 00:11:34.457,29.722777777778
Experiment 002,pioreactor01,2026-05-27T18:29:54.467Z,36.41,2026-05-28 00:14:54.467,29.778333333333
Experiment 002,pioreactor01,2026-05-27T18:33:14.456Z,36.3,2026-05-28 00:18:14.456,29.833888888889
Experiment 002,pioreactor01,2026-05-27T18:36:34.459Z,36.17,2026-05-28 00:21:34.459,29.889444444444
Experiment 002,pioreactor01,2026-05-27T18:39:54.455Z,35.85,2026-05-28 00:24:54.455,29.945
Experiment 002,pioreactor01,2026-05-27T18:43:14.461Z,35.75,2026-05-28 00:28:14.461,30.000555555556
Experiment 002,pioreactor01,2026-05-27T18:46:34.455Z,36.07,2026-05-28 00:31:34.455,30.056111111111
Experiment 002,pioreactor01,2026-05-27T18:49:54.457Z,35.72,2026-05-28 00:34:54.457,30.111666666667
Experiment 002,pioreactor01,2026-05-27T18:53:14.453Z,35.92,2026-05-28 00:38:14.453,30.167222222222
Experiment 002,pioreactor01,2026-05-27T18:56:34.467Z,36.07,2026-05-28 00:41:34.467,30.222777777778
Experiment 002,pioreactor01,2026-05-27T18:59:54.462Z,35.88,2026-05-28 00:44:54.462,30.278333333333
Experiment 002,pioreactor01,2026-05-27T19:03:14.455Z,35.87,2026-05-28 00:48:14.455,30.333888888889
Experiment 002,pioreactor01,2026-05-27T19:06:34.450Z,36.06,2026-05-28 00:51:34.450,30.389444444444
Experiment 002,pioreactor01,2026-05-27T19:09:54.450Z,35.97,2026-05-28 00:54:54.450,30.445
Experiment 002,pioreactor01,2026-05-27T19:13:14.455Z,36.05,2026-05-28 00:58:14.455,30.500555555556
Experiment 002,pioreactor01,2026-05-27T19:16:34.458Z,36.1,2026-05-28 01:01:34.458,30.556111111111
Experiment 002,pioreactor01,2026-05-27T19:19:54.463Z,35.9,2026-05-28 01:04:54.463,30.611666666667
Experiment 002,pioreactor01,2026-05-27T19:23:14.451Z,35.8,2026-05-28 01:08:14.451,30.667222222222
Experiment 002,pioreactor01,2026-05-27T19:26:34.448Z,36.15,2026-05-28 01:11:34.448,30.722777777778
Experiment 002,pioreactor01,2026-05-27T19:29:54.457Z,35.97,2026-05-28 01:14:54.457,30.778333333333
Experiment 002,pioreactor01,2026-05-27T19:33:14.451Z,35.77,2026-05-28 01:18:14.451,30.833888888889
Experiment 002,pioreactor01,2026-05-27T19:36:34.447Z,35.83,2026-05-28 01:21:34.447,30.889444444444
Experiment 002,pioreactor01,2026-05-27T19:39:54.460Z,35.82,2026-05-28 01:24:54.460,30.945
Experiment 002,pioreactor01,2026-05-27T19:43:14.451Z,35.94,2026-05-28 01:28:14.451,31.000555555556
Experiment 002,pioreactor01,2026-05-27T19:46:34.460Z,35.92,2026-05-28 01:31:34.460,31.056111111111
Experiment 002,pioreactor01,2026-05-27T19:49:54.455Z,36.03,2026-05-28 01:34:54.455,31.111666666667
Experiment 002,pioreactor01,2026-05-27T19:53:14.448Z,35.96,2026-05-28 01:38:14.448,31.167222222222
Experiment 002,pioreactor01,2026-05-27T19:56:34.455Z,36.08,2026-05-28 01:41:34.455,31.222777777778
Experiment 002,pioreactor01,2026-05-27T19:59:54.456Z,36.07,2026-05-28 01:44:54.456,31.278333333333
Experiment 002,pioreactor01,2026-05-27T20:03:14.460Z,36.03,2026-05-28 01:48:14.460,31.333888888889
Experiment 002,pioreactor01,2026-05-27T20:06:34.451Z,35.77,2026-05-28 01:51:34.451,31.389444444444
Experiment 002,pioreactor01,2026-05-27T20:09:54.456Z,35.86,2026-05-28 01:54:54.456,31.445
Experiment 002,pioreactor01,2026-05-27T20:13:14.462Z,36.0,2026-05-28 01:58:14.462,31.500555555556
Experiment 002,pioreactor01,2026-05-27T20:16:34.462Z,35.84,2026-05-28 02:01:34.462,31.556111111111
Experiment 002,pioreactor01,2026-05-27T20:19:54.453Z,35.84,2026-05-28 02:04:54.453,31.611666666667
Experiment 002,pioreactor01,2026-05-27T20:23:14.451Z,35.58,2026-05-28 02:08:14.451,31.667222222222
Experiment 002,pioreactor01,2026-05-27T20:26:34.454Z,35.63,2026-05-28 02:11:34.454,31.722777777778
Experiment 002,pioreactor01,2026-05-27T20:29:54.457Z,35.84,2026-05-28 02:14:54.457,31.778333333333
Experiment 002,pioreactor01,2026-05-27T20:33:14.450Z,35.88,2026-05-28 02:18:14.450,31.833888888889
Experiment 002,pioreactor01,2026-05-27T20:36:34.467Z,36.23,2026-05-28 02:21:34.467,31.889444444444
Experiment 002,pioreactor01,2026-05-27T20:39:54.455Z,35.98,2026-05-28 02:24:54.455,31.945
Experiment 002,pioreactor01,2026-05-27T20:43:14.459Z,35.92,2026-05-28 02:28:14.459,32.000555555556
Experiment 002,pioreactor01,2026-05-27T20:46:34.452Z,35.89,2026-05-28 02:31:34.452,32.056111111111
Experiment 002,pioreactor01,2026-05-27T20:49:54.453Z,36.08,2026-05-28 02:34:54.453,32.111666666667
Experiment 002,pioreactor01,2026-05-27T20:53:14.453Z,35.87,2026-05-28 02:38:14.453,32.167222222222
Experiment 002,pioreactor01,2026-05-27T20:56:34.453Z,36.09,2026-05-28 02:41:34.453,32.222777777778
Experiment 002,pioreactor01,2026-05-27T20:59:54.454Z,36.03,2026-05-28 02:44:54.454,32.278333333333
Experiment 002,pioreactor01,2026-05-27T21:03:14.462Z,36.05,2026-05-28 02:48:14.462,32.333888888889
Experiment 002,pioreactor01,2026-05-27T21:06:34.456Z,36.1,2026-05-28 02:51:34.456,32.389444444444
Experiment 002,pioreactor01,2026-05-27T21:09:54.457Z,35.94,2026-05-28 02:54:54.457,32.445
Experiment 002,pioreactor01,2026-05-27T21:13:14.459Z,35.89,2026-05-28 02:58:14.459,32.500555555556
Experiment 002,pioreactor01,2026-05-27T21:16:34.459Z,35.95,2026-05-28 03:01:34.459,32.556111111111
Experiment 002,pioreactor01,2026-05-27T21:19:54.454Z,35.91,2026-05-28 03:04:54.454,32.611666666667
Experiment 002,pioreactor01,2026-05-27T21:23:14.459Z,35.86,2026-05-28 03:08:14.459,32.667222222222
Experiment 002,pioreactor01,2026-05-27T21:26:34.457Z,35.93,2026-05-28 03:11:34.457,32.722777777778
Experiment 002,pioreactor01,2026-05-27T21:29:54.446Z,35.95,2026-05-28 03:14:54.446,32.778333333333
Experiment 002,pioreactor01,2026-05-27T21:33:14.456Z,36.02,2026-05-28 03:18:14.456,32.833888888889
Experiment 002,pioreactor01,2026-05-27T21:36:34.451Z,36.01,2026-05-28 03:21:34.451,32.889444444444
Experiment 002,pioreactor01,2026-05-27T21:39:54.452Z,36.09,2026-05-28 03:24:54.452,32.945
Experiment 002,pioreactor01,2026-05-27T21:43:14.452Z,35.98,2026-05-28 03:28:14.452,33.000555555556
Experiment 002,pioreactor01,2026-05-27T21:46:34.452Z,35.76,2026-05-28 03:31:34.452,33.056111111111
Experiment 002,pioreactor01,2026-05-27T21:49:54.461Z,35.92,2026-05-28 03:34:54.461,33.111666666667
Experiment 002,pioreactor01,2026-05-27T21:53:14.458Z,35.96,2026-05-28 03:38:14.458,33.167222222222
Experiment 002,pioreactor01,2026-05-27T21:56:34.463Z,35.9,2026-05-28 03:41:34.463,33.222777777778
Experiment 002,pioreactor01,2026-05-27T21:59:54.463Z,35.78,2026-05-28 03:44:54.463,33.278333333333
Experiment 002,pioreactor01,2026-05-27T22:03:14.459Z,35.98,2026-05-28 03:48:14.459,33.333888888889
Experiment 002,pioreactor01,2026-05-27T22:06:34.466Z,35.67,2026-05-28 03:51:34.466,33.389444444444
Experiment 002,pioreactor01,2026-05-27T22:09:54.447Z,35.92,2026-05-28 03:54:54.447,33.445
Experiment 002,pioreactor01,2026-05-27T22:13:14.451Z,35.92,2026-05-28 03:58:14.451,33.500555555556
Experiment 002,pioreactor01,2026-05-27T22:16:34.454Z,35.65,2026-05-28 04:01:34.454,33.556111111111
Experiment 002,pioreactor01,2026-05-27T22:19:54.453Z,36.03,2026-05-28 04:04:54.453,33.611666666667
Experiment 002,pioreactor01,2026-05-27T22:23:14.458Z,36.24,2026-05-28 04:08:14.458,33.667222222222
Experiment 002,pioreactor01,2026-05-27T22:26:34.453Z,35.83,2026-05-28 04:11:34.453,33.722777777778
Experiment 002,pioreactor01,2026-05-27T22:29:54.462Z,36.2,2026-05-28 04:14:54.462,33.778333333333
Experiment 002,pioreactor01,2026-05-27T22:33:14.454Z,36.05,2026-05-28 04:18:14.454,33.833888888889
Experiment 002,pioreactor01,2026-05-27T22:36:34.453Z,35.95,2026-05-28 04:21:34.453,33.889444444444
Experiment 002,pioreactor01,2026-05-27T22:39:54.455Z,35.82,2026-05-28 04:24:54.455,33.945
Experiment 002,pioreactor01,2026-05-27T22:43:14.452Z,35.99,2026-05-28 04:28:14.452,34.000555555556
Experiment 002,pioreactor01,2026-05-27T22:46:34.454Z,36.01,2026-05-28 04:31:34.454,34.056111111111
Experiment 002,pioreactor01,2026-05-27T22:49:54.455Z,36.02,2026-05-28 04:34:54.455,34.111666666667
Experiment 002,pioreactor01,2026-05-27T22:53:14.450Z,35.93,2026-05-28 04:38:14.450,34.167222222222
Experiment 002,pioreactor01,2026-05-27T22:56:34.460Z,35.9,2026-05-28 04:41:34.460,34.222777777778
Experiment 002,pioreactor01,2026-05-27T22:59:54.458Z,35.75,2026-05-28 04:44:54.458,34.278333333333
Experiment 002,pioreactor01,2026-05-27T23:03:14.452Z,35.72,2026-05-28 04:48:14.452,34.333888888889
Experiment 002,pioreactor01,2026-05-27T23:06:34.459Z,36.14,2026-05-28 04:51:34.459,34.389444444444
Experiment 002,pioreactor01,2026-05-27T23:09:54.523Z,35.67,2026-05-28 04:54:54.523,34.445
Experiment 002,pioreactor01,2026-05-27T23:13:14.459Z,35.79,2026-05-28 04:58:14.459,34.500555555556
Experiment 002,pioreactor01,2026-05-27T23:16:34.458Z,35.8,2026-05-28 05:01:34.458,34.556111111111
Experiment 002,pioreactor01,2026-05-27T23:19:54.457Z,35.92,2026-05-28 05:04:54.457,34.611666666667
Experiment 002,pioreactor01,2026-05-27T23:23:14.466Z,35.68,2026-05-28 05:08:14.466,34.667222222222
Experiment 002,pioreactor01,2026-05-27T23:26:34.457Z,35.81,2026-05-28 05:11:34.457,34.722777777778
Experiment 002,pioreactor01,2026-05-27T23:29:54.459Z,35.78,2026-05-28 05:14:54.459,34.778333333333
Experiment 002,pioreactor01,2026-05-27T23:33:14.455Z,36.33,2026-05-28 05:18:14.455,34.833888888889
Experiment 002,pioreactor01,2026-05-27T23:36:34.454Z,35.94,2026-05-28 05:21:34.454,34.889444444444
Experiment 002,pioreactor01,2026-05-27T23:39:54.451Z,36.09,2026-05-28 05:24:54.451,34.945
Experiment 002,pioreactor01,2026-05-27T23:43:14.446Z,35.92,2026-05-28 05:28:14.446,35.000555555556
Experiment 002,pioreactor01,2026-05-27T23:46:34.448Z,36.32,2026-05-28 05:31:34.448,35.056111111111
Experiment 002,pioreactor01,2026-05-27T23:49:54.451Z,36.17,2026-05-28 05:34:54.451,35.111666666667
Experiment 002,pioreactor01,2026-05-27T23:53:14.458Z,36.17,2026-05-28 05:38:14.458,35.167222222222
Experiment 002,pioreactor01,2026-05-27T23:56:34.459Z,35.78,2026-05-28 05:41:34.459,35.222777777778
Experiment 002,pioreactor01,2026-05-27T23:59:54.462Z,35.99,2026-05-28 05:44:54.462,35.278333333333
Experiment 002,pioreactor01,2026-05-28T00:03:14.450Z,35.8,2026-05-28 05:48:14.450,35.333888888889
Experiment 002,pioreactor01,2026-05-28T00:06:34.459Z,35.81,2026-05-28 05:51:34.459,35.389444444444
Experiment 002,pioreactor01,2026-05-28T00:09:54.512Z,35.92,2026-05-28 05:54:54.512,35.445
Experiment 002,pioreactor01,2026-05-28T00:13:14.449Z,35.9,2026-05-28 05:58:14.449,35.500555555556
Experiment 002,pioreactor01,2026-05-28T00:16:34.452Z,35.95,2026-05-28 06:01:34.452,35.556111111111
Experiment 002,pioreactor01,2026-05-28T00:19:54.450Z,35.93,2026-05-28 06:04:54.450,35.611666666667
Experiment 002,pioreactor01,2026-05-28T00:23:14.454Z,36.05,2026-05-28 06:08:14.454,35.667222222222
Experiment 002,pioreactor01,2026-05-28T00:26:34.453Z,36.25,2026-05-28 06:11:34.453,35.722777777778
Experiment 002,pioreactor01,2026-05-28T00:29:54.455Z,35.96,2026-05-28 06:14:54.455,35.778333333333
Experiment 002,pioreactor01,2026-05-28T00:33:14.453Z,36.2,2026-05-28 06:18:14.453,35.833888888889
Experiment 002,pioreactor01,2026-05-28T00:36:34.460Z,36.3,2026-05-28 06:21:34.460,35.889444444444
Experiment 002,pioreactor01,2026-05-28T00:39:54.452Z,36.09,2026-05-28 06:24:54.452,35.945
Experiment 002,pioreactor01,2026-05-28T00:43:14.456Z,36.13,2026-05-28 06:28:14.456,36.000555555556
Experiment 002,pioreactor01,2026-05-28T00:46:34.461Z,35.84,2026-05-28 06:31:34.461,36.056111111111
Experiment 002,pioreactor01,2026-05-28T00:49:54.459Z,35.83,2026-05-28 06:34:54.459,36.111666666667
Experiment 002,pioreactor01,2026-05-28T00:53:14.459Z,35.97,2026-05-28 06:38:14.459,36.167222222222
Experiment 002,pioreactor01,2026-05-28T00:56:34.477Z,36.09,2026-05-28 06:41:34.477,36.222777777778
Experiment 002,pioreactor01,2026-05-28T00:59:54.469Z,36.11,2026-05-28 06:44:54.469,36.278333333333
Experiment 002,pioreactor01,2026-05-28T01:03:14.451Z,35.61,2026-05-28 06:48:14.451,36.333888888889
Experiment 002,pioreactor01,2026-05-28T01:06:34.459Z,35.99,2026-05-28 06:51:34.459,36.389444444444
Experiment 002,pioreactor01,2026-05-28T01:09:54.485Z,35.93,2026-05-28 06:54:54.485,36.445
Experiment 002,pioreactor01,2026-05-28T01:13:14.452Z,35.76,2026-05-28 06:58:14.452,36.500555555556
Experiment 002,pioreactor01,2026-05-28T01:16:34.459Z,36.0,2026-05-28 07:01:34.459,36.556111111111
Experiment 002,pioreactor01,2026-05-28T01:19:54.458Z,35.66,2026-05-28 07:04:54.458,36.611666666667
Experiment 002,pioreactor01,2026-05-28T01:23:14.452Z,35.69,2026-05-28 07:08:14.452,36.667222222222
Experiment 002,pioreactor01,2026-05-28T01:26:34.454Z,35.65,2026-05-28 07:11:34.454,36.722777777778
Experiment 002,pioreactor01,2026-05-28T01:29:54.522Z,35.75,2026-05-28 07:14:54.522,36.778333333333
Experiment 002,pioreactor01,2026-05-28T01:33:14.456Z,35.61,2026-05-28 07:18:14.456,36.833888888889
Experiment 002,pioreactor01,2026-05-28T01:36:34.453Z,35.82,2026-05-28 07:21:34.453,36.889444444444
Experiment 002,pioreactor01,2026-05-28T01:39:54.456Z,35.86,2026-05-28 07:24:54.456,36.945
Experiment 002,pioreactor01,2026-05-28T01:43:14.455Z,35.79,2026-05-28 07:28:14.455,37.000555555556
Experiment 002,pioreactor01,2026-05-28T01:46:34.452Z,35.97,2026-05-28 07:31:34.452,37.056111111111
Experiment 002,pioreactor01,2026-05-28T01:49:54.462Z,35.91,2026-05-28 07:34:54.462,37.111666666667
Experiment 002,pioreactor01,2026-05-28T01:53:14.452Z,35.89,2026-05-28 07:38:14.452,37.167222222222
Experiment 002,pioreactor01,2026-05-28T01:56:34.458Z,35.89,2026-05-28 07:41:34.458,37.222777777778
Experiment 002,pioreactor01,2026-05-28T01:59:54.459Z,35.82,2026-05-28 07:44:54.459,37.278333333333
Experiment 002,pioreactor01,2026-05-28T02:03:14.465Z,35.96,2026-05-28 07:48:14.465,37.333888888889
Experiment 002,pioreactor01,2026-05-28T02:06:34.460Z,36.19,2026-05-28 07:51:34.460,37.389444444444
Experiment 002,pioreactor01,2026-05-28T02:09:54.550Z,36.27,2026-05-28 07:54:54.550,37.445
Experiment 002,pioreactor01,2026-05-28T02:13:14.457Z,36.16,2026-05-28 07:58:14.457,37.500555555556
Experiment 002,pioreactor01,2026-05-28T02:16:34.461Z,36.23,2026-05-28 08:01:34.461,37.556111111111
Experiment 002,pioreactor01,2026-05-28T02:19:54.460Z,36.16,2026-05-28 08:04:54.460,37.611666666667
Experiment 002,pioreactor01,2026-05-28T02:23:14.458Z,36.26,2026-05-28 08:08:14.458,37.667222222222
Experiment 002,pioreactor01,2026-05-28T02:26:34.450Z,36.08,2026-05-28 08:11:34.450,37.722777777778
Experiment 002,pioreactor01,2026-05-28T02:29:54.455Z,36.36,2026-05-28 08:14:54.455,37.778333333333
Experiment 002,pioreactor01,2026-05-28T02:33:14.462Z,36.34,2026-05-28 08:18:14.462,37.833888888889
Experiment 002,pioreactor01,2026-05-28T02:36:34.457Z,36.16,2026-05-28 08:21:34.457,37.889444444444
Experiment 002,pioreactor01,2026-05-28T02:39:54.454Z,35.78,2026-05-28 08:24:54.454,37.945
Experiment 002,pioreactor01,2026-05-28T02:43:14.457Z,35.86,2026-05-28 08:28:14.457,38.000555555556
Experiment 002,pioreactor01,2026-05-28T02:46:34.467Z,35.97,2026-05-28 08:31:34.467,38.056111111111
Experiment 002,pioreactor01,2026-05-28T02:49:54.450Z,35.86,2026-05-28 08:34:54.450,38.111666666667
Experiment 002,pioreactor01,2026-05-28T02:53:14.462Z,35.96,2026-05-28 08:38:14.462,38.167222222222
Experiment 002,pioreactor01,2026-05-28T02:56:34.465Z,36.0,2026-05-28 08:41:34.465,38.222777777778
Experiment 002,pioreactor01,2026-05-28T02:59:54.452Z,36.26,2026-05-28 08:44:54.452,38.278333333333
Experiment 002,pioreactor01,2026-05-28T03:03:14.467Z,36.08,2026-05-28 08:48:14.467,38.333888888889
Experiment 002,pioreactor01,2026-05-28T03:06:34.453Z,36.06,2026-05-28 08:51:34.453,38.389444444444
Experiment 002,pioreactor01,2026-05-28T03:09:54.462Z,35.84,2026-05-28 08:54:54.462,38.445
Experiment 002,pioreactor01,2026-05-28T03:13:14.456Z,36.39,2026-05-28 08:58:14.456,38.500555555556
Experiment 002,pioreactor01,2026-05-28T03:16:34.455Z,36.57,2026-05-28 09:01:34.455,38.556111111111
Experiment 002,pioreactor01,2026-05-28T03:19:54.455Z,37.03,2026-05-28 09:04:54.455,38.611666666667
Experiment 002,pioreactor01,2026-05-28T03:23:14.451Z,37.0,2026-05-28 09:08:14.451,38.667222222222
Experiment 002,pioreactor01,2026-05-28T03:26:34.454Z,36.98,2026-05-28 09:11:34.454,38.722777777778
Experiment 002,pioreactor01,2026-05-28T03:29:54.450Z,36.99,2026-05-28 09:14:54.450,38.778333333333
Experiment 002,pioreactor01,2026-05-28T03:33:14.457Z,36.81,2026-05-28 09:18:14.457,38.833888888889
Experiment 002,pioreactor01,2026-05-28T03:36:34.461Z,36.44,2026-05-28 09:21:34.461,38.889444444444
Experiment 002,pioreactor01,2026-05-28T03:39:54.463Z,36.43,2026-05-28 09:24:54.463,38.945
Experiment 002,pioreactor01,2026-05-28T03:43:14.450Z,36.5,2026-05-28 09:28:14.450,39.000555555556
Experiment 002,pioreactor01,2026-05-28T03:46:34.460Z,36.28,2026-05-28 09:31:34.460,39.056111111111
Experiment 002,pioreactor01,2026-05-28T03:49:54.451Z,36.03,2026-05-28 09:34:54.451,39.111666666667
Experiment 002,pioreactor01,2026-05-28T03:53:14.453Z,35.95,2026-05-28 09:38:14.453,39.167222222222
Experiment 002,pioreactor01,2026-05-28T03:56:34.460Z,36.18,2026-05-28 09:41:34.460,39.222777777778
Experiment 002,pioreactor01,2026-05-28T03:59:54.456Z,36.04,2026-05-28 09:44:54.456,39.278333333333
Experiment 002,pioreactor01,2026-05-28T04:03:14.455Z,35.73,2026-05-28 09:48:14.455,39.333888888889
Experiment 002,pioreactor01,2026-05-28T04:06:34.459Z,35.41,2026-05-28 09:51:34.459,39.389444444444
Experiment 002,pioreactor01,2026-05-28T04:09:54.462Z,35.33,2026-05-28 09:54:54.462,39.445
Experiment 002,pioreactor01,2026-05-28T04:13:14.454Z,35.44,2026-05-28 09:58:14.454,39.500555555556
Experiment 002,pioreactor01,2026-05-28T04:16:34.459Z,35.61,2026-05-28 10:01:34.459,39.556111111111
Experiment 002,pioreactor01,2026-05-28T04:19:54.450Z,35.58,2026-05-28 10:04:54.450,39.611666666667
