experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-06-29T12:30:17.840Z,466.0,32.65,56.42,2026-06-29 18:15:17.840,2.143888888889
Pulse experiments,pioreactor01,2026-06-29T12:30:47.838Z,464.0,32.68,56.43,2026-06-29 18:15:47.838,2.152222222222
Pulse experiments,pioreactor01,2026-06-29T12:31:17.830Z,467.0,32.66,56.41,2026-06-29 18:16:17.830,2.160555555556
Pulse experiments,pioreactor01,2026-06-29T12:31:47.834Z,464.0,32.65,56.54,2026-06-29 18:16:47.834,2.168888888889
Pulse experiments,pioreactor01,2026-06-29T12:32:55.086Z,418.0,32.67,56.6,2026-06-29 18:17:55.086,2.187777777778
Pulse experiments,pioreactor01,2026-06-29T12:35:19.277Z,387.0,32.52,56.71,2026-06-29 18:20:19.277,2.227777777778
Pulse experiments,pioreactor01,2026-06-29T12:35:49.329Z,399.0,32.5,56.81,2026-06-29 18:20:49.329,2.236111111111
Pulse experiments,pioreactor01,2026-06-29T12:36:19.301Z,410.0,32.54,56.69,2026-06-29 18:21:19.301,2.244444444444
Pulse experiments,pioreactor01,2026-06-29T12:40:49.292Z,460.0,,,2026-06-29 18:25:49.292,2.319444444444
Pulse experiments,pioreactor01,2026-06-29T12:41:19.294Z,463.0,31.95,56.4,2026-06-29 18:26:19.294,2.327777777778
Pulse experiments,pioreactor01,2026-06-29T12:41:49.293Z,468.0,31.79,56.74,2026-06-29 18:26:49.293,2.336111111111
Pulse experiments,pioreactor01,2026-06-29T12:42:19.297Z,468.0,31.62,57.04,2026-06-29 18:27:19.297,2.344444444444
Pulse experiments,pioreactor01,2026-06-29T12:42:49.294Z,470.0,31.5,57.37,2026-06-29 18:27:49.294,2.352777777778
Pulse experiments,pioreactor01,2026-06-29T12:43:19.293Z,470.0,31.37,57.65,2026-06-29 18:28:19.293,2.361111111111
Pulse experiments,pioreactor01,2026-06-29T12:43:49.287Z,473.0,31.24,58.12,2026-06-29 18:28:49.287,2.369444444444
Pulse experiments,pioreactor01,2026-06-29T12:44:19.297Z,468.0,31.16,58.43,2026-06-29 18:29:19.297,2.377777777778
Pulse experiments,pioreactor01,2026-06-29T12:44:49.294Z,464.0,31.08,58.76,2026-06-29 18:29:49.294,2.386111111111
Pulse experiments,pioreactor01,2026-06-29T12:45:19.299Z,462.0,31.09,58.96,2026-06-29 18:30:19.299,2.394444444444
Pulse experiments,pioreactor01,2026-06-29T12:45:49.290Z,465.0,31.03,59.23,2026-06-29 18:30:49.290,2.402777777778
Pulse experiments,pioreactor01,2026-06-29T12:46:19.338Z,465.0,31.05,59.34,2026-06-29 18:31:19.338,2.411111111111
Pulse experiments,pioreactor01,2026-06-29T12:46:49.308Z,461.0,31.04,59.44,2026-06-29 18:31:49.308,2.419444444444
Pulse experiments,pioreactor01,2026-06-29T12:47:19.315Z,461.0,31.04,59.53,2026-06-29 18:32:19.315,2.427777777778
Pulse experiments,pioreactor01,2026-06-29T12:47:49.332Z,458.0,31.03,59.75,2026-06-29 18:32:49.332,2.436111111111
