experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-06-29T12:30:16.707Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:16.707,2.143611111111
Pulse experiments,pioreactor01,2026-06-29T12:30:17.211Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:17.211,2.143888888889
Pulse experiments,pioreactor01,2026-06-29T12:30:17.711Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:17.711,2.143888888889
Pulse experiments,pioreactor01,2026-06-29T12:30:18.215Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:18.215,2.144166666667
Pulse experiments,pioreactor01,2026-06-29T12:30:18.716Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:18.716,2.144166666667
Pulse experiments,pioreactor01,2026-06-29T12:30:19.217Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:19.217,2.144444444444
Pulse experiments,pioreactor01,2026-06-29T12:30:19.718Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:19.718,2.144444444444
Pulse experiments,pioreactor01,2026-06-29T12:30:20.219Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:20.219,2.144722222222
Pulse experiments,pioreactor01,2026-06-29T12:30:20.720Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:20.720,2.144722222222
Pulse experiments,pioreactor01,2026-06-29T12:30:21.221Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:21.221,2.145
Pulse experiments,pioreactor01,2026-06-29T12:30:21.722Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:21.722,2.145
Pulse experiments,pioreactor01,2026-06-29T12:30:22.223Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:22.223,2.145277777778
Pulse experiments,pioreactor01,2026-06-29T12:30:22.731Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:22.731,2.145277777778
Pulse experiments,pioreactor01,2026-06-29T12:30:23.231Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:23.231,2.145555555556
Pulse experiments,pioreactor01,2026-06-29T12:30:23.732Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:23.732,2.145555555556
Pulse experiments,pioreactor01,2026-06-29T12:30:24.240Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:24.240,2.145833333333
Pulse experiments,pioreactor01,2026-06-29T12:30:24.740Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:24.740,2.145833333333
Pulse experiments,pioreactor01,2026-06-29T12:30:25.241Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:25.241,2.146111111111
Pulse experiments,pioreactor01,2026-06-29T12:30:25.742Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:25.742,2.146111111111
Pulse experiments,pioreactor01,2026-06-29T12:30:26.243Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:26.243,2.146388888889
Pulse experiments,pioreactor01,2026-06-29T12:30:26.744Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:26.744,2.146388888889
Pulse experiments,pioreactor01,2026-06-29T12:30:27.245Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:27.245,2.146666666667
Pulse experiments,pioreactor01,2026-06-29T12:30:27.746Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:27.746,2.146666666667
Pulse experiments,pioreactor01,2026-06-29T12:30:28.246Z,remove_waste,0.0806626833,UI,2026-06-29 18:15:28.246,2.146944444444
Pulse experiments,pioreactor01,2026-06-29T12:30:28.747Z,remove_waste,0.0640956008,UI,2026-06-29 18:15:28.747,2.146944444444
Pulse experiments,pioreactor01,2026-06-29T12:31:25.812Z,add_alt_media,0.2016567083,UI,2026-06-29 18:16:25.812,2.162777777778
Pulse experiments,pioreactor01,2026-06-29T12:31:26.314Z,add_alt_media,0.2016567083,UI,2026-06-29 18:16:26.314,2.163055555556
Pulse experiments,pioreactor01,2026-06-29T12:31:26.815Z,add_alt_media,0.2016567083,UI,2026-06-29 18:16:26.815,2.163055555556
Pulse experiments,pioreactor01,2026-06-29T12:31:27.316Z,add_alt_media,0.2016567083,UI,2026-06-29 18:16:27.316,2.163333333333
Pulse experiments,pioreactor01,2026-06-29T12:31:27.819Z,add_alt_media,0.1933731668,UI,2026-06-29 18:16:27.819,2.163333333333
Pulse experiments,pioreactor01,2026-06-29T13:31:31.285Z,add_media,0.0776751765,UI,2026-06-29 19:16:31.285,3.164444444444
Pulse experiments,pioreactor01,2026-06-29T13:31:31.787Z,add_media,0.0776751765,UI,2026-06-29 19:16:31.787,3.164444444444
Pulse experiments,pioreactor01,2026-06-29T13:31:32.287Z,add_media,0.0776751765,UI,2026-06-29 19:16:32.287,3.164722222222
Pulse experiments,pioreactor01,2026-06-29T13:31:32.788Z,add_media,0.0776751765,UI,2026-06-29 19:16:32.788,3.164722222222
Pulse experiments,pioreactor01,2026-06-29T13:31:33.289Z,add_media,0.0776751765,UI,2026-06-29 19:16:33.289,3.165
Pulse experiments,pioreactor01,2026-06-29T13:31:33.790Z,add_media,0.0776751765,UI,2026-06-29 19:16:33.790,3.165
Pulse experiments,pioreactor01,2026-06-29T13:31:34.291Z,add_media,0.0776751765,UI,2026-06-29 19:16:34.291,3.165277777778
Pulse experiments,pioreactor01,2026-06-29T13:31:34.791Z,add_media,0.0776751765,UI,2026-06-29 19:16:34.791,3.165277777778
Pulse experiments,pioreactor01,2026-06-29T13:31:35.292Z,add_media,0.0776751765,UI,2026-06-29 19:16:35.292,3.165555555556
Pulse experiments,pioreactor01,2026-06-29T13:31:35.793Z,add_media,0.0776751765,UI,2026-06-29 19:16:35.793,3.165555555556
Pulse experiments,pioreactor01,2026-06-29T13:31:36.294Z,add_media,0.0776751765,UI,2026-06-29 19:16:36.294,3.165833333333
Pulse experiments,pioreactor01,2026-06-29T13:31:36.795Z,add_media,0.0776751765,UI,2026-06-29 19:16:36.795,3.165833333333
Pulse experiments,pioreactor01,2026-06-29T13:31:37.295Z,add_media,0.067897882,UI,2026-06-29 19:16:37.295,3.166111111111
Pulse experiments,pioreactor01,2026-06-29T14:39:00.378Z,add_alt_media,0.2016567083,UI,2026-06-29 20:24:00.378,4.289166666667
Pulse experiments,pioreactor01,2026-06-29T14:39:00.880Z,add_alt_media,0.2016567083,UI,2026-06-29 20:24:00.880,4.289166666667
Pulse experiments,pioreactor01,2026-06-29T14:39:01.381Z,add_alt_media,0.2016567083,UI,2026-06-29 20:24:01.381,4.289444444444
Pulse experiments,pioreactor01,2026-06-29T14:39:01.881Z,add_alt_media,0.2016567083,UI,2026-06-29 20:24:01.881,4.289444444444
Pulse experiments,pioreactor01,2026-06-29T14:39:02.382Z,add_alt_media,0.1933731668,UI,2026-06-29 20:24:02.382,4.289722222222
Pulse experiments,pioreactor01,2026-06-29T14:39:16.494Z,add_alt_media,0.2016567083,UI,2026-06-29 20:24:16.494,4.293611111111
Pulse experiments,pioreactor01,2026-06-29T14:39:16.996Z,add_alt_media,0.0983432917,UI,2026-06-29 20:24:16.996,4.293611111111
Pulse experiments,pioreactor01,2026-06-29T15:08:02.407Z,add_alt_media,0.2016567083,UI,2026-06-29 20:53:02.407,4.773055555556
Pulse experiments,pioreactor01,2026-06-29T15:08:02.909Z,add_alt_media,0.2016567083,UI,2026-06-29 20:53:02.909,4.773055555556
Pulse experiments,pioreactor01,2026-06-29T15:08:03.410Z,add_alt_media,0.2016567083,UI,2026-06-29 20:53:03.410,4.773333333333
Pulse experiments,pioreactor01,2026-06-29T15:08:03.910Z,add_alt_media,0.0950298751,UI,2026-06-29 20:53:03.910,4.773333333333
Pulse experiments,pioreactor01,2026-06-29T15:08:32.294Z,add_alt_media,0.2016567083,UI,2026-06-29 20:53:32.294,4.781388888889
Pulse experiments,pioreactor01,2026-06-29T15:08:32.795Z,add_alt_media,0.2016567083,UI,2026-06-29 20:53:32.795,4.781388888889
Pulse experiments,pioreactor01,2026-06-29T15:08:33.296Z,add_alt_media,0.2016567083,UI,2026-06-29 20:53:33.296,4.781666666667
Pulse experiments,pioreactor01,2026-06-29T15:08:33.797Z,add_alt_media,0.0950298751,UI,2026-06-29 20:53:33.797,4.781666666667
Pulse experiments,pioreactor01,2026-06-29T15:35:15.458Z,add_media,0.0776751765,UI,2026-06-29 21:20:15.458,5.226666666667
Pulse experiments,pioreactor01,2026-06-29T15:35:15.960Z,add_media,0.0776751765,UI,2026-06-29 21:20:15.960,5.226666666667
Pulse experiments,pioreactor01,2026-06-29T15:35:16.463Z,add_media,0.0776751765,UI,2026-06-29 21:20:16.463,5.226944444444
Pulse experiments,pioreactor01,2026-06-29T15:35:16.964Z,add_media,0.0776751765,UI,2026-06-29 21:20:16.964,5.226944444444
Pulse experiments,pioreactor01,2026-06-29T15:35:17.465Z,add_media,0.0776751765,UI,2026-06-29 21:20:17.465,5.227222222222
Pulse experiments,pioreactor01,2026-06-29T15:35:17.966Z,add_media,0.0776751765,UI,2026-06-29 21:20:17.966,5.227222222222
Pulse experiments,pioreactor01,2026-06-29T15:35:18.467Z,add_media,0.0776751765,UI,2026-06-29 21:20:18.467,5.2275
Pulse experiments,pioreactor01,2026-06-29T15:35:18.968Z,add_media,0.0776751765,UI,2026-06-29 21:20:18.968,5.2275
Pulse experiments,pioreactor01,2026-06-29T15:35:19.471Z,add_media,0.078598588,UI,2026-06-29 21:20:19.471,5.227777777778
Pulse experiments,pioreactor01,2026-06-29T15:36:02.280Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:02.280,5.239722222222
Pulse experiments,pioreactor01,2026-06-29T15:36:02.782Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:02.782,5.239722222222
Pulse experiments,pioreactor01,2026-06-29T15:36:03.287Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:03.287,5.24
Pulse experiments,pioreactor01,2026-06-29T15:36:03.788Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:03.788,5.24
Pulse experiments,pioreactor01,2026-06-29T15:36:04.289Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:04.289,5.240277777778
Pulse experiments,pioreactor01,2026-06-29T15:36:04.790Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:04.790,5.240277777778
Pulse experiments,pioreactor01,2026-06-29T15:36:05.291Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:05.291,5.240555555556
Pulse experiments,pioreactor01,2026-06-29T15:36:05.792Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:05.792,5.240555555556
Pulse experiments,pioreactor01,2026-06-29T15:36:06.293Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:06.293,5.240833333333
Pulse experiments,pioreactor01,2026-06-29T15:36:06.794Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:06.794,5.240833333333
Pulse experiments,pioreactor01,2026-06-29T15:36:07.294Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:07.294,5.241111111111
Pulse experiments,pioreactor01,2026-06-29T15:36:07.795Z,remove_waste,0.0806626833,UI,2026-06-29 21:21:07.795,5.241111111111
Pulse experiments,pioreactor01,2026-06-29T15:36:08.296Z,remove_waste,0.0320478004,UI,2026-06-29 21:21:08.296,5.241388888889
Pulse experiments,pioreactor01,2026-06-29T16:29:19.828Z,add_media,0.0776751765,UI,2026-06-29 22:14:19.828,6.127777777778
Pulse experiments,pioreactor01,2026-06-29T16:29:20.330Z,add_media,0.0776751765,UI,2026-06-29 22:14:20.330,6.128055555556
Pulse experiments,pioreactor01,2026-06-29T16:29:20.834Z,add_media,0.0776751765,UI,2026-06-29 22:14:20.834,6.128055555556
Pulse experiments,pioreactor01,2026-06-29T16:29:21.336Z,add_media,0.0776751765,UI,2026-06-29 22:14:21.336,6.128333333333
Pulse experiments,pioreactor01,2026-06-29T16:29:21.837Z,add_media,0.0776751765,UI,2026-06-29 22:14:21.837,6.128333333333
Pulse experiments,pioreactor01,2026-06-29T16:29:22.338Z,add_media,0.0776751765,UI,2026-06-29 22:14:22.338,6.128611111111
Pulse experiments,pioreactor01,2026-06-29T16:29:22.839Z,add_media,0.0776751765,UI,2026-06-29 22:14:22.839,6.128611111111
Pulse experiments,pioreactor01,2026-06-29T16:29:23.340Z,add_media,0.0776751765,UI,2026-06-29 22:14:23.340,6.128888888889
Pulse experiments,pioreactor01,2026-06-29T16:29:23.840Z,add_media,0.078598588,UI,2026-06-29 22:14:23.840,6.128888888889
Pulse experiments,pioreactor01,2026-06-29T16:50:12.610Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:12.610,6.475833333333
Pulse experiments,pioreactor01,2026-06-29T16:50:13.112Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:13.112,6.476111111111
Pulse experiments,pioreactor01,2026-06-29T16:50:13.613Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:13.613,6.476111111111
Pulse experiments,pioreactor01,2026-06-29T16:50:14.114Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:14.114,6.476388888889
Pulse experiments,pioreactor01,2026-06-29T16:50:14.615Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:14.615,6.476388888889
Pulse experiments,pioreactor01,2026-06-29T16:50:15.116Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:15.116,6.476666666667
Pulse experiments,pioreactor01,2026-06-29T16:50:15.618Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:15.618,6.476666666667
Pulse experiments,pioreactor01,2026-06-29T16:50:16.119Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:16.119,6.476944444444
Pulse experiments,pioreactor01,2026-06-29T16:50:16.620Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:16.620,6.476944444444
Pulse experiments,pioreactor01,2026-06-29T16:50:17.121Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:17.121,6.477222222222
Pulse experiments,pioreactor01,2026-06-29T16:50:17.622Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:17.622,6.477222222222
Pulse experiments,pioreactor01,2026-06-29T16:50:18.123Z,remove_waste,0.0806626833,UI,2026-06-29 22:35:18.123,6.4775
