experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
LED experiment,pioreactor02,2026-06-05T18:22:55.513Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:55.513,72.624722222222
LED experiment,pioreactor02,2026-06-05T18:22:56.017Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:56.017,72.625
LED experiment,pioreactor02,2026-06-05T18:22:56.517Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:56.517,72.625
LED experiment,pioreactor02,2026-06-05T18:22:57.018Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:57.018,72.625277777778
LED experiment,pioreactor02,2026-06-05T18:22:57.518Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:57.518,72.625277777778
LED experiment,pioreactor02,2026-06-05T18:22:58.019Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:58.019,72.625555555556
LED experiment,pioreactor02,2026-06-05T18:22:58.520Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:58.520,72.625555555556
LED experiment,pioreactor02,2026-06-05T18:22:59.020Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:59.020,72.625833333333
LED experiment,pioreactor02,2026-06-05T18:22:59.521Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:07:59.521,72.625833333333
LED experiment,pioreactor02,2026-06-05T18:23:00.022Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:08:00.022,72.626111111111
LED experiment,pioreactor02,2026-06-05T18:23:00.522Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:08:00.522,72.626111111111
LED experiment,pioreactor02,2026-06-05T18:23:01.023Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 00:08:01.023,72.626388888889
LED experiment,pioreactor02,2026-06-05T18:23:01.523Z,add_media,0.001520912,dosing_automation:chemostat,2026-06-06 00:08:01.523,72.626388888889
LED experiment,pioreactor02,2026-06-05T18:23:06.648Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:06.648,72.627777777778
LED experiment,pioreactor02,2026-06-05T18:23:07.148Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:07.148,72.628055555556
LED experiment,pioreactor02,2026-06-05T18:23:07.649Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:07.649,72.628055555556
LED experiment,pioreactor02,2026-06-05T18:23:08.149Z,remove_waste,0.1032047801,dosing_automation:chemostat,2026-06-06 00:08:08.149,72.628333333333
LED experiment,pioreactor02,2026-06-05T18:23:08.673Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:08.673,72.628333333333
LED experiment,pioreactor02,2026-06-05T18:23:09.174Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:09.174,72.628611111111
LED experiment,pioreactor02,2026-06-05T18:23:09.675Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:09.675,72.628611111111
LED experiment,pioreactor02,2026-06-05T18:23:10.175Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:10.175,72.628888888889
LED experiment,pioreactor02,2026-06-05T18:23:10.676Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:10.676,72.628888888889
LED experiment,pioreactor02,2026-06-05T18:23:11.177Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:11.177,72.629166666667
LED experiment,pioreactor02,2026-06-05T18:23:11.677Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 00:08:11.677,72.629166666667
LED experiment,pioreactor02,2026-06-05T18:23:12.177Z,remove_waste,0.0741444869,dosing_automation:chemostat,2026-06-06 00:08:12.177,72.629444444444
LED experiment,pioreactor02,2026-06-05T19:22:55.365Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:55.365,73.624722222222
LED experiment,pioreactor02,2026-06-05T19:22:55.866Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:55.866,73.624722222222
LED experiment,pioreactor02,2026-06-05T19:22:56.366Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:56.366,73.625
LED experiment,pioreactor02,2026-06-05T19:22:56.867Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:56.867,73.625
LED experiment,pioreactor02,2026-06-05T19:22:57.368Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:57.368,73.625277777778
LED experiment,pioreactor02,2026-06-05T19:22:57.868Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:57.868,73.625277777778
LED experiment,pioreactor02,2026-06-05T19:22:58.369Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:58.369,73.625555555556
LED experiment,pioreactor02,2026-06-05T19:22:58.869Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:58.869,73.625555555556
LED experiment,pioreactor02,2026-06-05T19:22:59.370Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:59.370,73.625833333333
LED experiment,pioreactor02,2026-06-05T19:22:59.871Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:07:59.871,73.625833333333
LED experiment,pioreactor02,2026-06-05T19:23:00.371Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:08:00.371,73.626111111111
LED experiment,pioreactor02,2026-06-05T19:23:00.872Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 01:08:00.872,73.626111111111
LED experiment,pioreactor02,2026-06-05T19:23:01.372Z,add_media,0.001520912,dosing_automation:chemostat,2026-06-06 01:08:01.372,73.626388888889
LED experiment,pioreactor02,2026-06-05T19:23:06.453Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:06.453,73.627777777778
LED experiment,pioreactor02,2026-06-05T19:23:06.954Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:06.954,73.627777777778
LED experiment,pioreactor02,2026-06-05T19:23:07.455Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:07.455,73.628055555556
LED experiment,pioreactor02,2026-06-05T19:23:07.955Z,remove_waste,0.1032047801,dosing_automation:chemostat,2026-06-06 01:08:07.955,73.628055555556
LED experiment,pioreactor02,2026-06-05T19:23:08.491Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:08.491,73.628333333333
LED experiment,pioreactor02,2026-06-05T19:23:08.992Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:08.992,73.628333333333
LED experiment,pioreactor02,2026-06-05T19:23:09.493Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:09.493,73.628611111111
LED experiment,pioreactor02,2026-06-05T19:23:09.993Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:09.993,73.628611111111
LED experiment,pioreactor02,2026-06-05T19:23:10.494Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:10.494,73.628888888889
LED experiment,pioreactor02,2026-06-05T19:23:10.995Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:10.995,73.628888888889
LED experiment,pioreactor02,2026-06-05T19:23:11.495Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 01:08:11.495,73.629166666667
LED experiment,pioreactor02,2026-06-05T19:23:11.996Z,remove_waste,0.0741444869,dosing_automation:chemostat,2026-06-06 01:08:11.996,73.629166666667
LED experiment,pioreactor02,2026-06-05T20:22:55.367Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:55.367,74.624722222222
LED experiment,pioreactor02,2026-06-05T20:22:55.868Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:55.868,74.624722222222
LED experiment,pioreactor02,2026-06-05T20:22:56.369Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:56.369,74.625
LED experiment,pioreactor02,2026-06-05T20:22:56.869Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:56.869,74.625
LED experiment,pioreactor02,2026-06-05T20:22:57.370Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:57.370,74.625277777778
LED experiment,pioreactor02,2026-06-05T20:22:57.870Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:57.870,74.625277777778
LED experiment,pioreactor02,2026-06-05T20:22:58.371Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:58.371,74.625555555556
LED experiment,pioreactor02,2026-06-05T20:22:58.872Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:58.872,74.625555555556
LED experiment,pioreactor02,2026-06-05T20:22:59.372Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:59.372,74.625833333333
LED experiment,pioreactor02,2026-06-05T20:22:59.873Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:07:59.873,74.625833333333
LED experiment,pioreactor02,2026-06-05T20:23:00.374Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:08:00.374,74.626111111111
LED experiment,pioreactor02,2026-06-05T20:23:00.874Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 02:08:00.874,74.626111111111
LED experiment,pioreactor02,2026-06-05T20:23:01.375Z,add_media,0.001520912,dosing_automation:chemostat,2026-06-06 02:08:01.375,74.626388888889
LED experiment,pioreactor02,2026-06-05T20:23:06.475Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:06.475,74.627777777778
LED experiment,pioreactor02,2026-06-05T20:23:06.976Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:06.976,74.627777777778
LED experiment,pioreactor02,2026-06-05T20:23:07.476Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:07.476,74.628055555556
LED experiment,pioreactor02,2026-06-05T20:23:07.977Z,remove_waste,0.1032047801,dosing_automation:chemostat,2026-06-06 02:08:07.977,74.628055555556
LED experiment,pioreactor02,2026-06-05T20:23:08.530Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:08.530,74.628333333333
LED experiment,pioreactor02,2026-06-05T20:23:09.031Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:09.031,74.628611111111
LED experiment,pioreactor02,2026-06-05T20:23:09.532Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:09.532,74.628611111111
LED experiment,pioreactor02,2026-06-05T20:23:10.032Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:10.032,74.628888888889
LED experiment,pioreactor02,2026-06-05T20:23:10.533Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:10.533,74.628888888889
LED experiment,pioreactor02,2026-06-05T20:23:11.034Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:11.034,74.629166666667
LED experiment,pioreactor02,2026-06-05T20:23:11.534Z,remove_waste,0.1322650733,dosing_automation:chemostat,2026-06-06 02:08:11.534,74.629166666667
LED experiment,pioreactor02,2026-06-05T20:23:12.035Z,remove_waste,0.0741444869,dosing_automation:chemostat,2026-06-06 02:08:12.035,74.629444444444
LED experiment,pioreactor02,2026-06-05T21:22:55.365Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 03:07:55.365,75.624722222222
LED experiment,pioreactor02,2026-06-05T21:22:55.866Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 03:07:55.866,75.624722222222
LED experiment,pioreactor02,2026-06-05T21:22:56.367Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 03:07:56.367,75.625
LED experiment,pioreactor02,2026-06-05T21:22:56.867Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 03:07:56.867,75.625
LED experiment,pioreactor02,2026-06-05T21:22:57.368Z,add_media,0.041539924,dosing_automation:chemostat,2026-06-06 03:07:57.368,75.625277777778
