experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Demo experiment,pioreactor01,2026-05-25T13:49:03.522Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:34:03.522,5677.526111111111
Demo experiment,pioreactor01,2026-05-25T13:49:04.023Z,remove_waste,0.059474300508,dosing_automation:mg_narma_dosing,2026-05-25 19:34:04.023,5677.526388888889
Demo experiment,pioreactor01,2026-05-25T13:49:04.573Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:34:04.573,5677.526388888889
Demo experiment,pioreactor01,2026-05-25T13:49:05.074Z,add_media,0.062461807308,dosing_automation:mg_narma_dosing,2026-05-25 19:34:05.074,5677.526666666667
Demo experiment,pioreactor01,2026-05-25T13:55:03.513Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:40:03.513,5677.626111111111
Demo experiment,pioreactor01,2026-05-25T13:55:04.014Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:40:04.014,5677.626388888889
Demo experiment,pioreactor01,2026-05-25T13:55:04.514Z,remove_waste,0.016314647511,dosing_automation:mg_narma_dosing,2026-05-25 19:40:04.514,5677.626388888889
Demo experiment,pioreactor01,2026-05-25T13:55:04.697Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:40:04.697,5677.626388888889
Demo experiment,pioreactor01,2026-05-25T13:55:05.198Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:40:05.198,5677.626666666667
Demo experiment,pioreactor01,2026-05-25T13:55:05.698Z,add_media,0.022289661111,dosing_automation:mg_narma_dosing,2026-05-25 19:40:05.698,5677.626666666667
Demo experiment,pioreactor01,2026-05-25T14:01:03.517Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:46:03.517,5677.726111111111
Demo experiment,pioreactor01,2026-05-25T14:01:04.017Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:46:04.017,5677.726388888889
Demo experiment,pioreactor01,2026-05-25T14:01:04.518Z,remove_waste,0.051824995186,dosing_automation:mg_narma_dosing,2026-05-25 19:46:04.518,5677.726388888889
Demo experiment,pioreactor01,2026-05-25T14:01:05.007Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:46:05.007,5677.726666666666
Demo experiment,pioreactor01,2026-05-25T14:01:05.508Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:46:05.508,5677.726666666666
Demo experiment,pioreactor01,2026-05-25T14:01:06.009Z,add_media,0.057800008786,dosing_automation:mg_narma_dosing,2026-05-25 19:46:06.009,5677.726944444445
Demo experiment,pioreactor01,2026-05-25T14:07:03.513Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:52:03.513,5677.826111111111
Demo experiment,pioreactor01,2026-05-25T14:07:04.014Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:52:04.014,5677.826388888889
Demo experiment,pioreactor01,2026-05-25T14:07:04.515Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:52:04.515,5677.826388888889
Demo experiment,pioreactor01,2026-05-25T14:07:05.016Z,remove_waste,0.002123494097,dosing_automation:mg_narma_dosing,2026-05-25 19:52:05.016,5677.826666666667
Demo experiment,pioreactor01,2026-05-25T14:07:05.316Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:52:05.316,5677.826666666667
Demo experiment,pioreactor01,2026-05-25T14:07:05.817Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:52:05.817,5677.826666666667
Demo experiment,pioreactor01,2026-05-25T14:07:06.317Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:52:06.317,5677.826944444444
Demo experiment,pioreactor01,2026-05-25T14:07:06.818Z,add_media,0.011086014497,dosing_automation:mg_narma_dosing,2026-05-25 19:52:06.818,5677.826944444444
Demo experiment,pioreactor01,2026-05-25T14:13:03.511Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:58:03.511,5677.926111111111
Demo experiment,pioreactor01,2026-05-25T14:13:04.012Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:58:04.012,5677.926388888889
Demo experiment,pioreactor01,2026-05-25T14:13:04.513Z,remove_waste,0.0806626833,dosing_automation:mg_narma_dosing,2026-05-25 19:58:04.513,5677.926388888889
Demo experiment,pioreactor01,2026-05-25T14:13:05.014Z,remove_waste,0.027465730728,dosing_automation:mg_narma_dosing,2026-05-25 19:58:05.014,5677.926666666666
Demo experiment,pioreactor01,2026-05-25T14:13:05.380Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:58:05.380,5677.926666666666
Demo experiment,pioreactor01,2026-05-25T14:13:05.881Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:58:05.881,5677.926666666666
Demo experiment,pioreactor01,2026-05-25T14:13:06.382Z,add_media,0.0776751765,dosing_automation:mg_narma_dosing,2026-05-25 19:58:06.382,5677.926944444444
