experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-06-30T14:53:53.401Z,add_media,0.0776751765,UI,2026-06-30 20:38:53.401,28.537222222222
Pulse experiments,pioreactor01,2026-06-30T14:53:53.905Z,add_media,0.0776751765,UI,2026-06-30 20:38:53.905,28.537222222222
Pulse experiments,pioreactor01,2026-06-30T14:53:54.406Z,add_media,0.0776751765,UI,2026-06-30 20:38:54.406,28.5375
Pulse experiments,pioreactor01,2026-06-30T14:53:54.907Z,add_media,0.0776751765,UI,2026-06-30 20:38:54.907,28.5375
Pulse experiments,pioreactor01,2026-06-30T14:53:55.408Z,add_media,0.0776751765,UI,2026-06-30 20:38:55.408,28.537777777778
Pulse experiments,pioreactor01,2026-06-30T14:53:55.909Z,add_media,0.0776751765,UI,2026-06-30 20:38:55.909,28.537777777778
Pulse experiments,pioreactor01,2026-06-30T14:53:56.410Z,add_media,0.0776751765,UI,2026-06-30 20:38:56.410,28.538055555556
Pulse experiments,pioreactor01,2026-06-30T14:53:56.911Z,add_media,0.0776751765,UI,2026-06-30 20:38:56.911,28.538055555556
Pulse experiments,pioreactor01,2026-06-30T14:53:57.412Z,add_media,0.0776751765,UI,2026-06-30 20:38:57.412,28.538333333333
Pulse experiments,pioreactor01,2026-06-30T14:53:57.915Z,add_media,0.0776751765,UI,2026-06-30 20:38:57.915,28.538333333333
Pulse experiments,pioreactor01,2026-06-30T14:53:58.416Z,add_media,0.0776751765,UI,2026-06-30 20:38:58.416,28.538611111111
Pulse experiments,pioreactor01,2026-06-30T14:53:58.917Z,add_media,0.0776751765,UI,2026-06-30 20:38:58.917,28.538611111111
Pulse experiments,pioreactor01,2026-06-30T14:53:59.302Z,add_alt_media,0.2016567083,UI,2026-06-30 20:38:59.302,28.538888888889
Pulse experiments,pioreactor01,2026-06-30T14:53:59.418Z,add_media,0.0776751765,UI,2026-06-30 20:38:59.418,28.538888888889
Pulse experiments,pioreactor01,2026-06-30T14:53:59.805Z,add_alt_media,0.2016567083,UI,2026-06-30 20:38:59.805,28.538888888889
Pulse experiments,pioreactor01,2026-06-30T14:53:59.919Z,add_media,0.0776751765,UI,2026-06-30 20:38:59.919,28.538888888889
Pulse experiments,pioreactor01,2026-06-30T14:54:00.306Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:00.306,28.539166666667
Pulse experiments,pioreactor01,2026-06-30T14:54:00.420Z,add_media,0.0776751765,UI,2026-06-30 20:39:00.420,28.539166666667
Pulse experiments,pioreactor01,2026-06-30T14:54:00.807Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:00.807,28.539166666667
Pulse experiments,pioreactor01,2026-06-30T14:54:00.920Z,add_media,0.0776751765,UI,2026-06-30 20:39:00.920,28.539166666667
Pulse experiments,pioreactor01,2026-06-30T14:54:01.308Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:01.308,28.539444444444
Pulse experiments,pioreactor01,2026-06-30T14:54:01.421Z,add_media,0.0776751765,UI,2026-06-30 20:39:01.421,28.539444444444
Pulse experiments,pioreactor01,2026-06-30T14:54:01.808Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:01.808,28.539444444444
Pulse experiments,pioreactor01,2026-06-30T14:54:01.922Z,add_media,0.0776751765,UI,2026-06-30 20:39:01.922,28.539444444444
Pulse experiments,pioreactor01,2026-06-30T14:54:02.309Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:02.309,28.539722222222
Pulse experiments,pioreactor01,2026-06-30T14:54:02.423Z,add_media,0.0776751765,UI,2026-06-30 20:39:02.423,28.539722222222
Pulse experiments,pioreactor01,2026-06-30T14:54:02.809Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:02.809,28.539722222222
Pulse experiments,pioreactor01,2026-06-30T14:54:02.923Z,add_media,0.0776751765,UI,2026-06-30 20:39:02.923,28.539722222222
Pulse experiments,pioreactor01,2026-06-30T14:54:03.310Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:03.310,28.54
Pulse experiments,pioreactor01,2026-06-30T14:54:03.424Z,add_media,0.0776751765,UI,2026-06-30 20:39:03.424,28.54
Pulse experiments,pioreactor01,2026-06-30T14:54:03.811Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:03.811,28.54
Pulse experiments,pioreactor01,2026-06-30T14:54:03.925Z,add_media,0.0776751765,UI,2026-06-30 20:39:03.925,28.54
Pulse experiments,pioreactor01,2026-06-30T14:54:04.312Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:04.312,28.540277777778
Pulse experiments,pioreactor01,2026-06-30T14:54:04.425Z,add_media,0.0776751765,UI,2026-06-30 20:39:04.425,28.540277777778
Pulse experiments,pioreactor01,2026-06-30T14:54:04.812Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:04.812,28.540277777778
Pulse experiments,pioreactor01,2026-06-30T14:54:04.926Z,add_media,0.0776751765,UI,2026-06-30 20:39:04.926,28.540277777778
Pulse experiments,pioreactor01,2026-06-30T14:54:05.313Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:05.313,28.540555555556
Pulse experiments,pioreactor01,2026-06-30T14:54:05.427Z,add_media,0.0776751765,UI,2026-06-30 20:39:05.427,28.540555555556
Pulse experiments,pioreactor01,2026-06-30T14:54:05.813Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:05.813,28.540555555556
Pulse experiments,pioreactor01,2026-06-30T14:54:05.927Z,add_media,0.0776751765,UI,2026-06-30 20:39:05.927,28.540555555556
Pulse experiments,pioreactor01,2026-06-30T14:54:06.315Z,add_alt_media,0.2016567083,UI,2026-06-30 20:39:06.315,28.540833333333
Pulse experiments,pioreactor01,2026-06-30T14:54:06.428Z,add_media,0.0776751765,UI,2026-06-30 20:39:06.428,28.540833333333
