experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-04T19:30:49.015Z,add_alt_media,0.2016567083,UI,2026-07-05 01:15:49.015,129.152777777778
Pulse experiments,pioreactor01,2026-07-04T19:30:49.517Z,add_alt_media,0.2016567083,UI,2026-07-05 01:15:49.517,129.152777777778
Pulse experiments,pioreactor01,2026-07-04T19:30:50.017Z,add_alt_media,0.2016567083,UI,2026-07-05 01:15:50.017,129.153055555556
Pulse experiments,pioreactor01,2026-07-04T19:30:50.518Z,add_alt_media,0.2016567083,UI,2026-07-05 01:15:50.518,129.153055555556
Pulse experiments,pioreactor01,2026-07-04T19:30:51.019Z,add_alt_media,0.1933731668,UI,2026-07-05 01:15:51.019,129.153333333333
Pulse experiments,pioreactor01,2026-07-04T19:30:57.757Z,remove_waste,0.0806626833,UI,2026-07-05 01:15:57.757,129.155
Pulse experiments,pioreactor01,2026-07-04T19:30:58.259Z,remove_waste,0.0806626833,UI,2026-07-05 01:15:58.259,129.155277777778
Pulse experiments,pioreactor01,2026-07-04T19:30:58.761Z,remove_waste,0.0806626833,UI,2026-07-05 01:15:58.761,129.155277777778
Pulse experiments,pioreactor01,2026-07-04T19:30:59.266Z,remove_waste,0.0806626833,UI,2026-07-05 01:15:59.266,129.155555555556
Pulse experiments,pioreactor01,2026-07-04T19:30:59.767Z,remove_waste,0.0806626833,UI,2026-07-05 01:15:59.767,129.155555555556
Pulse experiments,pioreactor01,2026-07-04T19:31:00.267Z,remove_waste,0.0806626833,UI,2026-07-05 01:16:00.267,129.155833333333
Pulse experiments,pioreactor01,2026-07-04T19:31:00.768Z,remove_waste,0.0806626833,UI,2026-07-05 01:16:00.768,129.155833333333
Pulse experiments,pioreactor01,2026-07-04T19:31:01.269Z,remove_waste,0.0806626833,UI,2026-07-05 01:16:01.269,129.156111111111
Pulse experiments,pioreactor01,2026-07-04T19:31:01.770Z,remove_waste,0.0806626833,UI,2026-07-05 01:16:01.770,129.156111111111
Pulse experiments,pioreactor01,2026-07-04T19:31:02.271Z,remove_waste,0.0806626833,UI,2026-07-05 01:16:02.271,129.156388888889
Pulse experiments,pioreactor01,2026-07-04T19:31:02.771Z,remove_waste,0.0806626833,UI,2026-07-05 01:16:02.771,129.156388888889
Pulse experiments,pioreactor01,2026-07-04T19:31:03.272Z,remove_waste,0.0806626833,UI,2026-07-05 01:16:03.272,129.156666666667
Pulse experiments,pioreactor01,2026-07-04T19:31:03.773Z,remove_waste,0.0320478004,UI,2026-07-05 01:16:03.773,129.156666666667
Pulse experiments,pioreactor01,2026-07-04T20:31:34.660Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 02:16:34.660,130.165277777778
Pulse experiments,pioreactor01,2026-07-04T20:31:35.161Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 02:16:35.161,130.165555555556
Pulse experiments,pioreactor01,2026-07-04T20:31:35.661Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 02:16:35.661,130.165555555556
Pulse experiments,pioreactor01,2026-07-04T20:31:36.162Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 02:16:36.162,130.165833333333
Pulse experiments,pioreactor01,2026-07-04T20:31:36.663Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 02:16:36.663,130.165833333333
Pulse experiments,pioreactor01,2026-07-04T20:31:37.163Z,add_media,0.0116241175,dosing_automation:chemostat,2026-07-05 02:16:37.163,130.166111111111
Pulse experiments,pioreactor01,2026-07-04T20:31:42.327Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:42.327,130.1675
Pulse experiments,pioreactor01,2026-07-04T20:31:42.828Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:42.828,130.1675
Pulse experiments,pioreactor01,2026-07-04T20:31:43.329Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:43.329,130.167777777778
Pulse experiments,pioreactor01,2026-07-04T20:31:43.830Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:43.830,130.167777777778
Pulse experiments,pioreactor01,2026-07-04T20:31:44.330Z,remove_waste,0.0773492668,dosing_automation:chemostat,2026-07-05 02:16:44.330,130.168055555556
Pulse experiments,pioreactor01,2026-07-04T20:31:44.983Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:44.983,130.168055555556
Pulse experiments,pioreactor01,2026-07-04T20:31:45.485Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:45.485,130.168333333333
Pulse experiments,pioreactor01,2026-07-04T20:31:45.987Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:45.987,130.168333333333
Pulse experiments,pioreactor01,2026-07-04T20:31:46.487Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:46.487,130.168611111111
Pulse experiments,pioreactor01,2026-07-04T20:31:46.988Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:46.988,130.168611111111
Pulse experiments,pioreactor01,2026-07-04T20:31:47.489Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:47.489,130.168888888889
Pulse experiments,pioreactor01,2026-07-04T20:31:47.990Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:47.990,130.168888888889
Pulse experiments,pioreactor01,2026-07-04T20:31:48.492Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:48.492,130.169166666667
Pulse experiments,pioreactor01,2026-07-04T20:31:48.993Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 02:16:48.993,130.169166666667
Pulse experiments,pioreactor01,2026-07-04T20:31:49.494Z,remove_waste,0.0740358503,dosing_automation:chemostat,2026-07-05 02:16:49.494,130.169444444444
Pulse experiments,pioreactor01,2026-07-04T21:31:34.666Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 03:16:34.666,131.165277777778
Pulse experiments,pioreactor01,2026-07-04T21:31:35.167Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 03:16:35.167,131.165555555556
Pulse experiments,pioreactor01,2026-07-04T21:31:35.667Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 03:16:35.667,131.165555555556
Pulse experiments,pioreactor01,2026-07-04T21:31:36.168Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 03:16:36.168,131.165833333333
Pulse experiments,pioreactor01,2026-07-04T21:31:36.669Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-05 03:16:36.669,131.165833333333
Pulse experiments,pioreactor01,2026-07-04T21:31:37.169Z,add_media,0.0116241175,dosing_automation:chemostat,2026-07-05 03:16:37.169,131.166111111111
Pulse experiments,pioreactor01,2026-07-04T21:31:42.338Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:42.338,131.1675
Pulse experiments,pioreactor01,2026-07-04T21:31:42.840Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:42.840,131.1675
Pulse experiments,pioreactor01,2026-07-04T21:31:43.341Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:43.341,131.167777777778
Pulse experiments,pioreactor01,2026-07-04T21:31:43.841Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:43.841,131.167777777778
Pulse experiments,pioreactor01,2026-07-04T21:31:44.342Z,remove_waste,0.0773492668,dosing_automation:chemostat,2026-07-05 03:16:44.342,131.168055555556
Pulse experiments,pioreactor01,2026-07-04T21:31:44.970Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:44.970,131.168055555556
Pulse experiments,pioreactor01,2026-07-04T21:31:45.471Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:45.471,131.168333333333
Pulse experiments,pioreactor01,2026-07-04T21:31:45.971Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:45.971,131.168333333333
Pulse experiments,pioreactor01,2026-07-04T21:31:46.472Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:46.472,131.168611111111
Pulse experiments,pioreactor01,2026-07-04T21:31:46.973Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:46.973,131.168611111111
Pulse experiments,pioreactor01,2026-07-04T21:31:47.474Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:47.474,131.168888888889
Pulse experiments,pioreactor01,2026-07-04T21:31:47.975Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:47.975,131.168888888889
Pulse experiments,pioreactor01,2026-07-04T21:31:48.476Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-05 03:16:48.476,131.169166666667
