experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-25T14:37:26.331Z,949.0,,,2026-08-25 20:22:26.331,1372.263055555556
Pulse experiments,pioreactor01,2026-08-25T14:37:56.332Z,956.0,30.44,70.05,2026-08-25 20:22:56.332,1372.271388888889
Pulse experiments,pioreactor01,2026-08-25T14:38:26.326Z,965.0,29.68,73.35,2026-08-25 20:23:26.326,1372.279722222222
Pulse experiments,pioreactor01,2026-08-25T14:38:56.336Z,968.0,29.16,75.67,2026-08-25 20:23:56.336,1372.288055555556
Pulse experiments,pioreactor01,2026-08-25T14:39:26.331Z,1051.0,28.91,76.75,2026-08-25 20:24:26.331,1372.296388888889
Pulse experiments,pioreactor01,2026-08-25T14:39:56.330Z,1071.0,29.0,77.45,2026-08-25 20:24:56.330,1372.304722222222
Pulse experiments,pioreactor01,2026-08-25T14:40:26.324Z,1064.0,28.93,77.76,2026-08-25 20:25:26.324,1372.313055555556
Pulse experiments,pioreactor01,2026-08-25T14:40:56.330Z,1048.0,28.84,77.76,2026-08-25 20:25:56.330,1372.321388888889
Pulse experiments,pioreactor01,2026-08-25T14:41:26.326Z,1037.0,28.79,77.65,2026-08-25 20:26:26.326,1372.329722222222
Pulse experiments,pioreactor01,2026-08-25T14:41:56.326Z,1022.0,28.77,77.62,2026-08-25 20:26:56.326,1372.338055555555
Pulse experiments,pioreactor01,2026-08-25T14:42:26.326Z,1018.0,28.73,77.56,2026-08-25 20:27:26.326,1372.346388888889
Pulse experiments,pioreactor01,2026-08-25T14:42:56.327Z,1010.0,28.73,77.5,2026-08-25 20:27:56.327,1372.354722222222
Pulse experiments,pioreactor01,2026-08-25T14:43:26.336Z,999.0,28.75,77.33,2026-08-25 20:28:26.336,1372.363055555556
Pulse experiments,pioreactor01,2026-08-25T14:43:56.326Z,994.0,28.78,77.13,2026-08-25 20:28:56.326,1372.371388888889
Pulse experiments,pioreactor01,2026-08-25T14:44:26.327Z,988.0,28.79,76.97,2026-08-25 20:29:26.327,1372.379722222222
Pulse experiments,pioreactor01,2026-08-25T14:44:56.328Z,981.0,28.83,76.88,2026-08-25 20:29:56.328,1372.388055555556
Pulse experiments,pioreactor01,2026-08-25T14:45:26.326Z,975.0,28.86,76.68,2026-08-25 20:30:26.326,1372.396388888889
Pulse experiments,pioreactor01,2026-08-25T14:45:56.328Z,967.0,28.88,76.46,2026-08-25 20:30:56.328,1372.404722222222
Pulse experiments,pioreactor01,2026-08-25T14:46:26.327Z,963.0,28.9,76.26,2026-08-25 20:31:26.327,1372.413055555556
Pulse experiments,pioreactor01,2026-08-25T14:46:56.335Z,955.0,28.89,76.04,2026-08-25 20:31:56.335,1372.421388888889
Pulse experiments,pioreactor01,2026-08-25T14:47:26.326Z,946.0,28.89,76.03,2026-08-25 20:32:26.326,1372.429722222222
Pulse experiments,pioreactor01,2026-08-25T14:47:56.333Z,941.0,28.91,75.9,2026-08-25 20:32:56.333,1372.438055555556
