experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-25T15:33:19.544Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 21:18:19.544,1373.194444444444
Pulse experiments,pioreactor01,2026-08-25T15:33:20.046Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 21:18:20.046,1373.194722222222
Pulse experiments,pioreactor01,2026-08-25T15:33:20.547Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-25 21:18:20.547,1373.194722222222
Pulse experiments,pioreactor01,2026-08-25T15:33:21.199Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-25 21:18:21.199,1373.195
Pulse experiments,pioreactor01,2026-08-25T16:03:22.084Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 21:48:22.084,1373.695277777778
Pulse experiments,pioreactor01,2026-08-25T16:03:22.590Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 21:48:22.590,1373.695277777778
Pulse experiments,pioreactor01,2026-08-25T16:03:23.091Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-25 21:48:23.091,1373.695555555556
Pulse experiments,pioreactor01,2026-08-25T16:03:23.550Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 21:48:23.550,1373.695555555556
Pulse experiments,pioreactor01,2026-08-25T16:03:24.051Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 21:48:24.051,1373.695833333333
Pulse experiments,pioreactor01,2026-08-25T16:03:24.552Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 21:48:24.552,1373.695833333333
Pulse experiments,pioreactor01,2026-08-25T16:03:25.052Z,add_media,0.0169744705,dosing_automation:manual_dosing_control,2026-08-25 21:48:25.052,1373.696111111111
Pulse experiments,pioreactor01,2026-08-25T16:03:25.677Z,add_alt_media,0.12,dosing_automation:manual_dosing_control,2026-08-25 21:48:25.677,1373.696111111111
Pulse experiments,pioreactor01,2026-08-25T16:33:26.683Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 22:18:26.683,1374.196388888889
Pulse experiments,pioreactor01,2026-08-25T16:33:27.187Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 22:18:27.187,1374.196666666667
Pulse experiments,pioreactor01,2026-08-25T16:33:27.688Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-25 22:18:27.688,1374.196666666667
Pulse experiments,pioreactor01,2026-08-25T16:33:28.133Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 22:18:28.133,1374.196944444444
Pulse experiments,pioreactor01,2026-08-25T16:33:28.633Z,add_media,0.0723248235,dosing_automation:manual_dosing_control,2026-08-25 22:18:28.633,1374.196944444444
Pulse experiments,pioreactor01,2026-08-25T16:33:29.362Z,add_alt_media,0.04,dosing_automation:manual_dosing_control,2026-08-25 22:18:29.362,1374.197222222222
Pulse experiments,pioreactor01,2026-08-25T17:03:30.020Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 22:48:30.020,1374.6975
Pulse experiments,pioreactor01,2026-08-25T17:03:30.527Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 22:48:30.527,1374.6975
Pulse experiments,pioreactor01,2026-08-25T17:03:31.027Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-25 22:48:31.027,1374.697777777778
Pulse experiments,pioreactor01,2026-08-25T17:03:31.491Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 22:48:31.491,1374.697777777778
Pulse experiments,pioreactor01,2026-08-25T17:03:31.992Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 22:48:31.992,1374.697777777778
Pulse experiments,pioreactor01,2026-08-25T17:03:32.493Z,add_media,0.004649647,dosing_automation:manual_dosing_control,2026-08-25 22:48:32.493,1374.698055555556
Pulse experiments,pioreactor01,2026-08-25T17:03:32.710Z,add_alt_media,0.05,dosing_automation:manual_dosing_control,2026-08-25 22:48:32.710,1374.698055555556
Pulse experiments,pioreactor01,2026-08-25T17:33:33.432Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 23:18:33.432,1375.198333333333
Pulse experiments,pioreactor01,2026-08-25T17:33:33.936Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 23:18:33.936,1375.198333333333
Pulse experiments,pioreactor01,2026-08-25T17:33:34.436Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-25 23:18:34.436,1375.198611111111
Pulse experiments,pioreactor01,2026-08-25T17:33:34.908Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 23:18:34.908,1375.198611111111
Pulse experiments,pioreactor01,2026-08-25T17:33:35.409Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 23:18:35.409,1375.198888888889
Pulse experiments,pioreactor01,2026-08-25T17:33:35.909Z,add_media,0.014649647,dosing_automation:manual_dosing_control,2026-08-25 23:18:35.909,1375.198888888889
Pulse experiments,pioreactor01,2026-08-25T17:33:36.197Z,add_alt_media,0.06,dosing_automation:manual_dosing_control,2026-08-25 23:18:36.197,1375.199166666667
Pulse experiments,pioreactor01,2026-08-25T18:03:36.965Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 23:48:36.965,1375.699166666667
Pulse experiments,pioreactor01,2026-08-25T18:03:37.473Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-25 23:48:37.473,1375.699444444444
Pulse experiments,pioreactor01,2026-08-25T18:03:37.974Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-25 23:48:37.974,1375.699444444444
Pulse experiments,pioreactor01,2026-08-25T18:03:38.450Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-25 23:48:38.450,1375.699722222222
Pulse experiments,pioreactor01,2026-08-25T18:03:38.951Z,add_media,0.0723248235,dosing_automation:manual_dosing_control,2026-08-25 23:48:38.951,1375.699722222222
Pulse experiments,pioreactor01,2026-08-25T18:03:39.690Z,add_alt_media,0.05,dosing_automation:manual_dosing_control,2026-08-25 23:48:39.690,1375.7
Pulse experiments,pioreactor01,2026-08-25T18:33:40.374Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 00:18:40.374,1376.200277777778
Pulse experiments,pioreactor01,2026-08-25T18:33:40.884Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 00:18:40.884,1376.200277777778
Pulse experiments,pioreactor01,2026-08-25T18:33:41.385Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 00:18:41.385,1376.200555555556
Pulse experiments,pioreactor01,2026-08-25T18:33:41.850Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 00:18:41.850,1376.200555555556
Pulse experiments,pioreactor01,2026-08-25T18:33:42.353Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 00:18:42.353,1376.200833333333
Pulse experiments,pioreactor01,2026-08-25T18:33:42.853Z,add_media,0.014649647,dosing_automation:manual_dosing_control,2026-08-26 00:18:42.853,1376.200833333333
Pulse experiments,pioreactor01,2026-08-25T18:33:43.208Z,add_alt_media,0.06,dosing_automation:manual_dosing_control,2026-08-26 00:18:43.208,1376.201111111111
Pulse experiments,pioreactor01,2026-08-25T19:03:43.961Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 00:48:43.961,1376.701111111111
Pulse experiments,pioreactor01,2026-08-25T19:03:44.467Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 00:48:44.467,1376.701388888889
Pulse experiments,pioreactor01,2026-08-25T19:03:44.967Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 00:48:44.967,1376.701388888889
Pulse experiments,pioreactor01,2026-08-25T19:03:45.425Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 00:48:45.425,1376.701666666667
Pulse experiments,pioreactor01,2026-08-25T19:03:45.928Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 00:48:45.928,1376.701666666667
Pulse experiments,pioreactor01,2026-08-25T19:03:46.428Z,add_media,0.004649647,dosing_automation:manual_dosing_control,2026-08-26 00:48:46.428,1376.701944444445
Pulse experiments,pioreactor01,2026-08-25T19:03:46.753Z,add_alt_media,0.05,dosing_automation:manual_dosing_control,2026-08-26 00:48:46.753,1376.701944444445
Pulse experiments,pioreactor01,2026-08-25T19:33:47.429Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 01:18:47.429,1377.202222222222
Pulse experiments,pioreactor01,2026-08-25T19:33:47.934Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 01:18:47.934,1377.202222222222
Pulse experiments,pioreactor01,2026-08-25T19:33:48.435Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 01:18:48.435,1377.2025
Pulse experiments,pioreactor01,2026-08-25T19:33:48.873Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 01:18:48.873,1377.2025
Pulse experiments,pioreactor01,2026-08-25T19:33:49.374Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 01:18:49.374,1377.202777777778
Pulse experiments,pioreactor01,2026-08-25T19:33:49.875Z,add_media,0.004649647,dosing_automation:manual_dosing_control,2026-08-26 01:18:49.875,1377.202777777778
Pulse experiments,pioreactor01,2026-08-25T19:33:50.154Z,add_alt_media,0.05,dosing_automation:manual_dosing_control,2026-08-26 01:18:50.154,1377.203055555555
Pulse experiments,pioreactor01,2026-08-25T20:03:50.864Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 01:48:50.864,1377.703055555555
Pulse experiments,pioreactor01,2026-08-25T20:03:51.375Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 01:48:51.375,1377.703333333333
Pulse experiments,pioreactor01,2026-08-25T20:03:51.875Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 01:48:51.875,1377.703333333333
Pulse experiments,pioreactor01,2026-08-25T20:03:52.286Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 01:48:52.286,1377.703611111111
Pulse experiments,pioreactor01,2026-08-25T20:03:52.787Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 01:48:52.787,1377.703611111111
Pulse experiments,pioreactor01,2026-08-25T20:03:53.287Z,add_media,0.014649647,dosing_automation:manual_dosing_control,2026-08-26 01:48:53.287,1377.703888888889
Pulse experiments,pioreactor01,2026-08-25T20:03:53.644Z,add_alt_media,0.06,dosing_automation:manual_dosing_control,2026-08-26 01:48:53.644,1377.703888888889
Pulse experiments,pioreactor01,2026-08-25T20:33:54.342Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 02:18:54.342,1378.204166666667
Pulse experiments,pioreactor01,2026-08-25T20:33:54.850Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 02:18:54.850,1378.204166666667
Pulse experiments,pioreactor01,2026-08-25T20:33:55.350Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 02:18:55.350,1378.204444444444
Pulse experiments,pioreactor01,2026-08-25T20:33:55.789Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 02:18:55.789,1378.204444444444
Pulse experiments,pioreactor01,2026-08-25T20:33:56.290Z,add_media,0.0723248235,dosing_automation:manual_dosing_control,2026-08-26 02:18:56.290,1378.204722222222
Pulse experiments,pioreactor01,2026-08-25T20:33:57.050Z,add_alt_media,0.04,dosing_automation:manual_dosing_control,2026-08-26 02:18:57.050,1378.205
Pulse experiments,pioreactor01,2026-08-25T21:03:57.724Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 02:48:57.724,1378.705
Pulse experiments,pioreactor01,2026-08-25T21:03:58.231Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 02:48:58.231,1378.705277777778
Pulse experiments,pioreactor01,2026-08-25T21:03:58.731Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 02:48:58.731,1378.705277777778
Pulse experiments,pioreactor01,2026-08-25T21:03:59.136Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 02:48:59.136,1378.705555555556
Pulse experiments,pioreactor01,2026-08-25T21:03:59.640Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 02:48:59.640,1378.705555555556
Pulse experiments,pioreactor01,2026-08-25T21:04:00.141Z,add_media,0.014649647,dosing_automation:manual_dosing_control,2026-08-26 02:49:00.141,1378.705833333333
Pulse experiments,pioreactor01,2026-08-25T21:04:00.458Z,add_alt_media,0.06,dosing_automation:manual_dosing_control,2026-08-26 02:49:00.458,1378.705833333333
Pulse experiments,pioreactor01,2026-08-25T21:34:01.192Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 03:19:01.192,1379.206111111111
Pulse experiments,pioreactor01,2026-08-25T21:34:01.700Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 03:19:01.700,1379.206111111111
Pulse experiments,pioreactor01,2026-08-25T21:34:02.200Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 03:19:02.200,1379.206388888889
Pulse experiments,pioreactor01,2026-08-25T21:34:02.632Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 03:19:02.632,1379.206388888889
Pulse experiments,pioreactor01,2026-08-25T21:34:03.132Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 03:19:03.132,1379.206666666667
Pulse experiments,pioreactor01,2026-08-25T21:34:03.633Z,add_media,0.004649647,dosing_automation:manual_dosing_control,2026-08-26 03:19:03.633,1379.206666666667
Pulse experiments,pioreactor01,2026-08-25T21:34:03.892Z,add_alt_media,0.05,dosing_automation:manual_dosing_control,2026-08-26 03:19:03.892,1379.206666666667
Pulse experiments,pioreactor01,2026-08-25T22:04:04.580Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 03:49:04.580,1379.706944444444
Pulse experiments,pioreactor01,2026-08-25T22:04:05.086Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 03:49:05.086,1379.707222222222
Pulse experiments,pioreactor01,2026-08-25T22:04:05.587Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 03:49:05.587,1379.707222222222
Pulse experiments,pioreactor01,2026-08-25T22:04:06.023Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 03:49:06.023,1379.7075
Pulse experiments,pioreactor01,2026-08-25T22:04:06.524Z,add_media,0.0723248235,dosing_automation:manual_dosing_control,2026-08-26 03:49:06.524,1379.7075
Pulse experiments,pioreactor01,2026-08-25T22:04:07.295Z,add_alt_media,0.04,dosing_automation:manual_dosing_control,2026-08-26 03:49:07.295,1379.707777777778
Pulse experiments,pioreactor01,2026-08-25T22:34:08.006Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 04:19:08.006,1380.208055555556
Pulse experiments,pioreactor01,2026-08-25T22:34:08.521Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 04:19:08.521,1380.208055555556
Pulse experiments,pioreactor01,2026-08-25T22:34:09.022Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 04:19:09.022,1380.208333333333
Pulse experiments,pioreactor01,2026-08-25T22:34:09.420Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 04:19:09.420,1380.208333333333
Pulse experiments,pioreactor01,2026-08-25T22:34:09.921Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 04:19:09.921,1380.208333333333
Pulse experiments,pioreactor01,2026-08-25T22:34:10.421Z,add_media,0.024649647,dosing_automation:manual_dosing_control,2026-08-26 04:19:10.421,1380.208611111111
Pulse experiments,pioreactor01,2026-08-25T22:34:10.869Z,add_alt_media,0.07,dosing_automation:manual_dosing_control,2026-08-26 04:19:10.869,1380.208611111111
Pulse experiments,pioreactor01,2026-08-25T23:04:11.710Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 04:49:11.710,1380.708888888889
Pulse experiments,pioreactor01,2026-08-25T23:04:12.217Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 04:49:12.217,1380.709166666667
Pulse experiments,pioreactor01,2026-08-25T23:04:12.717Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 04:49:12.717,1380.709166666667
Pulse experiments,pioreactor01,2026-08-25T23:04:13.181Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 04:49:13.181,1380.709444444444
Pulse experiments,pioreactor01,2026-08-25T23:04:13.682Z,add_media,0.0723248235,dosing_automation:manual_dosing_control,2026-08-26 04:49:13.682,1380.709444444444
Pulse experiments,pioreactor01,2026-08-25T23:04:14.343Z,add_alt_media,0.04,dosing_automation:manual_dosing_control,2026-08-26 04:49:14.343,1380.709722222222
Pulse experiments,pioreactor01,2026-08-25T23:34:15.017Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 05:19:15.017,1381.21
Pulse experiments,pioreactor01,2026-08-25T23:34:15.523Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 05:19:15.523,1381.21
