experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-25T14:35:31.230Z,C,50.0,UI,2026-08-25 20:20:31.230,1372.231111111111
Pulse experiments,pioreactor01,2026-08-25T14:35:38.442Z,C,0.0,UI,2026-08-25 20:20:38.442,1372.233055555556
Pulse experiments,pioreactor01,2026-08-25T14:36:37.417Z,C,10.0,UI,2026-08-25 20:21:37.417,1372.249444444444
Pulse experiments,pioreactor01,2026-08-25T14:36:42.788Z,C,0.0,UI,2026-08-25 20:21:42.788,1372.250833333333
Pulse experiments,pioreactor01,2026-08-25T15:33:14.561Z,C,19.6,,2026-08-25 21:18:14.561,1373.193055555555
Pulse experiments,pioreactor01,2026-08-25T16:03:14.691Z,C,45.0,,2026-08-25 21:48:14.691,1373.693055555555
Pulse experiments,pioreactor01,2026-08-25T16:33:14.805Z,C,5.7,,2026-08-25 22:18:14.805,1374.193055555555
Pulse experiments,pioreactor01,2026-08-25T17:03:14.947Z,C,6.6,,2026-08-25 22:48:14.947,1374.693055555555
Pulse experiments,pioreactor01,2026-08-25T17:33:15.093Z,C,3.0,,2026-08-25 23:18:15.093,1375.193333333333
Pulse experiments,pioreactor01,2026-08-25T18:03:15.236Z,C,7.0,,2026-08-25 23:48:15.236,1375.693333333333
Pulse experiments,pioreactor01,2026-08-25T18:33:15.375Z,C,4.8,,2026-08-26 00:18:15.375,1376.193333333333
Pulse experiments,pioreactor01,2026-08-25T19:03:15.517Z,C,4.2,,2026-08-26 00:48:15.517,1376.693333333333
Pulse experiments,pioreactor01,2026-08-25T19:33:15.660Z,C,7.5,,2026-08-26 01:18:15.660,1377.193333333333
Pulse experiments,pioreactor01,2026-08-25T20:03:15.806Z,C,2.7,,2026-08-26 01:48:15.806,1377.693333333333
Pulse experiments,pioreactor01,2026-08-25T22:03:16.390Z,C,8.2,,2026-08-26 03:48:16.390,1379.693611111111
Pulse experiments,pioreactor01,2026-08-25T22:33:16.567Z,C,3.0,,2026-08-26 04:18:16.567,1380.193611111111
Pulse experiments,pioreactor01,2026-08-25T23:03:16.746Z,C,6.0,,2026-08-26 04:48:16.746,1380.693611111111
Pulse experiments,pioreactor01,2026-08-25T23:33:16.932Z,C,7.5,,2026-08-26 05:18:16.932,1381.193611111111
Pulse experiments,pioreactor01,2026-08-26T00:03:17.088Z,C,1.9,,2026-08-26 05:48:17.088,1381.693888888889
Pulse experiments,pioreactor01,2026-08-26T00:33:17.237Z,C,8.8,,2026-08-26 06:18:17.237,1382.193888888889
Pulse experiments,pioreactor01,2026-08-26T01:03:17.386Z,C,3.5,,2026-08-26 06:48:17.386,1382.693888888889
Pulse experiments,pioreactor01,2026-08-26T01:33:17.531Z,C,5.5,,2026-08-26 07:18:17.531,1383.193888888889
Pulse experiments,pioreactor01,2026-08-26T02:03:17.681Z,C,8.7,,2026-08-26 07:48:17.681,1383.693888888889
Pulse experiments,pioreactor01,2026-08-26T02:33:17.831Z,C,0.9,,2026-08-26 08:18:17.831,1384.193888888889
Pulse experiments,pioreactor01,2026-08-26T03:03:17.979Z,C,9.7,,2026-08-26 08:48:17.979,1384.693888888889
Pulse experiments,pioreactor01,2026-08-26T03:33:18.129Z,C,3.4,,2026-08-26 09:18:18.129,1385.194166666667
Pulse experiments,pioreactor01,2026-08-26T04:03:18.285Z,C,6.3,,2026-08-26 09:48:18.285,1385.694166666667
Pulse experiments,pioreactor01,2026-08-26T04:33:18.447Z,C,9.5,,2026-08-26 10:18:18.447,1386.194166666667
Pulse experiments,pioreactor01,2026-08-26T05:03:18.599Z,C,0.5,,2026-08-26 10:48:18.599,1386.694166666667
Pulse experiments,pioreactor01,2026-08-26T05:33:18.747Z,C,11.7,,2026-08-26 11:18:18.747,1387.194166666667
Pulse experiments,pioreactor01,2026-08-26T06:03:18.811Z,C,0.0,,2026-08-26 11:48:18.811,1387.694166666667
Pulse experiments,pioreactor01,2026-08-26T06:33:18.981Z,C,10.6,,2026-08-26 12:18:18.981,1388.194166666667
Pulse experiments,pioreactor01,2026-08-26T07:03:19.135Z,C,6.5,,2026-08-26 12:48:19.135,1388.694444444444
Pulse experiments,pioreactor01,2026-08-26T07:23:28.795Z,C,0.0,,2026-08-26 13:08:28.795,1389.030277777778
