experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-25T14:32:48.089Z,Init.,app,DEBUG,temperature_automation,2026-08-25 20:17:48.089,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:32:48.101Z,Starting thermostat.,app,INFO,temperature_automation,2026-08-25 20:17:48.101,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:32:48.395Z,"Initialized GPIO-18 using software-timing, initial frequency = 16 hz.",app,DEBUG,temperature_automation,2026-08-25 20:17:48.395,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:32:48.816Z,PID output = 8.9375,app,DEBUG,temperature_automation,2026-08-25 20:17:48.816,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:32:48.818Z,UpdatedHeaterDC: delta_dc=8.9375,app,INFO,temperature_automation,2026-08-25 20:17:48.818,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:32:48.868Z,It's recommended to have stirring on when using the thermostat.,app,WARNING,temperature_automation,2026-08-25 20:17:48.868,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:32:48.924Z,Ready.,app,INFO,temperature_automation,2026-08-25 20:17:48.924,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:32:48.927Z,temperature_automation is blocking until disconnected.,app,DEBUG,temperature_automation,2026-08-25 20:17:48.927,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:33:04.626Z,Init.,app,DEBUG,stirring,2026-08-25 20:18:04.626,1372.190277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:04.692Z,Operating with RPM feedback loop.,app,DEBUG,stirring,2026-08-25 20:18:04.692,1372.190277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:04.706Z,"Initialized GPIO-17 using software-timing, initial frequency = 200.0 hz.",app,DEBUG,stirring,2026-08-25 20:18:04.706,1372.190277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:04.770Z,Dodging disabled; running continuously.,app,DEBUG,stirring,2026-08-25 20:18:04.770,1372.190277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:04.773Z,Starting initialize_continuous_operation,app,DEBUG,stirring,2026-08-25 20:18:04.773,1372.190277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:05.337Z,Finished initialize_continuous_operation,app,DEBUG,stirring,2026-08-25 20:18:05.337,1372.190555555556
Pulse experiments,pioreactor01,2026-08-25T14:33:05.383Z,Ready.,app,INFO,stirring,2026-08-25 20:18:05.383,1372.190555555556
Pulse experiments,pioreactor01,2026-08-25T14:33:05.386Z,stirring is blocking until RPM is near 500.0.,app,DEBUG,stirring,2026-08-25 20:18:05.386,1372.190555555556
Pulse experiments,pioreactor01,2026-08-25T14:33:08.897Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:08.897,1372.191388888889
Pulse experiments,pioreactor01,2026-08-25T14:33:08.906Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:08.906,1372.191388888889
Pulse experiments,pioreactor01,2026-08-25T14:33:12.285Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:12.285,1372.1925
Pulse experiments,pioreactor01,2026-08-25T14:33:12.293Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:12.293,1372.1925
Pulse experiments,pioreactor01,2026-08-25T14:33:15.665Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:15.665,1372.193333333333
Pulse experiments,pioreactor01,2026-08-25T14:33:15.671Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:15.671,1372.193333333333
Pulse experiments,pioreactor01,2026-08-25T14:33:19.061Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:19.061,1372.194444444444
Pulse experiments,pioreactor01,2026-08-25T14:33:19.066Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:19.066,1372.194444444444
Pulse experiments,pioreactor01,2026-08-25T14:33:22.443Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:22.443,1372.195277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:22.450Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:22.450,1372.195277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:25.825Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:25.825,1372.196111111111
Pulse experiments,pioreactor01,2026-08-25T14:33:25.830Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:25.830,1372.196111111111
Pulse experiments,pioreactor01,2026-08-25T14:33:29.212Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:29.212,1372.197222222222
Pulse experiments,pioreactor01,2026-08-25T14:33:29.219Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:29.219,1372.197222222222
Pulse experiments,pioreactor01,2026-08-25T14:33:32.591Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:32.591,1372.198055555556
Pulse experiments,pioreactor01,2026-08-25T14:33:32.596Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:32.596,1372.198055555556
Pulse experiments,pioreactor01,2026-08-25T14:33:35.991Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:35.991,1372.198888888889
Pulse experiments,pioreactor01,2026-08-25T14:33:35.997Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:35.997,1372.198888888889
Pulse experiments,pioreactor01,2026-08-25T14:33:51.701Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:51.701,1372.203333333333
Pulse experiments,pioreactor01,2026-08-25T14:33:51.706Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:51.706,1372.203333333333
Pulse experiments,pioreactor01,2026-08-25T14:33:55.091Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:55.091,1372.204444444444
Pulse experiments,pioreactor01,2026-08-25T14:33:55.098Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:55.098,1372.204444444444
Pulse experiments,pioreactor01,2026-08-25T14:33:58.462Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:18:58.462,1372.205277777778
Pulse experiments,pioreactor01,2026-08-25T14:33:58.467Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:18:58.467,1372.205277777778
Pulse experiments,pioreactor01,2026-08-25T14:34:01.842Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:19:01.842,1372.206111111111
Pulse experiments,pioreactor01,2026-08-25T14:34:01.847Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:19:01.847,1372.206111111111
Pulse experiments,pioreactor01,2026-08-25T14:34:05.232Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:19:05.232,1372.207222222222
Pulse experiments,pioreactor01,2026-08-25T14:34:05.238Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:19:05.238,1372.207222222222
Pulse experiments,pioreactor01,2026-08-25T14:34:06.905Z,"Waited 61.5 seconds for RPM to match, breaking out early.",app,DEBUG,stirring,2026-08-25 20:19:06.905,1372.2075
Pulse experiments,pioreactor01,2026-08-25T14:34:06.908Z,stirring is blocking until disconnected.,app,DEBUG,stirring,2026-08-25 20:19:06.908,1372.2075
Pulse experiments,pioreactor01,2026-08-25T14:34:20.983Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:19:20.983,1372.211388888889
Pulse experiments,pioreactor01,2026-08-25T14:34:20.988Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:19:20.988,1372.211388888889
Pulse experiments,pioreactor01,2026-08-25T14:34:43.983Z,"Stirring RPM is 0 - attempting to restart it automatically. It may be a temporary stall, target RPM may be too low, insufficient power applied to fan, or not reading sensor correctly.",app,WARNING,stirring,2026-08-25 20:19:43.983,1372.217777777778
Pulse experiments,pioreactor01,2026-08-25T14:34:43.989Z,Kicking stirring,app,DEBUG,stirring,2026-08-25 20:19:43.989,1372.217777777778
Pulse experiments,pioreactor01,2026-08-25T14:35:19.169Z,Updated target_rpm from 500.0 RPM to 700.0 RPM.,app,INFO,stirring,2026-08-25 20:20:19.169,1372.227777777778
Pulse experiments,pioreactor01,2026-08-25T14:35:31.232Z,Updated LED C from 0% to 50%.,app,INFO,led_intensity,2026-08-25 20:20:31.232,1372.231111111111
Pulse experiments,pioreactor01,2026-08-25T14:35:38.444Z,Updated LED C from 50% to 0%.,app,INFO,led_intensity,2026-08-25 20:20:38.444,1372.233055555556
Pulse experiments,pioreactor01,2026-08-25T14:36:14.949Z,"features={'previous_heater_dc': 8.94, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.369999999999997, 'time_series_of_temp': [33.1875, 32.875, 32.6875, 32.5, 32.375, 32.25, 32.125, 32.041666666666664, 31.9375, 31.8125, 31.6875, 31.5625, 31.458333333333332, 31.375, 31.3125, 31.25, 31.15625, 31.125, 31.0625, 31.0625, 31.0]}",app,DEBUG,temperature_automation,2026-08-25 20:21:14.949,1372.243055555556
Pulse experiments,pioreactor01,2026-08-25T14:36:15.055Z,PID output = 9.099500000000006,app,DEBUG,temperature_automation,2026-08-25 20:21:15.055,1372.243333333333
Pulse experiments,pioreactor01,2026-08-25T14:36:15.058Z,UpdatedHeaterDC: delta_dc=9.099500000000006,app,INFO,temperature_automation,2026-08-25 20:21:15.058,1372.243333333333
Pulse experiments,pioreactor01,2026-08-25T14:36:37.419Z,Updated LED C from 0% to 10%.,app,INFO,led_intensity,2026-08-25 20:21:37.419,1372.249444444444
Pulse experiments,pioreactor01,2026-08-25T14:36:42.790Z,Updated LED C from 10% to 0%.,app,INFO,led_intensity,2026-08-25 20:21:42.790,1372.250833333333
Pulse experiments,pioreactor01,2026-08-25T14:36:48.965Z,Init.,spectrometer_reading_plugin,DEBUG,spectrometer_reading,2026-08-25 20:21:48.965,1372.2525
Pulse experiments,pioreactor01,2026-08-25T14:36:49.050Z,Dodging disabled; running continuously.,spectrometer_reading_plugin,DEBUG,spectrometer_reading,2026-08-25 20:21:49.050,1372.252777777778
Pulse experiments,pioreactor01,2026-08-25T14:36:49.102Z,Ready.,spectrometer_reading_plugin,INFO,spectrometer_reading,2026-08-25 20:21:49.102,1372.252777777778
Pulse experiments,pioreactor01,2026-08-25T14:36:49.105Z,spectrometer_reading is blocking until disconnected.,spectrometer_reading_plugin,DEBUG,spectrometer_reading,2026-08-25 20:21:49.105,1372.252777777778
Pulse experiments,pioreactor01,2026-08-25T14:37:04.877Z,Dodging enabled.,spectrometer_reading_plugin,DEBUG,spectrometer_reading,2026-08-25 20:22:04.877,1372.256944444444
Pulse experiments,pioreactor01,2026-08-25T14:37:04.881Z,Init.,app,DEBUG,od_reading,2026-08-25 20:22:04.881,1372.256944444444
Pulse experiments,pioreactor01,2026-08-25T14:37:04.889Z,OD setup: calibrations=none; estimator=od-fused-estimator-2026-04-03.,app,DEBUG,od_reading,2026-08-25 20:22:04.889,1372.256944444444
Pulse experiments,pioreactor01,2026-08-25T14:37:05.415Z,"ADC offsets: {'2': 0.8420991003906251, '3': 8.421055001953125, '4': 54.73683831328125, '1': 29.894742057031248}, and in voltage: {'2': 6.579100000000001e-06, '3': 6.57915e-05, '4': 0.0004276446, '1': 0.0002335598}",app,DEBUG,od_reading,2026-08-25 20:22:05.415,1372.257222222222
Pulse experiments,pioreactor01,2026-08-25T14:37:05.705Z,Setting ADC class ADS1114_ADC for pd2 with initial gain 4.0.,app,DEBUG,od_reading,2026-08-25 20:22:05.705,1372.257222222222
Pulse experiments,pioreactor01,2026-08-25T14:37:05.708Z,Setting ADC class ADS1114_ADC for pd3 with initial gain 8.0.,app,DEBUG,od_reading,2026-08-25 20:22:05.708,1372.257222222222
Pulse experiments,pioreactor01,2026-08-25T14:37:05.710Z,Setting ADC class ADS1114_ADC for pd4 with initial gain 4.0.,app,DEBUG,od_reading,2026-08-25 20:22:05.710,1372.257222222222
Pulse experiments,pioreactor01,2026-08-25T14:37:05.714Z,Setting ADC class ADS1114_ADC for pd1 with initial gain 2.0.,app,DEBUG,od_reading,2026-08-25 20:22:05.714,1372.257222222222
Pulse experiments,pioreactor01,2026-08-25T14:37:05.762Z,"Starting od_reading with PD channels {'2': '90', '3': '135', '4': '45'}, with IR LED intensity 80.0% from channel A every 5.0 seconds.",app,DEBUG,od_reading,2026-08-25 20:22:05.762,1372.257222222222
Pulse experiments,pioreactor01,2026-08-25T14:37:05.814Z,Ready.,app,INFO,od_reading,2026-08-25 20:22:05.814,1372.257222222222
Pulse experiments,pioreactor01,2026-08-25T14:37:05.817Z,od_reading is blocking until disconnected.,app,DEBUG,od_reading,2026-08-25 20:22:05.817,1372.257222222222
