feature_set,task,delay_steps,memory_min,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy
full_sensor_panel,uv_high_low,0,0.0,32,0.4375,0.4375,0.43529411764705883,0.5
full_sensor_panel,uv_high_low,1,30.0,31,0.41935483870967744,0.41666666666666663,0.41386554621848737,0.5161290322580645
full_sensor_panel,uv_high_low,2,60.0,30,0.36666666666666664,0.3705357142857143,0.3659621802002225,0.5333333333333333
full_sensor_panel,uv_high_low,3,90.0,29,0.3793103448275862,0.38095238095238093,0.37857142857142856,0.5172413793103449
full_sensor_panel,uv_high_low,4,120.0,28,0.2857142857142857,0.2923076923076923,0.28205128205128205,0.5357142857142857
full_sensor_panel,uv_high_low,5,150.0,27,0.2962962962962963,0.2967032967032967,0.2962962962962963,0.5185185185185185
full_sensor_panel,uv_high_low,6,180.0,26,0.38461538461538464,0.39285714285714285,0.38095238095238093,0.5384615384615384
full_sensor_panel,temp_high_low,0,0.0,32,0.40625,0.40588235294117647,0.4056695992179863,0.53125
full_sensor_panel,temp_high_low,1,30.0,31,0.3870967741935484,0.3907563025210084,0.3870967741935484,0.5483870967741935
full_sensor_panel,temp_high_low,2,60.0,30,0.43333333333333335,0.4457013574660633,0.43270300333704115,0.5666666666666667
full_sensor_panel,temp_high_low,3,90.0,29,0.4482758620689655,0.4495192307692308,0.4476190476190476,0.5517241379310345
full_sensor_panel,temp_high_low,4,120.0,28,0.39285714285714285,0.40625,0.39208173690932313,0.5714285714285714
full_sensor_panel,temp_high_low,5,150.0,27,0.3333333333333333,0.35,0.325,0.5555555555555556
full_sensor_panel,temp_high_low,6,180.0,26,0.3076923076923077,0.3214285714285714,0.2909090909090909,0.5384615384615384
full_sensor_panel,glucose_high_low,0,0.0,32,0.25,0.23333333333333334,0.23809523809523808,0.625
full_sensor_panel,glucose_high_low,1,30.0,31,0.22580645161290322,0.1995614035087719,0.20512820512820512,0.6129032258064516
full_sensor_panel,glucose_high_low,2,60.0,30,0.2,0.1770334928229665,0.18552036199095023,0.6333333333333333
full_sensor_panel,glucose_high_low,3,90.0,29,0.20689655172413793,0.16666666666666666,0.17142857142857143,0.6206896551724138
full_sensor_panel,glucose_high_low,4,120.0,28,0.17857142857142858,0.14705882352941177,0.15151515151515152,0.6071428571428571
full_sensor_panel,glucose_high_low,5,150.0,27,0.14814814814814814,0.11764705882352941,0.12903225806451613,0.6296296296296297
full_sensor_panel,glucose_high_low,6,180.0,26,0.23076923076923078,0.1875,0.1875,0.6153846153846154
full_sensor_panel,salt_high_low,0,0.0,32,0.25,0.23333333333333334,0.23809523809523808,0.625
full_sensor_panel,salt_high_low,1,30.0,31,0.22580645161290322,0.1995614035087719,0.20512820512820512,0.6129032258064516
full_sensor_panel,salt_high_low,2,60.0,30,0.2,0.1770334928229665,0.18552036199095023,0.6333333333333333
full_sensor_panel,salt_high_low,3,90.0,29,0.20689655172413793,0.16666666666666666,0.17142857142857143,0.6206896551724138
full_sensor_panel,salt_high_low,4,120.0,28,0.17857142857142858,0.14705882352941177,0.15151515151515152,0.6071428571428571
full_sensor_panel,salt_high_low,5,150.0,27,0.14814814814814814,0.11764705882352941,0.12903225806451613,0.6296296296296297
full_sensor_panel,salt_high_low,6,180.0,26,0.23076923076923078,0.1875,0.1875,0.6153846153846154
full_sensor_panel,uv_temp_glucose_regime,0,0.0,32,0.0625,0.06547619047619048,0.05158730158730159,0.3125
full_sensor_panel,uv_temp_glucose_regime,1,30.0,31,0.03225806451612903,0.027777777777777776,0.027777777777777776,0.2903225806451613
bio_optical_only,uv_high_low,0,0.0,32,0.34375,0.34375,0.3107692307692308,0.5
bio_optical_only,uv_high_low,1,30.0,31,0.45161290322580644,0.45208333333333334,0.45161290322580644,0.5161290322580645
bio_optical_only,uv_high_low,2,60.0,30,0.4666666666666667,0.4732142857142857,0.4642857142857143,0.5333333333333333
bio_optical_only,uv_high_low,3,90.0,29,0.5172413793103449,0.5166666666666666,0.5166666666666666,0.5172413793103449
bio_optical_only,uv_high_low,4,120.0,28,0.5357142857142857,0.5358974358974359,0.5351213282247764,0.5357142857142857
bio_optical_only,uv_high_low,5,150.0,27,0.5185185185185185,0.5164835164835164,0.5158620689655172,0.5185185185185185
bio_optical_only,uv_high_low,6,180.0,26,0.5769230769230769,0.5714285714285714,0.5712143928035982,0.5384615384615384
bio_optical_only,temp_high_low,0,0.0,32,0.53125,0.5352941176470588,0.530791788856305,0.53125
bio_optical_only,temp_high_low,1,30.0,31,0.5483870967741935,0.5567226890756303,0.5479166666666666,0.5483870967741935
