task,delay_steps,memory_min,n_after_nan_drop,accuracy,balanced_accuracy,macro_f1,majority_accuracy
uv_high_low,0,0.0,32,0.3125,0.3125,0.30980392156862746,0.5
uv_high_low,1,30.0,31,0.41935483870967744,0.4145833333333333,0.40384615384615385,0.5161290322580645
uv_high_low,2,60.0,30,0.3,0.3035714285714286,0.2992213570634038,0.5333333333333333
uv_high_low,3,90.0,29,0.3103448275862069,0.30952380952380953,0.30952380952380953,0.5172413793103449
uv_high_low,4,120.0,28,0.25,0.258974358974359,0.24129032258064514,0.5357142857142857
uv_high_low,5,150.0,27,0.2962962962962963,0.2967032967032967,0.2962962962962963,0.5185185185185185
uv_high_low,6,180.0,26,0.3076923076923077,0.30952380952380953,0.3076923076923077,0.5384615384615384
temp_high_low,0,0.0,32,0.40625,0.40588235294117647,0.4056695992179863,0.53125
temp_high_low,1,30.0,31,0.41935483870967744,0.42647058823529416,0.41875,0.5483870967741935
temp_high_low,2,60.0,30,0.43333333333333335,0.4457013574660633,0.43270300333704115,0.5666666666666667
temp_high_low,3,90.0,29,0.4827586206896552,0.4879807692307692,0.4827586206896552,0.5517241379310345
temp_high_low,4,120.0,28,0.35714285714285715,0.375,0.35384615384615387,0.5714285714285714
temp_high_low,5,150.0,27,0.3333333333333333,0.35,0.325,0.5555555555555556
temp_high_low,6,180.0,26,0.3076923076923077,0.3214285714285714,0.2909090909090909,0.5384615384615384
glucose_high_low,0,0.0,32,0.1875,0.18333333333333335,0.1843137254901961,0.625
glucose_high_low,1,30.0,31,0.1935483870967742,0.15789473684210525,0.16216216216216217,0.6129032258064516
glucose_high_low,2,60.0,30,0.16666666666666666,0.13157894736842105,0.14285714285714285,0.6333333333333333
glucose_high_low,3,90.0,29,0.13793103448275862,0.1111111111111111,0.12121212121212122,0.6206896551724138
glucose_high_low,4,120.0,28,0.14285714285714285,0.11764705882352941,0.125,0.6071428571428571
glucose_high_low,5,150.0,27,0.1111111111111111,0.08823529411764706,0.1,0.6296296296296297
glucose_high_low,6,180.0,26,0.11538461538461539,0.09375,0.10344827586206896,0.6153846153846154
salt_high_low,0,0.0,32,0.1875,0.18333333333333335,0.1843137254901961,0.625
salt_high_low,1,30.0,31,0.1935483870967742,0.15789473684210525,0.16216216216216217,0.6129032258064516
salt_high_low,2,60.0,30,0.16666666666666666,0.13157894736842105,0.14285714285714285,0.6333333333333333
salt_high_low,3,90.0,29,0.13793103448275862,0.1111111111111111,0.12121212121212122,0.6206896551724138
salt_high_low,4,120.0,28,0.14285714285714285,0.11764705882352941,0.125,0.6071428571428571
salt_high_low,5,150.0,27,0.1111111111111111,0.08823529411764706,0.1,0.6296296296296297
salt_high_low,6,180.0,26,0.11538461538461539,0.09375,0.10344827586206896,0.6153846153846154
uv_temp_glucose_regime,0,0.0,32,0.03125,0.023809523809523808,0.027777777777777776,0.3125
uv_temp_glucose_regime,1,30.0,31,0.06451612903225806,0.0462962962962963,0.05113636363636364,0.2903225806451613
