experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-25T14:32:48.867Z,UpdatedHeaterDC,delta_dc=8.9375,"{""current_dc"": 8.94, ""delta_dc"": 8.9375, ""target_temperature"": 34.0, ""latest_temperature"": 30.5625}",2026-08-25 20:17:48.867,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:36:15.103Z,UpdatedHeaterDC,delta_dc=9.099500000000006,"{""current_dc"": 18.04, ""delta_dc"": 9.099500000000006, ""target_temperature"": 34.0, ""latest_temperature"": 30.54}",2026-08-25 20:21:15.103,1372.243333333333
Pulse experiments,pioreactor01,2026-08-25T14:38:34.247Z,UpdatedHeaterDC,delta_dc=-8.6125,"{""current_dc"": 0.0, ""delta_dc"": -8.6125, ""target_temperature"": 30.4, ""latest_temperature"": 32.3125}",2026-08-25 20:23:34.247,1372.281944444444
Pulse experiments,pioreactor01,2026-08-25T14:38:54.992Z,UpdatedHeaterDC,delta_dc=5.60625,"{""current_dc"": 5.61, ""delta_dc"": 5.60625, ""target_temperature"": 34.0, ""latest_temperature"": 31.84375}",2026-08-25 20:23:54.992,1372.2875
Pulse experiments,pioreactor01,2026-08-25T14:42:21.222Z,UpdatedHeaterDC,delta_dc=11.03325,"{""current_dc"": 16.64, ""delta_dc"": 11.03325, ""target_temperature"": 34.0, ""latest_temperature"": 31.09}",2026-08-25 20:27:21.222,1372.345
Pulse experiments,pioreactor01,2026-08-25T14:45:41.224Z,UpdatedHeaterDC,delta_dc=9.293999999999988,"{""current_dc"": 25.93, ""delta_dc"": 9.293999999999988, ""target_temperature"": 34.0, ""latest_temperature"": 30.85}",2026-08-25 20:30:41.224,1372.400555555555
Pulse experiments,pioreactor01,2026-08-25T14:49:01.213Z,UpdatedHeaterDC,delta_dc=7.541999999999997,"{""current_dc"": 33.47, ""delta_dc"": 7.541999999999997, ""target_temperature"": 34.0, ""latest_temperature"": 30.94}",2026-08-25 20:34:01.213,1372.456111111111
Pulse experiments,pioreactor01,2026-08-25T14:52:21.224Z,UpdatedHeaterDC,delta_dc=6.372000000000005,"{""current_dc"": 39.84, ""delta_dc"": 6.372000000000005, ""target_temperature"": 34.0, ""latest_temperature"": 31.16}",2026-08-25 20:37:21.224,1372.511666666667
Pulse experiments,pioreactor01,2026-08-25T14:55:41.242Z,UpdatedHeaterDC,delta_dc=4.792000000000004,"{""current_dc"": 44.63, ""delta_dc"": 4.792000000000004, ""target_temperature"": 34.0, ""latest_temperature"": 31.52}",2026-08-25 20:40:41.242,1372.567222222222
Pulse experiments,pioreactor01,2026-08-25T14:59:01.222Z,UpdatedHeaterDC,delta_dc=1.8400000000000225,"{""current_dc"": 46.47, ""delta_dc"": 1.8400000000000225, ""target_temperature"": 34.0, ""latest_temperature"": 32.16}",2026-08-25 20:44:01.222,1372.622777777778
