experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-25T14:32:48.761Z,30.5625,2026-08-25 20:17:48.761,1372.185833333333
Pulse experiments,pioreactor01,2026-08-25T14:36:14.950Z,30.54,2026-08-25 20:21:14.950,1372.243055555556
Pulse experiments,pioreactor01,2026-08-25T14:38:34.133Z,32.3125,2026-08-25 20:23:34.133,1372.281944444444
Pulse experiments,pioreactor01,2026-08-25T14:38:54.893Z,31.84375,2026-08-25 20:23:54.893,1372.2875
Pulse experiments,pioreactor01,2026-08-25T14:42:21.079Z,31.09,2026-08-25 20:27:21.079,1372.345
Pulse experiments,pioreactor01,2026-08-25T14:45:41.076Z,30.85,2026-08-25 20:30:41.076,1372.400555555555
Pulse experiments,pioreactor01,2026-08-25T14:49:01.071Z,30.94,2026-08-25 20:34:01.071,1372.456111111111
Pulse experiments,pioreactor01,2026-08-25T14:52:21.077Z,31.16,2026-08-25 20:37:21.077,1372.511666666667
Pulse experiments,pioreactor01,2026-08-25T14:55:41.080Z,31.52,2026-08-25 20:40:41.080,1372.567222222222
Pulse experiments,pioreactor01,2026-08-25T14:59:01.077Z,32.16,2026-08-25 20:44:01.077,1372.622777777778
Pulse experiments,pioreactor01,2026-08-25T15:02:21.077Z,32.73,2026-08-25 20:47:21.077,1372.678333333333
Pulse experiments,pioreactor01,2026-08-25T15:05:41.090Z,33.48,2026-08-25 20:50:41.090,1372.733888888889
Pulse experiments,pioreactor01,2026-08-25T15:09:01.082Z,33.96,2026-08-25 20:54:01.082,1372.789444444444
Pulse experiments,pioreactor01,2026-08-25T15:12:21.075Z,34.49,2026-08-25 20:57:21.075,1372.845
Pulse experiments,pioreactor01,2026-08-25T15:15:41.075Z,34.8,2026-08-25 21:00:41.075,1372.900555555555
Pulse experiments,pioreactor01,2026-08-25T15:19:01.083Z,35.07,2026-08-25 21:04:01.083,1372.956111111111
Pulse experiments,pioreactor01,2026-08-25T15:22:21.082Z,35.31,2026-08-25 21:07:21.082,1373.011666666667
Pulse experiments,pioreactor01,2026-08-25T15:25:41.073Z,35.35,2026-08-25 21:10:41.073,1373.067222222222
Pulse experiments,pioreactor01,2026-08-25T15:29:01.081Z,35.21,2026-08-25 21:14:01.081,1373.122777777778
Pulse experiments,pioreactor01,2026-08-25T15:32:21.081Z,35.02,2026-08-25 21:17:21.081,1373.178333333333
Pulse experiments,pioreactor01,2026-08-25T15:33:17.011Z,37.3125,2026-08-25 21:18:17.011,1373.193888888889
Pulse experiments,pioreactor01,2026-08-25T15:36:44.730Z,34.6,2026-08-25 21:21:44.730,1373.251388888889
Pulse experiments,pioreactor01,2026-08-25T15:40:04.314Z,33.94,2026-08-25 21:25:04.314,1373.306944444445
Pulse experiments,pioreactor01,2026-08-25T15:43:24.314Z,33.44,2026-08-25 21:28:24.314,1373.3625
Pulse experiments,pioreactor01,2026-08-25T15:46:44.269Z,33.03,2026-08-25 21:31:44.269,1373.418055555556
Pulse experiments,pioreactor01,2026-08-25T15:50:04.277Z,32.69,2026-08-25 21:35:04.277,1373.473611111111
Pulse experiments,pioreactor01,2026-08-25T15:53:24.299Z,32.38,2026-08-25 21:38:24.299,1373.529166666667
Pulse experiments,pioreactor01,2026-08-25T15:56:44.300Z,32.12,2026-08-25 21:41:44.300,1373.584722222222
Pulse experiments,pioreactor01,2026-08-25T16:00:04.292Z,31.88,2026-08-25 21:45:04.292,1373.640277777778
Pulse experiments,pioreactor01,2026-08-25T16:03:24.304Z,31.69,2026-08-25 21:48:24.304,1373.695833333333
Pulse experiments,pioreactor01,2026-08-25T16:06:44.908Z,31.5,2026-08-25 21:51:44.908,1373.751388888889
Pulse experiments,pioreactor01,2026-08-25T16:10:05.039Z,31.38,2026-08-25 21:55:05.039,1373.807222222222
Pulse experiments,pioreactor01,2026-08-25T16:13:24.316Z,31.27,2026-08-25 21:58:24.316,1373.8625
Pulse experiments,pioreactor01,2026-08-25T16:16:44.288Z,31.19,2026-08-25 22:01:44.288,1373.918055555556
Pulse experiments,pioreactor01,2026-08-25T16:20:04.303Z,31.11,2026-08-25 22:05:04.303,1373.973611111111
Pulse experiments,pioreactor01,2026-08-25T16:23:24.308Z,31.06,2026-08-25 22:08:24.308,1374.029166666667
Pulse experiments,pioreactor01,2026-08-25T16:26:44.300Z,31.0,2026-08-25 22:11:44.300,1374.084722222222
Pulse experiments,pioreactor01,2026-08-25T16:30:04.285Z,30.93,2026-08-25 22:15:04.285,1374.140277777778
Pulse experiments,pioreactor01,2026-08-25T16:33:24.301Z,30.78,2026-08-25 22:18:24.301,1374.195833333333
Pulse experiments,pioreactor01,2026-08-25T16:36:44.902Z,30.68,2026-08-25 22:21:44.902,1374.251388888889
Pulse experiments,pioreactor01,2026-08-25T16:40:04.760Z,30.56,2026-08-25 22:25:04.760,1374.306944444445
Pulse experiments,pioreactor01,2026-08-25T16:43:24.323Z,30.45,2026-08-25 22:28:24.323,1374.3625
Pulse experiments,pioreactor01,2026-08-25T16:46:44.273Z,30.36,2026-08-25 22:31:44.273,1374.418055555556
Pulse experiments,pioreactor01,2026-08-25T16:50:04.312Z,30.25,2026-08-25 22:35:04.312,1374.473611111111
Pulse experiments,pioreactor01,2026-08-25T16:53:24.322Z,30.19,2026-08-25 22:38:24.322,1374.529166666667
Pulse experiments,pioreactor01,2026-08-25T16:56:44.309Z,30.12,2026-08-25 22:41:44.309,1374.584722222222
Pulse experiments,pioreactor01,2026-08-25T17:00:04.298Z,30.07,2026-08-25 22:45:04.298,1374.640277777778
Pulse experiments,pioreactor01,2026-08-25T17:03:24.303Z,30.05,2026-08-25 22:48:24.303,1374.695833333333
Pulse experiments,pioreactor01,2026-08-25T17:06:44.788Z,30.0,2026-08-25 22:51:44.788,1374.751388888889
Pulse experiments,pioreactor01,2026-08-25T17:10:04.855Z,30.0,2026-08-25 22:55:04.855,1374.806944444445
Pulse experiments,pioreactor01,2026-08-25T17:13:24.411Z,29.95,2026-08-25 22:58:24.411,1374.8625
Pulse experiments,pioreactor01,2026-08-25T17:16:44.309Z,29.94,2026-08-25 23:01:44.309,1374.918055555556
Pulse experiments,pioreactor01,2026-08-25T17:20:04.295Z,29.92,2026-08-25 23:05:04.295,1374.973611111111
Pulse experiments,pioreactor01,2026-08-25T17:23:24.299Z,29.88,2026-08-25 23:08:24.299,1375.029166666667
Pulse experiments,pioreactor01,2026-08-25T17:26:44.293Z,29.88,2026-08-25 23:11:44.293,1375.084722222222
Pulse experiments,pioreactor01,2026-08-25T17:30:04.309Z,29.81,2026-08-25 23:15:04.309,1375.140277777778
Pulse experiments,pioreactor01,2026-08-25T17:33:24.286Z,29.81,2026-08-25 23:18:24.286,1375.195833333333
Pulse experiments,pioreactor01,2026-08-25T17:36:44.963Z,29.81,2026-08-25 23:21:44.963,1375.251388888889
Pulse experiments,pioreactor01,2026-08-25T17:40:04.817Z,29.77,2026-08-25 23:25:04.817,1375.306944444445
Pulse experiments,pioreactor01,2026-08-25T17:43:24.303Z,29.75,2026-08-25 23:28:24.303,1375.3625
Pulse experiments,pioreactor01,2026-08-25T17:46:44.308Z,29.75,2026-08-25 23:31:44.308,1375.418055555556
Pulse experiments,pioreactor01,2026-08-25T17:50:04.330Z,29.75,2026-08-25 23:35:04.330,1375.473611111111
Pulse experiments,pioreactor01,2026-08-25T17:53:24.293Z,29.71,2026-08-25 23:38:24.293,1375.529166666667
Pulse experiments,pioreactor01,2026-08-25T17:56:44.304Z,29.69,2026-08-25 23:41:44.304,1375.584722222222
Pulse experiments,pioreactor01,2026-08-25T18:00:04.287Z,29.69,2026-08-25 23:45:04.287,1375.640277777778
Pulse experiments,pioreactor01,2026-08-25T18:03:24.300Z,29.68,2026-08-25 23:48:24.300,1375.695833333333
Pulse experiments,pioreactor01,2026-08-25T18:06:44.836Z,29.64,2026-08-25 23:51:44.836,1375.751388888889
Pulse experiments,pioreactor01,2026-08-25T18:10:04.672Z,29.64,2026-08-25 23:55:04.672,1375.806944444445
Pulse experiments,pioreactor01,2026-08-25T18:13:24.288Z,29.62,2026-08-25 23:58:24.288,1375.8625
Pulse experiments,pioreactor01,2026-08-25T18:16:44.300Z,29.62,2026-08-26 00:01:44.300,1375.918055555556
Pulse experiments,pioreactor01,2026-08-25T18:20:04.287Z,29.62,2026-08-26 00:05:04.287,1375.973611111111
Pulse experiments,pioreactor01,2026-08-25T18:23:24.305Z,29.62,2026-08-26 00:08:24.305,1376.029166666667
Pulse experiments,pioreactor01,2026-08-25T18:26:44.272Z,29.62,2026-08-26 00:11:44.272,1376.084722222222
Pulse experiments,pioreactor01,2026-08-25T18:30:04.291Z,29.62,2026-08-26 00:15:04.291,1376.140277777778
Pulse experiments,pioreactor01,2026-08-25T18:33:24.327Z,29.62,2026-08-26 00:18:24.327,1376.195833333333
Pulse experiments,pioreactor01,2026-08-25T18:36:44.874Z,29.59,2026-08-26 00:21:44.874,1376.251388888889
Pulse experiments,pioreactor01,2026-08-25T18:40:04.937Z,29.62,2026-08-26 00:25:04.937,1376.306944444445
Pulse experiments,pioreactor01,2026-08-25T18:43:24.741Z,29.62,2026-08-26 00:28:24.741,1376.3625
Pulse experiments,pioreactor01,2026-08-25T18:46:44.323Z,29.59,2026-08-26 00:31:44.323,1376.418055555556
Pulse experiments,pioreactor01,2026-08-25T18:50:04.305Z,29.6,2026-08-26 00:35:04.305,1376.473611111111
Pulse experiments,pioreactor01,2026-08-25T18:53:24.313Z,29.56,2026-08-26 00:38:24.313,1376.529166666667
Pulse experiments,pioreactor01,2026-08-25T18:56:44.311Z,29.56,2026-08-26 00:41:44.311,1376.584722222222
Pulse experiments,pioreactor01,2026-08-25T19:00:04.294Z,29.56,2026-08-26 00:45:04.294,1376.640277777778
Pulse experiments,pioreactor01,2026-08-25T19:03:24.311Z,29.55,2026-08-26 00:48:24.311,1376.695833333333
Pulse experiments,pioreactor01,2026-08-25T19:06:44.943Z,29.52,2026-08-26 00:51:44.943,1376.751388888889
Pulse experiments,pioreactor01,2026-08-25T19:10:04.920Z,29.5,2026-08-26 00:55:04.920,1376.806944444445
Pulse experiments,pioreactor01,2026-08-25T19:13:24.336Z,29.5,2026-08-26 00:58:24.336,1376.8625
Pulse experiments,pioreactor01,2026-08-25T19:16:44.324Z,29.51,2026-08-26 01:01:44.324,1376.918055555556
Pulse experiments,pioreactor01,2026-08-25T19:20:04.298Z,29.5,2026-08-26 01:05:04.298,1376.973611111111
Pulse experiments,pioreactor01,2026-08-25T19:23:24.285Z,29.5,2026-08-26 01:08:24.285,1377.029166666667
Pulse experiments,pioreactor01,2026-08-25T19:26:44.291Z,29.49,2026-08-26 01:11:44.291,1377.084722222222
Pulse experiments,pioreactor01,2026-08-25T19:30:04.297Z,29.45,2026-08-26 01:15:04.297,1377.140277777778
Pulse experiments,pioreactor01,2026-08-25T19:33:24.263Z,29.44,2026-08-26 01:18:24.263,1377.195833333333
Pulse experiments,pioreactor01,2026-08-25T19:36:45.053Z,29.44,2026-08-26 01:21:45.053,1377.251666666667
Pulse experiments,pioreactor01,2026-08-25T19:40:04.940Z,29.44,2026-08-26 01:25:04.940,1377.306944444445
Pulse experiments,pioreactor01,2026-08-25T19:43:24.380Z,29.47,2026-08-26 01:28:24.380,1377.3625
Pulse experiments,pioreactor01,2026-08-25T19:46:44.311Z,29.46,2026-08-26 01:31:44.311,1377.418055555556
Pulse experiments,pioreactor01,2026-08-25T19:50:04.305Z,29.47,2026-08-26 01:35:04.305,1377.473611111111
Pulse experiments,pioreactor01,2026-08-25T19:53:24.298Z,29.45,2026-08-26 01:38:24.298,1377.529166666667
Pulse experiments,pioreactor01,2026-08-25T19:56:44.298Z,29.44,2026-08-26 01:41:44.298,1377.584722222222
Pulse experiments,pioreactor01,2026-08-25T20:00:04.274Z,29.44,2026-08-26 01:45:04.274,1377.640277777778
Pulse experiments,pioreactor01,2026-08-25T20:03:24.333Z,29.44,2026-08-26 01:48:24.333,1377.695833333333
Pulse experiments,pioreactor01,2026-08-25T20:06:44.926Z,29.44,2026-08-26 01:51:44.926,1377.751388888889
