experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-31T07:48:04.503Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:33:04.503,1509.440277777778
Pulse experiments,pioreactor01,2026-08-31T07:48:05.005Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:33:05.005,1509.440555555556
Pulse experiments,pioreactor01,2026-08-31T07:48:05.506Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:33:05.506,1509.440555555556
Pulse experiments,pioreactor01,2026-08-31T07:48:06.006Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:33:06.006,1509.440833333333
Pulse experiments,pioreactor01,2026-08-31T07:48:06.507Z,remove_waste,0.0273492668,dosing_automation:manual_dosing_control,2026-08-31 13:33:06.507,1509.440833333333
Pulse experiments,pioreactor01,2026-08-31T07:48:06.942Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-31 13:33:06.942,1509.440833333333
Pulse experiments,pioreactor01,2026-08-31T07:48:07.444Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-31 13:33:07.444,1509.441111111111
Pulse experiments,pioreactor01,2026-08-31T07:48:07.944Z,add_media,0.034649647,dosing_automation:manual_dosing_control,2026-08-31 13:33:07.944,1509.441111111111
Pulse experiments,pioreactor01,2026-08-31T07:58:08.725Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:43:08.725,1509.608055555556
Pulse experiments,pioreactor01,2026-08-31T07:58:09.229Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:43:09.229,1509.608333333333
Pulse experiments,pioreactor01,2026-08-31T07:58:09.730Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:43:09.730,1509.608333333333
Pulse experiments,pioreactor01,2026-08-31T07:58:10.230Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:43:10.230,1509.608611111111
Pulse experiments,pioreactor01,2026-08-31T07:58:10.731Z,remove_waste,0.0273492668,dosing_automation:manual_dosing_control,2026-08-31 13:43:10.731,1509.608611111111
Pulse experiments,pioreactor01,2026-08-31T07:58:11.143Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-31 13:43:11.143,1509.608888888889
Pulse experiments,pioreactor01,2026-08-31T08:08:12.223Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:53:12.223,1509.775833333333
Pulse experiments,pioreactor01,2026-08-31T08:08:12.730Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:53:12.730,1509.775833333333
Pulse experiments,pioreactor01,2026-08-31T08:08:13.231Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:53:13.231,1509.776111111111
Pulse experiments,pioreactor01,2026-08-31T08:08:13.732Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-31 13:53:13.732,1509.776111111111
Pulse experiments,pioreactor01,2026-08-31T08:08:14.233Z,remove_waste,0.0273492668,dosing_automation:manual_dosing_control,2026-08-31 13:53:14.233,1509.776388888889
Pulse experiments,pioreactor01,2026-08-31T08:08:14.632Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-31 13:53:14.632,1509.776388888889
Pulse experiments,pioreactor01,2026-08-31T08:08:15.133Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-31 13:53:15.133,1509.776666666667
Pulse experiments,pioreactor01,2026-08-31T08:08:15.633Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-31 13:53:15.633,1509.776666666667
Pulse experiments,pioreactor01,2026-08-31T08:08:16.134Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-31 13:53:16.134,1509.776944444445
Pulse experiments,pioreactor01,2026-08-31T08:08:16.635Z,add_media,0.016299294,dosing_automation:manual_dosing_control,2026-08-31 13:53:16.635,1509.776944444445
