experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-01T09:21:06.539Z,567.0,,,2026-09-01 15:06:06.539,1534.990833333333
Pulse experiments,pioreactor01,2026-09-01T09:21:36.536Z,561.0,30.41,64.64,2026-09-01 15:06:36.536,1534.999166666667
Pulse experiments,pioreactor01,2026-09-01T09:22:06.536Z,562.0,30.43,64.52,2026-09-01 15:07:06.536,1535.0075
Pulse experiments,pioreactor01,2026-09-01T09:22:36.543Z,559.0,30.44,64.24,2026-09-01 15:07:36.543,1535.015833333333
Pulse experiments,pioreactor01,2026-09-01T09:23:06.538Z,561.0,30.47,63.97,2026-09-01 15:08:06.538,1535.024166666667
Pulse experiments,pioreactor01,2026-09-01T09:23:36.535Z,564.0,30.48,63.69,2026-09-01 15:08:36.535,1535.0325
Pulse experiments,pioreactor01,2026-09-01T09:24:06.536Z,571.0,30.5,63.67,2026-09-01 15:09:06.536,1535.040833333333
Pulse experiments,pioreactor01,2026-09-01T09:24:36.538Z,579.0,30.51,63.52,2026-09-01 15:09:36.538,1535.049166666667
Pulse experiments,pioreactor01,2026-09-01T09:25:06.535Z,591.0,30.55,63.38,2026-09-01 15:10:06.535,1535.0575
Pulse experiments,pioreactor01,2026-09-01T09:25:36.536Z,599.0,30.57,63.29,2026-09-01 15:10:36.536,1535.065833333333
Pulse experiments,pioreactor01,2026-09-01T09:26:06.537Z,602.0,30.56,63.21,2026-09-01 15:11:06.537,1535.074166666667
Pulse experiments,pioreactor01,2026-09-01T09:26:36.539Z,609.0,30.57,63.09,2026-09-01 15:11:36.539,1535.0825
Pulse experiments,pioreactor01,2026-09-01T09:27:06.544Z,613.0,30.56,63.03,2026-09-01 15:12:06.544,1535.090833333333
Pulse experiments,pioreactor01,2026-09-01T09:27:36.549Z,611.0,30.57,62.88,2026-09-01 15:12:36.549,1535.099166666667
Pulse experiments,pioreactor01,2026-09-01T09:28:06.538Z,607.0,30.55,62.8,2026-09-01 15:13:06.538,1535.1075
Pulse experiments,pioreactor01,2026-09-01T09:28:36.545Z,607.0,30.56,62.78,2026-09-01 15:13:36.545,1535.115833333333
Pulse experiments,pioreactor01,2026-09-01T09:29:06.536Z,607.0,30.54,62.76,2026-09-01 15:14:06.536,1535.124166666667
Pulse experiments,pioreactor01,2026-09-01T09:29:36.539Z,604.0,30.56,62.71,2026-09-01 15:14:36.539,1535.1325
