experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-01T09:58:22.184Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:43:22.184,1535.611944444444
Pulse experiments,pioreactor01,2026-09-01T09:58:22.690Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:43:22.690,1535.611944444444
Pulse experiments,pioreactor01,2026-09-01T09:58:23.191Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:43:23.191,1535.612222222222
Pulse experiments,pioreactor01,2026-09-01T09:58:23.692Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:43:23.692,1535.612222222222
Pulse experiments,pioreactor01,2026-09-01T09:58:24.192Z,remove_waste,0.0273492668,dosing_automation:manual_dosing_control,2026-09-01 15:43:24.192,1535.6125
Pulse experiments,pioreactor01,2026-09-01T09:58:26.812Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-09-01 15:43:26.812,1535.613055555556
Pulse experiments,pioreactor01,2026-09-01T09:58:27.313Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-09-01 15:43:27.313,1535.613333333333
Pulse experiments,pioreactor01,2026-09-01T09:58:27.813Z,add_media,0.034649647,dosing_automation:manual_dosing_control,2026-09-01 15:43:27.813,1535.613333333333
Pulse experiments,pioreactor01,2026-09-01T10:08:34.456Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:53:34.456,1535.781944444444
Pulse experiments,pioreactor01,2026-09-01T10:08:34.960Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:53:34.960,1535.781944444444
Pulse experiments,pioreactor01,2026-09-01T10:08:35.460Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:53:35.460,1535.782222222222
Pulse experiments,pioreactor01,2026-09-01T10:08:35.961Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 15:53:35.961,1535.782222222222
Pulse experiments,pioreactor01,2026-09-01T10:08:36.461Z,remove_waste,0.0273492668,dosing_automation:manual_dosing_control,2026-09-01 15:53:36.461,1535.7825
Pulse experiments,pioreactor01,2026-09-01T10:08:38.640Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-09-01 15:53:38.640,1535.783055555556
Pulse experiments,pioreactor01,2026-09-01T10:18:46.194Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 16:03:46.194,1535.951944444445
Pulse experiments,pioreactor01,2026-09-01T10:18:46.698Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-09-01 16:03:46.698,1535.951944444445
