experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-31T17:49:54.808Z,0.301117977686,90,2,2026-08-31 23:34:54.808,1519.470833333333
Pulse experiments,pioreactor01,2026-08-31T17:49:54.808Z,0.193367532023,135,3,2026-08-31 23:34:54.808,1519.470833333333
Pulse experiments,pioreactor01,2026-08-31T17:49:54.808Z,0.204122911474,45,4,2026-08-31 23:34:54.808,1519.470833333333
Pulse experiments,pioreactor01,2026-08-31T17:49:59.743Z,0.303152147135,90,2,2026-08-31 23:34:59.743,1519.472222222222
Pulse experiments,pioreactor01,2026-08-31T17:49:59.743Z,0.193549665226,135,3,2026-08-31 23:34:59.743,1519.472222222222
Pulse experiments,pioreactor01,2026-08-31T17:49:59.743Z,0.206487848468,45,4,2026-08-31 23:34:59.743,1519.472222222222
Pulse experiments,pioreactor01,2026-08-31T17:50:04.764Z,0.302985629524,90,2,2026-08-31 23:35:04.764,1519.473611111111
Pulse experiments,pioreactor01,2026-08-31T17:50:04.764Z,0.194208115517,135,3,2026-08-31 23:35:04.764,1519.473611111111
Pulse experiments,pioreactor01,2026-08-31T17:50:04.764Z,0.205969809661,45,4,2026-08-31 23:35:04.764,1519.473611111111
Pulse experiments,pioreactor01,2026-08-31T17:50:09.742Z,0.302666382374,90,2,2026-08-31 23:35:09.742,1519.475
Pulse experiments,pioreactor01,2026-08-31T17:50:09.742Z,0.194193188673,135,3,2026-08-31 23:35:09.742,1519.475
Pulse experiments,pioreactor01,2026-08-31T17:50:09.742Z,0.20523653691,45,4,2026-08-31 23:35:09.742,1519.475
Pulse experiments,pioreactor01,2026-08-31T17:50:14.744Z,0.300733413064,90,2,2026-08-31 23:35:14.744,1519.476388888889
Pulse experiments,pioreactor01,2026-08-31T17:50:14.744Z,0.1940021893,135,3,2026-08-31 23:35:14.744,1519.476388888889
Pulse experiments,pioreactor01,2026-08-31T17:50:14.744Z,0.204925250026,45,4,2026-08-31 23:35:14.744,1519.476388888889
Pulse experiments,pioreactor01,2026-08-31T17:50:19.747Z,0.302268471431,90,2,2026-08-31 23:35:19.747,1519.477777777778
Pulse experiments,pioreactor01,2026-08-31T17:50:19.747Z,0.193392718306,135,3,2026-08-31 23:35:19.747,1519.477777777778
Pulse experiments,pioreactor01,2026-08-31T17:50:19.747Z,0.206245223895,45,4,2026-08-31 23:35:19.747,1519.477777777778
Pulse experiments,pioreactor01,2026-08-31T17:50:24.744Z,0.301782068053,90,2,2026-08-31 23:35:24.744,1519.479166666667
Pulse experiments,pioreactor01,2026-08-31T17:50:24.744Z,0.193702609635,135,3,2026-08-31 23:35:24.744,1519.479166666667
Pulse experiments,pioreactor01,2026-08-31T17:50:24.744Z,0.206234215804,45,4,2026-08-31 23:35:24.744,1519.479166666667
Pulse experiments,pioreactor01,2026-08-31T17:50:29.740Z,0.300848877917,90,2,2026-08-31 23:35:29.740,1519.480555555556
Pulse experiments,pioreactor01,2026-08-31T17:50:29.740Z,0.193400621323,135,3,2026-08-31 23:35:29.740,1519.480555555556
Pulse experiments,pioreactor01,2026-08-31T17:50:29.740Z,0.206540559645,45,4,2026-08-31 23:35:29.740,1519.480555555556
Pulse experiments,pioreactor01,2026-08-31T17:50:34.743Z,0.299846666352,90,2,2026-08-31 23:35:34.743,1519.481944444444
Pulse experiments,pioreactor01,2026-08-31T17:50:34.743Z,0.192849077986,135,3,2026-08-31 23:35:34.743,1519.481944444444
Pulse experiments,pioreactor01,2026-08-31T17:50:34.743Z,0.204958366966,45,4,2026-08-31 23:35:34.743,1519.481944444444
Pulse experiments,pioreactor01,2026-08-31T17:50:39.743Z,0.301928949855,90,2,2026-08-31 23:35:39.743,1519.483333333333
Pulse experiments,pioreactor01,2026-08-31T17:50:39.743Z,0.19387579831,135,3,2026-08-31 23:35:39.743,1519.483333333333
Pulse experiments,pioreactor01,2026-08-31T17:50:39.743Z,0.205446164444,45,4,2026-08-31 23:35:39.743,1519.483333333333
Pulse experiments,pioreactor01,2026-08-31T17:50:44.743Z,0.30075291238,90,2,2026-08-31 23:35:44.743,1519.484722222222
Pulse experiments,pioreactor01,2026-08-31T17:50:44.743Z,0.193327126436,135,3,2026-08-31 23:35:44.743,1519.484722222222
Pulse experiments,pioreactor01,2026-08-31T17:50:44.743Z,0.204400346045,45,4,2026-08-31 23:35:44.743,1519.484722222222
Pulse experiments,pioreactor01,2026-08-31T17:50:49.746Z,0.302337905201,90,2,2026-08-31 23:35:49.746,1519.486111111111
Pulse experiments,pioreactor01,2026-08-31T17:50:49.746Z,0.193074163872,135,3,2026-08-31 23:35:49.746,1519.486111111111
Pulse experiments,pioreactor01,2026-08-31T17:50:49.746Z,0.204972905575,45,4,2026-08-31 23:35:49.746,1519.486111111111
Pulse experiments,pioreactor01,2026-08-31T17:50:54.749Z,0.300580914142,90,2,2026-08-31 23:35:54.749,1519.4875
Pulse experiments,pioreactor01,2026-08-31T17:50:54.749Z,0.193294663059,135,3,2026-08-31 23:35:54.749,1519.4875
Pulse experiments,pioreactor01,2026-08-31T17:50:54.749Z,0.204824011671,45,4,2026-08-31 23:35:54.749,1519.4875
Pulse experiments,pioreactor01,2026-08-31T17:50:59.750Z,0.299556391857,90,2,2026-08-31 23:35:59.750,1519.488888888889
Pulse experiments,pioreactor01,2026-08-31T17:50:59.750Z,0.192786670851,135,3,2026-08-31 23:35:59.750,1519.488888888889
Pulse experiments,pioreactor01,2026-08-31T17:50:59.750Z,0.204605216579,45,4,2026-08-31 23:35:59.750,1519.488888888889
Pulse experiments,pioreactor01,2026-08-31T17:51:04.747Z,0.298289720373,90,2,2026-08-31 23:36:04.747,1519.490277777778
Pulse experiments,pioreactor01,2026-08-31T17:51:04.747Z,0.192290453977,135,3,2026-08-31 23:36:04.747,1519.490277777778
Pulse experiments,pioreactor01,2026-08-31T17:51:04.747Z,0.204376248219,45,4,2026-08-31 23:36:04.747,1519.490277777778
Pulse experiments,pioreactor01,2026-08-31T17:51:09.743Z,0.300065111353,90,2,2026-08-31 23:36:09.743,1519.491666666667
Pulse experiments,pioreactor01,2026-08-31T17:51:09.743Z,0.193073805536,135,3,2026-08-31 23:36:09.743,1519.491666666667
Pulse experiments,pioreactor01,2026-08-31T17:51:09.743Z,0.204500414363,45,4,2026-08-31 23:36:09.743,1519.491666666667
Pulse experiments,pioreactor01,2026-08-31T17:51:14.742Z,0.301595228475,90,2,2026-08-31 23:36:14.742,1519.493055555556
Pulse experiments,pioreactor01,2026-08-31T17:51:14.742Z,0.193886885462,135,3,2026-08-31 23:36:14.742,1519.493055555556
Pulse experiments,pioreactor01,2026-08-31T17:51:14.742Z,0.2055841189,45,4,2026-08-31 23:36:14.742,1519.493055555556
Pulse experiments,pioreactor01,2026-08-31T17:51:19.745Z,0.302657384067,90,2,2026-08-31 23:36:19.745,1519.494444444445
Pulse experiments,pioreactor01,2026-08-31T17:51:19.745Z,0.1934869449,135,3,2026-08-31 23:36:19.745,1519.494444444445
Pulse experiments,pioreactor01,2026-08-31T17:51:19.745Z,0.205078467885,45,4,2026-08-31 23:36:19.745,1519.494444444445
Pulse experiments,pioreactor01,2026-08-31T17:51:24.751Z,0.302051037818,90,2,2026-08-31 23:36:24.751,1519.495833333333
Pulse experiments,pioreactor01,2026-08-31T17:51:24.751Z,0.19314055697,135,3,2026-08-31 23:36:24.751,1519.495833333333
Pulse experiments,pioreactor01,2026-08-31T17:51:24.751Z,0.205408014359,45,4,2026-08-31 23:36:24.751,1519.495833333333
Pulse experiments,pioreactor01,2026-08-31T17:51:29.748Z,0.299355927681,90,2,2026-08-31 23:36:29.748,1519.497222222222
Pulse experiments,pioreactor01,2026-08-31T17:51:29.748Z,0.193367634717,135,3,2026-08-31 23:36:29.748,1519.497222222222
Pulse experiments,pioreactor01,2026-08-31T17:51:29.748Z,0.205003222237,45,4,2026-08-31 23:36:29.748,1519.497222222222
Pulse experiments,pioreactor01,2026-08-31T17:51:34.753Z,0.299166857333,90,2,2026-08-31 23:36:34.753,1519.498611111111
Pulse experiments,pioreactor01,2026-08-31T17:51:34.753Z,0.193854027115,135,3,2026-08-31 23:36:34.753,1519.498611111111
Pulse experiments,pioreactor01,2026-08-31T17:51:34.753Z,0.204696064985,45,4,2026-08-31 23:36:34.753,1519.498611111111
Pulse experiments,pioreactor01,2026-08-31T17:51:39.747Z,0.30059435962,90,2,2026-08-31 23:36:39.747,1519.5
Pulse experiments,pioreactor01,2026-08-31T17:51:39.747Z,0.194512358001,135,3,2026-08-31 23:36:39.747,1519.5
Pulse experiments,pioreactor01,2026-08-31T17:51:39.747Z,0.205165855147,45,4,2026-08-31 23:36:39.747,1519.5
Pulse experiments,pioreactor01,2026-08-31T17:51:44.755Z,0.301879999579,90,2,2026-08-31 23:36:44.755,1519.501388888889
Pulse experiments,pioreactor01,2026-08-31T17:51:44.755Z,0.194112400711,135,3,2026-08-31 23:36:44.755,1519.501388888889
Pulse experiments,pioreactor01,2026-08-31T17:51:44.755Z,0.206563837677,45,4,2026-08-31 23:36:44.755,1519.501388888889
Pulse experiments,pioreactor01,2026-08-31T17:51:49.744Z,0.300031486627,90,2,2026-08-31 23:36:49.744,1519.502777777778
Pulse experiments,pioreactor01,2026-08-31T17:51:49.744Z,0.193313789799,135,3,2026-08-31 23:36:49.744,1519.502777777778
Pulse experiments,pioreactor01,2026-08-31T17:51:49.744Z,0.205583237357,45,4,2026-08-31 23:36:49.744,1519.502777777778
Pulse experiments,pioreactor01,2026-08-31T17:51:54.744Z,0.302781771379,90,2,2026-08-31 23:36:54.744,1519.504166666667
Pulse experiments,pioreactor01,2026-08-31T17:51:54.744Z,0.193140091299,135,3,2026-08-31 23:36:54.744,1519.504166666667
Pulse experiments,pioreactor01,2026-08-31T17:51:54.744Z,0.20501592474,45,4,2026-08-31 23:36:54.744,1519.504166666667
Pulse experiments,pioreactor01,2026-08-31T17:51:59.750Z,0.301297398305,90,2,2026-08-31 23:36:59.750,1519.505555555555
Pulse experiments,pioreactor01,2026-08-31T17:51:59.750Z,0.19297579131,135,3,2026-08-31 23:36:59.750,1519.505555555555
Pulse experiments,pioreactor01,2026-08-31T17:51:59.750Z,0.20479784214,45,4,2026-08-31 23:36:59.750,1519.505555555555
Pulse experiments,pioreactor01,2026-08-31T17:52:04.748Z,0.302113226905,90,2,2026-08-31 23:37:04.748,1519.506944444444
Pulse experiments,pioreactor01,2026-08-31T17:52:04.748Z,0.193282306858,135,3,2026-08-31 23:37:04.748,1519.506944444444
Pulse experiments,pioreactor01,2026-08-31T17:52:04.748Z,0.204848175721,45,4,2026-08-31 23:37:04.748,1519.506944444444
Pulse experiments,pioreactor01,2026-08-31T17:52:09.740Z,0.299834234883,90,2,2026-08-31 23:37:09.740,1519.508333333333
Pulse experiments,pioreactor01,2026-08-31T17:52:09.740Z,0.193675426587,135,3,2026-08-31 23:37:09.740,1519.508333333333
Pulse experiments,pioreactor01,2026-08-31T17:52:09.740Z,0.203546832157,45,4,2026-08-31 23:37:09.740,1519.508333333333
Pulse experiments,pioreactor01,2026-08-31T17:52:14.745Z,0.299354725093,90,2,2026-08-31 23:37:14.745,1519.509722222222
Pulse experiments,pioreactor01,2026-08-31T17:52:14.745Z,0.193345656868,135,3,2026-08-31 23:37:14.745,1519.509722222222
Pulse experiments,pioreactor01,2026-08-31T17:52:14.745Z,0.203803089077,45,4,2026-08-31 23:37:14.745,1519.509722222222
Pulse experiments,pioreactor01,2026-08-31T17:52:19.746Z,0.301562082934,90,2,2026-08-31 23:37:19.746,1519.511111111111
Pulse experiments,pioreactor01,2026-08-31T17:52:19.746Z,0.193033954789,135,3,2026-08-31 23:37:19.746,1519.511111111111
Pulse experiments,pioreactor01,2026-08-31T17:52:19.746Z,0.205515773546,45,4,2026-08-31 23:37:19.746,1519.511111111111
Pulse experiments,pioreactor01,2026-08-31T17:52:24.741Z,0.302614494483,90,2,2026-08-31 23:37:24.741,1519.5125
Pulse experiments,pioreactor01,2026-08-31T17:52:24.741Z,0.193707267519,135,3,2026-08-31 23:37:24.741,1519.5125
Pulse experiments,pioreactor01,2026-08-31T17:52:24.741Z,0.204646966143,45,4,2026-08-31 23:37:24.741,1519.5125
Pulse experiments,pioreactor01,2026-08-31T17:52:29.742Z,0.298825329217,90,2,2026-08-31 23:37:29.742,1519.513888888889
Pulse experiments,pioreactor01,2026-08-31T17:52:29.742Z,0.193869269175,135,3,2026-08-31 23:37:29.742,1519.513888888889
Pulse experiments,pioreactor01,2026-08-31T17:52:29.742Z,0.203767222182,45,4,2026-08-31 23:37:29.742,1519.513888888889
Pulse experiments,pioreactor01,2026-08-31T17:52:34.747Z,0.299790225522,90,2,2026-08-31 23:37:34.747,1519.515277777778
Pulse experiments,pioreactor01,2026-08-31T17:52:34.747Z,0.193655960071,135,3,2026-08-31 23:37:34.747,1519.515277777778
Pulse experiments,pioreactor01,2026-08-31T17:52:34.747Z,0.203832274586,45,4,2026-08-31 23:37:34.747,1519.515277777778
Pulse experiments,pioreactor01,2026-08-31T17:52:39.760Z,0.300024345363,90,2,2026-08-31 23:37:39.760,1519.516666666667
Pulse experiments,pioreactor01,2026-08-31T17:52:39.760Z,0.192946809021,135,3,2026-08-31 23:37:39.760,1519.516666666667
Pulse experiments,pioreactor01,2026-08-31T17:52:39.760Z,0.204772759224,45,4,2026-08-31 23:37:39.760,1519.516666666667
Pulse experiments,pioreactor01,2026-08-31T17:52:44.756Z,0.299367875378,90,2,2026-08-31 23:37:44.756,1519.518055555556
Pulse experiments,pioreactor01,2026-08-31T17:52:44.756Z,0.192798980966,135,3,2026-08-31 23:37:44.756,1519.518055555556
Pulse experiments,pioreactor01,2026-08-31T17:52:44.756Z,0.203017796312,45,4,2026-08-31 23:37:44.756,1519.518055555556
Pulse experiments,pioreactor01,2026-08-31T17:52:49.748Z,0.301162158906,90,2,2026-08-31 23:37:49.748,1519.519444444444
Pulse experiments,pioreactor01,2026-08-31T17:52:49.748Z,0.193895208968,135,3,2026-08-31 23:37:49.748,1519.519444444444
Pulse experiments,pioreactor01,2026-08-31T17:52:49.748Z,0.204981177318,45,4,2026-08-31 23:37:49.748,1519.519444444444
Pulse experiments,pioreactor01,2026-08-31T17:52:54.742Z,0.299747734672,90,2,2026-08-31 23:37:54.742,1519.520833333333
Pulse experiments,pioreactor01,2026-08-31T17:52:54.742Z,0.193560214736,135,3,2026-08-31 23:37:54.742,1519.520833333333
Pulse experiments,pioreactor01,2026-08-31T17:52:54.742Z,0.203780953128,45,4,2026-08-31 23:37:54.742,1519.520833333333
Pulse experiments,pioreactor01,2026-08-31T17:52:59.751Z,0.303666841359,90,2,2026-08-31 23:37:59.751,1519.522222222222
Pulse experiments,pioreactor01,2026-08-31T17:52:59.751Z,0.19398975035,135,3,2026-08-31 23:37:59.751,1519.522222222222
Pulse experiments,pioreactor01,2026-08-31T17:52:59.751Z,0.20519847398,45,4,2026-08-31 23:37:59.751,1519.522222222222
Pulse experiments,pioreactor01,2026-08-31T17:53:04.918Z,0.305166321369,90,2,2026-08-31 23:38:04.918,1519.523611111111
Pulse experiments,pioreactor01,2026-08-31T17:53:04.918Z,0.193860941782,135,3,2026-08-31 23:38:04.918,1519.523611111111
Pulse experiments,pioreactor01,2026-08-31T17:53:04.918Z,0.206437384245,45,4,2026-08-31 23:38:04.918,1519.523611111111
Pulse experiments,pioreactor01,2026-08-31T17:53:09.765Z,0.300836906493,90,2,2026-08-31 23:38:09.765,1519.525
Pulse experiments,pioreactor01,2026-08-31T17:53:09.765Z,0.193296984962,135,3,2026-08-31 23:38:09.765,1519.525
Pulse experiments,pioreactor01,2026-08-31T17:53:09.765Z,0.205009691322,45,4,2026-08-31 23:38:09.765,1519.525
Pulse experiments,pioreactor01,2026-08-31T17:53:14.743Z,0.300496850303,90,2,2026-08-31 23:38:14.743,1519.526388888889
