experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-01T17:15:36.051Z,1313.0,,,2026-09-01 23:00:36.051,1542.899166666667
Pulse experiments,pioreactor01,2026-09-01T17:16:06.055Z,1283.0,31.03,67.64,2026-09-01 23:01:06.055,1542.9075
Pulse experiments,pioreactor01,2026-09-01T17:16:36.051Z,1245.0,30.34,70.39,2026-09-01 23:01:36.051,1542.915833333333
Pulse experiments,pioreactor01,2026-09-01T17:17:06.052Z,1180.0,29.88,72.24,2026-09-01 23:02:06.052,1542.924166666667
Pulse experiments,pioreactor01,2026-09-01T17:17:36.053Z,1161.0,29.65,73.02,2026-09-01 23:02:36.053,1542.9325
Pulse experiments,pioreactor01,2026-09-01T17:18:06.052Z,1151.0,29.53,73.41,2026-09-01 23:03:06.052,1542.940833333333
Pulse experiments,pioreactor01,2026-09-01T17:18:36.053Z,1134.0,29.49,73.43,2026-09-01 23:03:36.053,1542.949166666667
Pulse experiments,pioreactor01,2026-09-01T17:19:06.053Z,1118.0,29.46,73.37,2026-09-01 23:04:06.053,1542.9575
Pulse experiments,pioreactor01,2026-09-01T17:19:36.054Z,1109.0,29.49,73.27,2026-09-01 23:04:36.054,1542.965833333333
Pulse experiments,pioreactor01,2026-09-01T17:20:06.054Z,1101.0,29.52,73.15,2026-09-01 23:05:06.054,1542.974166666667
Pulse experiments,pioreactor01,2026-09-01T17:20:36.054Z,1089.0,29.56,72.97,2026-09-01 23:05:36.054,1542.9825
Pulse experiments,pioreactor01,2026-09-01T17:21:06.054Z,1085.0,29.61,72.81,2026-09-01 23:06:06.054,1542.990833333333
Pulse experiments,pioreactor01,2026-09-01T17:21:36.054Z,1079.0,29.66,72.5,2026-09-01 23:06:36.054,1542.999166666667
Pulse experiments,pioreactor01,2026-09-01T17:22:06.053Z,1078.0,29.7,72.3,2026-09-01 23:07:06.053,1543.0075
Pulse experiments,pioreactor01,2026-09-01T17:22:36.054Z,1078.0,29.72,72.14,2026-09-01 23:07:36.054,1543.015833333333
Pulse experiments,pioreactor01,2026-09-01T17:23:06.055Z,1074.0,29.73,72.13,2026-09-01 23:08:06.055,1543.024166666667
Pulse experiments,pioreactor01,2026-09-01T17:23:36.055Z,1069.0,29.79,72.0,2026-09-01 23:08:36.055,1543.0325
Pulse experiments,pioreactor01,2026-09-01T17:24:06.058Z,1068.0,29.81,71.94,2026-09-01 23:09:06.058,1543.040833333333
Pulse experiments,pioreactor01,2026-09-01T17:24:36.056Z,1067.0,29.83,71.82,2026-09-01 23:09:36.056,1543.049166666667
Pulse experiments,pioreactor01,2026-09-01T17:25:06.057Z,1061.0,29.91,71.53,2026-09-01 23:10:06.057,1543.0575
