experiment,pioreactor_unit,timestamp,normalized_od_reading,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-01T17:17:57.818Z,4.162691333767,2026-09-01 23:02:57.818,1542.938333333333
Pulse experiments,pioreactor01,2026-09-01T17:18:02.816Z,4.162378067074,2026-09-01 23:03:02.816,1542.939722222222
Pulse experiments,pioreactor01,2026-09-01T17:18:07.817Z,4.159955419591,2026-09-01 23:03:07.817,1542.941111111111
Pulse experiments,pioreactor01,2026-09-01T17:18:12.815Z,4.161662043582,2026-09-01 23:03:12.815,1542.9425
Pulse experiments,pioreactor01,2026-09-01T17:18:17.816Z,4.163308207567,2026-09-01 23:03:17.816,1542.943888888889
Pulse experiments,pioreactor01,2026-09-01T17:18:22.816Z,4.163762555126,2026-09-01 23:03:22.816,1542.945277777778
Pulse experiments,pioreactor01,2026-09-01T17:18:27.816Z,4.164127098447,2026-09-01 23:03:27.816,1542.946666666667
Pulse experiments,pioreactor01,2026-09-01T17:18:32.816Z,4.165449860406,2026-09-01 23:03:32.816,1542.948055555556
Pulse experiments,pioreactor01,2026-09-01T17:18:37.817Z,4.167471499066,2026-09-01 23:03:37.817,1542.949444444444
Pulse experiments,pioreactor01,2026-09-01T17:18:42.815Z,4.16815252225,2026-09-01 23:03:42.815,1542.950833333333
Pulse experiments,pioreactor01,2026-09-01T17:18:47.816Z,4.168892396601,2026-09-01 23:03:47.816,1542.952222222222
Pulse experiments,pioreactor01,2026-09-01T17:18:52.816Z,4.169987168583,2026-09-01 23:03:52.816,1542.953611111111
Pulse experiments,pioreactor01,2026-09-01T17:18:57.818Z,4.171273100741,2026-09-01 23:03:57.818,1542.955
Pulse experiments,pioreactor01,2026-09-01T17:19:02.816Z,4.171180619764,2026-09-01 23:04:02.816,1542.956388888889
Pulse experiments,pioreactor01,2026-09-01T17:19:07.817Z,4.171455290458,2026-09-01 23:04:07.817,1542.957777777778
Pulse experiments,pioreactor01,2026-09-01T17:19:12.816Z,4.171940334494,2026-09-01 23:04:12.816,1542.959166666667
Pulse experiments,pioreactor01,2026-09-01T17:19:17.816Z,4.171469426748,2026-09-01 23:04:17.816,1542.960555555556
Pulse experiments,pioreactor01,2026-09-01T17:19:22.816Z,4.171439439995,2026-09-01 23:04:22.816,1542.961944444444
Pulse experiments,pioreactor01,2026-09-01T17:19:27.816Z,4.171166264248,2026-09-01 23:04:27.816,1542.963333333333
Pulse experiments,pioreactor01,2026-09-01T17:19:32.818Z,4.171465067424,2026-09-01 23:04:32.818,1542.964722222222
Pulse experiments,pioreactor01,2026-09-01T17:19:37.816Z,4.171659747468,2026-09-01 23:04:37.816,1542.966111111111
Pulse experiments,pioreactor01,2026-09-01T17:19:42.816Z,4.171614809439,2026-09-01 23:04:42.816,1542.9675
Pulse experiments,pioreactor01,2026-09-01T17:19:47.815Z,4.171265185179,2026-09-01 23:04:47.815,1542.968888888889
Pulse experiments,pioreactor01,2026-09-01T17:19:52.816Z,4.170980909707,2026-09-01 23:04:52.816,1542.970277777778
Pulse experiments,pioreactor01,2026-09-01T17:19:57.816Z,4.171439673207,2026-09-01 23:04:57.816,1542.971666666667
Pulse experiments,pioreactor01,2026-09-01T17:20:02.816Z,4.171484130614,2026-09-01 23:05:02.816,1542.973055555555
Pulse experiments,pioreactor01,2026-09-01T17:20:07.816Z,4.171004240841,2026-09-01 23:05:07.816,1542.974444444445
Pulse experiments,pioreactor01,2026-09-01T17:20:12.816Z,4.170960307405,2026-09-01 23:05:12.816,1542.975833333333
Pulse experiments,pioreactor01,2026-09-01T17:20:17.816Z,4.171009657038,2026-09-01 23:05:17.816,1542.977222222222
Pulse experiments,pioreactor01,2026-09-01T17:20:22.818Z,4.171224152064,2026-09-01 23:05:22.818,1542.978611111111
Pulse experiments,pioreactor01,2026-09-01T17:20:27.816Z,4.170996334555,2026-09-01 23:05:27.816,1542.98
Pulse experiments,pioreactor01,2026-09-01T17:20:32.815Z,4.171392123532,2026-09-01 23:05:32.815,1542.981388888889
Pulse experiments,pioreactor01,2026-09-01T17:20:37.816Z,4.17168576764,2026-09-01 23:05:37.816,1542.982777777778
Pulse experiments,pioreactor01,2026-09-01T17:20:42.816Z,4.1714373036,2026-09-01 23:05:42.816,1542.984166666667
Pulse experiments,pioreactor01,2026-09-01T17:20:47.816Z,4.171670567745,2026-09-01 23:05:47.816,1542.985555555555
Pulse experiments,pioreactor01,2026-09-01T17:20:52.816Z,4.172497043393,2026-09-01 23:05:52.816,1542.986944444444
Pulse experiments,pioreactor01,2026-09-01T17:20:57.816Z,4.17275336739,2026-09-01 23:05:57.816,1542.988333333333
Pulse experiments,pioreactor01,2026-09-01T17:21:02.817Z,4.17326166624,2026-09-01 23:06:02.817,1542.989722222222
Pulse experiments,pioreactor01,2026-09-01T17:21:07.816Z,4.173641715665,2026-09-01 23:06:07.816,1542.991111111111
Pulse experiments,pioreactor01,2026-09-01T17:21:12.816Z,4.173904358741,2026-09-01 23:06:12.816,1542.9925
Pulse experiments,pioreactor01,2026-09-01T17:21:17.817Z,4.174383850103,2026-09-01 23:06:17.817,1542.993888888889
Pulse experiments,pioreactor01,2026-09-01T17:21:22.817Z,4.175422089126,2026-09-01 23:06:22.817,1542.995277777778
Pulse experiments,pioreactor01,2026-09-01T17:21:27.816Z,4.176469536323,2026-09-01 23:06:27.816,1542.996666666667
Pulse experiments,pioreactor01,2026-09-01T17:21:32.816Z,4.17706135238,2026-09-01 23:06:32.816,1542.998055555556
Pulse experiments,pioreactor01,2026-09-01T17:21:37.816Z,4.178025730459,2026-09-01 23:06:37.816,1542.999444444444
Pulse experiments,pioreactor01,2026-09-01T17:21:42.818Z,4.178340433955,2026-09-01 23:06:42.818,1543.000833333333
Pulse experiments,pioreactor01,2026-09-01T17:21:47.817Z,4.177753254981,2026-09-01 23:06:47.817,1543.002222222222
Pulse experiments,pioreactor01,2026-09-01T17:21:52.816Z,4.17810325534,2026-09-01 23:06:52.816,1543.003611111111
Pulse experiments,pioreactor01,2026-09-01T17:21:57.816Z,4.178419684547,2026-09-01 23:06:57.816,1543.005
Pulse experiments,pioreactor01,2026-09-01T17:22:02.816Z,4.179277048947,2026-09-01 23:07:02.816,1543.006388888889
Pulse experiments,pioreactor01,2026-09-01T17:22:12.820Z,4.179538475906,2026-09-01 23:07:12.820,1543.009166666667
Pulse experiments,pioreactor01,2026-09-01T17:22:17.816Z,4.180127853132,2026-09-01 23:07:17.816,1543.010555555556
Pulse experiments,pioreactor01,2026-09-01T17:22:22.817Z,4.180465879598,2026-09-01 23:07:22.817,1543.011944444444
Pulse experiments,pioreactor01,2026-09-01T17:22:27.816Z,4.180617568408,2026-09-01 23:07:27.816,1543.013333333333
Pulse experiments,pioreactor01,2026-09-01T17:22:32.816Z,4.181152912586,2026-09-01 23:07:32.816,1543.014722222222
Pulse experiments,pioreactor01,2026-09-01T17:22:37.816Z,4.181648828901,2026-09-01 23:07:37.816,1543.016111111111
Pulse experiments,pioreactor01,2026-09-01T17:22:42.816Z,4.182238137524,2026-09-01 23:07:42.816,1543.0175
Pulse experiments,pioreactor01,2026-09-01T17:22:47.816Z,4.182455272125,2026-09-01 23:07:47.816,1543.018888888889
Pulse experiments,pioreactor01,2026-09-01T17:22:52.816Z,4.182922087703,2026-09-01 23:07:52.816,1543.020277777778
Pulse experiments,pioreactor01,2026-09-01T17:22:57.817Z,4.183488780011,2026-09-01 23:07:57.817,1543.021666666667
Pulse experiments,pioreactor01,2026-09-01T17:23:02.816Z,4.183745368424,2026-09-01 23:08:02.816,1543.023055555556
Pulse experiments,pioreactor01,2026-09-01T17:23:07.816Z,4.183513958937,2026-09-01 23:08:07.816,1543.024444444444
Pulse experiments,pioreactor01,2026-09-01T17:23:12.816Z,4.18364034883,2026-09-01 23:08:12.816,1543.025833333333
Pulse experiments,pioreactor01,2026-09-01T17:23:17.818Z,4.183540636174,2026-09-01 23:08:17.818,1543.027222222222
Pulse experiments,pioreactor01,2026-09-01T17:23:22.816Z,4.183561961767,2026-09-01 23:08:22.816,1543.028611111111
Pulse experiments,pioreactor01,2026-09-01T17:23:27.819Z,4.183801566855,2026-09-01 23:08:27.819,1543.03
Pulse experiments,pioreactor01,2026-09-01T17:23:32.816Z,4.184211465487,2026-09-01 23:08:32.816,1543.031388888889
