experiment,pioreactor_unit,timestamp,reading,band,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-30T05:15:02.434Z,0.0340625,415,2026-08-30 11:00:02.434,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:02.440Z,0.280078125,445,2026-08-30 11:00:02.440,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:02.444Z,0.31548828125,480,2026-08-30 11:00:02.444,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:02.449Z,0.3609765625,515,2026-08-30 11:00:02.449,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:02.454Z,0.40498046875,555,2026-08-30 11:00:02.454,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:02.462Z,0.4011328125,590,2026-08-30 11:00:02.462,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:02.466Z,0.3971484375,630,2026-08-30 11:00:02.466,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:02.470Z,0.2269140625,680,2026-08-30 11:00:02.470,1482.889722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:07.434Z,0.0340625,415,2026-08-30 11:00:07.434,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:07.438Z,0.2803515625,445,2026-08-30 11:00:07.438,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:07.443Z,0.31541015625,480,2026-08-30 11:00:07.443,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:07.448Z,0.36103515625,515,2026-08-30 11:00:07.448,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:07.453Z,0.404765625,555,2026-08-30 11:00:07.453,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:07.458Z,0.401640625,590,2026-08-30 11:00:07.458,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:07.462Z,0.3975,630,2026-08-30 11:00:07.462,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:07.468Z,0.226875,680,2026-08-30 11:00:07.468,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:12.432Z,0.0341015625,415,2026-08-30 11:00:12.432,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:12.439Z,0.28046875,445,2026-08-30 11:00:12.439,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:12.444Z,0.31580078125,480,2026-08-30 11:00:12.444,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:12.449Z,0.36115234375,515,2026-08-30 11:00:12.449,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:12.452Z,0.40486328125,555,2026-08-30 11:00:12.452,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:12.459Z,0.40087890625,590,2026-08-30 11:00:12.459,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:12.463Z,0.396953125,630,2026-08-30 11:00:12.463,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:12.468Z,0.226796875,680,2026-08-30 11:00:12.468,1482.8925
Pulse experiments,pioreactor01,2026-08-30T05:15:17.433Z,0.03404296875,415,2026-08-30 11:00:17.433,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:17.437Z,0.2803515625,445,2026-08-30 11:00:17.437,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:17.443Z,0.3152734375,480,2026-08-30 11:00:17.443,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:17.447Z,0.36125,515,2026-08-30 11:00:17.447,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:17.453Z,0.4047265625,555,2026-08-30 11:00:17.453,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:17.458Z,0.40126953125,590,2026-08-30 11:00:17.458,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:17.462Z,0.39744140625,630,2026-08-30 11:00:17.462,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:17.467Z,0.2271484375,680,2026-08-30 11:00:17.467,1482.893888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:22.434Z,0.03408203125,415,2026-08-30 11:00:22.434,1482.895277777778
