experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-30T05:15:07.997Z,484.0,28.18,69.71,2026-08-30 11:00:07.997,1482.891111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:37.990Z,481.0,28.21,69.73,2026-08-30 11:00:37.990,1482.899444444444
Pulse experiments,pioreactor01,2026-08-30T05:16:07.992Z,481.0,28.27,69.67,2026-08-30 11:01:07.992,1482.907777777778
Pulse experiments,pioreactor01,2026-08-30T05:16:37.990Z,479.0,28.33,69.57,2026-08-30 11:01:37.990,1482.916111111111
Pulse experiments,pioreactor01,2026-08-30T05:17:07.994Z,480.0,28.45,69.24,2026-08-30 11:02:07.994,1482.924444444444
Pulse experiments,pioreactor01,2026-08-30T05:17:37.991Z,477.0,28.47,68.99,2026-08-30 11:02:37.991,1482.932777777778
Pulse experiments,pioreactor01,2026-08-30T05:18:07.991Z,476.0,28.5,68.8,2026-08-30 11:03:07.991,1482.941111111111
Pulse experiments,pioreactor01,2026-08-30T05:18:37.992Z,474.0,28.5,68.72,2026-08-30 11:03:37.992,1482.949444444444
Pulse experiments,pioreactor01,2026-08-30T05:19:07.994Z,471.0,28.53,68.76,2026-08-30 11:04:07.994,1482.957777777778
Pulse experiments,pioreactor01,2026-08-30T05:19:37.992Z,476.0,28.59,68.73,2026-08-30 11:04:37.992,1482.966111111111
Pulse experiments,pioreactor01,2026-08-30T05:20:07.993Z,475.0,28.62,68.55,2026-08-30 11:05:07.993,1482.974444444445
Pulse experiments,pioreactor01,2026-08-30T05:20:37.990Z,475.0,28.64,68.41,2026-08-30 11:05:37.990,1482.982777777778
Pulse experiments,pioreactor01,2026-08-30T05:21:07.995Z,470.0,28.68,68.13,2026-08-30 11:06:07.995,1482.991111111111
Pulse experiments,pioreactor01,2026-08-30T05:21:37.998Z,475.0,28.73,67.98,2026-08-30 11:06:37.998,1482.999444444444
Pulse experiments,pioreactor01,2026-08-30T05:22:07.993Z,475.0,28.77,67.91,2026-08-30 11:07:07.993,1483.007777777778
Pulse experiments,pioreactor01,2026-08-30T05:22:37.995Z,481.0,28.77,67.67,2026-08-30 11:07:37.995,1483.016111111111
Pulse experiments,pioreactor01,2026-08-30T05:23:07.996Z,482.0,28.85,67.5,2026-08-30 11:08:07.996,1483.024444444444
Pulse experiments,pioreactor01,2026-08-30T05:23:38.000Z,482.0,28.93,67.32,2026-08-30 11:08:38.000,1483.033055555556
Pulse experiments,pioreactor01,2026-08-30T05:24:07.997Z,484.0,29.01,67.09,2026-08-30 11:09:07.997,1483.041111111111
Pulse experiments,pioreactor01,2026-08-30T05:24:38.037Z,485.0,29.09,66.78,2026-08-30 11:09:38.037,1483.049722222222
Pulse experiments,pioreactor01,2026-08-30T05:25:08.001Z,482.0,29.12,66.65,2026-08-30 11:10:08.001,1483.058055555555
Pulse experiments,pioreactor01,2026-08-30T05:25:37.995Z,478.0,29.16,66.46,2026-08-30 11:10:37.995,1483.066111111111
Pulse experiments,pioreactor01,2026-08-30T05:26:07.996Z,479.0,29.11,66.15,2026-08-30 11:11:07.996,1483.074444444444
Pulse experiments,pioreactor01,2026-08-30T05:26:37.995Z,480.0,29.07,66.14,2026-08-30 11:11:37.995,1483.082777777778
Pulse experiments,pioreactor01,2026-08-30T05:27:07.995Z,482.0,29.06,66.07,2026-08-30 11:12:07.995,1483.091111111111
Pulse experiments,pioreactor01,2026-08-30T05:27:37.997Z,484.0,29.12,65.99,2026-08-30 11:12:37.997,1483.099444444445
Pulse experiments,pioreactor01,2026-08-30T05:28:07.996Z,480.0,29.14,65.82,2026-08-30 11:13:07.996,1483.107777777778
Pulse experiments,pioreactor01,2026-08-30T05:28:38.016Z,482.0,29.14,65.69,2026-08-30 11:13:38.016,1483.116388888889
Pulse experiments,pioreactor01,2026-08-30T05:29:08.003Z,480.0,29.18,65.74,2026-08-30 11:14:08.003,1483.124722222222
Pulse experiments,pioreactor01,2026-08-30T05:29:38.012Z,480.0,29.18,65.72,2026-08-30 11:14:38.012,1483.133055555556
Pulse experiments,pioreactor01,2026-08-30T05:30:08.049Z,479.0,29.21,65.6,2026-08-30 11:15:08.049,1483.141388888889
Pulse experiments,pioreactor01,2026-08-30T05:30:38.013Z,478.0,29.22,65.49,2026-08-30 11:15:38.013,1483.149722222222
