experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-30T05:15:00.357Z,0.342482235697,90,2,2026-08-30 11:00:00.357,1482.889166666667
Pulse experiments,pioreactor01,2026-08-30T05:15:00.357Z,0.155784329968,135,3,2026-08-30 11:00:00.357,1482.889166666667
Pulse experiments,pioreactor01,2026-08-30T05:15:00.357Z,0.336059112234,45,4,2026-08-30 11:00:00.357,1482.889166666667
Pulse experiments,pioreactor01,2026-08-30T05:15:05.354Z,0.342052763074,90,2,2026-08-30 11:00:05.354,1482.890555555555
Pulse experiments,pioreactor01,2026-08-30T05:15:05.354Z,0.155555427722,135,3,2026-08-30 11:00:05.354,1482.890555555555
Pulse experiments,pioreactor01,2026-08-30T05:15:05.354Z,0.337618070365,45,4,2026-08-30 11:00:05.354,1482.890555555555
Pulse experiments,pioreactor01,2026-08-30T05:15:10.355Z,0.341217146976,90,2,2026-08-30 11:00:10.355,1482.891944444444
Pulse experiments,pioreactor01,2026-08-30T05:15:10.355Z,0.155235383003,135,3,2026-08-30 11:00:10.355,1482.891944444444
Pulse experiments,pioreactor01,2026-08-30T05:15:10.355Z,0.336161784956,45,4,2026-08-30 11:00:10.355,1482.891944444444
Pulse experiments,pioreactor01,2026-08-30T05:15:15.355Z,0.34178040489,90,2,2026-08-30 11:00:15.355,1482.893333333333
Pulse experiments,pioreactor01,2026-08-30T05:15:15.355Z,0.15547157864,135,3,2026-08-30 11:00:15.355,1482.893333333333
Pulse experiments,pioreactor01,2026-08-30T05:15:15.355Z,0.336921494637,45,4,2026-08-30 11:00:15.355,1482.893333333333
Pulse experiments,pioreactor01,2026-08-30T05:15:20.354Z,0.341904551351,90,2,2026-08-30 11:00:20.354,1482.894722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:20.354Z,0.155362329199,135,3,2026-08-30 11:00:20.354,1482.894722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:20.354Z,0.336904932509,45,4,2026-08-30 11:00:20.354,1482.894722222222
Pulse experiments,pioreactor01,2026-08-30T05:15:25.354Z,0.342666373968,90,2,2026-08-30 11:00:25.354,1482.896111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:25.354Z,0.155080609722,135,3,2026-08-30 11:00:25.354,1482.896111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:25.354Z,0.336976540181,45,4,2026-08-30 11:00:25.354,1482.896111111111
Pulse experiments,pioreactor01,2026-08-30T05:15:30.355Z,0.343045962703,90,2,2026-08-30 11:00:30.355,1482.8975
Pulse experiments,pioreactor01,2026-08-30T05:15:30.355Z,0.15580664168,135,3,2026-08-30 11:00:30.355,1482.8975
Pulse experiments,pioreactor01,2026-08-30T05:15:30.355Z,0.337134956921,45,4,2026-08-30 11:00:30.355,1482.8975
Pulse experiments,pioreactor01,2026-08-30T05:15:35.354Z,0.342487390962,90,2,2026-08-30 11:00:35.354,1482.898888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:35.354Z,0.156091372852,135,3,2026-08-30 11:00:35.354,1482.898888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:35.354Z,0.337086442027,45,4,2026-08-30 11:00:35.354,1482.898888888889
Pulse experiments,pioreactor01,2026-08-30T05:15:40.355Z,0.342086793515,90,2,2026-08-30 11:00:40.355,1482.900277777778
Pulse experiments,pioreactor01,2026-08-30T05:15:40.355Z,0.155648330111,135,3,2026-08-30 11:00:40.355,1482.900277777778
Pulse experiments,pioreactor01,2026-08-30T05:15:40.355Z,0.336992806208,45,4,2026-08-30 11:00:40.355,1482.900277777778
Pulse experiments,pioreactor01,2026-08-30T05:15:45.354Z,0.342888200889,90,2,2026-08-30 11:00:45.354,1482.901666666667
Pulse experiments,pioreactor01,2026-08-30T05:15:45.354Z,0.155625163282,135,3,2026-08-30 11:00:45.354,1482.901666666667
Pulse experiments,pioreactor01,2026-08-30T05:15:45.354Z,0.337043828773,45,4,2026-08-30 11:00:45.354,1482.901666666667
Pulse experiments,pioreactor01,2026-08-30T05:15:50.355Z,0.341732070435,90,2,2026-08-30 11:00:50.355,1482.903055555556
Pulse experiments,pioreactor01,2026-08-30T05:15:50.355Z,0.155323263217,135,3,2026-08-30 11:00:50.355,1482.903055555556
Pulse experiments,pioreactor01,2026-08-30T05:15:50.355Z,0.335550797037,45,4,2026-08-30 11:00:50.355,1482.903055555556
Pulse experiments,pioreactor01,2026-08-30T05:15:55.354Z,0.341567336143,90,2,2026-08-30 11:00:55.354,1482.904444444444
Pulse experiments,pioreactor01,2026-08-30T05:15:55.354Z,0.155234590065,135,3,2026-08-30 11:00:55.354,1482.904444444444
Pulse experiments,pioreactor01,2026-08-30T05:15:55.354Z,0.336118227396,45,4,2026-08-30 11:00:55.354,1482.904444444444
Pulse experiments,pioreactor01,2026-08-30T05:16:00.355Z,0.341729428027,90,2,2026-08-30 11:01:00.355,1482.905833333333
Pulse experiments,pioreactor01,2026-08-30T05:16:00.355Z,0.155041598558,135,3,2026-08-30 11:01:00.355,1482.905833333333
Pulse experiments,pioreactor01,2026-08-30T05:16:00.355Z,0.336872796642,45,4,2026-08-30 11:01:00.355,1482.905833333333
Pulse experiments,pioreactor01,2026-08-30T05:16:05.354Z,0.342567163468,90,2,2026-08-30 11:01:05.354,1482.907222222222
Pulse experiments,pioreactor01,2026-08-30T05:16:05.354Z,0.15505790137,135,3,2026-08-30 11:01:05.354,1482.907222222222
Pulse experiments,pioreactor01,2026-08-30T05:16:05.354Z,0.336314547376,45,4,2026-08-30 11:01:05.354,1482.907222222222
Pulse experiments,pioreactor01,2026-08-30T05:16:10.354Z,0.342070765545,90,2,2026-08-30 11:01:10.354,1482.908611111111
Pulse experiments,pioreactor01,2026-08-30T05:16:10.354Z,0.155008118015,135,3,2026-08-30 11:01:10.354,1482.908611111111
Pulse experiments,pioreactor01,2026-08-30T05:16:10.354Z,0.336576991577,45,4,2026-08-30 11:01:10.354,1482.908611111111
Pulse experiments,pioreactor01,2026-08-30T05:16:15.354Z,0.342713870485,90,2,2026-08-30 11:01:15.354,1482.91
Pulse experiments,pioreactor01,2026-08-30T05:16:15.354Z,0.154934224139,135,3,2026-08-30 11:01:15.354,1482.91
Pulse experiments,pioreactor01,2026-08-30T05:16:15.354Z,0.336652225305,45,4,2026-08-30 11:01:15.354,1482.91
Pulse experiments,pioreactor01,2026-08-30T05:16:20.354Z,0.341544498291,90,2,2026-08-30 11:01:20.354,1482.911388888889
Pulse experiments,pioreactor01,2026-08-30T05:16:20.354Z,0.155328715998,135,3,2026-08-30 11:01:20.354,1482.911388888889
Pulse experiments,pioreactor01,2026-08-30T05:16:20.354Z,0.336451131379,45,4,2026-08-30 11:01:20.354,1482.911388888889
Pulse experiments,pioreactor01,2026-08-30T05:16:25.353Z,0.34239350163,90,2,2026-08-30 11:01:25.353,1482.912777777778
Pulse experiments,pioreactor01,2026-08-30T05:16:25.353Z,0.155532126118,135,3,2026-08-30 11:01:25.353,1482.912777777778
Pulse experiments,pioreactor01,2026-08-30T05:16:25.353Z,0.337158996981,45,4,2026-08-30 11:01:25.353,1482.912777777778
Pulse experiments,pioreactor01,2026-08-30T05:16:30.355Z,0.34232704876,90,2,2026-08-30 11:01:30.355,1482.914166666667
Pulse experiments,pioreactor01,2026-08-30T05:16:30.355Z,0.155294365572,135,3,2026-08-30 11:01:30.355,1482.914166666667
Pulse experiments,pioreactor01,2026-08-30T05:16:30.355Z,0.336546982674,45,4,2026-08-30 11:01:30.355,1482.914166666667
Pulse experiments,pioreactor01,2026-08-30T05:16:35.354Z,0.343030567157,90,2,2026-08-30 11:01:35.354,1482.915555555556
Pulse experiments,pioreactor01,2026-08-30T05:16:35.354Z,0.155449203155,135,3,2026-08-30 11:01:35.354,1482.915555555556
Pulse experiments,pioreactor01,2026-08-30T05:16:35.354Z,0.336455595699,45,4,2026-08-30 11:01:35.354,1482.915555555556
Pulse experiments,pioreactor01,2026-08-30T05:16:40.356Z,0.342658009228,90,2,2026-08-30 11:01:40.356,1482.916944444444
Pulse experiments,pioreactor01,2026-08-30T05:16:40.356Z,0.155442322955,135,3,2026-08-30 11:01:40.356,1482.916944444444
Pulse experiments,pioreactor01,2026-08-30T05:16:40.356Z,0.336739873214,45,4,2026-08-30 11:01:40.356,1482.916944444444
Pulse experiments,pioreactor01,2026-08-30T05:16:45.358Z,0.342843952204,90,2,2026-08-30 11:01:45.358,1482.918333333333
Pulse experiments,pioreactor01,2026-08-30T05:16:45.358Z,0.155227131176,135,3,2026-08-30 11:01:45.358,1482.918333333333
Pulse experiments,pioreactor01,2026-08-30T05:16:45.358Z,0.337274043527,45,4,2026-08-30 11:01:45.358,1482.918333333333
Pulse experiments,pioreactor01,2026-08-30T05:16:50.356Z,0.340984411496,90,2,2026-08-30 11:01:50.356,1482.919722222222
Pulse experiments,pioreactor01,2026-08-30T05:16:50.356Z,0.155339963927,135,3,2026-08-30 11:01:50.356,1482.919722222222
Pulse experiments,pioreactor01,2026-08-30T05:16:50.356Z,0.336612830883,45,4,2026-08-30 11:01:50.356,1482.919722222222
Pulse experiments,pioreactor01,2026-08-30T05:16:55.354Z,0.341336792808,90,2,2026-08-30 11:01:55.354,1482.921111111111
Pulse experiments,pioreactor01,2026-08-30T05:16:55.354Z,0.155237656246,135,3,2026-08-30 11:01:55.354,1482.921111111111
Pulse experiments,pioreactor01,2026-08-30T05:16:55.354Z,0.337298384265,45,4,2026-08-30 11:01:55.354,1482.921111111111
Pulse experiments,pioreactor01,2026-08-30T05:17:00.355Z,0.341652853653,90,2,2026-08-30 11:02:00.355,1482.9225
Pulse experiments,pioreactor01,2026-08-30T05:17:00.355Z,0.155187052005,135,3,2026-08-30 11:02:00.355,1482.9225
Pulse experiments,pioreactor01,2026-08-30T05:17:00.355Z,0.336972811107,45,4,2026-08-30 11:02:00.355,1482.9225
Pulse experiments,pioreactor01,2026-08-30T05:17:05.354Z,0.342365763506,90,2,2026-08-30 11:02:05.354,1482.923888888889
Pulse experiments,pioreactor01,2026-08-30T05:17:05.354Z,0.155365819879,135,3,2026-08-30 11:02:05.354,1482.923888888889
Pulse experiments,pioreactor01,2026-08-30T05:17:05.354Z,0.337512846472,45,4,2026-08-30 11:02:05.354,1482.923888888889
Pulse experiments,pioreactor01,2026-08-30T05:17:10.353Z,0.341452505409,90,2,2026-08-30 11:02:10.353,1482.925277777778
Pulse experiments,pioreactor01,2026-08-30T05:17:10.353Z,0.15546007856,135,3,2026-08-30 11:02:10.353,1482.925277777778
Pulse experiments,pioreactor01,2026-08-30T05:17:10.353Z,0.337500903163,45,4,2026-08-30 11:02:10.353,1482.925277777778
Pulse experiments,pioreactor01,2026-08-30T05:17:15.354Z,0.342371538372,90,2,2026-08-30 11:02:15.354,1482.926666666667
Pulse experiments,pioreactor01,2026-08-30T05:17:15.354Z,0.155843958932,135,3,2026-08-30 11:02:15.354,1482.926666666667
Pulse experiments,pioreactor01,2026-08-30T05:17:15.354Z,0.337085343132,45,4,2026-08-30 11:02:15.354,1482.926666666667
Pulse experiments,pioreactor01,2026-08-30T05:17:20.355Z,0.342120166458,90,2,2026-08-30 11:02:20.355,1482.928055555556
Pulse experiments,pioreactor01,2026-08-30T05:17:20.355Z,0.155945019042,135,3,2026-08-30 11:02:20.355,1482.928055555556
Pulse experiments,pioreactor01,2026-08-30T05:17:20.355Z,0.337207417844,45,4,2026-08-30 11:02:20.355,1482.928055555556
Pulse experiments,pioreactor01,2026-08-30T05:17:25.355Z,0.342499366662,90,2,2026-08-30 11:02:25.355,1482.929444444444
Pulse experiments,pioreactor01,2026-08-30T05:17:25.355Z,0.155903664167,135,3,2026-08-30 11:02:25.355,1482.929444444444
Pulse experiments,pioreactor01,2026-08-30T05:17:25.355Z,0.337894575025,45,4,2026-08-30 11:02:25.355,1482.929444444444
Pulse experiments,pioreactor01,2026-08-30T05:17:30.354Z,0.343211545934,90,2,2026-08-30 11:02:30.354,1482.930833333333
Pulse experiments,pioreactor01,2026-08-30T05:17:30.354Z,0.156038944872,135,3,2026-08-30 11:02:30.354,1482.930833333333
Pulse experiments,pioreactor01,2026-08-30T05:17:30.354Z,0.33806906994,45,4,2026-08-30 11:02:30.354,1482.930833333333
Pulse experiments,pioreactor01,2026-08-30T05:17:35.354Z,0.34316100854,90,2,2026-08-30 11:02:35.354,1482.932222222222
Pulse experiments,pioreactor01,2026-08-30T05:17:35.354Z,0.156192537966,135,3,2026-08-30 11:02:35.354,1482.932222222222
Pulse experiments,pioreactor01,2026-08-30T05:17:35.354Z,0.336668734958,45,4,2026-08-30 11:02:35.354,1482.932222222222
Pulse experiments,pioreactor01,2026-08-30T05:17:40.353Z,0.342197315536,90,2,2026-08-30 11:02:40.353,1482.933611111111
Pulse experiments,pioreactor01,2026-08-30T05:17:40.353Z,0.155724645156,135,3,2026-08-30 11:02:40.353,1482.933611111111
Pulse experiments,pioreactor01,2026-08-30T05:17:40.353Z,0.336938711637,45,4,2026-08-30 11:02:40.353,1482.933611111111
Pulse experiments,pioreactor01,2026-08-30T05:17:45.356Z,0.342228048488,90,2,2026-08-30 11:02:45.356,1482.935
Pulse experiments,pioreactor01,2026-08-30T05:17:45.356Z,0.155834101612,135,3,2026-08-30 11:02:45.356,1482.935
Pulse experiments,pioreactor01,2026-08-30T05:17:45.356Z,0.336779319082,45,4,2026-08-30 11:02:45.356,1482.935
Pulse experiments,pioreactor01,2026-08-30T05:17:50.354Z,0.342879081757,90,2,2026-08-30 11:02:50.354,1482.936388888889
Pulse experiments,pioreactor01,2026-08-30T05:17:50.354Z,0.155837626228,135,3,2026-08-30 11:02:50.354,1482.936388888889
Pulse experiments,pioreactor01,2026-08-30T05:17:50.354Z,0.337252153596,45,4,2026-08-30 11:02:50.354,1482.936388888889
Pulse experiments,pioreactor01,2026-08-30T05:17:55.354Z,0.342724826914,90,2,2026-08-30 11:02:55.354,1482.937777777778
Pulse experiments,pioreactor01,2026-08-30T05:17:55.354Z,0.155492384705,135,3,2026-08-30 11:02:55.354,1482.937777777778
Pulse experiments,pioreactor01,2026-08-30T05:17:55.354Z,0.337403213329,45,4,2026-08-30 11:02:55.354,1482.937777777778
Pulse experiments,pioreactor01,2026-08-30T05:18:00.354Z,0.341766233864,90,2,2026-08-30 11:03:00.354,1482.939166666667
Pulse experiments,pioreactor01,2026-08-30T05:18:00.354Z,0.155794232519,135,3,2026-08-30 11:03:00.354,1482.939166666667
Pulse experiments,pioreactor01,2026-08-30T05:18:00.354Z,0.337839311737,45,4,2026-08-30 11:03:00.354,1482.939166666667
Pulse experiments,pioreactor01,2026-08-30T05:18:05.355Z,0.342330971008,90,2,2026-08-30 11:03:05.355,1482.940555555556
Pulse experiments,pioreactor01,2026-08-30T05:18:05.355Z,0.155222039689,135,3,2026-08-30 11:03:05.355,1482.940555555556
Pulse experiments,pioreactor01,2026-08-30T05:18:05.355Z,0.338715392489,45,4,2026-08-30 11:03:05.355,1482.940555555556
Pulse experiments,pioreactor01,2026-08-30T05:18:10.354Z,0.34222778792,90,2,2026-08-30 11:03:10.354,1482.941944444445
Pulse experiments,pioreactor01,2026-08-30T05:18:10.354Z,0.155366461877,135,3,2026-08-30 11:03:10.354,1482.941944444445
Pulse experiments,pioreactor01,2026-08-30T05:18:10.354Z,0.339021741573,45,4,2026-08-30 11:03:10.354,1482.941944444445
Pulse experiments,pioreactor01,2026-08-30T05:18:15.354Z,0.341901526101,90,2,2026-08-30 11:03:15.354,1482.943333333333
Pulse experiments,pioreactor01,2026-08-30T05:18:15.354Z,0.155553669494,135,3,2026-08-30 11:03:15.354,1482.943333333333
Pulse experiments,pioreactor01,2026-08-30T05:18:15.354Z,0.337887639859,45,4,2026-08-30 11:03:15.354,1482.943333333333
Pulse experiments,pioreactor01,2026-08-30T05:18:20.353Z,0.341788017315,90,2,2026-08-30 11:03:20.353,1482.944722222222
Pulse experiments,pioreactor01,2026-08-30T05:18:20.353Z,0.155671561282,135,3,2026-08-30 11:03:20.353,1482.944722222222
Pulse experiments,pioreactor01,2026-08-30T05:18:20.353Z,0.337318410808,45,4,2026-08-30 11:03:20.353,1482.944722222222
Pulse experiments,pioreactor01,2026-08-30T05:18:25.355Z,0.341410312798,90,2,2026-08-30 11:03:25.355,1482.946111111111
Pulse experiments,pioreactor01,2026-08-30T05:18:25.355Z,0.155240017859,135,3,2026-08-30 11:03:25.355,1482.946111111111
Pulse experiments,pioreactor01,2026-08-30T05:18:25.355Z,0.33744102841,45,4,2026-08-30 11:03:25.355,1482.946111111111
Pulse experiments,pioreactor01,2026-08-30T05:18:30.353Z,0.342463271276,90,2,2026-08-30 11:03:30.353,1482.9475
Pulse experiments,pioreactor01,2026-08-30T05:18:30.353Z,0.155330901178,135,3,2026-08-30 11:03:30.353,1482.9475
Pulse experiments,pioreactor01,2026-08-30T05:18:30.353Z,0.337653010658,45,4,2026-08-30 11:03:30.353,1482.9475
Pulse experiments,pioreactor01,2026-08-30T05:18:35.354Z,0.34238839595,90,2,2026-08-30 11:03:35.354,1482.948888888889
