experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-29T18:45:20.884Z,813.0,30.42,71.03,2026-08-30 00:30:20.884,1472.394722222222
Pulse experiments,pioreactor01,2026-08-29T18:45:50.914Z,813.0,30.45,70.81,2026-08-30 00:30:50.914,1472.403055555556
Pulse experiments,pioreactor01,2026-08-29T18:46:20.882Z,809.0,30.47,70.55,2026-08-30 00:31:20.882,1472.411388888889
Pulse experiments,pioreactor01,2026-08-29T18:46:50.898Z,806.0,30.48,70.31,2026-08-30 00:31:50.898,1472.419722222222
Pulse experiments,pioreactor01,2026-08-29T18:47:20.914Z,806.0,30.52,70.2,2026-08-30 00:32:20.914,1472.428055555556
Pulse experiments,pioreactor01,2026-08-29T18:47:50.934Z,805.0,30.56,70.27,2026-08-30 00:32:50.934,1472.436388888889
Pulse experiments,pioreactor01,2026-08-29T18:48:20.939Z,797.0,30.6,70.2,2026-08-30 00:33:20.939,1472.444722222222
Pulse experiments,pioreactor01,2026-08-29T18:48:50.885Z,797.0,30.63,70.02,2026-08-30 00:33:50.885,1472.453055555555
Pulse experiments,pioreactor01,2026-08-29T18:49:20.899Z,790.0,30.66,69.75,2026-08-30 00:34:20.899,1472.461388888889
Pulse experiments,pioreactor01,2026-08-29T18:49:50.895Z,786.0,30.67,69.51,2026-08-30 00:34:50.895,1472.469722222222
Pulse experiments,pioreactor01,2026-08-29T18:50:20.895Z,787.0,30.62,69.5,2026-08-30 00:35:20.895,1472.478055555556
Pulse experiments,pioreactor01,2026-08-29T18:50:50.921Z,797.0,30.64,69.6,2026-08-30 00:35:50.921,1472.486388888889
Pulse experiments,pioreactor01,2026-08-29T18:51:20.920Z,816.0,30.6,69.52,2026-08-30 00:36:20.920,1472.494722222222
Pulse experiments,pioreactor01,2026-08-29T18:51:50.909Z,854.0,30.59,69.85,2026-08-30 00:36:50.909,1472.503055555556
Pulse experiments,pioreactor01,2026-08-29T18:52:20.897Z,868.0,30.64,69.96,2026-08-30 00:37:20.897,1472.511388888889
Pulse experiments,pioreactor01,2026-08-29T18:52:50.900Z,884.0,30.66,69.78,2026-08-30 00:37:50.900,1472.519722222222
Pulse experiments,pioreactor01,2026-08-29T18:53:20.894Z,891.0,30.67,69.73,2026-08-30 00:38:20.894,1472.528055555556
Pulse experiments,pioreactor01,2026-08-29T18:53:50.894Z,891.0,30.7,69.65,2026-08-30 00:38:50.894,1472.536388888889
Pulse experiments,pioreactor01,2026-08-29T18:54:20.900Z,899.0,30.78,69.42,2026-08-30 00:39:20.900,1472.544722222222
Pulse experiments,pioreactor01,2026-08-29T18:54:50.900Z,905.0,30.84,69.44,2026-08-30 00:39:50.900,1472.553055555556
Pulse experiments,pioreactor01,2026-08-29T18:55:20.896Z,908.0,30.93,69.29,2026-08-30 00:40:20.896,1472.561388888889
Pulse experiments,pioreactor01,2026-08-29T18:55:50.901Z,907.0,31.02,68.9,2026-08-30 00:40:50.901,1472.569722222222
Pulse experiments,pioreactor01,2026-08-29T18:56:20.899Z,911.0,31.06,68.72,2026-08-30 00:41:20.899,1472.578055555555
Pulse experiments,pioreactor01,2026-08-29T18:56:50.897Z,922.0,30.98,68.77,2026-08-30 00:41:50.897,1472.586388888889
Pulse experiments,pioreactor01,2026-08-29T18:57:20.896Z,931.0,30.89,68.91,2026-08-30 00:42:20.896,1472.594722222222
Pulse experiments,pioreactor01,2026-08-29T18:57:50.897Z,927.0,30.89,69.04,2026-08-30 00:42:50.897,1472.603055555556
Pulse experiments,pioreactor01,2026-08-29T18:58:20.902Z,930.0,30.94,68.87,2026-08-30 00:43:20.902,1472.611388888889
Pulse experiments,pioreactor01,2026-08-29T18:58:50.900Z,928.0,30.97,68.84,2026-08-30 00:43:50.900,1472.619722222222
Pulse experiments,pioreactor01,2026-08-29T18:59:20.938Z,924.0,30.98,68.69,2026-08-30 00:44:20.938,1472.628055555556
Pulse experiments,pioreactor01,2026-08-29T18:59:50.900Z,922.0,30.95,68.51,2026-08-30 00:44:50.900,1472.636388888889
Pulse experiments,pioreactor01,2026-08-29T19:00:20.898Z,923.0,31.03,68.26,2026-08-30 00:45:20.898,1472.644722222222
Pulse experiments,pioreactor01,2026-08-29T19:00:50.902Z,917.0,31.05,68.2,2026-08-30 00:45:50.902,1472.653055555556
Pulse experiments,pioreactor01,2026-08-29T19:01:20.899Z,917.0,31.05,68.16,2026-08-30 00:46:20.899,1472.661388888889
Pulse experiments,pioreactor01,2026-08-29T19:01:50.909Z,916.0,31.05,68.11,2026-08-30 00:46:50.909,1472.669722222222
Pulse experiments,pioreactor01,2026-08-29T19:02:20.894Z,912.0,31.05,67.9,2026-08-30 00:47:20.894,1472.678055555556
Pulse experiments,pioreactor01,2026-08-29T19:02:50.899Z,912.0,31.05,67.77,2026-08-30 00:47:50.899,1472.686388888889
Pulse experiments,pioreactor01,2026-08-29T19:03:20.898Z,912.0,31.06,67.62,2026-08-30 00:48:20.898,1472.694722222222
Pulse experiments,pioreactor01,2026-08-29T19:03:50.903Z,909.0,31.1,67.58,2026-08-30 00:48:50.903,1472.703055555555
Pulse experiments,pioreactor01,2026-08-29T19:04:20.901Z,903.0,31.08,67.56,2026-08-30 00:49:20.901,1472.711388888889
Pulse experiments,pioreactor01,2026-08-29T19:04:50.901Z,898.0,31.05,67.53,2026-08-30 00:49:50.901,1472.719722222222
Pulse experiments,pioreactor01,2026-08-29T19:05:20.907Z,895.0,31.03,67.43,2026-08-30 00:50:20.907,1472.728055555556
Pulse experiments,pioreactor01,2026-08-29T19:05:52.410Z,891.0,31.05,67.34,2026-08-30 00:50:52.410,1472.736944444444
Pulse experiments,pioreactor01,2026-08-29T19:06:20.903Z,890.0,31.05,67.16,2026-08-30 00:51:20.903,1472.744722222222
Pulse experiments,pioreactor01,2026-08-29T19:06:50.916Z,894.0,31.05,67.08,2026-08-30 00:51:50.916,1472.753055555556
Pulse experiments,pioreactor01,2026-08-29T19:07:20.906Z,895.0,31.05,67.12,2026-08-30 00:52:20.906,1472.761388888889
Pulse experiments,pioreactor01,2026-08-29T19:07:50.904Z,895.0,31.01,67.21,2026-08-30 00:52:50.904,1472.769722222222
Pulse experiments,pioreactor01,2026-08-29T19:08:22.405Z,896.0,31.01,67.26,2026-08-30 00:53:22.405,1472.778611111111
Pulse experiments,pioreactor01,2026-08-29T19:08:50.903Z,900.0,31.03,67.19,2026-08-30 00:53:50.903,1472.786388888889
Pulse experiments,pioreactor01,2026-08-29T19:09:20.912Z,904.0,31.02,67.06,2026-08-30 00:54:20.912,1472.794722222222
Pulse experiments,pioreactor01,2026-08-29T19:09:50.908Z,894.0,31.01,66.88,2026-08-30 00:54:50.908,1472.803055555556
Pulse experiments,pioreactor01,2026-08-29T19:10:20.905Z,893.0,30.98,66.82,2026-08-30 00:55:20.905,1472.811388888889
Pulse experiments,pioreactor01,2026-08-29T19:10:50.905Z,892.0,30.94,66.91,2026-08-30 00:55:50.905,1472.819722222222
Pulse experiments,pioreactor01,2026-08-29T19:11:20.904Z,887.0,30.98,66.93,2026-08-30 00:56:20.904,1472.828055555555
Pulse experiments,pioreactor01,2026-08-29T19:11:50.909Z,882.0,30.97,66.8,2026-08-30 00:56:50.909,1472.836388888889
Pulse experiments,pioreactor01,2026-08-29T19:12:20.907Z,881.0,30.99,66.79,2026-08-30 00:57:20.907,1472.844722222222
Pulse experiments,pioreactor01,2026-08-29T19:12:50.907Z,878.0,30.99,66.67,2026-08-30 00:57:50.907,1472.853055555556
Pulse experiments,pioreactor01,2026-08-29T19:13:20.990Z,883.0,30.97,66.51,2026-08-30 00:58:20.990,1472.861388888889
Pulse experiments,pioreactor01,2026-08-29T19:13:50.916Z,883.0,30.95,66.59,2026-08-30 00:58:50.916,1472.869722222222
