experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-29T19:28:33.428Z,C,11.1,,2026-08-30 01:13:33.428,1473.115
Pulse experiments,pioreactor01,2026-08-29T19:33:33.777Z,C,4.6,,2026-08-30 01:18:33.777,1473.198333333333
Pulse experiments,pioreactor01,2026-08-29T19:38:34.129Z,C,0.4,,2026-08-30 01:23:34.129,1473.281944444444
Pulse experiments,pioreactor01,2026-08-29T19:43:34.429Z,C,6.5,,2026-08-30 01:28:34.429,1473.365277777778
Pulse experiments,pioreactor01,2026-08-29T19:48:34.760Z,C,21.7,,2026-08-30 01:33:34.760,1473.448611111111
Pulse experiments,pioreactor01,2026-08-29T20:08:35.344Z,C,31.5,,2026-08-30 01:53:35.344,1473.782222222222
Pulse experiments,pioreactor01,2026-08-29T20:13:35.409Z,C,31.8,,2026-08-30 01:58:35.409,1473.865555555556
Pulse experiments,pioreactor01,2026-08-29T20:18:35.481Z,C,28.2,,2026-08-30 02:03:35.481,1473.948888888889
Pulse experiments,pioreactor01,2026-08-29T20:23:35.550Z,C,29.9,,2026-08-30 02:08:35.550,1474.032222222222
Pulse experiments,pioreactor01,2026-08-29T20:28:35.616Z,C,28.2,,2026-08-30 02:13:35.616,1474.115555555556
Pulse experiments,pioreactor01,2026-08-29T20:33:35.683Z,C,19.0,,2026-08-30 02:18:35.683,1474.198888888889
Pulse experiments,pioreactor01,2026-08-29T20:38:35.762Z,C,15.5,,2026-08-30 02:23:35.762,1474.282222222222
Pulse experiments,pioreactor01,2026-08-29T20:43:35.827Z,C,15.1,,2026-08-30 02:28:35.827,1474.365555555556
Pulse experiments,pioreactor01,2026-08-29T20:48:35.875Z,C,12.6,,2026-08-30 02:33:35.875,1474.448888888889
Pulse experiments,pioreactor01,2026-08-29T20:53:35.945Z,C,20.0,,2026-08-30 02:38:35.945,1474.532222222222
Pulse experiments,pioreactor01,2026-08-29T20:58:36.006Z,C,31.3,,2026-08-30 02:43:36.006,1474.615833333333
Pulse experiments,pioreactor01,2026-08-29T21:03:36.066Z,C,38.4,,2026-08-30 02:48:36.066,1474.699166666667
Pulse experiments,pioreactor01,2026-08-29T21:08:36.125Z,C,42.4,,2026-08-30 02:53:36.125,1474.7825
Pulse experiments,pioreactor01,2026-08-29T21:13:36.184Z,C,45.0,,2026-08-30 02:58:36.184,1474.865833333333
Pulse experiments,pioreactor01,2026-08-29T21:18:36.247Z,C,40.0,,2026-08-30 03:03:36.247,1474.949166666667
Pulse experiments,pioreactor01,2026-08-29T21:23:36.305Z,C,25.7,,2026-08-30 03:08:36.305,1475.0325
Pulse experiments,pioreactor01,2026-08-29T21:28:36.368Z,C,14.1,,2026-08-30 03:13:36.368,1475.115833333333
Pulse experiments,pioreactor01,2026-08-29T21:33:36.424Z,C,6.1,,2026-08-30 03:18:36.424,1475.199166666667
Pulse experiments,pioreactor01,2026-08-29T21:38:36.488Z,C,0.7,,2026-08-30 03:23:36.488,1475.2825
Pulse experiments,pioreactor01,2026-08-29T21:43:36.545Z,C,0.7,,2026-08-30 03:28:36.545,1475.365833333333
Pulse experiments,pioreactor01,2026-08-29T21:48:36.608Z,C,16.0,,2026-08-30 03:33:36.608,1475.449166666667
Pulse experiments,pioreactor01,2026-08-29T21:53:36.665Z,C,25.2,,2026-08-30 03:38:36.665,1475.5325
Pulse experiments,pioreactor01,2026-08-29T21:58:36.742Z,C,25.5,,2026-08-30 03:43:36.742,1475.615833333333
Pulse experiments,pioreactor01,2026-08-29T22:03:36.801Z,C,22.3,,2026-08-30 03:48:36.801,1475.699166666667
Pulse experiments,pioreactor01,2026-08-29T22:08:36.861Z,C,25.8,,2026-08-30 03:53:36.861,1475.7825
Pulse experiments,pioreactor01,2026-08-29T22:13:36.920Z,C,32.7,,2026-08-30 03:58:36.920,1475.865833333333
Pulse experiments,pioreactor01,2026-08-29T22:18:36.982Z,C,30.7,,2026-08-30 04:03:36.982,1475.949166666667
Pulse experiments,pioreactor01,2026-08-29T22:23:37.043Z,C,32.2,,2026-08-30 04:08:37.043,1476.032777777778
Pulse experiments,pioreactor01,2026-08-29T22:28:37.099Z,C,35.6,,2026-08-30 04:13:37.099,1476.116111111111
Pulse experiments,pioreactor01,2026-08-29T22:33:37.159Z,C,27.2,,2026-08-30 04:18:37.159,1476.199444444444
Pulse experiments,pioreactor01,2026-08-29T22:38:37.219Z,C,18.9,,2026-08-30 04:23:37.219,1476.282777777778
Pulse experiments,pioreactor01,2026-08-29T22:43:37.280Z,C,14.5,,2026-08-30 04:28:37.280,1476.366111111111
Pulse experiments,pioreactor01,2026-08-29T22:48:37.351Z,C,9.1,,2026-08-30 04:33:37.351,1476.449444444444
Pulse experiments,pioreactor01,2026-08-29T22:53:37.427Z,C,6.5,,2026-08-30 04:38:37.427,1476.532777777778
Pulse experiments,pioreactor01,2026-08-29T22:58:37.478Z,C,17.2,,2026-08-30 04:43:37.478,1476.616111111111
Pulse experiments,pioreactor01,2026-08-29T23:03:37.576Z,C,29.5,,2026-08-30 04:48:37.576,1476.699444444444
Pulse experiments,pioreactor01,2026-08-29T23:08:37.628Z,C,35.4,,2026-08-30 04:53:37.628,1476.782777777778
Pulse experiments,pioreactor01,2026-08-29T23:13:37.694Z,C,35.3,,2026-08-30 04:58:37.694,1476.866111111111
Pulse experiments,pioreactor01,2026-08-29T23:18:37.757Z,C,37.3,,2026-08-30 05:03:37.757,1476.949444444444
Pulse experiments,pioreactor01,2026-08-29T23:23:37.817Z,C,37.7,,2026-08-30 05:08:37.817,1477.032777777778
Pulse experiments,pioreactor01,2026-08-29T23:28:37.879Z,C,25.6,,2026-08-30 05:13:37.879,1477.116111111111
Pulse experiments,pioreactor01,2026-08-29T23:33:37.936Z,C,15.4,,2026-08-30 05:18:37.936,1477.199444444444
Pulse experiments,pioreactor01,2026-08-29T23:38:37.997Z,C,8.9,,2026-08-30 05:23:37.997,1477.282777777778
Pulse experiments,pioreactor01,2026-08-29T23:43:38.068Z,C,3.4,,2026-08-30 05:28:38.068,1477.366388888889
Pulse experiments,pioreactor01,2026-08-29T23:48:38.127Z,C,3.2,,2026-08-30 05:33:38.127,1477.449722222222
Pulse experiments,pioreactor01,2026-08-29T23:53:38.184Z,C,17.5,,2026-08-30 05:38:38.184,1477.533055555556
Pulse experiments,pioreactor01,2026-08-29T23:58:38.247Z,C,27.6,,2026-08-30 05:43:38.247,1477.616388888889
Pulse experiments,pioreactor01,2026-08-30T00:03:38.321Z,C,29.5,,2026-08-30 05:48:38.321,1477.699722222222
Pulse experiments,pioreactor01,2026-08-30T00:08:38.387Z,C,27.2,,2026-08-30 05:53:38.387,1477.783055555556
Pulse experiments,pioreactor01,2026-08-30T00:13:38.457Z,C,30.7,,2026-08-30 05:58:38.457,1477.866388888889
Pulse experiments,pioreactor01,2026-08-30T00:18:38.515Z,C,33.9,,2026-08-30 06:03:38.515,1477.949722222222
Pulse experiments,pioreactor01,2026-08-30T00:23:38.575Z,C,26.7,,2026-08-30 06:08:38.575,1478.033055555556
Pulse experiments,pioreactor01,2026-08-30T00:28:38.636Z,C,22.3,,2026-08-30 06:13:38.636,1478.116388888889
Pulse experiments,pioreactor01,2026-08-30T00:33:38.706Z,C,21.0,,2026-08-30 06:18:38.706,1478.199722222222
Pulse experiments,pioreactor01,2026-08-30T00:38:38.767Z,C,13.8,,2026-08-30 06:23:38.767,1478.283055555556
Pulse experiments,pioreactor01,2026-08-30T00:43:38.839Z,C,11.2,,2026-08-30 06:28:38.839,1478.366388888889
Pulse experiments,pioreactor01,2026-08-30T00:48:38.897Z,C,19.0,,2026-08-30 06:33:38.897,1478.449722222222
Pulse experiments,pioreactor01,2026-08-30T00:53:38.957Z,C,27.9,,2026-08-30 06:38:38.957,1478.533055555556
Pulse experiments,pioreactor01,2026-08-30T00:58:39.017Z,C,36.0,,2026-08-30 06:43:39.017,1478.616666666667
Pulse experiments,pioreactor01,2026-08-30T01:03:39.075Z,C,39.4,,2026-08-30 06:48:39.075,1478.7
Pulse experiments,pioreactor01,2026-08-30T01:08:39.147Z,C,42.7,,2026-08-30 06:53:39.147,1478.783333333333
