experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-29T18:45:00.282Z,0.318973944051,90,2,2026-08-30 00:30:00.282,1472.389166666667
Pulse experiments,pioreactor01,2026-08-29T18:45:00.282Z,0.187343225919,135,3,2026-08-30 00:30:00.282,1472.389166666667
Pulse experiments,pioreactor01,2026-08-29T18:45:00.282Z,0.245177468446,45,4,2026-08-30 00:30:00.282,1472.389166666667
Pulse experiments,pioreactor01,2026-08-29T18:45:05.282Z,0.31851489693,90,2,2026-08-30 00:30:05.282,1472.390555555555
Pulse experiments,pioreactor01,2026-08-29T18:45:05.282Z,0.187495581201,135,3,2026-08-30 00:30:05.282,1472.390555555555
Pulse experiments,pioreactor01,2026-08-29T18:45:05.282Z,0.245145760146,45,4,2026-08-30 00:30:05.282,1472.390555555555
Pulse experiments,pioreactor01,2026-08-29T18:45:10.282Z,0.318984771018,90,2,2026-08-30 00:30:10.282,1472.391944444444
Pulse experiments,pioreactor01,2026-08-29T18:45:10.282Z,0.187356174215,135,3,2026-08-30 00:30:10.282,1472.391944444444
Pulse experiments,pioreactor01,2026-08-29T18:45:10.282Z,0.245206647266,45,4,2026-08-30 00:30:10.282,1472.391944444444
Pulse experiments,pioreactor01,2026-08-29T18:45:15.283Z,0.318743076912,90,2,2026-08-30 00:30:15.283,1472.393333333333
Pulse experiments,pioreactor01,2026-08-29T18:45:15.283Z,0.187007428058,135,3,2026-08-30 00:30:15.283,1472.393333333333
Pulse experiments,pioreactor01,2026-08-29T18:45:15.283Z,0.245327518858,45,4,2026-08-30 00:30:15.283,1472.393333333333
Pulse experiments,pioreactor01,2026-08-29T18:45:20.283Z,0.318679863345,90,2,2026-08-30 00:30:20.283,1472.394722222222
Pulse experiments,pioreactor01,2026-08-29T18:45:20.283Z,0.186977575011,135,3,2026-08-30 00:30:20.283,1472.394722222222
Pulse experiments,pioreactor01,2026-08-29T18:45:20.283Z,0.245240396643,45,4,2026-08-30 00:30:20.283,1472.394722222222
Pulse experiments,pioreactor01,2026-08-29T18:45:25.282Z,0.318717390811,90,2,2026-08-30 00:30:25.282,1472.396111111111
Pulse experiments,pioreactor01,2026-08-29T18:45:25.282Z,0.187278122462,135,3,2026-08-30 00:30:25.282,1472.396111111111
Pulse experiments,pioreactor01,2026-08-29T18:45:25.282Z,0.245108684106,45,4,2026-08-30 00:30:25.282,1472.396111111111
Pulse experiments,pioreactor01,2026-08-29T18:45:30.283Z,0.319477069757,90,2,2026-08-30 00:30:30.283,1472.3975
Pulse experiments,pioreactor01,2026-08-29T18:45:30.283Z,0.187388538784,135,3,2026-08-30 00:30:30.283,1472.3975
Pulse experiments,pioreactor01,2026-08-29T18:45:30.283Z,0.245310024761,45,4,2026-08-30 00:30:30.283,1472.3975
Pulse experiments,pioreactor01,2026-08-29T18:45:35.282Z,0.319033016762,90,2,2026-08-30 00:30:35.282,1472.398888888889
Pulse experiments,pioreactor01,2026-08-29T18:45:35.282Z,0.187484917009,135,3,2026-08-30 00:30:35.282,1472.398888888889
Pulse experiments,pioreactor01,2026-08-29T18:45:35.282Z,0.244735520906,45,4,2026-08-30 00:30:35.282,1472.398888888889
Pulse experiments,pioreactor01,2026-08-29T18:45:40.282Z,0.318526222568,90,2,2026-08-30 00:30:40.282,1472.400277777778
Pulse experiments,pioreactor01,2026-08-29T18:45:40.282Z,0.187380424444,135,3,2026-08-30 00:30:40.282,1472.400277777778
Pulse experiments,pioreactor01,2026-08-29T18:45:40.282Z,0.244932358357,45,4,2026-08-30 00:30:40.282,1472.400277777778
Pulse experiments,pioreactor01,2026-08-29T18:45:45.282Z,0.318238812671,90,2,2026-08-30 00:30:45.282,1472.401666666667
Pulse experiments,pioreactor01,2026-08-29T18:45:45.282Z,0.187081290297,135,3,2026-08-30 00:30:45.282,1472.401666666667
Pulse experiments,pioreactor01,2026-08-29T18:45:45.282Z,0.245246096669,45,4,2026-08-30 00:30:45.282,1472.401666666667
Pulse experiments,pioreactor01,2026-08-29T18:45:50.284Z,0.319535593472,90,2,2026-08-30 00:30:50.284,1472.403055555556
Pulse experiments,pioreactor01,2026-08-29T18:45:50.284Z,0.186920045191,135,3,2026-08-30 00:30:50.284,1472.403055555556
Pulse experiments,pioreactor01,2026-08-29T18:45:50.284Z,0.245079181316,45,4,2026-08-30 00:30:50.284,1472.403055555556
Pulse experiments,pioreactor01,2026-08-29T18:45:55.282Z,0.318892066607,90,2,2026-08-30 00:30:55.282,1472.404444444444
Pulse experiments,pioreactor01,2026-08-29T18:45:55.282Z,0.187409426793,135,3,2026-08-30 00:30:55.282,1472.404444444444
Pulse experiments,pioreactor01,2026-08-29T18:45:55.282Z,0.245313296839,45,4,2026-08-30 00:30:55.282,1472.404444444444
Pulse experiments,pioreactor01,2026-08-29T18:46:00.284Z,0.318538875637,90,2,2026-08-30 00:31:00.284,1472.405833333333
Pulse experiments,pioreactor01,2026-08-29T18:46:00.284Z,0.187435009621,135,3,2026-08-30 00:31:00.284,1472.405833333333
Pulse experiments,pioreactor01,2026-08-29T18:46:00.284Z,0.244578272732,45,4,2026-08-30 00:31:00.284,1472.405833333333
Pulse experiments,pioreactor01,2026-08-29T18:46:05.283Z,0.317881827767,90,2,2026-08-30 00:31:05.283,1472.407222222222
Pulse experiments,pioreactor01,2026-08-29T18:46:05.283Z,0.18752713107,135,3,2026-08-30 00:31:05.283,1472.407222222222
Pulse experiments,pioreactor01,2026-08-29T18:46:05.283Z,0.244615378097,45,4,2026-08-30 00:31:05.283,1472.407222222222
Pulse experiments,pioreactor01,2026-08-29T18:46:10.283Z,0.318667236528,90,2,2026-08-30 00:31:10.283,1472.408611111111
Pulse experiments,pioreactor01,2026-08-29T18:46:10.283Z,0.187075090559,135,3,2026-08-30 00:31:10.283,1472.408611111111
Pulse experiments,pioreactor01,2026-08-29T18:46:10.283Z,0.245069257704,45,4,2026-08-30 00:31:10.283,1472.408611111111
Pulse experiments,pioreactor01,2026-08-29T18:46:15.282Z,0.31880942867,90,2,2026-08-30 00:31:15.282,1472.41
Pulse experiments,pioreactor01,2026-08-29T18:46:15.282Z,0.186995399963,135,3,2026-08-30 00:31:15.282,1472.41
Pulse experiments,pioreactor01,2026-08-29T18:46:15.282Z,0.244875704073,45,4,2026-08-30 00:31:15.282,1472.41
Pulse experiments,pioreactor01,2026-08-29T18:46:20.282Z,0.318974407408,90,2,2026-08-30 00:31:20.282,1472.411388888889
Pulse experiments,pioreactor01,2026-08-29T18:46:20.282Z,0.187349846738,135,3,2026-08-30 00:31:20.282,1472.411388888889
Pulse experiments,pioreactor01,2026-08-29T18:46:20.282Z,0.244511024216,45,4,2026-08-30 00:31:20.282,1472.411388888889
Pulse experiments,pioreactor01,2026-08-29T18:46:25.285Z,0.319115224124,90,2,2026-08-30 00:31:25.285,1472.412777777778
Pulse experiments,pioreactor01,2026-08-29T18:46:25.285Z,0.187388273428,135,3,2026-08-30 00:31:25.285,1472.412777777778
Pulse experiments,pioreactor01,2026-08-29T18:46:25.285Z,0.245203385845,45,4,2026-08-30 00:31:25.285,1472.412777777778
Pulse experiments,pioreactor01,2026-08-29T18:46:30.284Z,0.31836434515,90,2,2026-08-30 00:31:30.284,1472.414166666667
Pulse experiments,pioreactor01,2026-08-29T18:46:30.284Z,0.187408799498,135,3,2026-08-30 00:31:30.284,1472.414166666667
Pulse experiments,pioreactor01,2026-08-29T18:46:30.284Z,0.244921099739,45,4,2026-08-30 00:31:30.284,1472.414166666667
Pulse experiments,pioreactor01,2026-08-29T18:46:35.283Z,0.319178418572,90,2,2026-08-30 00:31:35.283,1472.415555555556
Pulse experiments,pioreactor01,2026-08-29T18:46:35.283Z,0.186972722466,135,3,2026-08-30 00:31:35.283,1472.415555555556
Pulse experiments,pioreactor01,2026-08-29T18:46:35.283Z,0.245163425092,45,4,2026-08-30 00:31:35.283,1472.415555555556
Pulse experiments,pioreactor01,2026-08-29T18:46:40.282Z,0.31958727334,90,2,2026-08-30 00:31:40.282,1472.416944444444
Pulse experiments,pioreactor01,2026-08-29T18:46:40.282Z,0.187251020683,135,3,2026-08-30 00:31:40.282,1472.416944444444
Pulse experiments,pioreactor01,2026-08-29T18:46:40.282Z,0.245541850565,45,4,2026-08-30 00:31:40.282,1472.416944444444
Pulse experiments,pioreactor01,2026-08-29T18:46:45.283Z,0.319253865657,90,2,2026-08-30 00:31:45.283,1472.418333333333
Pulse experiments,pioreactor01,2026-08-29T18:46:45.283Z,0.187415621733,135,3,2026-08-30 00:31:45.283,1472.418333333333
Pulse experiments,pioreactor01,2026-08-29T18:46:45.283Z,0.245533105367,45,4,2026-08-30 00:31:45.283,1472.418333333333
Pulse experiments,pioreactor01,2026-08-29T18:46:50.282Z,0.31873289417,90,2,2026-08-30 00:31:50.282,1472.419722222222
Pulse experiments,pioreactor01,2026-08-29T18:46:50.282Z,0.187250384025,135,3,2026-08-30 00:31:50.282,1472.419722222222
Pulse experiments,pioreactor01,2026-08-29T18:46:50.282Z,0.245750716079,45,4,2026-08-30 00:31:50.282,1472.419722222222
Pulse experiments,pioreactor01,2026-08-29T18:46:55.282Z,0.318874145938,90,2,2026-08-30 00:31:55.282,1472.421111111111
Pulse experiments,pioreactor01,2026-08-29T18:46:55.282Z,0.186871140668,135,3,2026-08-30 00:31:55.282,1472.421111111111
Pulse experiments,pioreactor01,2026-08-29T18:46:55.282Z,0.245994196888,45,4,2026-08-30 00:31:55.282,1472.421111111111
Pulse experiments,pioreactor01,2026-08-29T18:47:00.282Z,0.319080136513,90,2,2026-08-30 00:32:00.282,1472.4225
Pulse experiments,pioreactor01,2026-08-29T18:47:00.282Z,0.186736651503,135,3,2026-08-30 00:32:00.282,1472.4225
Pulse experiments,pioreactor01,2026-08-29T18:47:00.282Z,0.246163648938,45,4,2026-08-30 00:32:00.282,1472.4225
