experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-04T18:39:45.799Z,828.0,,,2026-07-05 00:24:45.799,128.301666666667
Pulse experiments,pioreactor01,2026-07-04T18:40:15.790Z,826.0,30.6,73.51,2026-07-05 00:25:15.790,128.31
Pulse experiments,pioreactor01,2026-07-04T18:40:45.784Z,825.0,29.99,76.26,2026-07-05 00:25:45.784,128.318333333333
Pulse experiments,pioreactor01,2026-07-04T18:41:15.784Z,822.0,29.75,77.69,2026-07-05 00:26:15.784,128.326666666667
Pulse experiments,pioreactor01,2026-07-04T18:41:45.789Z,821.0,29.63,78.76,2026-07-05 00:26:45.789,128.335
Pulse experiments,pioreactor01,2026-07-04T18:42:15.785Z,822.0,29.56,78.7,2026-07-05 00:27:15.785,128.343333333333
Pulse experiments,pioreactor01,2026-07-04T18:42:45.792Z,817.0,29.57,78.44,2026-07-05 00:27:45.792,128.351666666667
Pulse experiments,pioreactor01,2026-07-04T18:43:15.785Z,820.0,29.59,78.18,2026-07-05 00:28:15.785,128.36
Pulse experiments,pioreactor01,2026-07-04T18:43:45.793Z,821.0,29.61,78.1,2026-07-05 00:28:45.793,128.368333333333
Pulse experiments,pioreactor01,2026-07-04T18:44:15.791Z,824.0,29.69,77.99,2026-07-05 00:29:15.791,128.376666666667
Pulse experiments,pioreactor01,2026-07-04T18:44:45.819Z,822.0,29.76,77.86,2026-07-05 00:29:45.819,128.385
Pulse experiments,pioreactor01,2026-07-04T18:45:15.787Z,820.0,29.83,77.39,2026-07-05 00:30:15.787,128.393333333333
Pulse experiments,pioreactor01,2026-07-04T18:45:45.790Z,823.0,29.84,76.87,2026-07-05 00:30:45.790,128.401666666667
Pulse experiments,pioreactor01,2026-07-04T18:46:15.790Z,825.0,29.92,76.47,2026-07-05 00:31:15.790,128.41
Pulse experiments,pioreactor01,2026-07-04T18:46:45.790Z,824.0,29.96,76.18,2026-07-05 00:31:45.790,128.418333333333
Pulse experiments,pioreactor01,2026-07-04T18:47:15.788Z,824.0,30.03,75.81,2026-07-05 00:32:15.788,128.426666666667
Pulse experiments,pioreactor01,2026-07-04T18:47:45.796Z,826.0,30.11,75.62,2026-07-05 00:32:45.796,128.435
Pulse experiments,pioreactor01,2026-07-04T18:48:15.792Z,831.0,30.16,75.3,2026-07-05 00:33:15.792,128.443333333333
Pulse experiments,pioreactor01,2026-07-04T18:48:45.811Z,831.0,30.22,74.8,2026-07-05 00:33:45.811,128.451666666667
Pulse experiments,pioreactor01,2026-07-04T18:49:15.789Z,828.0,30.25,74.29,2026-07-05 00:34:15.789,128.46
Pulse experiments,pioreactor01,2026-07-04T18:49:45.842Z,831.0,30.31,73.84,2026-07-05 00:34:45.842,128.468333333333
