experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-08T11:58:47.986Z,849.0,,,2026-07-08 17:43:47.986,217.618888888889
Pulse experiments,pioreactor01,2026-07-08T11:59:17.978Z,848.0,28.04,81.43,2026-07-08 17:44:17.978,217.627222222222
Pulse experiments,pioreactor01,2026-07-08T11:59:47.981Z,849.0,27.96,82.19,2026-07-08 17:44:47.981,217.635555555556
Pulse experiments,pioreactor01,2026-07-08T12:00:17.985Z,844.0,27.93,82.37,2026-07-08 17:45:17.985,217.643888888889
Pulse experiments,pioreactor01,2026-07-08T12:00:48.045Z,841.0,27.98,82.23,2026-07-08 17:45:48.045,217.6525
Pulse experiments,pioreactor01,2026-07-08T12:01:17.980Z,837.0,28.04,81.88,2026-07-08 17:46:17.980,217.660555555556
Pulse experiments,pioreactor01,2026-07-08T12:01:47.981Z,836.0,28.11,81.46,2026-07-08 17:46:47.981,217.668888888889
Pulse experiments,pioreactor01,2026-07-08T12:02:17.985Z,830.0,28.17,81.06,2026-07-08 17:47:17.985,217.677222222222
Pulse experiments,pioreactor01,2026-07-08T12:02:47.983Z,833.0,28.22,80.52,2026-07-08 17:47:47.983,217.685555555556
Pulse experiments,pioreactor01,2026-07-08T12:03:17.989Z,820.0,28.24,80.18,2026-07-08 17:48:17.989,217.693888888889
Pulse experiments,pioreactor01,2026-07-08T12:03:48.004Z,819.0,28.27,79.77,2026-07-08 17:48:48.004,217.7025
Pulse experiments,pioreactor01,2026-07-08T12:04:17.984Z,812.0,28.3,79.48,2026-07-08 17:49:17.984,217.710555555556
Pulse experiments,pioreactor01,2026-07-08T12:04:47.985Z,808.0,28.29,79.21,2026-07-08 17:49:47.985,217.718888888889
Pulse experiments,pioreactor01,2026-07-08T12:05:17.986Z,804.0,28.3,79.01,2026-07-08 17:50:17.986,217.727222222222
Pulse experiments,pioreactor01,2026-07-08T12:05:47.985Z,796.0,28.31,78.79,2026-07-08 17:50:47.985,217.735555555556
Pulse experiments,pioreactor01,2026-07-08T12:06:17.981Z,793.0,28.32,78.69,2026-07-08 17:51:17.981,217.743888888889
Pulse experiments,pioreactor01,2026-07-08T12:06:47.984Z,790.0,28.32,78.54,2026-07-08 17:51:47.984,217.752222222222
Pulse experiments,pioreactor01,2026-07-08T12:07:17.984Z,787.0,28.29,78.43,2026-07-08 17:52:17.984,217.760555555556
Pulse experiments,pioreactor01,2026-07-08T12:07:47.984Z,785.0,28.27,78.36,2026-07-08 17:52:47.984,217.768888888889
Pulse experiments,pioreactor01,2026-07-08T12:08:17.983Z,786.0,28.23,78.3,2026-07-08 17:53:17.983,217.777222222222
Pulse experiments,pioreactor01,2026-07-08T12:08:47.983Z,783.0,28.26,78.21,2026-07-08 17:53:47.983,217.785555555556
Pulse experiments,pioreactor01,2026-07-08T12:09:17.983Z,782.0,28.22,78.09,2026-07-08 17:54:17.983,217.793888888889
Pulse experiments,pioreactor01,2026-07-08T12:09:47.985Z,782.0,28.21,78.18,2026-07-08 17:54:47.985,217.802222222222
Pulse experiments,pioreactor01,2026-07-08T12:10:17.983Z,783.0,28.2,78.25,2026-07-08 17:55:17.983,217.810555555556
Pulse experiments,pioreactor01,2026-07-08T12:10:47.982Z,791.0,28.19,78.26,2026-07-08 17:55:47.982,217.818888888889
Pulse experiments,pioreactor01,2026-07-08T12:11:17.984Z,799.0,28.21,78.2,2026-07-08 17:56:17.984,217.827222222222
Pulse experiments,pioreactor01,2026-07-08T12:11:47.987Z,803.0,28.19,78.17,2026-07-08 17:56:47.987,217.835555555556
Pulse experiments,pioreactor01,2026-07-08T12:12:17.984Z,799.0,28.17,78.15,2026-07-08 17:57:17.984,217.843888888889
Pulse experiments,pioreactor01,2026-07-08T12:12:47.985Z,797.0,28.17,78.21,2026-07-08 17:57:47.985,217.852222222222
Pulse experiments,pioreactor01,2026-07-08T12:13:17.984Z,794.0,28.14,78.3,2026-07-08 17:58:17.984,217.860555555556
Pulse experiments,pioreactor01,2026-07-08T12:13:47.986Z,789.0,28.19,78.35,2026-07-08 17:58:47.986,217.868888888889
Pulse experiments,pioreactor01,2026-07-08T12:14:17.984Z,792.0,28.16,78.34,2026-07-08 17:59:17.984,217.877222222222
Pulse experiments,pioreactor01,2026-07-08T12:14:47.986Z,788.0,28.19,78.25,2026-07-08 17:59:47.986,217.885555555556
Pulse experiments,pioreactor01,2026-07-08T12:15:17.985Z,789.0,28.19,78.15,2026-07-08 18:00:17.985,217.893888888889
Pulse experiments,pioreactor01,2026-07-08T12:15:47.988Z,795.0,28.2,78.19,2026-07-08 18:00:47.988,217.902222222222
Pulse experiments,pioreactor01,2026-07-08T12:16:17.985Z,797.0,28.2,78.21,2026-07-08 18:01:17.985,217.910555555556
Pulse experiments,pioreactor01,2026-07-08T12:16:47.991Z,796.0,28.25,78.33,2026-07-08 18:01:47.991,217.918888888889
Pulse experiments,pioreactor01,2026-07-08T12:17:17.985Z,800.0,28.28,78.31,2026-07-08 18:02:17.985,217.927222222222
Pulse experiments,pioreactor01,2026-07-08T12:17:47.990Z,801.0,28.31,78.25,2026-07-08 18:02:47.990,217.935555555556
Pulse experiments,pioreactor01,2026-07-08T12:18:17.986Z,805.0,28.32,78.15,2026-07-08 18:03:17.986,217.943888888889
Pulse experiments,pioreactor01,2026-07-08T12:18:47.987Z,808.0,28.36,78.01,2026-07-08 18:03:47.987,217.952222222222
