experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-02T14:23:24.239Z,add_media,0.0776751765,dosing_automation:chemostat,2026-09-02 20:08:24.239,1564.029166666667
Pulse experiments,pioreactor01,2026-09-02T14:23:24.743Z,add_media,0.0776751765,dosing_automation:chemostat,2026-09-02 20:08:24.743,1564.029166666667
Pulse experiments,pioreactor01,2026-09-02T14:23:25.245Z,add_media,0.0776751765,dosing_automation:chemostat,2026-09-02 20:08:25.245,1564.029444444444
Pulse experiments,pioreactor01,2026-09-02T14:23:25.746Z,add_media,0.0776751765,dosing_automation:chemostat,2026-09-02 20:08:25.746,1564.029444444444
Pulse experiments,pioreactor01,2026-09-02T14:23:26.247Z,add_media,0.0776751765,dosing_automation:chemostat,2026-09-02 20:08:26.247,1564.029722222222
Pulse experiments,pioreactor01,2026-09-02T14:23:26.747Z,add_media,0.0776751765,dosing_automation:chemostat,2026-09-02 20:08:26.747,1564.029722222222
Pulse experiments,pioreactor01,2026-09-02T14:23:27.248Z,add_media,0.033948941,dosing_automation:chemostat,2026-09-02 20:08:27.248,1564.03
Pulse experiments,pioreactor01,2026-09-02T14:23:33.951Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-09-02 20:08:33.951,1564.031666666667
Pulse experiments,pioreactor01,2026-09-02T14:23:34.453Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-09-02 20:08:34.453,1564.031944444444
Pulse experiments,pioreactor01,2026-09-02T14:23:34.954Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-09-02 20:08:34.954,1564.031944444444
Pulse experiments,pioreactor01,2026-09-02T14:23:35.455Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-09-02 20:08:35.455,1564.032222222222
Pulse experiments,pioreactor01,2026-09-02T14:23:35.955Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-09-02 20:08:35.955,1564.032222222222
Pulse experiments,pioreactor01,2026-09-02T14:23:36.457Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-09-02 20:08:36.457,1564.0325
