experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-02T13:15:53.432Z,"features={'previous_heater_dc': 46.27, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [49.010416666666664, 47.34375, 46.09375, 45.010416666666664, 44.0625, 43.229166666666664, 42.46875, 41.8125, 40.9375, 40.4375, 39.989583333333336, 39.5625, 39.197916666666664, 38.875, 38.5625, 38.270833333333336, 38.020833333333336, 37.802083333333336, 37.583333333333336, 37.375, 37.1875]}",app,DEBUG,temperature_automation,2026-09-02 19:00:53.432,1562.903888888889
Pulse experiments,pioreactor01,2026-09-02T13:15:53.496Z,PID output = 9.74399999999999,app,DEBUG,temperature_automation,2026-09-02 19:00:53.496,1562.903888888889
Pulse experiments,pioreactor01,2026-09-02T13:15:53.501Z,UpdatedHeaterDC: delta_dc=9.74399999999999,app,INFO,temperature_automation,2026-09-02 19:00:53.501,1562.903888888889
Pulse experiments,pioreactor01,2026-09-02T13:19:10.466Z,"features={'previous_heater_dc': 56.01, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [52.447916666666664, 50.427083333333336, 48.90625, 47.59375, 46.458333333333336, 45.4375, 44.552083333333336, 43.75, 43.03125, 42.375, 41.8125, 41.291666666666664, 40.8125, 40.375, 40.0, 39.645833333333336, 39.3125, 39.010416666666664, 38.75, 38.5, 38.291666666666664]}",app,DEBUG,temperature_automation,2026-09-02 19:04:10.466,1562.958611111111
Pulse experiments,pioreactor01,2026-09-02T13:19:10.557Z,PID output = -9.557999999999984,app,DEBUG,temperature_automation,2026-09-02 19:04:10.557,1562.958611111111
Pulse experiments,pioreactor01,2026-09-02T13:19:10.566Z,UpdatedHeaterDC: delta_dc=-9.557999999999984,app,INFO,temperature_automation,2026-09-02 19:04:10.566,1562.958611111111
Pulse experiments,pioreactor01,2026-09-02T13:22:30.048Z,"features={'previous_heater_dc': 46.45, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [50.197916666666664, 48.53125, 47.260416666666664, 45.791666666666664, 44.875, 44.0625, 43.3125, 42.65625, 42.083333333333336, 41.5625, 41.083333333333336, 40.65625, 40.291666666666664, 39.9375, 39.604166666666664, 39.3125, 39.0625, 38.8125, 38.572916666666664, 38.375, 38.1875]}",app,DEBUG,temperature_automation,2026-09-02 19:07:30.048,1563.014166666667
Pulse experiments,pioreactor01,2026-09-02T13:22:30.111Z,PID output = -12.98400000000003,app,DEBUG,temperature_automation,2026-09-02 19:07:30.111,1563.014166666667
Pulse experiments,pioreactor01,2026-09-02T13:22:30.113Z,UpdatedHeaterDC: delta_dc=-12.98400000000003,app,INFO,temperature_automation,2026-09-02 19:07:30.113,1563.014166666667
Pulse experiments,pioreactor01,2026-09-02T13:25:50.657Z,"features={'previous_heater_dc': 33.47, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [46.489583333333336, 45.260416666666664, 44.322916666666664, 43.5, 42.8125, 42.1875, 41.614583333333336, 41.125, 40.666666666666664, 40.25, 39.895833333333336, 39.572916666666664, 39.260416666666664, 39.0, 38.75, 38.510416666666664, 38.3125, 38.125, 37.9375, 37.8125, 37.635416666666664]}",app,DEBUG,temperature_automation,2026-09-02 19:10:50.657,1563.069722222222
