experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-04T17:00:53.743Z,add_alt_media,0.2016567083,UI,2026-08-04 22:45:53.743,870.653888888889
Pulse experiments,pioreactor01,2026-08-04T17:00:54.245Z,add_alt_media,0.2016567083,UI,2026-08-04 22:45:54.245,870.654166666667
Pulse experiments,pioreactor01,2026-08-04T17:00:54.746Z,add_alt_media,0.2016567083,UI,2026-08-04 22:45:54.746,870.654166666667
Pulse experiments,pioreactor01,2026-08-04T17:00:55.247Z,add_alt_media,0.2016567083,UI,2026-08-04 22:45:55.247,870.654444444444
Pulse experiments,pioreactor01,2026-08-04T17:00:55.748Z,add_alt_media,0.1933731668,UI,2026-08-04 22:45:55.748,870.654444444444
Pulse experiments,pioreactor01,2026-08-04T17:01:37.642Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:37.642,870.666111111111
Pulse experiments,pioreactor01,2026-08-04T17:01:38.146Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:38.146,870.666388888889
Pulse experiments,pioreactor01,2026-08-04T17:01:38.646Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:38.646,870.666388888889
Pulse experiments,pioreactor01,2026-08-04T17:01:39.147Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:39.147,870.666666666667
Pulse experiments,pioreactor01,2026-08-04T17:01:39.648Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:39.648,870.666666666667
Pulse experiments,pioreactor01,2026-08-04T17:01:40.149Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:40.149,870.666944444444
Pulse experiments,pioreactor01,2026-08-04T17:01:40.650Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:40.650,870.666944444444
Pulse experiments,pioreactor01,2026-08-04T17:01:41.151Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:41.151,870.667222222222
Pulse experiments,pioreactor01,2026-08-04T17:01:41.654Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:41.654,870.667222222222
Pulse experiments,pioreactor01,2026-08-04T17:01:42.155Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:42.155,870.6675
Pulse experiments,pioreactor01,2026-08-04T17:01:42.656Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:42.656,870.6675
Pulse experiments,pioreactor01,2026-08-04T17:01:43.158Z,remove_waste,0.0806626833,UI,2026-08-04 22:46:43.158,870.667777777778
Pulse experiments,pioreactor01,2026-08-04T17:01:43.658Z,remove_waste,0.0320478004,UI,2026-08-04 22:46:43.658,870.667777777778
Pulse experiments,pioreactor01,2026-08-04T18:03:25.813Z,add_media,0.0776751765,dosing_automation:chemostat,2026-08-04 23:48:25.813,871.696111111111
Pulse experiments,pioreactor01,2026-08-04T18:03:26.315Z,add_media,0.0776751765,dosing_automation:chemostat,2026-08-04 23:48:26.315,871.696388888889
Pulse experiments,pioreactor01,2026-08-04T18:03:26.816Z,add_media,0.0776751765,dosing_automation:chemostat,2026-08-04 23:48:26.816,871.696388888889
Pulse experiments,pioreactor01,2026-08-04T18:03:27.316Z,add_media,0.0776751765,dosing_automation:chemostat,2026-08-04 23:48:27.316,871.696666666667
Pulse experiments,pioreactor01,2026-08-04T18:03:27.817Z,add_media,0.0776751765,dosing_automation:chemostat,2026-08-04 23:48:27.817,871.696666666667
Pulse experiments,pioreactor01,2026-08-04T18:03:28.318Z,add_media,0.0776751765,dosing_automation:chemostat,2026-08-04 23:48:28.318,871.696944444444
Pulse experiments,pioreactor01,2026-08-04T18:03:28.818Z,add_media,0.033948941,dosing_automation:chemostat,2026-08-04 23:48:28.818,871.696944444444
Pulse experiments,pioreactor01,2026-08-04T18:03:34.166Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:34.166,871.698611111111
Pulse experiments,pioreactor01,2026-08-04T18:03:34.667Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:34.667,871.698611111111
Pulse experiments,pioreactor01,2026-08-04T18:03:35.167Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:35.167,871.698888888889
Pulse experiments,pioreactor01,2026-08-04T18:03:35.668Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:35.668,871.698888888889
Pulse experiments,pioreactor01,2026-08-04T18:03:36.169Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:36.169,871.699166666667
Pulse experiments,pioreactor01,2026-08-04T18:03:36.670Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:36.670,871.699166666667
Pulse experiments,pioreactor01,2026-08-04T18:03:37.171Z,remove_waste,0.0160239002,dosing_automation:chemostat,2026-08-04 23:48:37.171,871.699444444444
Pulse experiments,pioreactor01,2026-08-04T18:03:37.436Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:37.436,871.699444444444
Pulse experiments,pioreactor01,2026-08-04T18:03:37.937Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:37.937,871.699444444444
Pulse experiments,pioreactor01,2026-08-04T18:03:38.437Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:38.437,871.699722222222
Pulse experiments,pioreactor01,2026-08-04T18:03:38.938Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:38.938,871.699722222222
Pulse experiments,pioreactor01,2026-08-04T18:03:39.439Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:39.439,871.7
Pulse experiments,pioreactor01,2026-08-04T18:03:39.940Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:39.940,871.7
Pulse experiments,pioreactor01,2026-08-04T18:03:40.441Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:40.441,871.700277777778
Pulse experiments,pioreactor01,2026-08-04T18:03:40.942Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-08-04 23:48:40.942,871.700277777778
