experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-03T15:06:12.927Z,1024.0,,,2026-08-03 20:51:12.927,844.7425
Pulse experiments,pioreactor01,2026-08-03T15:06:42.890Z,1029.0,29.64,81.24,2026-08-03 20:51:42.890,844.750833333333
Pulse experiments,pioreactor01,2026-08-03T15:07:12.891Z,1035.0,29.29,82.82,2026-08-03 20:52:12.891,844.759166666667
Pulse experiments,pioreactor01,2026-08-03T15:07:42.888Z,1037.0,29.09,83.77,2026-08-03 20:52:42.888,844.7675
Pulse experiments,pioreactor01,2026-08-03T15:08:12.929Z,1038.0,28.98,84.38,2026-08-03 20:53:12.929,844.775833333333
Pulse experiments,pioreactor01,2026-08-03T15:08:42.889Z,1035.0,28.97,84.85,2026-08-03 20:53:42.889,844.784166666667
Pulse experiments,pioreactor01,2026-08-03T15:09:12.907Z,1032.0,29.01,85.27,2026-08-03 20:54:12.907,844.7925
Pulse experiments,pioreactor01,2026-08-03T15:09:42.944Z,1025.0,29.05,85.57,2026-08-03 20:54:42.944,844.800833333333
Pulse experiments,pioreactor01,2026-08-03T15:10:12.899Z,1026.0,29.12,85.41,2026-08-03 20:55:12.899,844.809166666667
Pulse experiments,pioreactor01,2026-08-03T15:10:42.894Z,1024.0,29.22,85.01,2026-08-03 20:55:42.894,844.8175
Pulse experiments,pioreactor01,2026-08-03T15:11:12.903Z,1016.0,29.33,84.45,2026-08-03 20:56:12.903,844.825833333333
Pulse experiments,pioreactor01,2026-08-03T15:11:42.891Z,1013.0,29.41,84.16,2026-08-03 20:56:42.891,844.834166666667
Pulse experiments,pioreactor01,2026-08-03T15:12:12.895Z,1006.0,29.52,84.17,2026-08-03 20:57:12.895,844.8425
Pulse experiments,pioreactor01,2026-08-03T15:12:42.906Z,997.0,29.63,84.04,2026-08-03 20:57:42.906,844.850833333333
Pulse experiments,pioreactor01,2026-08-03T15:13:12.892Z,994.0,29.71,83.87,2026-08-03 20:58:12.892,844.859166666667
Pulse experiments,pioreactor01,2026-08-03T15:13:42.918Z,985.0,29.82,83.45,2026-08-03 20:58:42.918,844.8675
Pulse experiments,pioreactor01,2026-08-03T15:14:12.920Z,974.0,29.93,82.94,2026-08-03 20:59:12.920,844.875833333333
Pulse experiments,pioreactor01,2026-08-03T15:14:42.914Z,966.0,30.02,82.33,2026-08-03 20:59:42.914,844.884166666667
Pulse experiments,pioreactor01,2026-08-03T15:15:12.897Z,952.0,30.09,82.02,2026-08-03 21:00:12.897,844.8925
Pulse experiments,pioreactor01,2026-08-03T15:15:42.907Z,945.0,30.16,81.85,2026-08-03 21:00:42.907,844.900833333333
Pulse experiments,pioreactor01,2026-08-03T15:16:12.906Z,938.0,30.27,81.79,2026-08-03 21:01:12.906,844.909166666667
Pulse experiments,pioreactor01,2026-08-03T15:16:42.928Z,925.0,30.38,81.5,2026-08-03 21:01:42.928,844.9175
Pulse experiments,pioreactor01,2026-08-03T15:17:12.923Z,913.0,30.48,80.92,2026-08-03 21:02:12.923,844.925833333333
Pulse experiments,pioreactor01,2026-08-03T15:17:42.898Z,901.0,30.58,80.35,2026-08-03 21:02:42.898,844.934166666667
