experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-13T16:51:46.158Z,add_alt_media,0.2016567083,UI,2026-07-13 22:36:46.158,342.501944444444
Pulse experiments,pioreactor01,2026-07-13T16:51:46.660Z,add_alt_media,0.2016567083,UI,2026-07-13 22:36:46.660,342.501944444444
Pulse experiments,pioreactor01,2026-07-13T16:51:47.161Z,add_alt_media,0.2016567083,UI,2026-07-13 22:36:47.161,342.502222222222
Pulse experiments,pioreactor01,2026-07-13T16:51:47.662Z,add_alt_media,0.2016567083,UI,2026-07-13 22:36:47.662,342.502222222222
Pulse experiments,pioreactor01,2026-07-13T16:51:48.162Z,add_alt_media,0.1933731668,UI,2026-07-13 22:36:48.162,342.5025
Pulse experiments,pioreactor01,2026-07-13T16:52:13.277Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:13.277,342.509444444444
Pulse experiments,pioreactor01,2026-07-13T16:52:13.780Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:13.780,342.509444444444
Pulse experiments,pioreactor01,2026-07-13T16:52:14.280Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:14.280,342.509722222222
Pulse experiments,pioreactor01,2026-07-13T16:52:14.781Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:14.781,342.509722222222
Pulse experiments,pioreactor01,2026-07-13T16:52:15.283Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:15.283,342.51
Pulse experiments,pioreactor01,2026-07-13T16:52:15.784Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:15.784,342.51
Pulse experiments,pioreactor01,2026-07-13T16:52:16.285Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:16.285,342.510277777778
Pulse experiments,pioreactor01,2026-07-13T16:52:16.785Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:16.785,342.510277777778
Pulse experiments,pioreactor01,2026-07-13T16:52:17.286Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:17.286,342.510555555556
Pulse experiments,pioreactor01,2026-07-13T16:52:17.788Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:17.788,342.510555555556
Pulse experiments,pioreactor01,2026-07-13T16:52:18.288Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:18.288,342.510833333333
Pulse experiments,pioreactor01,2026-07-13T16:52:18.789Z,remove_waste,0.0806626833,UI,2026-07-13 22:37:18.789,342.510833333333
Pulse experiments,pioreactor01,2026-07-13T16:52:19.290Z,remove_waste,0.0320478004,UI,2026-07-13 22:37:19.290,342.511111111111
Pulse experiments,pioreactor01,2026-07-13T17:55:12.506Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-13 23:40:12.506,343.559166666667
