experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-15T15:45:00.365Z,0.331881931262,90,2,2026-08-15 21:30:00.365,1133.389166666667
Pulse experiments,pioreactor01,2026-08-15T15:45:00.365Z,0.107905252798,135,3,2026-08-15 21:30:00.365,1133.389166666667
Pulse experiments,pioreactor01,2026-08-15T15:45:00.365Z,0.810450908786,45,4,2026-08-15 21:30:00.365,1133.389166666667
Pulse experiments,pioreactor01,2026-08-15T15:45:05.366Z,0.331839072737,90,2,2026-08-15 21:30:05.366,1133.390555555555
Pulse experiments,pioreactor01,2026-08-15T15:45:05.366Z,0.10737340035,135,3,2026-08-15 21:30:05.366,1133.390555555555
Pulse experiments,pioreactor01,2026-08-15T15:45:05.366Z,0.80920694818,45,4,2026-08-15 21:30:05.366,1133.390555555555
Pulse experiments,pioreactor01,2026-08-15T15:45:10.366Z,0.330007184941,90,2,2026-08-15 21:30:10.366,1133.391944444444
Pulse experiments,pioreactor01,2026-08-15T15:45:10.366Z,0.106660564624,135,3,2026-08-15 21:30:10.366,1133.391944444444
Pulse experiments,pioreactor01,2026-08-15T15:45:10.366Z,0.820310532673,45,4,2026-08-15 21:30:10.366,1133.391944444444
Pulse experiments,pioreactor01,2026-08-15T15:45:15.368Z,0.326522559875,90,2,2026-08-15 21:30:15.368,1133.393333333333
Pulse experiments,pioreactor01,2026-08-15T15:45:15.368Z,0.105997997785,135,3,2026-08-15 21:30:15.368,1133.393333333333
Pulse experiments,pioreactor01,2026-08-15T15:45:15.368Z,0.824021659028,45,4,2026-08-15 21:30:15.368,1133.393333333333
Pulse experiments,pioreactor01,2026-08-15T15:45:20.368Z,0.324725635054,90,2,2026-08-15 21:30:20.368,1133.394722222222
Pulse experiments,pioreactor01,2026-08-15T15:45:20.368Z,0.105571241049,135,3,2026-08-15 21:30:20.368,1133.394722222222
Pulse experiments,pioreactor01,2026-08-15T15:45:20.368Z,0.821392579861,45,4,2026-08-15 21:30:20.368,1133.394722222222
Pulse experiments,pioreactor01,2026-08-15T15:45:25.370Z,0.322338658232,90,2,2026-08-15 21:30:25.370,1133.396111111111
Pulse experiments,pioreactor01,2026-08-15T15:45:25.370Z,0.106686726609,135,3,2026-08-15 21:30:25.370,1133.396111111111
Pulse experiments,pioreactor01,2026-08-15T15:45:25.370Z,0.813344419541,45,4,2026-08-15 21:30:25.370,1133.396111111111
Pulse experiments,pioreactor01,2026-08-15T15:45:30.368Z,0.323951376919,90,2,2026-08-15 21:30:30.368,1133.3975
Pulse experiments,pioreactor01,2026-08-15T15:45:30.368Z,0.10594457808,135,3,2026-08-15 21:30:30.368,1133.3975
Pulse experiments,pioreactor01,2026-08-15T15:45:30.368Z,0.811345143723,45,4,2026-08-15 21:30:30.368,1133.3975
Pulse experiments,pioreactor01,2026-08-15T15:45:35.366Z,0.325804498178,90,2,2026-08-15 21:30:35.366,1133.398888888889
Pulse experiments,pioreactor01,2026-08-15T15:45:35.366Z,0.10544940946,135,3,2026-08-15 21:30:35.366,1133.398888888889
Pulse experiments,pioreactor01,2026-08-15T15:45:35.366Z,0.820206759585,45,4,2026-08-15 21:30:35.366,1133.398888888889
Pulse experiments,pioreactor01,2026-08-15T15:45:40.368Z,0.323608512504,90,2,2026-08-15 21:30:40.368,1133.400277777778
Pulse experiments,pioreactor01,2026-08-15T15:45:40.368Z,0.104335436821,135,3,2026-08-15 21:30:40.368,1133.400277777778
Pulse experiments,pioreactor01,2026-08-15T15:45:40.368Z,0.841144727867,45,4,2026-08-15 21:30:40.368,1133.400277777778
Pulse experiments,pioreactor01,2026-08-15T15:45:45.366Z,0.323697184994,90,2,2026-08-15 21:30:45.366,1133.401666666667
Pulse experiments,pioreactor01,2026-08-15T15:45:45.366Z,0.104158034502,135,3,2026-08-15 21:30:45.366,1133.401666666667
Pulse experiments,pioreactor01,2026-08-15T15:45:45.366Z,0.841249878438,45,4,2026-08-15 21:30:45.366,1133.401666666667
Pulse experiments,pioreactor01,2026-08-15T15:45:50.366Z,0.322776010548,90,2,2026-08-15 21:30:50.366,1133.403055555556
Pulse experiments,pioreactor01,2026-08-15T15:45:50.366Z,0.104327209652,135,3,2026-08-15 21:30:50.366,1133.403055555556
Pulse experiments,pioreactor01,2026-08-15T15:45:50.366Z,0.815573502737,45,4,2026-08-15 21:30:50.366,1133.403055555556
Pulse experiments,pioreactor01,2026-08-15T15:45:55.367Z,0.329396575604,90,2,2026-08-15 21:30:55.367,1133.404444444444
Pulse experiments,pioreactor01,2026-08-15T15:45:55.367Z,0.106013393034,135,3,2026-08-15 21:30:55.367,1133.404444444444
Pulse experiments,pioreactor01,2026-08-15T15:45:55.367Z,0.810064248416,45,4,2026-08-15 21:30:55.367,1133.404444444444
Pulse experiments,pioreactor01,2026-08-15T15:46:00.367Z,0.32722206626,90,2,2026-08-15 21:31:00.367,1133.405833333333
Pulse experiments,pioreactor01,2026-08-15T15:46:00.367Z,0.107524357458,135,3,2026-08-15 21:31:00.367,1133.405833333333
Pulse experiments,pioreactor01,2026-08-15T15:46:00.367Z,0.800666479459,45,4,2026-08-15 21:31:00.367,1133.405833333333
Pulse experiments,pioreactor01,2026-08-15T15:46:05.367Z,0.323511156213,90,2,2026-08-15 21:31:05.367,1133.407222222222
Pulse experiments,pioreactor01,2026-08-15T15:46:05.367Z,0.106721764777,135,3,2026-08-15 21:31:05.367,1133.407222222222
Pulse experiments,pioreactor01,2026-08-15T15:46:05.367Z,0.811866707013,45,4,2026-08-15 21:31:05.367,1133.407222222222
Pulse experiments,pioreactor01,2026-08-15T15:46:10.369Z,0.328867636285,90,2,2026-08-15 21:31:10.369,1133.408611111111
Pulse experiments,pioreactor01,2026-08-15T15:46:10.369Z,0.109812083752,135,3,2026-08-15 21:31:10.369,1133.408611111111
Pulse experiments,pioreactor01,2026-08-15T15:46:10.369Z,0.840014553277,45,4,2026-08-15 21:31:10.369,1133.408611111111
Pulse experiments,pioreactor01,2026-08-15T15:46:15.368Z,0.32573003772,90,2,2026-08-15 21:31:15.368,1133.41
Pulse experiments,pioreactor01,2026-08-15T15:46:15.368Z,0.10654659811,135,3,2026-08-15 21:31:15.368,1133.41
Pulse experiments,pioreactor01,2026-08-15T15:46:15.368Z,0.861404357097,45,4,2026-08-15 21:31:15.368,1133.41
