experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-16T17:32:42.346Z,850.0,,,2026-08-16 23:17:42.346,1159.184166666667
Pulse experiments,pioreactor01,2026-08-16T17:33:12.336Z,854.0,27.68,79.8,2026-08-16 23:18:12.336,1159.1925
Pulse experiments,pioreactor01,2026-08-16T17:33:42.334Z,867.0,27.69,79.77,2026-08-16 23:18:42.334,1159.200833333333
Pulse experiments,pioreactor01,2026-08-16T17:34:12.333Z,870.0,27.72,79.71,2026-08-16 23:19:12.333,1159.209166666667
Pulse experiments,pioreactor01,2026-08-16T17:34:42.335Z,866.0,27.73,79.57,2026-08-16 23:19:42.335,1159.2175
Pulse experiments,pioreactor01,2026-08-16T17:35:12.334Z,2128.0,27.79,79.47,2026-08-16 23:20:12.334,1159.225833333333
Pulse experiments,pioreactor01,2026-08-16T17:35:42.331Z,1905.0,28.3,79.33,2026-08-16 23:20:42.331,1159.234166666667
Pulse experiments,pioreactor01,2026-08-16T17:36:12.332Z,1435.0,28.25,79.49,2026-08-16 23:21:12.332,1159.2425
Pulse experiments,pioreactor01,2026-08-16T17:36:42.332Z,1232.0,28.21,79.44,2026-08-16 23:21:42.332,1159.250833333333
Pulse experiments,pioreactor01,2026-08-16T17:37:12.330Z,1101.0,28.2,79.27,2026-08-16 23:22:12.330,1159.259166666667
Pulse experiments,pioreactor01,2026-08-16T17:37:42.330Z,1051.0,28.21,79.13,2026-08-16 23:22:42.330,1159.2675
Pulse experiments,pioreactor01,2026-08-16T17:43:30.949Z,903.0,,,2026-08-16 23:28:30.949,1159.364166666667
Pulse experiments,pioreactor01,2026-08-16T17:44:00.951Z,910.0,28.93,76.17,2026-08-16 23:29:00.951,1159.3725
Pulse experiments,pioreactor01,2026-08-16T17:44:30.953Z,910.0,28.9,76.14,2026-08-16 23:29:30.953,1159.380833333333
Pulse experiments,pioreactor01,2026-08-16T17:45:00.955Z,909.0,28.85,75.96,2026-08-16 23:30:00.955,1159.389166666667
Pulse experiments,pioreactor01,2026-08-16T17:45:30.955Z,901.0,28.83,75.99,2026-08-16 23:30:30.955,1159.3975
Pulse experiments,pioreactor01,2026-08-16T17:46:00.956Z,894.0,28.8,75.93,2026-08-16 23:31:00.956,1159.405833333333
Pulse experiments,pioreactor01,2026-08-16T17:46:30.955Z,883.0,28.73,75.83,2026-08-16 23:31:30.955,1159.414166666667
Pulse experiments,pioreactor01,2026-08-16T17:47:00.953Z,872.0,28.7,75.8,2026-08-16 23:32:00.953,1159.4225
Pulse experiments,pioreactor01,2026-08-16T17:47:30.955Z,864.0,28.69,75.88,2026-08-16 23:32:30.955,1159.430833333333
Pulse experiments,pioreactor01,2026-08-16T17:48:00.958Z,850.0,28.66,75.92,2026-08-16 23:33:00.958,1159.439166666667
Pulse experiments,pioreactor01,2026-08-16T17:48:30.955Z,850.0,28.66,75.92,2026-08-16 23:33:30.955,1159.4475
Pulse experiments,pioreactor01,2026-08-16T17:49:00.960Z,852.0,28.69,76.01,2026-08-16 23:34:00.960,1159.455833333333
Pulse experiments,pioreactor01,2026-08-16T17:49:30.951Z,848.0,28.65,75.9,2026-08-16 23:34:30.951,1159.464166666667
Pulse experiments,pioreactor01,2026-08-16T17:50:00.952Z,845.0,28.64,75.69,2026-08-16 23:35:00.952,1159.4725
Pulse experiments,pioreactor01,2026-08-16T17:50:30.951Z,843.0,28.66,75.77,2026-08-16 23:35:30.951,1159.480833333333
Pulse experiments,pioreactor01,2026-08-16T17:51:00.963Z,845.0,28.67,75.77,2026-08-16 23:36:00.963,1159.489166666667
