experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-11T15:15:04.085Z,562.0,30.59,66.59,2026-08-11 21:00:04.085,1036.890277777778
Pulse experiments,pioreactor01,2026-08-11T15:15:34.082Z,566.0,30.52,66.73,2026-08-11 21:00:34.082,1036.898611111111
Pulse experiments,pioreactor01,2026-08-11T15:16:04.086Z,567.0,30.5,66.84,2026-08-11 21:01:04.086,1036.906944444444
Pulse experiments,pioreactor01,2026-08-11T15:16:34.082Z,570.0,30.45,66.94,2026-08-11 21:01:34.082,1036.915277777778
Pulse experiments,pioreactor01,2026-08-11T15:17:04.086Z,568.0,30.49,66.87,2026-08-11 21:02:04.086,1036.923611111111
Pulse experiments,pioreactor01,2026-08-11T15:17:34.085Z,566.0,30.53,66.81,2026-08-11 21:02:34.085,1036.931944444445
Pulse experiments,pioreactor01,2026-08-11T15:18:04.085Z,567.0,30.51,66.72,2026-08-11 21:03:04.085,1036.940277777778
Pulse experiments,pioreactor01,2026-08-11T15:18:34.085Z,569.0,30.38,66.85,2026-08-11 21:03:34.085,1036.948611111111
Pulse experiments,pioreactor01,2026-08-11T15:19:04.086Z,572.0,30.37,66.99,2026-08-11 21:04:04.086,1036.956944444444
Pulse experiments,pioreactor01,2026-08-11T15:19:34.085Z,574.0,30.38,67.06,2026-08-11 21:04:34.085,1036.965277777778
Pulse experiments,pioreactor01,2026-08-11T15:20:04.087Z,575.0,30.39,67.14,2026-08-11 21:05:04.087,1036.973611111111
Pulse experiments,pioreactor01,2026-08-11T15:20:34.086Z,578.0,30.37,67.14,2026-08-11 21:05:34.086,1036.981944444444
Pulse experiments,pioreactor01,2026-08-11T15:21:04.087Z,584.0,30.36,67.12,2026-08-11 21:06:04.087,1036.990277777778
Pulse experiments,pioreactor01,2026-08-11T15:21:34.087Z,585.0,30.34,67.09,2026-08-11 21:06:34.087,1036.998611111111
Pulse experiments,pioreactor01,2026-08-11T15:22:04.087Z,590.0,30.31,67.2,2026-08-11 21:07:04.087,1037.006944444444
Pulse experiments,pioreactor01,2026-08-11T15:22:34.089Z,596.0,30.23,67.33,2026-08-11 21:07:34.089,1037.015277777778
Pulse experiments,pioreactor01,2026-08-11T15:23:04.085Z,597.0,30.22,67.49,2026-08-11 21:08:04.085,1037.023611111111
Pulse experiments,pioreactor01,2026-08-11T15:23:34.087Z,599.0,30.27,67.44,2026-08-11 21:08:34.087,1037.031944444444
Pulse experiments,pioreactor01,2026-08-11T15:24:04.090Z,595.0,30.34,67.32,2026-08-11 21:09:04.090,1037.040277777778
Pulse experiments,pioreactor01,2026-08-11T15:24:34.088Z,594.0,30.32,67.25,2026-08-11 21:09:34.088,1037.048611111111
Pulse experiments,pioreactor01,2026-08-11T15:25:04.085Z,597.0,30.36,67.17,2026-08-11 21:10:04.085,1037.056944444445
Pulse experiments,pioreactor01,2026-08-11T15:25:34.086Z,599.0,30.39,67.15,2026-08-11 21:10:34.086,1037.065277777778
Pulse experiments,pioreactor01,2026-08-11T15:26:04.088Z,605.0,30.45,67.12,2026-08-11 21:11:04.088,1037.073611111111
Pulse experiments,pioreactor01,2026-08-11T15:26:34.091Z,603.0,30.53,66.95,2026-08-11 21:11:34.091,1037.081944444444
Pulse experiments,pioreactor01,2026-08-11T15:27:04.089Z,606.0,30.59,66.75,2026-08-11 21:12:04.089,1037.090277777778
Pulse experiments,pioreactor01,2026-08-11T15:27:34.090Z,603.0,30.55,66.65,2026-08-11 21:12:34.090,1037.098611111111
Pulse experiments,pioreactor01,2026-08-11T15:28:04.087Z,604.0,30.43,66.74,2026-08-11 21:13:04.087,1037.106944444444
Pulse experiments,pioreactor01,2026-08-11T15:28:34.091Z,606.0,30.34,66.9,2026-08-11 21:13:34.091,1037.115277777778
Pulse experiments,pioreactor01,2026-08-11T15:29:04.087Z,608.0,30.29,67.14,2026-08-11 21:14:04.087,1037.123611111111
Pulse experiments,pioreactor01,2026-08-11T15:29:34.091Z,611.0,30.23,67.4,2026-08-11 21:14:34.091,1037.131944444444
Pulse experiments,pioreactor01,2026-08-11T15:30:04.087Z,616.0,30.22,67.52,2026-08-11 21:15:04.087,1037.140277777778
Pulse experiments,pioreactor01,2026-08-11T15:30:34.088Z,615.0,30.2,67.58,2026-08-11 21:15:34.088,1037.148611111111
Pulse experiments,pioreactor01,2026-08-11T15:31:04.091Z,614.0,30.18,67.55,2026-08-11 21:16:04.091,1037.156944444444
Pulse experiments,pioreactor01,2026-08-11T15:31:34.091Z,615.0,30.17,67.5,2026-08-11 21:16:34.091,1037.165277777778
Pulse experiments,pioreactor01,2026-08-11T15:32:04.091Z,613.0,30.15,67.61,2026-08-11 21:17:04.091,1037.173611111111
Pulse experiments,pioreactor01,2026-08-11T15:32:34.092Z,613.0,30.14,67.79,2026-08-11 21:17:34.092,1037.181944444445
Pulse experiments,pioreactor01,2026-08-11T15:33:04.091Z,611.0,30.11,67.87,2026-08-11 21:18:04.091,1037.190277777778
Pulse experiments,pioreactor01,2026-08-11T15:33:34.096Z,611.0,30.11,67.92,2026-08-11 21:18:34.096,1037.198611111111
Pulse experiments,pioreactor01,2026-08-11T15:34:04.091Z,609.0,30.08,67.93,2026-08-11 21:19:04.091,1037.206944444444
