experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-11T16:44:16.039Z,add_alt_media,0.2016567083,UI,2026-08-11 22:29:16.039,1038.376944444444
Pulse experiments,pioreactor01,2026-08-11T16:44:16.542Z,add_alt_media,0.2016567083,UI,2026-08-11 22:29:16.542,1038.376944444444
Pulse experiments,pioreactor01,2026-08-11T16:44:17.043Z,add_alt_media,0.2016567083,UI,2026-08-11 22:29:17.043,1038.377222222222
Pulse experiments,pioreactor01,2026-08-11T16:44:17.543Z,add_alt_media,0.2016567083,UI,2026-08-11 22:29:17.543,1038.377222222222
Pulse experiments,pioreactor01,2026-08-11T16:44:18.044Z,add_alt_media,0.1933731668,UI,2026-08-11 22:29:18.044,1038.3775
Pulse experiments,pioreactor01,2026-08-11T16:44:59.063Z,add_alt_media,0.2016567083,UI,2026-08-11 22:29:59.063,1038.388888888889
Pulse experiments,pioreactor01,2026-08-11T16:44:59.565Z,add_alt_media,0.2016567083,UI,2026-08-11 22:29:59.565,1038.388888888889
Pulse experiments,pioreactor01,2026-08-11T16:45:00.066Z,add_alt_media,0.2016567083,UI,2026-08-11 22:30:00.066,1038.389166666667
Pulse experiments,pioreactor01,2026-08-11T16:45:00.567Z,add_alt_media,0.2016567083,UI,2026-08-11 22:30:00.567,1038.389166666667
Pulse experiments,pioreactor01,2026-08-11T16:45:01.067Z,add_alt_media,0.1933731668,UI,2026-08-11 22:30:01.067,1038.389444444445
Pulse experiments,pioreactor01,2026-08-11T16:46:39.215Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:39.215,1038.416666666667
Pulse experiments,pioreactor01,2026-08-11T16:46:39.718Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:39.718,1038.416666666667
Pulse experiments,pioreactor01,2026-08-11T16:46:40.219Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:40.219,1038.416944444444
Pulse experiments,pioreactor01,2026-08-11T16:46:40.721Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:40.721,1038.416944444444
Pulse experiments,pioreactor01,2026-08-11T16:46:41.224Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:41.224,1038.417222222222
Pulse experiments,pioreactor01,2026-08-11T16:46:41.724Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:41.724,1038.417222222222
Pulse experiments,pioreactor01,2026-08-11T16:46:42.225Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:42.225,1038.4175
Pulse experiments,pioreactor01,2026-08-11T16:46:42.728Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:42.728,1038.4175
Pulse experiments,pioreactor01,2026-08-11T16:46:43.230Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:43.230,1038.417777777778
Pulse experiments,pioreactor01,2026-08-11T16:46:43.730Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:43.730,1038.417777777778
Pulse experiments,pioreactor01,2026-08-11T16:46:44.231Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:44.231,1038.418055555556
Pulse experiments,pioreactor01,2026-08-11T16:46:44.732Z,remove_waste,0.0806626833,UI,2026-08-11 22:31:44.732,1038.418055555556
Pulse experiments,pioreactor01,2026-08-11T16:46:45.233Z,remove_waste,0.0320478004,UI,2026-08-11 22:31:45.233,1038.418333333333
Pulse experiments,pioreactor01,2026-08-11T17:47:38.199Z,add_media,0.0776751765,dosing_automation:chemostat,2026-08-11 23:32:38.199,1039.433055555555
