experiment,pioreactor_unit,timestamp,normalized_od_reading,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-03T12:15:03.921Z,6.397513407309,2026-09-03 18:00:03.921,1585.89
Pulse experiments,pioreactor01,2026-09-03T12:15:08.921Z,6.397582514368,2026-09-03 18:00:08.921,1585.891388888889
Pulse experiments,pioreactor01,2026-09-03T12:15:13.921Z,6.397738462995,2026-09-03 18:00:13.921,1585.892777777778
Pulse experiments,pioreactor01,2026-09-03T12:15:18.923Z,6.39769872694,2026-09-03 18:00:18.923,1585.894166666667
Pulse experiments,pioreactor01,2026-09-03T12:15:23.921Z,6.39758662311,2026-09-03 18:00:23.921,1585.895555555556
Pulse experiments,pioreactor01,2026-09-03T12:15:28.921Z,6.397524885274,2026-09-03 18:00:28.921,1585.896944444444
Pulse experiments,pioreactor01,2026-09-03T12:15:33.921Z,6.397633337682,2026-09-03 18:00:33.921,1585.898333333333
Pulse experiments,pioreactor01,2026-09-03T12:15:38.921Z,6.397745038923,2026-09-03 18:00:38.921,1585.899722222222
Pulse experiments,pioreactor01,2026-09-03T12:15:43.921Z,6.397598544804,2026-09-03 18:00:43.921,1585.901111111111
Pulse experiments,pioreactor01,2026-09-03T12:15:48.921Z,6.397607275096,2026-09-03 18:00:48.921,1585.9025
Pulse experiments,pioreactor01,2026-09-03T12:15:53.922Z,6.397637233358,2026-09-03 18:00:53.922,1585.903888888889
Pulse experiments,pioreactor01,2026-09-03T12:15:58.920Z,6.397697889618,2026-09-03 18:00:58.920,1585.905277777778
Pulse experiments,pioreactor01,2026-09-03T12:16:03.922Z,6.397596876611,2026-09-03 18:01:03.922,1585.906666666667
Pulse experiments,pioreactor01,2026-09-03T12:16:08.921Z,6.397593470842,2026-09-03 18:01:08.921,1585.908055555556
Pulse experiments,pioreactor01,2026-09-03T12:16:13.921Z,6.397684143046,2026-09-03 18:01:13.921,1585.909444444444
Pulse experiments,pioreactor01,2026-09-03T12:16:18.921Z,6.397670389989,2026-09-03 18:01:18.921,1585.910833333333
Pulse experiments,pioreactor01,2026-09-03T12:16:23.922Z,6.397721949472,2026-09-03 18:01:23.922,1585.912222222222
Pulse experiments,pioreactor01,2026-09-03T12:16:28.920Z,6.397671393771,2026-09-03 18:01:28.920,1585.913611111111
Pulse experiments,pioreactor01,2026-09-03T12:16:33.923Z,6.397705995551,2026-09-03 18:01:33.923,1585.915
Pulse experiments,pioreactor01,2026-09-03T12:16:38.923Z,6.397728722067,2026-09-03 18:01:38.923,1585.916388888889
Pulse experiments,pioreactor01,2026-09-03T12:16:43.922Z,6.397586309781,2026-09-03 18:01:43.922,1585.917777777778
Pulse experiments,pioreactor01,2026-09-03T12:16:48.922Z,6.397371692742,2026-09-03 18:01:48.922,1585.919166666667
Pulse experiments,pioreactor01,2026-09-03T12:16:53.921Z,6.397256086169,2026-09-03 18:01:53.921,1585.920555555556
Pulse experiments,pioreactor01,2026-09-03T12:16:58.921Z,6.397151653278,2026-09-03 18:01:58.921,1585.921944444445
Pulse experiments,pioreactor01,2026-09-03T12:17:03.921Z,6.397042349276,2026-09-03 18:02:03.921,1585.923333333333
Pulse experiments,pioreactor01,2026-09-03T12:17:08.921Z,6.396951488367,2026-09-03 18:02:08.921,1585.924722222222
Pulse experiments,pioreactor01,2026-09-03T12:17:13.921Z,6.396895458909,2026-09-03 18:02:13.921,1585.926111111111
Pulse experiments,pioreactor01,2026-09-03T12:17:18.922Z,6.396896628749,2026-09-03 18:02:18.922,1585.9275
