experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-03T12:35:01.897Z,33.0,2026-09-03 18:20:01.897,1586.222777777778
Pulse experiments,pioreactor01,2026-09-03T12:38:28.550Z,32.84,2026-09-03 18:23:28.550,1586.280277777778
Pulse experiments,pioreactor01,2026-09-03T12:41:52.282Z,32.69,2026-09-03 18:26:52.282,1586.336944444444
Pulse experiments,pioreactor01,2026-09-03T12:45:13.885Z,32.62,2026-09-03 18:30:13.885,1586.392777777778
Pulse experiments,pioreactor01,2026-09-03T12:48:31.074Z,32.5,2026-09-03 18:33:31.074,1586.447777777778
Pulse experiments,pioreactor01,2026-09-03T12:51:52.351Z,32.45,2026-09-03 18:36:52.351,1586.503611111111
Pulse experiments,pioreactor01,2026-09-03T12:55:11.413Z,32.38,2026-09-03 18:40:11.413,1586.558888888889
Pulse experiments,pioreactor01,2026-09-03T12:58:30.658Z,32.31,2026-09-03 18:43:30.658,1586.614166666667
Pulse experiments,pioreactor01,2026-09-03T13:01:54.069Z,32.31,2026-09-03 18:46:54.069,1586.670833333333
Pulse experiments,pioreactor01,2026-09-03T13:05:10.003Z,32.26,2026-09-03 18:50:10.003,1586.725277777778
Pulse experiments,pioreactor01,2026-09-03T13:08:34.556Z,32.24,2026-09-03 18:53:34.556,1586.781944444444
Pulse experiments,pioreactor01,2026-09-03T13:11:58.126Z,32.19,2026-09-03 18:56:58.126,1586.838611111111
Pulse experiments,pioreactor01,2026-09-03T13:15:09.685Z,32.17,2026-09-03 19:00:09.685,1586.891666666667
Pulse experiments,pioreactor01,2026-09-03T13:19:31.871Z,32.125,2026-09-03 19:04:31.871,1586.964444444445
Pulse experiments,pioreactor01,2026-09-03T13:23:07.975Z,32.11,2026-09-03 19:08:07.975,1587.024444444444
Pulse experiments,pioreactor01,2026-09-03T13:26:25.960Z,32.06,2026-09-03 19:11:25.960,1587.079444444444
Pulse experiments,pioreactor01,2026-09-03T13:29:44.044Z,32.06,2026-09-03 19:14:44.044,1587.134722222222
Pulse experiments,pioreactor01,2026-09-03T13:33:17.071Z,32.0,2026-09-03 19:18:17.071,1587.193888888889
Pulse experiments,pioreactor01,2026-09-03T13:36:30.319Z,32.01,2026-09-03 19:21:30.319,1587.2475
