experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-03T19:30:16.511Z,724.0,29.98,67.56,2026-09-04 01:15:16.511,1593.143611111111
Pulse experiments,pioreactor01,2026-09-03T19:30:46.510Z,722.0,29.96,67.62,2026-09-04 01:15:46.510,1593.151944444445
Pulse experiments,pioreactor01,2026-09-03T19:31:16.508Z,716.0,29.96,67.58,2026-09-04 01:16:16.508,1593.160277777778
Pulse experiments,pioreactor01,2026-09-03T19:31:46.510Z,716.0,29.95,67.56,2026-09-04 01:16:46.510,1593.168611111111
Pulse experiments,pioreactor01,2026-09-03T19:41:07.716Z,777.0,,,2026-09-04 01:26:07.716,1593.324444444444
Pulse experiments,pioreactor01,2026-09-03T19:41:37.723Z,777.0,29.54,68.36,2026-09-04 01:26:37.723,1593.332777777778
Pulse experiments,pioreactor01,2026-09-03T19:42:07.718Z,777.0,29.55,68.43,2026-09-04 01:27:07.718,1593.341111111111
Pulse experiments,pioreactor01,2026-09-03T19:42:37.718Z,783.0,29.54,68.49,2026-09-04 01:27:37.718,1593.349444444445
Pulse experiments,pioreactor01,2026-09-03T19:43:07.720Z,781.0,29.55,68.51,2026-09-04 01:28:07.720,1593.357777777778
Pulse experiments,pioreactor01,2026-09-03T19:43:37.719Z,781.0,29.53,68.59,2026-09-04 01:28:37.719,1593.366111111111
Pulse experiments,pioreactor01,2026-09-03T19:44:07.723Z,775.0,29.52,68.58,2026-09-04 01:29:07.723,1593.374444444444
Pulse experiments,pioreactor01,2026-09-03T19:44:37.718Z,773.0,29.52,68.69,2026-09-04 01:29:37.718,1593.382777777778
Pulse experiments,pioreactor01,2026-09-03T19:45:07.723Z,777.0,29.52,68.7,2026-09-04 01:30:07.723,1593.391111111111
Pulse experiments,pioreactor01,2026-09-03T19:45:37.722Z,775.0,29.54,68.67,2026-09-04 01:30:37.722,1593.399444444444
Pulse experiments,pioreactor01,2026-09-03T19:46:07.718Z,777.0,29.54,68.71,2026-09-04 01:31:07.718,1593.407777777778
Pulse experiments,pioreactor01,2026-09-03T19:46:37.746Z,780.0,29.54,68.69,2026-09-04 01:31:37.746,1593.416111111111
Pulse experiments,pioreactor01,2026-09-03T19:47:07.730Z,782.0,29.56,68.7,2026-09-04 01:32:07.730,1593.424444444444
Pulse experiments,pioreactor01,2026-09-03T19:47:37.718Z,780.0,29.55,68.69,2026-09-04 01:32:37.718,1593.432777777778
Pulse experiments,pioreactor01,2026-09-03T19:48:07.722Z,785.0,29.57,68.77,2026-09-04 01:33:07.722,1593.441111111111
Pulse experiments,pioreactor01,2026-09-03T19:48:37.720Z,789.0,29.57,68.73,2026-09-04 01:33:37.720,1593.449444444444
Pulse experiments,pioreactor01,2026-09-03T19:49:07.721Z,793.0,29.59,68.78,2026-09-04 01:34:07.721,1593.457777777778
Pulse experiments,pioreactor01,2026-09-03T19:49:37.725Z,797.0,29.61,68.78,2026-09-04 01:34:37.725,1593.466111111111
Pulse experiments,pioreactor01,2026-09-03T19:50:07.721Z,793.0,29.64,68.77,2026-09-04 01:35:07.721,1593.474444444445
Pulse experiments,pioreactor01,2026-09-03T19:50:37.722Z,792.0,29.63,68.76,2026-09-04 01:35:37.722,1593.482777777778
Pulse experiments,pioreactor01,2026-09-03T19:51:07.721Z,791.0,29.64,68.73,2026-09-04 01:36:07.721,1593.491111111111
Pulse experiments,pioreactor01,2026-09-03T19:51:37.723Z,791.0,29.66,68.74,2026-09-04 01:36:37.723,1593.499444444444
Pulse experiments,pioreactor01,2026-09-03T19:52:07.722Z,794.0,29.65,68.73,2026-09-04 01:37:07.722,1593.507777777778
Pulse experiments,pioreactor01,2026-09-03T19:52:37.726Z,792.0,29.65,68.79,2026-09-04 01:37:37.726,1593.516111111111
Pulse experiments,pioreactor01,2026-09-03T19:53:07.723Z,796.0,29.65,68.8,2026-09-04 01:38:07.723,1593.524444444444
Pulse experiments,pioreactor01,2026-09-03T19:53:37.773Z,796.0,29.68,68.79,2026-09-04 01:38:37.773,1593.532777777778
Pulse experiments,pioreactor01,2026-09-03T19:54:07.726Z,796.0,29.64,68.76,2026-09-04 01:39:07.726,1593.541111111111
Pulse experiments,pioreactor01,2026-09-03T19:54:37.727Z,793.0,29.67,68.78,2026-09-04 01:39:37.727,1593.549444444444
Pulse experiments,pioreactor01,2026-09-03T19:55:07.726Z,791.0,29.68,68.76,2026-09-04 01:40:07.726,1593.557777777778
Pulse experiments,pioreactor01,2026-09-03T19:55:37.724Z,791.0,29.69,68.75,2026-09-04 01:40:37.724,1593.566111111111
Pulse experiments,pioreactor01,2026-09-03T19:56:07.745Z,795.0,29.69,68.75,2026-09-04 01:41:07.745,1593.574444444444
Pulse experiments,pioreactor01,2026-09-03T19:56:37.727Z,793.0,29.7,68.76,2026-09-04 01:41:37.727,1593.582777777778
Pulse experiments,pioreactor01,2026-09-03T19:57:07.726Z,794.0,29.68,68.74,2026-09-04 01:42:07.726,1593.591111111111
Pulse experiments,pioreactor01,2026-09-03T19:57:37.793Z,789.0,29.68,68.77,2026-09-04 01:42:37.793,1593.599444444445
Pulse experiments,pioreactor01,2026-09-03T19:58:07.736Z,789.0,29.69,68.73,2026-09-04 01:43:07.736,1593.607777777778
Pulse experiments,pioreactor01,2026-09-03T19:58:37.780Z,792.0,29.7,68.74,2026-09-04 01:43:37.780,1593.616111111111
Pulse experiments,pioreactor01,2026-09-03T19:59:07.727Z,789.0,29.7,68.7,2026-09-04 01:44:07.727,1593.624444444444
Pulse experiments,pioreactor01,2026-09-03T19:59:37.768Z,799.0,29.71,68.74,2026-09-04 01:44:37.768,1593.632777777778
Pulse experiments,pioreactor01,2026-09-03T20:00:07.728Z,801.0,29.71,68.71,2026-09-04 01:45:07.728,1593.641111111111
Pulse experiments,pioreactor01,2026-09-03T20:00:37.727Z,800.0,29.72,68.7,2026-09-04 01:45:37.727,1593.649444444444
Pulse experiments,pioreactor01,2026-09-03T20:01:07.728Z,802.0,29.7,68.65,2026-09-04 01:46:07.728,1593.657777777778
Pulse experiments,pioreactor01,2026-09-03T20:01:37.728Z,800.0,29.75,68.62,2026-09-04 01:46:37.728,1593.666111111111
Pulse experiments,pioreactor01,2026-09-03T20:02:07.729Z,797.0,29.72,68.62,2026-09-04 01:47:07.729,1593.674444444444
Pulse experiments,pioreactor01,2026-09-03T20:02:37.728Z,798.0,29.74,68.64,2026-09-04 01:47:37.728,1593.682777777778
Pulse experiments,pioreactor01,2026-09-03T20:03:07.736Z,797.0,29.72,68.59,2026-09-04 01:48:07.736,1593.691111111111
Pulse experiments,pioreactor01,2026-09-03T20:03:37.733Z,798.0,29.72,68.65,2026-09-04 01:48:37.733,1593.699444444444
Pulse experiments,pioreactor01,2026-09-03T20:04:07.725Z,798.0,29.73,68.62,2026-09-04 01:49:07.725,1593.707777777778
Pulse experiments,pioreactor01,2026-09-03T20:04:37.736Z,797.0,29.7,68.66,2026-09-04 01:49:37.736,1593.716111111111
Pulse experiments,pioreactor01,2026-09-03T20:05:07.732Z,794.0,29.72,68.62,2026-09-04 01:50:07.732,1593.724444444445
Pulse experiments,pioreactor01,2026-09-03T20:05:37.733Z,793.0,29.7,68.63,2026-09-04 01:50:37.733,1593.732777777778
Pulse experiments,pioreactor01,2026-09-03T20:06:07.731Z,791.0,29.73,68.6,2026-09-04 01:51:07.731,1593.741111111111
Pulse experiments,pioreactor01,2026-09-03T20:06:37.735Z,797.0,29.75,68.66,2026-09-04 01:51:37.735,1593.749444444444
Pulse experiments,pioreactor01,2026-09-03T20:07:07.731Z,800.0,29.77,68.62,2026-09-04 01:52:07.731,1593.757777777778
Pulse experiments,pioreactor01,2026-09-03T20:07:37.732Z,805.0,29.78,68.58,2026-09-04 01:52:37.732,1593.766111111111
Pulse experiments,pioreactor01,2026-09-03T20:08:07.731Z,809.0,29.8,68.63,2026-09-04 01:53:07.731,1593.774444444444
Pulse experiments,pioreactor01,2026-09-03T20:08:37.732Z,811.0,29.81,68.59,2026-09-04 01:53:37.732,1593.782777777778
Pulse experiments,pioreactor01,2026-09-03T20:09:07.731Z,807.0,29.82,68.54,2026-09-04 01:54:07.731,1593.791111111111
Pulse experiments,pioreactor01,2026-09-03T20:09:37.731Z,807.0,29.84,68.54,2026-09-04 01:54:37.731,1593.799444444444
Pulse experiments,pioreactor01,2026-09-03T20:10:07.736Z,810.0,29.82,68.6,2026-09-04 01:55:07.736,1593.807777777778
Pulse experiments,pioreactor01,2026-09-03T20:10:37.733Z,814.0,29.82,68.56,2026-09-04 01:55:37.733,1593.816111111111
Pulse experiments,pioreactor01,2026-09-03T20:11:07.732Z,815.0,29.87,68.52,2026-09-04 01:56:07.732,1593.824444444444
Pulse experiments,pioreactor01,2026-09-03T20:11:37.736Z,813.0,29.84,68.56,2026-09-04 01:56:37.736,1593.832777777778
Pulse experiments,pioreactor01,2026-09-03T20:12:07.736Z,811.0,29.85,68.5,2026-09-04 01:57:07.736,1593.841111111111
Pulse experiments,pioreactor01,2026-09-03T20:12:37.735Z,811.0,29.85,68.53,2026-09-04 01:57:37.735,1593.849444444445
Pulse experiments,pioreactor01,2026-09-03T20:13:07.733Z,810.0,29.86,68.5,2026-09-04 01:58:07.733,1593.857777777778
Pulse experiments,pioreactor01,2026-09-03T20:13:37.733Z,807.0,29.87,68.49,2026-09-04 01:58:37.733,1593.866111111111
Pulse experiments,pioreactor01,2026-09-03T20:14:07.734Z,804.0,29.85,68.46,2026-09-04 01:59:07.734,1593.874444444444
Pulse experiments,pioreactor01,2026-09-03T20:14:37.733Z,800.0,29.86,68.47,2026-09-04 01:59:37.733,1593.882777777778
