experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-03T19:32:09.866Z,Exiting caused by signal Interrupt.,spectrometer_reading_plugin,DEBUG,spectrometer_reading,2026-09-04 01:17:09.866,1593.175
Pulse experiments,pioreactor01,2026-09-03T19:32:09.872Z,Exiting PWM caused by signal Interrupt.,app,DEBUG,stirring,2026-09-04 01:17:09.872,1593.175
Pulse experiments,pioreactor01,2026-09-03T19:32:09.888Z,Exiting caused by signal Interrupt.,app,DEBUG,growth_rate_calculating,2026-09-04 01:17:09.888,1593.175
Pulse experiments,pioreactor01,2026-09-03T19:32:09.891Z,Exiting caused by signal Interrupt.,app,DEBUG,od_reading,2026-09-04 01:17:09.891,1593.175
Pulse experiments,pioreactor01,2026-09-03T19:32:09.960Z,Exiting caused by signal Interrupt.,app,DEBUG,co2_recorder,2026-09-04 01:17:09.960,1593.175
Pulse experiments,pioreactor01,2026-09-03T19:32:09.960Z,Disconnected.,spectrometer_reading_plugin,INFO,spectrometer_reading,2026-09-04 01:17:09.960,1593.175
Pulse experiments,pioreactor01,2026-09-03T19:32:09.973Z,Disconnected.,app,INFO,growth_rate_calculating,2026-09-04 01:17:09.973,1593.175
Pulse experiments,pioreactor01,2026-09-03T19:32:10.024Z,Disconnected.,app,INFO,od_reading,2026-09-04 01:17:10.024,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.110Z,Disconnected successfully from MQTT.,app,DEBUG,growth_rate_calculating,2026-09-04 01:17:10.110,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.128Z,Disconnected.,app,INFO,co2_recorder,2026-09-04 01:17:10.128,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.140Z,Disconnected successfully from MQTT.,spectrometer_reading_plugin,DEBUG,spectrometer_reading,2026-09-04 01:17:10.140,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.153Z,Cleaned up GPIO-17.,app,DEBUG,stirring,2026-09-04 01:17:10.153,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.161Z,Disconnected successfully from MQTT.,app,DEBUG,od_reading,2026-09-04 01:17:10.161,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.162Z,Exiting caused by signal Interrupt.,app,DEBUG,stirring,2026-09-04 01:17:10.162,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.167Z,Disconnected successfully from MQTT.,app,DEBUG,co2_recorder,2026-09-04 01:17:10.167,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.337Z,Disconnected.,app,INFO,stirring,2026-09-04 01:17:10.337,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:32:10.428Z,Disconnected successfully from MQTT.,app,DEBUG,stirring,2026-09-04 01:17:10.428,1593.175277777778
Pulse experiments,pioreactor01,2026-09-03T19:35:25.845Z,Init.,app,DEBUG,stirring,2026-09-04 01:20:25.845,1593.229444444444
Pulse experiments,pioreactor01,2026-09-03T19:35:26.039Z,Operating with RPM feedback loop.,app,DEBUG,stirring,2026-09-04 01:20:26.039,1593.229722222222
Pulse experiments,pioreactor01,2026-09-03T19:35:26.062Z,"Initialized GPIO-17 using software-timing, initial frequency = 200.0 hz.",app,DEBUG,stirring,2026-09-04 01:20:26.062,1593.229722222222
