experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-03T19:36:57.630Z,UpdatedHeaterDC,delta_dc=-4.7125,"{""current_dc"": 0.0, ""delta_dc"": -4.7125, ""target_temperature"": 28.0, ""latest_temperature"": 29.8125}",2026-09-04 01:21:57.630,1593.255
Pulse experiments,pioreactor01,2026-09-03T19:40:24.673Z,UpdatedHeaterDC,delta_dc=-5.198499999999993,"{""current_dc"": 0.0, ""delta_dc"": -5.198499999999993, ""target_temperature"": 28.0, ""latest_temperature"": 29.88}",2026-09-04 01:25:24.673,1593.3125
Pulse experiments,pioreactor01,2026-09-03T19:43:51.506Z,UpdatedHeaterDC,delta_dc=-6.616000000000012,"{""current_dc"": 0.0, ""delta_dc"": -6.616000000000012, ""target_temperature"": 28.0, ""latest_temperature"": 30.12}",2026-09-04 01:28:51.506,1593.37
Pulse experiments,pioreactor01,2026-09-03T19:47:06.406Z,UpdatedHeaterDC,delta_dc=-6.879999999999987,"{""current_dc"": 0.0, ""delta_dc"": -6.879999999999987, ""target_temperature"": 28.0, ""latest_temperature"": 30.31}",2026-09-04 01:32:06.406,1593.424166666667
Pulse experiments,pioreactor01,2026-09-03T19:50:25.404Z,UpdatedHeaterDC,delta_dc=-7.014000000000001,"{""current_dc"": 0.0, ""delta_dc"": -7.014000000000001, ""target_temperature"": 28.0, ""latest_temperature"": 30.45}",2026-09-04 01:35:25.404,1593.479444444444
Pulse experiments,pioreactor01,2026-09-03T19:53:48.121Z,UpdatedHeaterDC,delta_dc=-7.305999999999991,"{""current_dc"": 0.0, ""delta_dc"": -7.305999999999991, ""target_temperature"": 28.0, ""latest_temperature"": 30.58}",2026-09-04 01:38:48.121,1593.535833333333
Pulse experiments,pioreactor01,2026-09-03T19:57:08.582Z,UpdatedHeaterDC,delta_dc=-7.500000000000017,"{""current_dc"": 0.0, ""delta_dc"": -7.500000000000017, ""target_temperature"": 28.0, ""latest_temperature"": 30.69}",2026-09-04 01:42:08.582,1593.591388888889
Pulse experiments,pioreactor01,2026-09-03T20:00:28.467Z,UpdatedHeaterDC,delta_dc=-7.425999999999995,"{""current_dc"": 0.0, ""delta_dc"": -7.425999999999995, ""target_temperature"": 28.0, ""latest_temperature"": 30.75}",2026-09-04 01:45:28.467,1593.646944444444
Pulse experiments,pioreactor01,2026-09-03T20:03:49.623Z,UpdatedHeaterDC,delta_dc=-7.725999999999988,"{""current_dc"": 0.0, ""delta_dc"": -7.725999999999988, ""target_temperature"": 28.0, ""latest_temperature"": 30.83}",2026-09-04 01:48:49.623,1593.702777777778
Pulse experiments,pioreactor01,2026-09-03T20:07:07.041Z,UpdatedHeaterDC,delta_dc=-7.7900000000000125,"{""current_dc"": 0.0, ""delta_dc"": -7.7900000000000125, ""target_temperature"": 28.0, ""latest_temperature"": 30.89}",2026-09-04 01:52:07.041,1593.757777777778
Pulse experiments,pioreactor01,2026-09-03T20:09:10.280Z,UpdatedHeaterDC,delta_dc=-5.0375000000000005,"{""current_dc"": 0.0, ""delta_dc"": -5.0375000000000005, ""target_temperature"": 30.0, ""latest_temperature"": 30.9375}",2026-09-04 01:54:10.280,1593.791944444444
