experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-12T15:46:46.716Z,596.0,,,2026-07-12 21:31:46.716,317.418611111111
Pulse experiments,pioreactor01,2026-07-12T15:47:16.715Z,593.0,31.85,60.32,2026-07-12 21:32:16.715,317.426944444444
Pulse experiments,pioreactor01,2026-07-12T15:47:46.713Z,594.0,31.83,60.3,2026-07-12 21:32:46.713,317.435277777778
Pulse experiments,pioreactor01,2026-07-12T15:48:16.740Z,592.0,31.83,60.28,2026-07-12 21:33:16.740,317.443611111111
Pulse experiments,pioreactor01,2026-07-12T15:48:46.714Z,596.0,31.85,60.19,2026-07-12 21:33:46.714,317.451944444444
Pulse experiments,pioreactor01,2026-07-12T15:49:16.716Z,595.0,31.87,60.08,2026-07-12 21:34:16.716,317.460277777778
Pulse experiments,pioreactor01,2026-07-12T15:49:46.717Z,589.0,31.88,59.88,2026-07-12 21:34:46.717,317.468611111111
Pulse experiments,pioreactor01,2026-07-12T15:50:16.748Z,585.0,31.94,59.91,2026-07-12 21:35:16.748,317.476944444444
Pulse experiments,pioreactor01,2026-07-12T15:50:46.712Z,577.0,31.96,59.76,2026-07-12 21:35:46.712,317.485277777778
Pulse experiments,pioreactor01,2026-07-12T15:51:16.716Z,574.0,31.99,59.58,2026-07-12 21:36:16.716,317.493611111111
Pulse experiments,pioreactor01,2026-07-12T15:51:46.716Z,574.0,32.04,59.55,2026-07-12 21:36:46.716,317.501944444444
Pulse experiments,pioreactor01,2026-07-12T15:52:16.713Z,577.0,32.06,59.46,2026-07-12 21:37:16.713,317.510277777778
Pulse experiments,pioreactor01,2026-07-12T15:52:46.723Z,581.0,32.1,59.3,2026-07-12 21:37:46.723,317.518611111111
Pulse experiments,pioreactor01,2026-07-12T15:53:16.722Z,577.0,32.18,59.13,2026-07-12 21:38:16.722,317.526944444444
Pulse experiments,pioreactor01,2026-07-12T15:53:46.724Z,579.0,32.21,59.06,2026-07-12 21:38:46.724,317.535277777778
Pulse experiments,pioreactor01,2026-07-12T15:54:16.729Z,578.0,32.24,58.98,2026-07-12 21:39:16.729,317.543611111111
Pulse experiments,pioreactor01,2026-07-12T15:54:46.723Z,576.0,32.28,58.95,2026-07-12 21:39:46.723,317.551944444444
Pulse experiments,pioreactor01,2026-07-12T15:55:16.717Z,572.0,32.33,58.88,2026-07-12 21:40:16.717,317.560277777778
Pulse experiments,pioreactor01,2026-07-12T15:55:46.716Z,570.0,32.36,58.8,2026-07-12 21:40:46.716,317.568611111111
Pulse experiments,pioreactor01,2026-07-12T15:56:16.750Z,570.0,32.41,58.59,2026-07-12 21:41:16.750,317.576944444444
Pulse experiments,pioreactor01,2026-07-12T15:56:46.719Z,571.0,32.46,58.54,2026-07-12 21:41:46.719,317.585277777778
Pulse experiments,pioreactor01,2026-07-12T15:57:16.718Z,573.0,32.49,58.6,2026-07-12 21:42:16.718,317.593611111111
Pulse experiments,pioreactor01,2026-07-12T15:57:46.718Z,575.0,32.53,58.71,2026-07-12 21:42:46.718,317.601944444444
Pulse experiments,pioreactor01,2026-07-12T15:58:16.724Z,572.0,32.59,58.72,2026-07-12 21:43:16.724,317.610277777778
Pulse experiments,pioreactor01,2026-07-12T15:58:46.726Z,573.0,32.66,58.71,2026-07-12 21:43:46.726,317.618611111111
Pulse experiments,pioreactor01,2026-07-12T15:59:16.722Z,575.0,32.74,58.63,2026-07-12 21:44:16.722,317.626944444444
Pulse experiments,pioreactor01,2026-07-12T15:59:46.720Z,576.0,32.78,58.43,2026-07-12 21:44:46.720,317.635277777778
Pulse experiments,pioreactor01,2026-07-12T16:00:16.721Z,579.0,32.82,58.37,2026-07-12 21:45:16.721,317.643611111111
Pulse experiments,pioreactor01,2026-07-12T16:00:46.727Z,582.0,32.89,58.18,2026-07-12 21:45:46.727,317.651944444444
