experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-12T17:00:14.432Z,add_alt_media,0.2016567083,UI,2026-07-12 22:45:14.432,318.643055555556
Pulse experiments,pioreactor01,2026-07-12T17:00:14.934Z,add_alt_media,0.2016567083,UI,2026-07-12 22:45:14.934,318.643055555556
Pulse experiments,pioreactor01,2026-07-12T17:00:15.435Z,add_alt_media,0.2016567083,UI,2026-07-12 22:45:15.435,318.643333333333
Pulse experiments,pioreactor01,2026-07-12T17:00:15.936Z,add_alt_media,0.2016567083,UI,2026-07-12 22:45:15.936,318.643333333333
Pulse experiments,pioreactor01,2026-07-12T17:00:16.437Z,add_alt_media,0.1933731668,UI,2026-07-12 22:45:16.437,318.643611111111
Pulse experiments,pioreactor01,2026-07-12T17:00:29.540Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:29.540,318.647222222222
Pulse experiments,pioreactor01,2026-07-12T17:00:30.049Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:30.049,318.6475
Pulse experiments,pioreactor01,2026-07-12T17:00:30.550Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:30.550,318.6475
Pulse experiments,pioreactor01,2026-07-12T17:00:31.051Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:31.051,318.647777777778
Pulse experiments,pioreactor01,2026-07-12T17:00:31.552Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:31.552,318.647777777778
Pulse experiments,pioreactor01,2026-07-12T17:00:32.053Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:32.053,318.648055555556
Pulse experiments,pioreactor01,2026-07-12T17:00:32.554Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:32.554,318.648055555556
Pulse experiments,pioreactor01,2026-07-12T17:00:33.055Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:33.055,318.648333333333
Pulse experiments,pioreactor01,2026-07-12T17:00:33.556Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:33.556,318.648333333333
Pulse experiments,pioreactor01,2026-07-12T17:00:34.057Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:34.057,318.648611111111
Pulse experiments,pioreactor01,2026-07-12T17:00:34.558Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:34.558,318.648611111111
Pulse experiments,pioreactor01,2026-07-12T17:00:35.059Z,remove_waste,0.0806626833,UI,2026-07-12 22:45:35.059,318.648888888889
Pulse experiments,pioreactor01,2026-07-12T17:00:35.559Z,remove_waste,0.0320478004,UI,2026-07-12 22:45:35.559,318.648888888889
Pulse experiments,pioreactor01,2026-07-12T18:25:11.251Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-13 00:10:11.251,320.058888888889
Pulse experiments,pioreactor01,2026-07-12T18:25:11.753Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-13 00:10:11.753,320.058888888889
Pulse experiments,pioreactor01,2026-07-12T18:25:12.254Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-13 00:10:12.254,320.059166666667
Pulse experiments,pioreactor01,2026-07-12T18:25:12.755Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-13 00:10:12.755,320.059166666667
Pulse experiments,pioreactor01,2026-07-12T18:25:13.255Z,add_media,0.0776751765,dosing_automation:chemostat,2026-07-13 00:10:13.255,320.059444444444
Pulse experiments,pioreactor01,2026-07-12T18:25:13.756Z,add_media,0.0116241175,dosing_automation:chemostat,2026-07-13 00:10:13.756,320.059444444444
Pulse experiments,pioreactor01,2026-07-12T18:25:18.915Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:18.915,320.060833333333
Pulse experiments,pioreactor01,2026-07-12T18:25:19.416Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:19.416,320.061111111111
Pulse experiments,pioreactor01,2026-07-12T18:25:19.917Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:19.917,320.061111111111
Pulse experiments,pioreactor01,2026-07-12T18:25:20.417Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:20.417,320.061388888889
Pulse experiments,pioreactor01,2026-07-12T18:25:20.918Z,remove_waste,0.0773492668,dosing_automation:chemostat,2026-07-13 00:10:20.918,320.061388888889
Pulse experiments,pioreactor01,2026-07-12T18:25:21.528Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:21.528,320.061666666667
Pulse experiments,pioreactor01,2026-07-12T18:25:22.029Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:22.029,320.061944444444
Pulse experiments,pioreactor01,2026-07-12T18:25:22.530Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:22.530,320.061944444444
Pulse experiments,pioreactor01,2026-07-12T18:25:23.031Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:23.031,320.062222222222
Pulse experiments,pioreactor01,2026-07-12T18:25:23.533Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:23.533,320.062222222222
Pulse experiments,pioreactor01,2026-07-12T18:25:24.034Z,remove_waste,0.0806626833,dosing_automation:chemostat,2026-07-13 00:10:24.034,320.0625
