experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-04T07:05:05.679Z,A,0.0,CLI,2026-09-04 12:50:05.679,1604.723888888889
Pulse experiments,pioreactor01,2026-09-04T07:05:05.679Z,B,0.0,CLI,2026-09-04 12:50:05.679,1604.723888888889
Pulse experiments,pioreactor01,2026-09-04T07:05:05.679Z,C,0.0,CLI,2026-09-04 12:50:05.679,1604.723888888889
Pulse experiments,pioreactor01,2026-09-04T07:05:05.679Z,D,0.0,CLI,2026-09-04 12:50:05.679,1604.723888888889
Pulse experiments,pioreactor01,2026-09-04T07:05:08.005Z,A,0.0,CLI,2026-09-04 12:50:08.005,1604.724722222222
Pulse experiments,pioreactor01,2026-09-04T07:05:08.005Z,B,0.0,CLI,2026-09-04 12:50:08.005,1604.724722222222
Pulse experiments,pioreactor01,2026-09-04T07:05:08.005Z,C,0.0,CLI,2026-09-04 12:50:08.005,1604.724722222222
Pulse experiments,pioreactor01,2026-09-04T07:05:08.005Z,D,0.0,CLI,2026-09-04 12:50:08.005,1604.724722222222
Pulse experiments,pioreactor01,2026-09-04T07:05:10.102Z,A,0.0,CLI,2026-09-04 12:50:10.102,1604.725277777778
Pulse experiments,pioreactor01,2026-09-04T07:05:10.102Z,B,0.0,CLI,2026-09-04 12:50:10.102,1604.725277777778
Pulse experiments,pioreactor01,2026-09-04T07:05:10.102Z,C,0.0,CLI,2026-09-04 12:50:10.102,1604.725277777778
Pulse experiments,pioreactor01,2026-09-04T07:05:10.102Z,D,0.0,CLI,2026-09-04 12:50:10.102,1604.725277777778
Pulse experiments,pioreactor01,2026-09-04T07:09:20.397Z,C,100.0,UI,2026-09-04 12:54:20.397,1604.794722222222
Pulse experiments,pioreactor01,2026-09-04T07:09:25.755Z,C,0.0,UI,2026-09-04 12:54:25.755,1604.796111111111
Pulse experiments,pioreactor01,2026-09-04T07:44:14.806Z,C,10.0,,2026-09-04 13:29:14.806,1605.376388888889
Pulse experiments,pioreactor01,2026-09-04T07:54:14.854Z,C,0.0,,2026-09-04 13:39:14.854,1605.543055555556
Pulse experiments,pioreactor01,2026-09-04T08:04:14.906Z,C,0.0,,2026-09-04 13:49:14.906,1605.709722222222
Pulse experiments,pioreactor01,2026-09-04T08:14:14.966Z,C,0.0,,2026-09-04 13:59:14.966,1605.876388888889
Pulse experiments,pioreactor01,2026-09-04T08:24:15.039Z,C,0.0,,2026-09-04 14:09:15.039,1606.043333333333
Pulse experiments,pioreactor01,2026-09-04T08:34:15.100Z,C,0.0,,2026-09-04 14:19:15.100,1606.21
Pulse experiments,pioreactor01,2026-09-04T08:44:15.162Z,C,25.0,,2026-09-04 14:29:15.162,1606.376666666667
Pulse experiments,pioreactor01,2026-09-04T08:54:15.228Z,C,0.0,,2026-09-04 14:39:15.228,1606.543333333333
Pulse experiments,pioreactor01,2026-09-04T09:04:15.299Z,C,0.0,,2026-09-04 14:49:15.299,1606.71
Pulse experiments,pioreactor01,2026-09-04T09:14:15.364Z,C,0.0,,2026-09-04 14:59:15.364,1606.876666666667
Pulse experiments,pioreactor01,2026-09-04T09:24:15.422Z,C,0.0,,2026-09-04 15:09:15.422,1607.043333333333
Pulse experiments,pioreactor01,2026-09-04T09:34:15.483Z,C,0.0,,2026-09-04 15:19:15.483,1607.21
Pulse experiments,pioreactor01,2026-09-04T09:44:15.549Z,C,45.0,,2026-09-04 15:29:15.549,1607.376666666667
Pulse experiments,pioreactor01,2026-09-04T09:54:15.610Z,C,0.0,,2026-09-04 15:39:15.610,1607.543333333333
Pulse experiments,pioreactor01,2026-09-04T10:04:15.690Z,C,0.0,,2026-09-04 15:49:15.690,1607.71
Pulse experiments,pioreactor01,2026-09-04T10:14:15.748Z,C,0.0,,2026-09-04 15:59:15.748,1607.876666666667
Pulse experiments,pioreactor01,2026-09-04T10:24:15.808Z,C,0.0,,2026-09-04 16:09:15.808,1608.043333333333
Pulse experiments,pioreactor01,2026-09-04T10:34:15.868Z,C,0.0,,2026-09-04 16:19:15.868,1608.21
Pulse experiments,pioreactor01,2026-09-04T10:44:15.930Z,C,15.0,,2026-09-04 16:29:15.930,1608.376666666667
Pulse experiments,pioreactor01,2026-09-04T10:54:15.990Z,C,0.0,,2026-09-04 16:39:15.990,1608.543333333333
Pulse experiments,pioreactor01,2026-09-04T11:04:16.049Z,C,0.0,,2026-09-04 16:49:16.049,1608.710277777778
Pulse experiments,pioreactor01,2026-09-04T11:14:16.107Z,C,0.0,,2026-09-04 16:59:16.107,1608.876944444444
Pulse experiments,pioreactor01,2026-09-04T11:24:16.167Z,C,0.0,,2026-09-04 17:09:16.167,1609.043611111111
Pulse experiments,pioreactor01,2026-09-04T11:34:16.226Z,C,0.0,,2026-09-04 17:19:16.226,1609.210277777778
Pulse experiments,pioreactor01,2026-09-04T11:44:16.288Z,C,35.0,,2026-09-04 17:29:16.288,1609.376944444444
Pulse experiments,pioreactor01,2026-09-04T11:54:16.350Z,C,0.0,,2026-09-04 17:39:16.350,1609.543611111111
Pulse experiments,pioreactor01,2026-09-04T12:04:16.410Z,C,0.0,,2026-09-04 17:49:16.410,1609.710277777778
Pulse experiments,pioreactor01,2026-09-04T12:14:16.476Z,C,0.0,,2026-09-04 17:59:16.476,1609.876944444444
Pulse experiments,pioreactor01,2026-09-04T12:24:16.538Z,C,0.0,,2026-09-04 18:09:16.538,1610.043611111111
Pulse experiments,pioreactor01,2026-09-04T12:34:16.598Z,C,0.0,,2026-09-04 18:19:16.598,1610.210277777778
Pulse experiments,pioreactor01,2026-09-04T12:44:16.657Z,C,50.0,,2026-09-04 18:29:16.657,1610.376944444444
