experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-05T01:45:20.200Z,807.0,,,2026-09-05 07:30:20.200,1623.394722222222
Pulse experiments,pioreactor01,2026-09-05T01:45:50.204Z,742.0,31.75,60.9,2026-09-05 07:30:50.204,1623.403055555556
Pulse experiments,pioreactor01,2026-09-05T01:46:20.200Z,1484.0,31.15,63.37,2026-09-05 07:31:20.200,1623.411388888889
Pulse experiments,pioreactor01,2026-09-05T01:46:50.199Z,1561.0,30.89,65.55,2026-09-05 07:31:50.199,1623.419722222222
Pulse experiments,pioreactor01,2026-09-05T01:47:20.200Z,1231.0,30.63,66.11,2026-09-05 07:32:20.200,1623.428055555556
Pulse experiments,pioreactor01,2026-09-05T01:47:50.200Z,1027.0,30.42,66.35,2026-09-05 07:32:50.200,1623.436388888889
Pulse experiments,pioreactor01,2026-09-05T01:48:20.202Z,924.0,30.32,66.39,2026-09-05 07:33:20.202,1623.444722222222
Pulse experiments,pioreactor01,2026-09-05T01:48:50.201Z,839.0,30.24,66.39,2026-09-05 07:33:50.201,1623.453055555555
Pulse experiments,pioreactor01,2026-09-05T01:49:20.201Z,824.0,30.19,66.29,2026-09-05 07:34:20.201,1623.461388888889
Pulse experiments,pioreactor01,2026-09-05T01:49:50.201Z,806.0,30.17,66.21,2026-09-05 07:34:50.201,1623.469722222222
Pulse experiments,pioreactor01,2026-09-05T01:50:20.201Z,791.0,30.12,66.07,2026-09-05 07:35:20.201,1623.478055555556
Pulse experiments,pioreactor01,2026-09-05T01:50:50.202Z,778.0,30.12,65.92,2026-09-05 07:35:50.202,1623.486388888889
Pulse experiments,pioreactor01,2026-09-05T01:51:20.203Z,769.0,30.11,65.86,2026-09-05 07:36:20.203,1623.494722222222
Pulse experiments,pioreactor01,2026-09-05T01:51:50.203Z,758.0,30.08,65.76,2026-09-05 07:36:50.203,1623.503055555556
Pulse experiments,pioreactor01,2026-09-05T01:52:20.204Z,748.0,30.1,65.65,2026-09-05 07:37:20.204,1623.511388888889
Pulse experiments,pioreactor01,2026-09-05T01:52:50.203Z,744.0,30.09,65.63,2026-09-05 07:37:50.203,1623.519722222222
Pulse experiments,pioreactor01,2026-09-05T01:53:20.204Z,742.0,30.07,65.51,2026-09-05 07:38:20.204,1623.528055555556
Pulse experiments,pioreactor01,2026-09-05T01:53:50.205Z,741.0,30.06,65.47,2026-09-05 07:38:50.205,1623.536388888889
Pulse experiments,pioreactor01,2026-09-05T01:54:20.205Z,733.0,30.03,65.47,2026-09-05 07:39:20.205,1623.544722222222
Pulse experiments,pioreactor01,2026-09-05T01:54:50.204Z,733.0,30.01,65.46,2026-09-05 07:39:50.204,1623.553055555556
Pulse experiments,pioreactor01,2026-09-05T01:55:20.205Z,731.0,30.0,65.44,2026-09-05 07:40:20.205,1623.561388888889
Pulse experiments,pioreactor01,2026-09-05T01:55:50.206Z,729.0,29.99,65.4,2026-09-05 07:40:50.206,1623.569722222222
Pulse experiments,pioreactor01,2026-09-05T01:56:20.205Z,726.0,29.98,65.43,2026-09-05 07:41:20.205,1623.578055555555
Pulse experiments,pioreactor01,2026-09-05T01:56:50.206Z,723.0,29.97,65.4,2026-09-05 07:41:50.206,1623.586388888889
Pulse experiments,pioreactor01,2026-09-05T01:57:20.204Z,723.0,29.96,65.45,2026-09-05 07:42:20.204,1623.594722222222
Pulse experiments,pioreactor01,2026-09-05T01:57:50.206Z,722.0,29.97,65.41,2026-09-05 07:42:50.206,1623.603055555556
Pulse experiments,pioreactor01,2026-09-05T01:58:20.206Z,721.0,29.96,65.4,2026-09-05 07:43:20.206,1623.611388888889
Pulse experiments,pioreactor01,2026-09-05T01:58:50.209Z,716.0,29.97,65.41,2026-09-05 07:43:50.209,1623.619722222222
Pulse experiments,pioreactor01,2026-09-05T01:59:20.206Z,714.0,29.93,65.39,2026-09-05 07:44:20.206,1623.628055555556
Pulse experiments,pioreactor01,2026-09-05T01:59:50.209Z,716.0,29.9,65.39,2026-09-05 07:44:50.209,1623.636388888889
Pulse experiments,pioreactor01,2026-09-05T02:00:20.212Z,717.0,29.88,65.43,2026-09-05 07:45:20.212,1623.644722222222
Pulse experiments,pioreactor01,2026-09-05T02:00:50.207Z,725.0,29.84,65.49,2026-09-05 07:45:50.207,1623.653055555556
Pulse experiments,pioreactor01,2026-09-05T02:01:20.207Z,723.0,29.85,65.53,2026-09-05 07:46:20.207,1623.661388888889
Pulse experiments,pioreactor01,2026-09-05T02:01:50.207Z,726.0,29.85,65.54,2026-09-05 07:46:50.207,1623.669722222222
Pulse experiments,pioreactor01,2026-09-05T02:02:20.208Z,722.0,29.87,65.54,2026-09-05 07:47:20.208,1623.678055555556
Pulse experiments,pioreactor01,2026-09-05T02:02:50.207Z,724.0,29.87,65.49,2026-09-05 07:47:50.207,1623.686388888889
Pulse experiments,pioreactor01,2026-09-05T02:03:20.209Z,724.0,29.84,65.51,2026-09-05 07:48:20.209,1623.694722222222
Pulse experiments,pioreactor01,2026-09-05T02:03:50.208Z,720.0,29.84,65.58,2026-09-05 07:48:50.208,1623.703055555555
Pulse experiments,pioreactor01,2026-09-05T02:04:20.209Z,721.0,29.85,65.66,2026-09-05 07:49:20.209,1623.711388888889
Pulse experiments,pioreactor01,2026-09-05T02:04:50.208Z,718.0,29.83,65.73,2026-09-05 07:49:50.208,1623.719722222222
Pulse experiments,pioreactor01,2026-09-05T02:05:20.208Z,719.0,29.81,65.73,2026-09-05 07:50:20.208,1623.728055555556
Pulse experiments,pioreactor01,2026-09-05T02:05:50.211Z,720.0,29.85,65.71,2026-09-05 07:50:50.211,1623.736388888889
Pulse experiments,pioreactor01,2026-09-05T02:06:20.209Z,722.0,29.85,65.64,2026-09-05 07:51:20.209,1623.744722222222
Pulse experiments,pioreactor01,2026-09-05T02:06:50.212Z,718.0,29.86,65.65,2026-09-05 07:51:50.212,1623.753055555556
Pulse experiments,pioreactor01,2026-09-05T02:07:20.209Z,722.0,29.86,65.71,2026-09-05 07:52:20.209,1623.761388888889
Pulse experiments,pioreactor01,2026-09-05T02:07:50.210Z,725.0,29.87,65.76,2026-09-05 07:52:50.210,1623.769722222222
Pulse experiments,pioreactor01,2026-09-05T02:08:20.210Z,727.0,29.87,65.79,2026-09-05 07:53:20.210,1623.778055555556
Pulse experiments,pioreactor01,2026-09-05T02:08:50.211Z,727.0,29.88,65.69,2026-09-05 07:53:50.211,1623.786388888889
Pulse experiments,pioreactor01,2026-09-05T02:09:20.210Z,730.0,29.89,65.69,2026-09-05 07:54:20.210,1623.794722222222
Pulse experiments,pioreactor01,2026-09-05T02:09:50.211Z,728.0,29.9,65.62,2026-09-05 07:54:50.211,1623.803055555556
Pulse experiments,pioreactor01,2026-09-05T02:10:20.209Z,725.0,29.92,65.63,2026-09-05 07:55:20.209,1623.811388888889
Pulse experiments,pioreactor01,2026-09-05T02:10:50.212Z,723.0,29.93,65.71,2026-09-05 07:55:50.212,1623.819722222222
