experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-09-04T16:15:09.679Z,"features={'previous_heater_dc': 5.59, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [34.833333333333336, 34.635416666666664, 34.5, 34.375, 34.25, 34.125, 34.010416666666664, 33.9375, 33.875, 33.8125, 33.75, 33.6875, 33.625, 33.5625, 33.552083333333336, 33.5, 33.447916666666664, 33.4375, 33.375, 33.375, 33.34375]}",app,DEBUG,temperature_automation,2026-09-04 22:00:09.679,1613.891666666667
Pulse experiments,pioreactor01,2026-09-04T16:15:09.771Z,PID output = 5.861999999999972,app,DEBUG,temperature_automation,2026-09-04 22:00:09.771,1613.891666666667
Pulse experiments,pioreactor01,2026-09-04T16:15:09.773Z,UpdatedHeaterDC: delta_dc=5.861999999999972,app,INFO,temperature_automation,2026-09-04 22:00:09.773,1613.891666666667
Pulse experiments,pioreactor01,2026-09-04T16:18:36.841Z,"features={'previous_heater_dc': 11.45, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [36.5, 36.09375, 35.78125, 35.5, 35.260416666666664, 35.0625, 34.885416666666664, 34.729166666666664, 34.5625, 34.4375, 34.3125, 34.21875, 34.125, 34.0, 33.9375, 33.875, 33.8125, 33.75, 33.6875, 33.625, 33.59375]}",app,DEBUG,temperature_automation,2026-09-04 22:03:36.841,1613.949166666667
Pulse experiments,pioreactor01,2026-09-04T16:18:36.923Z,PID output = 4.686000000000011,app,DEBUG,temperature_automation,2026-09-04 22:03:36.923,1613.949166666667
Pulse experiments,pioreactor01,2026-09-04T16:18:36.933Z,UpdatedHeaterDC: delta_dc=4.686000000000011,app,INFO,temperature_automation,2026-09-04 22:03:36.933,1613.949166666667
Pulse experiments,pioreactor01,2026-09-04T16:21:52.086Z,"features={'previous_heater_dc': 16.14, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [37.875, 37.3125, 36.875, 36.5, 36.1875, 35.927083333333336, 35.677083333333336, 35.4375, 35.25, 35.0625, 34.875, 34.75, 34.625, 34.5, 34.375, 34.270833333333336, 34.1875, 34.125, 34.03125, 34.0, 33.895833333333336]}",app,DEBUG,temperature_automation,2026-09-04 22:06:52.086,1614.003611111111
Pulse experiments,pioreactor01,2026-09-04T16:21:52.176Z,PID output = 4.948000000000009,app,DEBUG,temperature_automation,2026-09-04 22:06:52.176,1614.003611111111
Pulse experiments,pioreactor01,2026-09-04T16:21:52.186Z,UpdatedHeaterDC: delta_dc=4.948000000000009,app,INFO,temperature_automation,2026-09-04 22:06:52.186,1614.003611111111
Pulse experiments,pioreactor01,2026-09-04T16:25:18.268Z,"features={'previous_heater_dc': 21.09, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [39.833333333333336, 39.072916666666664, 38.5, 38.0, 37.4375, 37.0625, 36.75, 36.4375, 36.1875, 35.9375, 35.697916666666664, 35.5, 35.354166666666664, 35.1875, 35.0625, 34.9375, 34.802083333333336, 34.6875, 34.583333333333336, 34.5, 34.40625]}",app,DEBUG,temperature_automation,2026-09-04 22:10:18.268,1614.060833333333
Pulse experiments,pioreactor01,2026-09-04T16:25:18.339Z,PID output = 2.145999999999971,app,DEBUG,temperature_automation,2026-09-04 22:10:18.339,1614.060833333333
Pulse experiments,pioreactor01,2026-09-04T16:25:18.343Z,UpdatedHeaterDC: delta_dc=2.145999999999971,app,INFO,temperature_automation,2026-09-04 22:10:18.343,1614.060833333333
Pulse experiments,pioreactor01,2026-09-04T16:28:35.179Z,"features={'previous_heater_dc': 23.24, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [40.552083333333336, 39.697916666666664, 39.0625, 38.53125, 38.0625, 37.645833333333336, 37.291666666666664, 36.9375, 36.677083333333336, 36.375, 36.1875, 35.916666666666664, 35.708333333333336, 35.5625, 35.375, 35.25, 35.125, 35.0, 34.90625, 34.8125, 34.71875]}",app,DEBUG,temperature_automation,2026-09-04 22:13:35.179,1614.115555555556
Pulse experiments,pioreactor01,2026-09-04T16:28:35.524Z,PID output = 4.4240000000000315,app,DEBUG,temperature_automation,2026-09-04 22:13:35.524,1614.115555555556
Pulse experiments,pioreactor01,2026-09-04T16:28:35.529Z,UpdatedHeaterDC: delta_dc=4.4240000000000315,app,INFO,temperature_automation,2026-09-04 22:13:35.529,1614.115555555556
Pulse experiments,pioreactor01,2026-09-04T16:31:53.217Z,"features={'previous_heater_dc': 27.66, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [42.0625, 41.083333333333336, 40.322916666666664, 39.697916666666664, 39.145833333333336, 38.645833333333336, 38.229166666666664, 37.8125, 37.479166666666664, 37.1875, 36.875, 36.645833333333336, 36.4375, 36.1875, 36.020833333333336, 35.854166666666664, 35.6875, 35.5625, 35.4375, 35.3125, 35.1875]}",app,DEBUG,temperature_automation,2026-09-04 22:16:53.217,1614.170555555556
Pulse experiments,pioreactor01,2026-09-04T16:31:53.287Z,PID output = 1.3199999999999876,app,DEBUG,temperature_automation,2026-09-04 22:16:53.287,1614.170555555556
Pulse experiments,pioreactor01,2026-09-04T16:31:53.291Z,UpdatedHeaterDC: delta_dc=1.3199999999999876,app,INFO,temperature_automation,2026-09-04 22:16:53.291,1614.170555555556
Pulse experiments,pioreactor01,2026-09-04T16:35:09.653Z,"features={'previous_heater_dc': 28.98, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [42.979166666666664, 41.9375, 41.125, 40.447916666666664, 39.875, 39.333333333333336, 38.875, 38.4375, 38.09375, 37.78125, 37.46875, 37.1875, 36.9375, 36.75, 36.53125, 36.34375, 36.1875, 36.020833333333336, 35.885416666666664, 35.75, 35.635416666666664]}",app,DEBUG,temperature_automation,2026-09-04 22:20:09.653,1614.225
Pulse experiments,pioreactor01,2026-09-04T16:35:09.752Z,PID output = -1.0360000000000027,app,DEBUG,temperature_automation,2026-09-04 22:20:09.752,1614.225
Pulse experiments,pioreactor01,2026-09-04T16:35:09.754Z,UpdatedHeaterDC: delta_dc=-1.0360000000000027,app,INFO,temperature_automation,2026-09-04 22:20:09.754,1614.225
Pulse experiments,pioreactor01,2026-09-04T16:38:29.147Z,"features={'previous_heater_dc': 27.94, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [42.9375, 41.927083333333336, 41.166666666666664, 40.510416666666664, 39.9375, 39.4375, 38.979166666666664, 38.5625, 38.208333333333336, 37.875, 37.625, 37.333333333333336, 37.114583333333336, 36.875, 36.6875, 36.5, 36.375, 36.1875, 36.0625, 35.9375, 35.8125]}",app,DEBUG,temperature_automation,2026-09-04 22:23:29.147,1614.280555555556
Pulse experiments,pioreactor01,2026-09-04T16:38:29.261Z,PID output = 1.0819999999999967,app,DEBUG,temperature_automation,2026-09-04 22:23:29.261,1614.280555555556
Pulse experiments,pioreactor01,2026-09-04T16:38:29.263Z,UpdatedHeaterDC: delta_dc=1.0819999999999967,app,INFO,temperature_automation,2026-09-04 22:23:29.263,1614.280555555556
Pulse experiments,pioreactor01,2026-09-04T16:41:48.576Z,"features={'previous_heater_dc': 29.02, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.0, 'time_series_of_temp': [43.5, 42.4375, 41.65625, 40.979166666666664, 40.364583333333336, 39.864583333333336, 39.375, 38.947916666666664, 38.5625, 38.25, 37.947916666666664, 37.6875, 37.4375, 37.1875, 37.0, 36.8125, 36.645833333333336, 36.5, 36.375, 36.229166666666664, 36.125]}",app,DEBUG,temperature_automation,2026-09-04 22:26:48.576,1614.335833333333
Pulse experiments,pioreactor01,2026-09-04T16:41:48.683Z,PID output = 0.8999999999999958,app,DEBUG,temperature_automation,2026-09-04 22:26:48.683,1614.335833333333
Pulse experiments,pioreactor01,2026-09-04T16:41:48.687Z,UpdatedHeaterDC: delta_dc=0.8999999999999958,app,INFO,temperature_automation,2026-09-04 22:26:48.687,1614.335833333333
