experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-26T16:44:52.836Z,902.0,,,2026-08-26 22:29:52.836,1398.386944444444
Pulse experiments,pioreactor01,2026-08-26T16:45:22.828Z,900.0,32.01,61.3,2026-08-26 22:30:22.828,1398.395277777778
Pulse experiments,pioreactor01,2026-08-26T16:45:52.829Z,904.0,30.97,64.99,2026-08-26 22:30:52.829,1398.403611111111
Pulse experiments,pioreactor01,2026-08-26T16:46:22.829Z,901.0,30.22,67.79,2026-08-26 22:31:22.829,1398.411944444445
Pulse experiments,pioreactor01,2026-08-26T16:46:52.831Z,905.0,29.83,69.27,2026-08-26 22:31:52.831,1398.420277777778
Pulse experiments,pioreactor01,2026-08-26T16:47:22.833Z,907.0,29.53,70.38,2026-08-26 22:32:22.833,1398.428611111111
Pulse experiments,pioreactor01,2026-08-26T16:47:52.831Z,906.0,29.35,70.98,2026-08-26 22:32:52.831,1398.436944444444
Pulse experiments,pioreactor01,2026-08-26T16:48:22.827Z,904.0,29.27,71.33,2026-08-26 22:33:22.827,1398.445277777778
Pulse experiments,pioreactor01,2026-08-26T16:48:52.825Z,906.0,29.19,71.62,2026-08-26 22:33:52.825,1398.453611111111
Pulse experiments,pioreactor01,2026-08-26T16:49:22.826Z,899.0,29.14,71.82,2026-08-26 22:34:22.826,1398.461944444444
Pulse experiments,pioreactor01,2026-08-26T16:49:52.826Z,895.0,29.13,71.95,2026-08-26 22:34:52.826,1398.470277777778
Pulse experiments,pioreactor01,2026-08-26T16:50:22.825Z,897.0,29.08,72.08,2026-08-26 22:35:22.825,1398.478611111111
Pulse experiments,pioreactor01,2026-08-26T16:50:52.840Z,892.0,29.07,72.11,2026-08-26 22:35:52.840,1398.486944444444
Pulse experiments,pioreactor01,2026-08-26T16:51:22.834Z,889.0,29.09,72.13,2026-08-26 22:36:22.834,1398.495277777778
Pulse experiments,pioreactor01,2026-08-26T16:51:52.824Z,892.0,29.07,72.14,2026-08-26 22:36:52.824,1398.503611111111
Pulse experiments,pioreactor01,2026-08-26T16:52:22.827Z,896.0,29.07,72.14,2026-08-26 22:37:22.827,1398.511944444444
Pulse experiments,pioreactor01,2026-08-26T16:52:52.824Z,895.0,29.07,72.22,2026-08-26 22:37:52.824,1398.520277777778
Pulse experiments,pioreactor01,2026-08-26T16:53:22.836Z,898.0,29.09,72.27,2026-08-26 22:38:22.836,1398.528611111111
Pulse experiments,pioreactor01,2026-08-26T16:53:52.827Z,899.0,29.09,72.38,2026-08-26 22:38:52.827,1398.536944444445
Pulse experiments,pioreactor01,2026-08-26T16:54:22.827Z,897.0,29.07,72.31,2026-08-26 22:39:22.827,1398.545277777778
Pulse experiments,pioreactor01,2026-08-26T16:54:52.829Z,893.0,29.1,72.3,2026-08-26 22:39:52.829,1398.553611111111
Pulse experiments,pioreactor01,2026-08-26T16:55:22.829Z,897.0,29.13,72.29,2026-08-26 22:40:22.829,1398.561944444444
Pulse experiments,pioreactor01,2026-08-26T16:55:52.833Z,899.0,29.13,72.28,2026-08-26 22:40:52.833,1398.570277777778
Pulse experiments,pioreactor01,2026-08-26T16:56:22.826Z,896.0,29.14,72.3,2026-08-26 22:41:22.826,1398.578611111111
Pulse experiments,pioreactor01,2026-08-26T16:56:52.826Z,899.0,29.17,72.34,2026-08-26 22:41:52.826,1398.586944444444
Pulse experiments,pioreactor01,2026-08-26T16:57:22.829Z,900.0,29.21,72.41,2026-08-26 22:42:22.829,1398.595277777778
Pulse experiments,pioreactor01,2026-08-26T16:57:52.836Z,908.0,29.22,72.39,2026-08-26 22:42:52.836,1398.603611111111
Pulse experiments,pioreactor01,2026-08-26T16:58:22.829Z,910.0,29.25,72.26,2026-08-26 22:43:22.829,1398.611944444444
Pulse experiments,pioreactor01,2026-08-26T16:58:52.838Z,915.0,29.25,72.27,2026-08-26 22:43:52.838,1398.620277777778
Pulse experiments,pioreactor01,2026-08-26T16:59:22.832Z,919.0,29.26,72.25,2026-08-26 22:44:22.832,1398.628611111111
Pulse experiments,pioreactor01,2026-08-26T16:59:52.837Z,954.0,29.29,72.25,2026-08-26 22:44:52.837,1398.636944444444
Pulse experiments,pioreactor01,2026-08-26T17:00:22.832Z,973.0,29.33,72.3,2026-08-26 22:45:22.832,1398.645277777778
Pulse experiments,pioreactor01,2026-08-26T17:00:52.832Z,973.0,29.36,72.3,2026-08-26 22:45:52.832,1398.653611111111
Pulse experiments,pioreactor01,2026-08-26T17:01:22.831Z,966.0,29.36,72.24,2026-08-26 22:46:22.831,1398.661944444445
Pulse experiments,pioreactor01,2026-08-26T17:01:52.830Z,962.0,29.37,72.09,2026-08-26 22:46:52.830,1398.670277777778
Pulse experiments,pioreactor01,2026-08-26T17:02:22.834Z,958.0,29.38,72.1,2026-08-26 22:47:22.834,1398.678611111111
Pulse experiments,pioreactor01,2026-08-26T17:02:52.832Z,949.0,29.37,72.08,2026-08-26 22:47:52.832,1398.686944444444
Pulse experiments,pioreactor01,2026-08-26T17:03:22.837Z,943.0,29.39,72.16,2026-08-26 22:48:22.837,1398.695277777778
Pulse experiments,pioreactor01,2026-08-26T17:03:52.835Z,939.0,29.42,72.18,2026-08-26 22:48:52.835,1398.703611111111
Pulse experiments,pioreactor01,2026-08-26T17:04:22.835Z,935.0,29.45,72.09,2026-08-26 22:49:22.835,1398.711944444444
Pulse experiments,pioreactor01,2026-08-26T17:04:52.834Z,929.0,29.5,71.94,2026-08-26 22:49:52.834,1398.720277777778
Pulse experiments,pioreactor01,2026-08-26T17:05:22.836Z,925.0,29.52,71.85,2026-08-26 22:50:22.836,1398.728611111111
Pulse experiments,pioreactor01,2026-08-26T17:05:52.836Z,924.0,29.52,71.89,2026-08-26 22:50:52.836,1398.736944444444
Pulse experiments,pioreactor01,2026-08-26T17:06:22.836Z,927.0,29.53,71.91,2026-08-26 22:51:22.836,1398.745277777778
Pulse experiments,pioreactor01,2026-08-26T17:06:52.841Z,922.0,29.57,71.88,2026-08-26 22:51:52.841,1398.753611111111
Pulse experiments,pioreactor01,2026-08-26T17:07:22.845Z,920.0,29.61,71.83,2026-08-26 22:52:22.845,1398.761944444444
Pulse experiments,pioreactor01,2026-08-26T17:07:52.838Z,915.0,29.63,71.78,2026-08-26 22:52:52.838,1398.770277777778
Pulse experiments,pioreactor01,2026-08-26T17:08:22.837Z,916.0,29.66,71.63,2026-08-26 22:53:22.837,1398.778611111111
Pulse experiments,pioreactor01,2026-08-26T17:08:52.838Z,919.0,29.71,71.53,2026-08-26 22:53:52.838,1398.786944444445
Pulse experiments,pioreactor01,2026-08-26T17:09:22.841Z,913.0,29.69,71.27,2026-08-26 22:54:22.841,1398.795277777778
Pulse experiments,pioreactor01,2026-08-26T17:09:52.839Z,912.0,29.73,71.33,2026-08-26 22:54:52.839,1398.803611111111
Pulse experiments,pioreactor01,2026-08-26T17:10:22.840Z,914.0,29.73,71.27,2026-08-26 22:55:22.840,1398.811944444444
Pulse experiments,pioreactor01,2026-08-26T17:10:52.840Z,918.0,29.74,71.29,2026-08-26 22:55:52.840,1398.820277777778
Pulse experiments,pioreactor01,2026-08-26T17:11:22.835Z,920.0,29.76,71.16,2026-08-26 22:56:22.835,1398.828611111111
Pulse experiments,pioreactor01,2026-08-26T17:11:52.836Z,922.0,29.76,71.01,2026-08-26 22:56:52.836,1398.836944444444
Pulse experiments,pioreactor01,2026-08-26T17:12:22.845Z,926.0,29.75,71.0,2026-08-26 22:57:22.845,1398.845277777778
Pulse experiments,pioreactor01,2026-08-26T17:12:52.839Z,927.0,29.76,71.07,2026-08-26 22:57:52.839,1398.853611111111
